name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
21st Century Cyber CS,260,116,116,137,21,0
Abington Heights HS,248,211,208,213,2,3
Abington Heights SD,1,0,0,0,0,0
Abington SHS,596,488,481,488,0,7
Academy at Palumbo,188,136,134,139,3,2
Academy at Westinghouse,85,52,51,57,5,1
Academy Park HS,273,0,0,0,0,0
Achievement House CS,106,37,33,44,7,4
Agora Cyber CS,602,273,266,328,55,7
Agora Cyber CS,1,0,0,0,0,0
Albert Gallatin Area SHS,245,96,95,118,22,1
Aliquippa JSHS,57,0,0,0,0,0
Allegheny-Clarion Valley HS,46,26,25,28,2,1
Allegheny-Clarion Valley SD,16,0,0,0,0,0
Allentown City SD,109,36,34,40,4,2
Altoona Area HS,482,271,252,287,16,19
Ambridge Area HS,189,137,118,137,0,19
Ambridge Area SD,1,0,0,0,0,0
Annville Cleona HS,104,64,64,66,2,0
Annville-Cleona SD,1,0,0,0,0,0
Antietam MS/HS,67,45,45,46,1,0
Antietam SD,1,0,0,0,0,0
Apollo-Ridge HS,60,44,44,45,1,0
Apollo-Ridge SD,8,1,1,1,0,0
Armstrong JSHS,183,82,80,85,3,2
Armstrong SD,2,0,0,0,0,0
Arts Academy at Benjamin Rush,136,81,77,83,2,4
ASPIRA Bilingual Cyber Charter School,47,26,23,27,1,3
Athens Area HS,147,70,69,70,0,1
Austin Area JSHS,11,6,6,6,0,0
Avella Area JSHS,33,22,16,25,3,6
Avon Grove CS,87,69,69,70,1,0
Avon Grove CS,2,0,0,0,0,0
Avon Grove HS,424,89,84,90,1,5
Avon Grove SD,1,0,0,0,0,0
Avonworth HS,114,104,104,104,0,0
Avonworth SD,4,0,0,0,0,0
Bald Eagle Area JSHS,127,58,58,65,7,0
Bald Eagle Area SD,1,0,0,0,0,0
Baldwin SHS,364,283,283,304,21,0
Baldwin-Whitehall SD,7,0,0,1,1,0
Bangor Area HS,215,113,113,113,0,0
Bartram John - Main,142,75,61,83,8,14
Beaver Area SD,2,0,0,0,0,0
Beaver Area SHS,145,92,84,94,2,8
Beaver Falls Area SHS,95,47,41,61,14,6
Bedford SHS,147,62,62,68,6,0
Belle Vernon Area HS,174,121,118,127,6,3
Bellefonte Area HS,190,121,119,122,1,2
Bellwood-Antis HS,100,61,61,61,0,0
Bensalem Township SD,10,0,0,0,0,0
Bensalem Twp HS,465,283,276,290,7,7
Benton Area HS,55,33,29,33,0,4
Benton Area SD,4,0,0,0,0,0
Bentworth SHS,86,56,56,60,4,0
Berlin Brothersvalley SHS,41,18,16,19,1,2
Bermudian Springs HS,139,82,81,87,5,1
Bermudian Springs SD,3,0,0,0,0,0
Berwick Area HS,173,108,106,111,3,2
Berwick Area SD,9,0,0,0,0,0
Bethel Park HS,336,292,292,292,0,0
Bethel Park SD,1,0,0,0,0,0
Bethlehem Area SD,16,2,2,2,0,0
Bethlehem-Center SD,1,1,1,1,0,0
Bethlehem-Center SHS,114,40,36,41,1,4
Big Beaver Falls Area SD,1,0,0,0,0,0
Big Spring HS,200,102,96,102,0,6
Big Spring SD,1,0,0,0,0,0
Biglerville HS,134,92,92,96,4,0
Blackhawk HS,175,137,134,145,8,3
Blackhawk SD,2,0,0,0,0,0
Blacklick Valley JSHS,41,27,23,27,0,4
Blacklick Valley SD,1,0,0,0,0,0
Blairsville SHS,60,26,25,27,1,1
Blairsville-Saltsburg SD,1,0,0,0,0,0
Bloomsburg Area HS,87,60,60,60,0,0
Blue Mountain HS,192,124,116,133,9,8
Blue Ridge HS,67,44,40,44,0,4
Bodine William W HS,139,111,110,113,2,1
Boiling Springs HS,149,92,87,93,1,5
Boyertown Area SD,12,4,4,5,1,0
Boyertown Area SHS,480,334,329,341,7,5
Boys Latin of Philadelphia CS,78,65,64,68,3,1
Bradford Area HS,171,86,79,100,14,7
Bradford Area SD,1,0,0,0,0,0
Brandywine Heights HS,112,74,74,74,0,0
Brentwood Borough SD,1,1,1,1,0,0
Brentwood SHS,90,57,56,60,3,1
Bristol Borough SD,6,0,0,0,0,0
Bristol HS,50,34,34,36,2,0
Bristol Township SD,43,0,0,0,0,0
Brockway Area JSHS,74,40,33,41,1,7
Brockway Area SD,1,0,0,0,0,0
Brookville JSHS,109,57,53,63,6,4
Brownsville Area HS,97,61,53,62,1,8
Bucks County Technical High School,341,188,186,207,19,2
Bucktail HS,27,16,14,16,0,2
Building 21,56,32,31,35,3,1
Building 21 Allentown,96,65,64,70,5,1
Burgettstown Area SD,1,0,0,0,0,0
Burgettstown MS/HS,76,49,49,49,0,0
Burrell HS,146,107,106,112,5,1
Burrell SD,2,1,1,1,0,0
Butler Area SD,15,0,0,0,0,0
Butler Area SHS,429,357,352,363,6,5
California Area SHS,74,45,38,46,1,7
Cambria Heights SHS,106,75,68,77,2,7
Cambridge Springs JSHS,66,36,36,36,0,0
Cameron County JSHS,42,16,14,17,1,2
Camp Hill SHS,99,80,80,80,0,0
Canon-McMillan SD,6,0,0,0,0,0
Canon-McMillan SHS,363,282,256,286,4,26
Canton Area SD,1,0,0,0,0,0
Canton JSHS,78,30,30,35,5,0
Capital Area School for the Arts Charter,47,40,40,40,0,0
Carbon Career & Technical Institute,106,29,28,33,4,1
Carbondale Area JSHS,100,66,57,72,6,9
Carbondale Area SD,3,0,0,0,0,0
Carlisle Area HS,367,247,242,250,3,5
Carlisle Area SD,3,0,0,0,0,0
Carlynton JSHS,98,0,0,0,0,0
Carmichaels Area HS,87,59,55,61,2,4
Carver HS,186,123,122,124,1,1
Catasauqua SHS,90,58,57,59,1,1
Cedar Cliff HS,273,195,185,198,3,10
Cedar Crest HS,387,256,238,260,4,18
Centennial SD,9,0,0,0,0,0
Center for Student Lrng CS Pennsbury,25,5,5,7,2,0
Central Bucks HS-East,490,451,451,453,2,0
Central Bucks HS-South,559,491,490,495,4,1
Central Bucks HS-West,488,420,419,422,2,1
