name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
21st Century Cyber CS,270,125,125,144,19,0
Abington Heights HS,224,194,190,194,0,4
Abington SD,2,0,0,0,0,0
Abington SHS,629,401,396,412,11,5
Academy at Palumbo,324,251,244,258,7,7
Academy at Westinghouse,111,49,49,50,1,0
Academy Park HS,271,0,0,0,0,0
Achievement House CS,203,71,66,80,9,5
Agora Cyber CS,526,161,156,177,16,5
Agora Cyber CS,2,0,0,0,0,0
Albert Gallatin Area SHS,224,88,88,104,16,0
Aliquippa JSHS,66,0,0,0,0,0
Aliquippa SD,1,0,0,0,0,0
Allegheny Valley SD,1,0,0,0,0,0
Allegheny-Clarion Valley HS,43,21,19,22,1,2
Allentown City SD,138,1,1,2,1,0
Altoona Area HS,452,236,229,247,11,7
Ambridge Area HS,157,79,70,83,4,9
Ambridge Area SD,2,0,0,0,0,0
Annville Cleona HS,97,53,53,59,6,0
Antietam MS/HS,76,49,45,54,5,4
Antietam SD,1,0,0,0,0,0
Apollo-Ridge HS,65,40,39,44,4,1
Apollo-Ridge SD,6,0,0,0,0,0
Armstrong JSHS,190,107,107,113,6,0
Armstrong SD,6,0,0,0,0,0
Arts Academy at Benjamin Rush,141,102,98,106,4,4
ASPIRA Bilingual Cyber CS,60,24,24,39,15,0
Athens Area HS,160,81,76,81,0,5
Austin Area JSHS,12,6,6,6,0,0
Avella Area JSHS,41,27,19,27,0,8
Avella Area SD,1,0,0,0,0,0
Avon Grove CS,95,74,74,75,1,0
Avon Grove CS,3,0,0,0,0,0
Avon Grove HS,420,310,304,316,6,6
Avon Grove SD,9,0,0,0,0,0
Avonworth HS,116,91,91,92,1,0
Bald Eagle Area JSHS,127,65,62,72,7,3
Baldwin SHS,324,245,243,247,2,2
Baldwin-Whitehall SD,23,8,8,8,0,0
Bangor Area HS,217,150,150,150,0,0
Bangor Area SD,3,0,0,0,0,0
Bartram John - Main,120,43,36,46,3,7
Beaver Area SD,1,0,0,0,0,0
Beaver Area SHS,184,121,113,127,6,8
Beaver Falls Area SHS,96,38,30,42,4,8
Bedford SHS,137,55,53,58,3,2
Belle Vernon Area HS,186,132,123,136,4,9
Bellefonte Area HS,221,133,130,136,3,3
Bellwood-Antis HS,83,59,59,59,0,0
Belmont CS,65,40,40,52,12,0
Bensalem Township SD,37,1,0,2,1,1
Bensalem Twp HS,444,306,301,310,4,5
Benton Area HS,49,27,26,29,2,1
Bentworth SHS,72,48,33,48,0,15
Berlin Brothersvalley SHS,54,32,31,32,0,1
Bermudian Springs HS,167,86,85,89,3,1
Berwick Area HS,159,86,85,88,2,1
Berwick Area SD,7,0,0,0,0,0
Bethel Park HS,311,220,220,220,0,0
Bethel Park SD,4,0,0,0,0,0
Bethlehem Area SD,5,1,1,1,0,0
Bethlehem-Center SD,4,0,0,0,0,0
Bethlehem-Center SHS,92,51,41,51,0,10
Big Beaver Falls Area SD,4,0,0,0,0,0
Big Spring HS,191,100,99,102,2,1
Big Spring SD,1,0,0,0,0,0
Biglerville HS,134,61,61,66,5,0
Blackhawk HS,171,117,113,127,10,4
Blackhawk SD,2,0,0,1,1,0
Blacklick Valley JSHS,48,17,17,17,0,0
Blacklick Valley SD,4,1,1,1,0,0
Bloomsburg Area HS,98,68,68,68,0,0
Blue Mountain HS,201,114,114,123,9,0
Blue Mountain SD,1,0,0,0,0,0
Blue Ridge HS,61,26,26,30,4,0
Bodine William W HS,108,77,72,80,3,5
Boiling Springs HS,150,100,100,105,5,0
Boyertown Area SD,14,0,0,0,0,0
Boyertown Area SHS,495,335,323,340,5,12
Boys Latin of Philadelphia CS,88,56,56,57,1,0
Bradford Area HS,160,89,75,90,1,14
Brandywine Heights Area SD,2,0,0,0,0,0
Brandywine Heights HS,111,67,65,67,0,2
Brentwood Borough SD,1,0,0,0,0,0
Brentwood SHS,79,51,51,59,8,0
Bristol Borough SD,8,0,0,0,0,0
Bristol HS,69,37,37,42,5,0
Bristol Township SD,28,0,0,0,0,0
Brockway Area JSHS,82,36,32,40,4,4
Brockway Area SD,1,0,0,0,0,0
Brookville JSHS,108,61,61,62,1,0
Brownsville Area HS,106,56,46,64,8,10
Bucks County Technical High School,325,166,166,195,29,0
Bucktail HS,30,21,16,22,1,5
Building 21,71,50,48,53,3,2
Building 21 Allentown,80,43,43,48,5,0
Burgettstown Area SD,2,0,0,0,0,0
Burgettstown MS/HS,67,46,46,46,0,0
Burrell HS,130,94,86,95,1,8
Burrell SD,4,0,0,0,0,0
Butler Area SD,11,0,0,0,0,0
Butler Area SHS,443,315,312,334,19,3
California Area SHS,70,43,43,48,5,0
Cambria Heights SHS,94,63,61,68,5,2
Cambridge Springs JSHS,60,32,28,32,0,4
Cameron County JSHS,38,17,15,17,0,2
Camp Hill SHS,106,91,91,94,3,0
Canon-McMillan SD,11,0,0,0,0,0
Canon-McMillan SHS,394,282,265,285,3,17
Canton JSHS,64,33,32,33,0,1
Capital Area School for the Arts CS,43,29,29,29,0,0
Carbon Career & Technical Institute,101,33,25,38,5,8
Carbondale Area JSHS,119,56,56,58,2,0
Carlisle Area HS,331,198,198,201,3,0
Carlisle Area SD,4,0,0,0,0,0
Carlynton JSHS,87,58,58,58,0,0
Carmichaels Area HS,71,41,36,41,0,5
