name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
21st Century Cyber CS,270,159,156,189,30,3
Abington Heights HS,298,251,244,254,3,7
Abington SD,1,0,0,0,0,0
Abington SHS,628,495,492,513,18,3
Academy at Palumbo,236,140,139,141,1,1
Academy at Westinghouse,85,27,26,27,0,1
Academy Park HS,251,0,0,0,0,0
Achievement House CS,221,75,70,91,16,5
Agora Cyber CS,477,172,159,197,25,13
Agora Cyber CS,3,1,1,1,0,0
Albert Gallatin Area SHS,238,82,81,104,22,1
Aliquippa JSHS,79,49,48,49,0,1
Aliquippa SD,2,1,1,1,0,0
Allegheny-Clarion Valley HS,33,20,19,21,1,1
Allegheny-Clarion Valley SD,1,0,0,1,1,0
Allentown City SD,120,5,4,8,3,1
Altoona Area HS,463,243,235,278,35,8
Ambridge Area HS,155,95,84,96,1,11
Ambridge Area SD,3,0,0,0,0,0
Annville Cleona HS,118,66,66,72,6,0
Annville-Cleona SD,1,0,0,0,0,0
Antietam MS/HS,71,42,42,44,2,0
Antietam SD,1,0,0,0,0,0
Apollo-Ridge HS,56,40,39,40,0,1
Apollo-Ridge SD,11,1,1,1,0,0
Armstrong JSHS,192,103,103,108,5,0
Armstrong SD,5,0,0,0,0,0
Arts Academy at Benjamin Rush,165,136,133,141,5,3
ASPIRA Bilingual Cyber CS,142,69,69,70,1,0
Athens Area HS,160,73,73,74,1,0
Austin Area JSHS,16,8,8,8,0,0
Avella Area JSHS,36,13,13,19,6,0
Avon Grove CS,107,84,83,87,3,1
Avon Grove CS,3,1,0,1,0,1
Avon Grove HS,434,314,311,328,14,3
Avon Grove SD,10,0,0,0,0,0
Avonworth HS,112,89,87,89,0,2
Bald Eagle Area JSHS,121,61,59,65,4,2
Baldwin SHS,339,236,236,239,3,0
Baldwin-Whitehall SD,14,0,0,2,2,0
Bangor Area HS,192,124,124,128,4,0
Bangor Area SD,3,0,0,0,0,0
Bartram John - Main,107,22,22,22,0,0
Beaver Area SD,1,0,0,0,0,0
Beaver Area SHS,166,112,112,122,10,0
Beaver Falls Area SHS,94,39,37,44,5,2
Bedford SHS,138,52,52,66,14,0
Belle Vernon Area HS,154,90,84,92,2,6
Belle Vernon Area SD,1,0,0,0,0,0
Bellefonte Area HS,197,119,117,121,2,2
Bellwood-Antis HS,90,53,53,53,0,0
Belmont CS,77,51,51,59,8,0
Bensalem Township SD,10,0,0,0,0,0
Bensalem Twp HS,505,321,308,359,38,13
Benton Area HS,39,26,25,26,0,1
Benton Area SD,2,0,0,0,0,0
Bentworth SD,1,0,0,0,0,0
Bentworth SHS,81,41,37,41,0,4
Berlin Brothersvalley SHS,42,30,25,30,0,5
Bermudian Springs HS,122,53,50,57,4,3
Bermudian Springs SD,1,0,0,0,0,0
Berwick Area HS,192,97,97,99,2,0
