name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
Bethel Park HS,338,270,270,270,0,0
Bethel Park SD,1,0,0,0,0,0
Bethlehem Area SD,9,6,6,7,1,0
Bethlehem-Center SHS,81,29,29,41,12,0
Big Beaver Falls Area SD,8,0,0,0,0,0
Big Spring HS,165,95,90,96,1,5
Big Spring SD,2,0,0,0,0,0
Biglerville HS,122,63,63,63,0,0
Blackhawk HS,176,128,118,132,4,10
Blackhawk SD,3,1,1,3,2,0
Blacklick Valley JSHS,44,21,21,21,0,0
Blacklick Valley SD,6,0,0,0,0,0
Bloomsburg Area HS,107,80,78,80,0,2
Bloomsburg Area SD,6,0,0,0,0,0
Blue Mountain HS,191,114,113,128,14,1
Blue Ridge HS,63,33,33,33,0,0
Bodine William W HS,138,115,111,117,2,4
Boiling Springs HS,181,110,110,113,3,0
Boyertown Area SD,12,4,4,4,0,0
Boyertown Area SHS,486,327,308,331,4,19
Boys Latin of Philadelphia CS,94,61,57,64,3,4
Bradford Area HS,168,84,79,90,6,5
Brandywine Heights HS,114,80,74,80,0,6
Brentwood SHS,101,69,61,74,5,8
Bristol Borough SD,7,0,0,0,0,0
Bristol HS,79,53,53,58,5,0
Bristol Township SD,38,0,0,0,0,0
Brockway Area JSHS,59,34,30,35,1,4
Brookville JSHS,108,64,64,64,0,0
Brownsville Area HS,93,52,48,52,0,4
Bucks County Technical High School,333,187,187,224,37,0
Bucktail HS,23,16,16,17,1,0
Building 21,68,53,43,54,1,10
Building 21 Allentown,72,62,46,62,0,16
Burgettstown MS/HS,63,45,43,45,0,2
Burrell HS,136,111,105,113,2,6
Burrell SD,2,0,0,1,1,0
Butler Area SD,5,0,0,0,0,0
Butler Area SHS,436,295,289,298,3,6
California Area SHS,71,42,42,44,2,0
Cambria Heights SD,3,0,0,0,0,0
Cambria Heights SHS,105,53,49,58,5,4
Cambridge Springs JSHS,60,29,29,31,2,0
Cameron County JSHS,31,15,13,16,1,2
Camp Hill SHS,98,77,77,80,3,0
Canon-McMillan SD,11,0,0,0,0,0
Canon-McMillan SHS,379,273,263,281,8,10
Canton JSHS,83,37,37,41,4,0
Capital Area School for the Arts CS,55,1,1,1,0,0
Carbon Career & Technical Institute,89,43,38,50,7,5
Carbondale Area JSHS,109,65,65,70,5,0
Carlisle Area HS,340,236,236,236,0,0
Carlisle Area SD,9,0,0,0,0,0
Carlynton JSHS,76,44,44,45,1,0
Carlynton SD,2,0,0,0,0,0
Carmichaels Area HS,69,44,38,49,5,6
Carver HS,182,172,167,174,2,5
Catasauqua SHS,123,84,82,86,2,2
Cedar Cliff HS,312,190,190,193,3,0
Cedar Crest HS,375,211,197,213,2,14
Centennial SD,3,0,0,0,0,0
Center for Student Lrng CS Pennsbury,23,10,10,11,1,0
Central Bucks HS-East,462,420,420,420,0,0
Central Bucks HS-South,561,389,387,390,1,2
Central Bucks HS-West,461,381,378,382,1,3
Central Bucks SD,17,0,0,0,0,0
Central Cambria HS,150,104,102,104,0,2
Central Cambria SD,3,0,0,0,0,0
Central Columbia SD,8,0,0,0,0,0
Central Columbia SHS,146,99,97,102,3,2
Central Dauphin East SHS,335,144,144,145,1,0
Central Dauphin SD,15,1,1,1,0,0
Central Dauphin SHS,442,341,333,361,20,8
Central HS,139,83,79,86,3,4
Central HS,564,402,398,405,3,4
Central Mountain HS,234,108,101,129,21,7
Central PA Digital Lrng Foundation CS,17,5,3,7,2,2
Central Valley HS,158,109,109,116,7,0
Central York HS,424,299,286,309,10,13
Central York SD,6,0,0,0,0,0
Chambersburg Area Career Magnet Sch,200,66,64,67,1,2
Chambersburg Area SD,6,0,0,0,0,0
Chambersburg Area SHS,467,191,191,191,0,0
Charleroi Area HS,103,59,54,60,1,5
Charleroi SD,1,0,0,0,0,0
Chartiers Valley HS,266,193,190,198,5,3
Chartiers Valley SD,2,0,0,0,0,0
Chartiers-Houston JSHS,74,43,37,46,3,6
Cheltenham HS,325,244,244,249,5,0
Cheltenham SD,7,1,1,1,0,0
Chester Charter Scholars Academy CS,51,43,42,44,1,1
Chester Charter Scholars Academy CS,1,1,0,1,0,1
Chester HS,195,0,0,0,0,0
Chester-Upland SD,6,0,0,0,0,0
Chestnut Ridge SHS,96,48,45,56,8,3
Chichester SD,7,0,0,0,0,0
Chichester SHS,202,119,113,128,9,6
City CHS,106,81,76,81,0,5
Clairton MS/HS,45,20,20,20,0,0
Clarion Area JSHS,36,20,20,22,2,0
Clarion-Limestone Area JSHS,45,45,45,45,0,0
Clarion-Limestone Area SD,1,0,0,0,0,0
Claysburg-Kimmel SD,1,0,0,0,0,0
Claysburg-Kimmel Sr HS,73,36,31,37,1,5
Clearfield Area JSHS,149,72,68,75,3,4
Coatesville Area SD,16,0,0,0,0,0
Coatesville Area SHS,442,244,244,286,42,0
Cocalico SD,9,0,0,0,0,0
Cocalico SHS,244,74,71,76,2,3
Cochranton JSHS,52,29,29,29,0,0
Collegium CS,115,93,84,98,5,9
Collegium CS,2,0,0,0,0,0
Colonial SD,14,0,0,0,0,0
Columbia Borough SD,1,0,0,0,0,0
Columbia HS,76,38,26,41,3,12
Columbia-Montour AVTS,132,31,29,31,0,2
Commodore Perry JSHS,20,16,12,16,0,4
Commonwealth Charter Academy CS,1970,768,732,856,88,36
Commonwealth Charter Academy CS,1,0,0,1,1,0
Community Academy of Philadelphia CS,122,80,80,86,6,0
Conemaugh Township Area SD,1,0,0,0,0,0
Conemaugh Twp Area MS/SHS,65,43,43,46,3,0
Conemaugh Valley JSHS,40,31,31,32,1,0
Conestoga SHS,533,518,518,518,0,0
Conestoga Valley SD,5,0,0,0,0,0
Conestoga Valley SHS,295,152,152,173,21,0
Conewago Valley SD,2,1,1,1,0,0
Conneaut Area Senior High,148,62,62,62,0,0
Connellsville Area Career & Technical Center,105,10,10,10,0,0
Connellsville Area SD,30,3,3,3,0,0
Connellsville Area SHS,193,103,103,103,0,0
Conrad Weiser Area SD,9,0,0,1,1,0
Conrad Weiser HS,172,124,117,126,2,7
Constitution HS,95,60,55,62,2,5
Cornell HS,36,18,18,22,4,0
Cornwall-Lebanon SD,5,0,0,0,0,0
Corry Area HS,124,51,51,55,4,0
Coudersport Area JSHS,55,30,30,37,7,0
Cougar Academy,26,15,15,17,2,0
Council Rock HS North,382,344,344,349,5,0
Council Rock HS South,480,426,318,429,3,108
Cowanesque Valley JSHS,44,21,21,21,0,0
Cranberry Area JSHS,88,48,48,52,4,0
Creative and Performing Arts,186,103,101,106,3,2
Crestwood SD,4,0,0,0,0,0
Crestwood Secondary Campus,249,193,192,195,2,1
Crispus Attucks CS,46,0,0,0,0,0
Cumberland Valley HS,713,512,508,517,5,4
Cumberland Valley SD,6,0,0,0,0,0
Curwensville Area JSHS,77,43,42,45,2,1
Dallas SD,1,0,0,0,0,0
Dallas SHS,192,157,153,160,3,4
Dallastown Area SD,7,0,0,0,0,0
Dallastown Area SHS,488,336,336,365,29,0
Daniel Boone Area HS,258,161,161,161,0,0
Daniel Boone Area SD,1,0,0,0,0,0
Danville Area SHS,150,102,102,102,0,0
Dauphin County Technical School,227,100,100,103,3,0
Deer Lakes HS,136,93,90,95,2,3
Deer Lakes SD,3,0,0,1,1,0
Delaware Valley HS,321,206,203,214,8,3
Derry Area SD,11,0,0,0,0,0
Derry Area SHS,136,36,33,37,1,3
Derry Township SD,3,0,0,0,0,0
Dobbins AVT HS,144,84,76,93,9,8
Donegal HS,209,130,128,132,2,2
Donegal SD,6,0,0,0,0,0
Dover Area HS,220,114,113,118,4,1
Dover Area SD,8,1,1,2,1,0
Downingtown Area SD,10,1,1,4,3,0
Downingtown HS East Campus,409,370,369,370,0,1
Downingtown HS West Campus,451,377,377,383,6,0
Downingtown STEM Academy,198,197,197,198,1,0
Dr Robert Ketterer CS Inc,20,7,7,8,1,0
DuBois Area SD,2,0,0,0,0,0
DuBois Area SHS,251,115,113,138,23,2
Dunmore JSHS,104,80,80,83,3,0
Dunmore SD,1,0,0,0,0,0
Duquesne City SD,1,0,0,0,0,0
East Allegheny JSHS,95,46,45,53,7,1
East Allegheny SD,8,2,2,2,0,0
East Forest JSHS,10,3,3,3,0,0
East Juniata JSHS,73,41,40,44,3,1
East Penn SD,9,0,0,0,0,0
East Pennsboro Area SD,2,0,0,0,0,0
East Pennsboro Area SHS,169,102,101,104,2,1
East Stroudsburg Area SD,2,0,0,0,0,0
East Stroudsburg SHS North,244,45,45,46,1,0
East Stroudsburg SHS South,333,231,228,234,3,3
Eastern Lancaster County SD,1,0,0,0,0,0
Eastern Lebanon Co SHS,183,101,101,102,1,0
Eastern Lebanon County SD,1,0,0,0,0,0
Eastern York HS,127,70,70,87,17,0
Eastern York SD,2,0,0,0,0,0
Easton Area HS,648,401,399,409,8,2
Edison HS/Fareira Skills,164,61,50,69,8,11
Eisenhower M/HS,66,41,41,45,4,0
Elizabeth Forward SD,1,1,1,1,0,0
Elizabeth Forward SHS,182,117,116,117,0,1
Elizabethtown Area SD,4,0,0,0,0,0
Elizabethtown Area SHS,291,167,164,169,2,3
Elk Lake JSHS,76,37,37,39,2,0
Ellwood City Area SD,1,0,0,0,0,0
Emmaus HS,702,541,537,541,0,4
Ephrata SHS,291,167,149,172,5,18
Erie City SD,5,0,0,0,0,0
Erie HS,408,155,139,157,2,16
Esperanza Academy CS,169,98,96,115,17,2
Esperanza Academy CS,1,0,0,0,0,0
Esperanza Cyber CS,112,61,54,69,8,7
Everett Area HS,71,31,31,37,6,0
Everett Area SD,1,0,0,0,0,0
Evergreen Community CS,16,14,14,14,0,0
Executive Education Academy CS,98,67,61,67,0,6
Exeter Township SD,4,0,0,0,0,0
Exeter Twp SHS,309,200,198,209,9,2
Fairfield Area HS,72,38,38,42,4,0
Fairview HS,141,90,90,95,5,0
Fannett-Metal SHS,21,7,6,8,1,1
Farrell Area HS/UMS,39,25,25,33,8,0
Farrell Area SD,2,0,0,0,0,0
Fels Samuel HS,180,114,102,122,8,12
Ferndale Area JSHS,40,25,25,25,0,0
First Philadelphia Preparatory CS,82,8,8,9,1,0
First Philadelphia Preparatory CS,1,0,0,0,0,0
Fleetwood Area SD,2,0,0,0,0,0
Fleetwood SHS,207,144,141,149,5,3
Forbes Road JSHS,22,13,13,13,0,0
Forest Area SD,4,0,0,0,0,0
Forest City Regional HS,52,32,32,32,0,0
Forest Hills JSHS,114,70,65,76,6,5
Forest Hills SD,2,0,0,0,0,0
Fort Cherry JSHS,63,34,33,38,4,1
Fort Cherry SD,2,1,1,1,0,0
Fort LeBoeuf SHS,139,70,67,71,1,3
Fox Chapel Area HS,326,270,264,271,1,6
Fox Chapel Area SD,1,0,0,0,0,0
Frankford HS,162,75,70,80,5,5
Franklin Area JSHS,125,63,47,67,4,16
Franklin Benjamin HS,80,47,40,52,5,7
Franklin LC,186,128,123,136,8,5
Franklin Regional SHS,295,235,230,237,2,5
Franklin Towne CHS,257,213,189,215,2,24
Frazier HS,60,43,43,46,3,0
Frazier SD,1,0,0,0,0,0
Freedom Area SD,1,0,0,0,0,0
Freedom Area SHS,110,62,60,72,10,2
Freedom HS,413,292,286,299,7,6
Freeport Area SD,4,0,0,0,0,0
Freeport Area SHS,128,106,102,108,2,4
Freire CS,98,75,71,78,3,4
Freire CS,2,0,0,0,0,0
Furness Horace HS,145,41,40,42,1,1
Galeton Area Sch,24,9,9,11,2,0
Gamp,61,53,51,54,1,2
Garden Spot SHS,222,97,97,104,7,0
Garnet Valley HS,387,358,358,360,2,0
Garnet Valley SD,4,0,0,0,0,0
Gateway SD,5,0,0,0,0,0
Gateway SHS,257,140,138,142,2,2
General McLane HS,183,113,111,123,10,2
Gettysburg Area HS,231,141,141,147,6,0
Gillingham Charter School,10,2,2,2,0,0
Girard HS,117,59,59,61,2,0
Girls HS,157,130,126,132,2,4
Glendale JSHS,53,25,24,25,0,1
Glendale SD,2,0,0,0,0,0
Governor Mifflin SHS,386,221,220,227,6,1
Great Valley HS,327,293,291,296,3,2
Great Valley SD,20,0,0,0,0,0
Greater Johnstown School District's Cyber Academy,20,1,1,2,1,0
Greater Johnstown SD,4,0,0,0,0,0
Greater Johnstown SHS,143,45,45,62,17,0
Greater Latrobe SD,11,0,0,0,0,0
Greater Latrobe SHS,277,193,187,200,7,6
Greater Nanticoke Area SD,1,0,0,0,0,0
Greater Nanticoke Area SHS,149,77,77,78,1,0
Greencastle-Antrim SHS,236,156,147,157,1,9
Greensburg-Salem HS,167,116,108,117,1,8
Greenville JSHS,113,70,65,75,5,5
Greenwood HS,51,33,33,33,0,0
Grove City Area George Jr HS,3,0,0,0,0,0
Grove City Area HS,160,99,96,109,10,3
Halifax Area HS,50,32,31,32,0,1
Hamburg Area HS,162,93,91,93,0,2
Hamburg Area SD,4,0,0,0,0,0
Hampton HS,206,161,161,165,4,0
Hanover Area JSHS,131,66,66,68,2,0
Hanover Public SD,1,0,0,0,0,0
Hanover SHS,134,70,70,76,6,0
Harbor Creek SD,3,0,0,0,0,0
Harbor Creek Senior HS,136,83,83,83,0,0
Harmony Area JSHS,28,9,9,10,1,0
Harrisburg City SD,22,0,0,0,0,0
Harrisburg HS,189,110,105,110,0,5
Harrisburg HS - SciTech Cmp,86,78,78,78,0,0
Harriton SHS,355,336,336,337,1,0
Hatboro-Horsham SD,3,0,0,0,0,0
Hatboro-Horsham SHS,358,315,313,317,2,2
Haverford SHS,504,444,433,450,6,11
Hazleton Area HS,794,488,471,491,3,17
Hempfield Area SD,3,0,0,0,0,0
Hempfield Area SHS,404,290,289,299,9,1
Hempfield SD,11,0,0,0,0,0
Hempfield SHS,526,374,374,376,2,0
Hershey HS,264,204,204,206,2,0
Hickory HS,166,113,107,116,3,6
Highlands SD,2,0,0,0,0,0
Highlands SHS,143,95,87,98,3,8
Hill Freedman World Academy,79,41,39,41,0,2
Hollidaysburg Area SD,3,0,0,0,0,0
Hollidaysburg Area SHS,238,132,132,142,10,0
Homer-Center JSHS,68,46,43,48,2,3
Honesdale HS,158,99,99,105,6,0
HOPE for Hyndman CS,11,5,5,6,1,0
Hopewell Area SD,1,0,0,0,0,0
Hopewell SHS,127,78,67,86,8,11
Hughesville JSHS,123,67,67,75,8,0
Huntingdon Area SD,1,0,0,0,0,0
Huntingdon Area SHS,122,70,65,74,4,5
Imhotep Institute CHS,139,88,88,100,12,0
Indiana Area SD,1,0,0,0,0,0
Indiana Area SHS,220,127,120,128,1,7
Innovative Arts Academy CS,48,21,20,25,4,1
Insight PA Cyber CS,316,143,104,163,20,39
Interboro SD,2,0,0,0,0,0
Interboro SHS,245,158,155,165,7,3
Iroquois JSHS,89,43,38,44,1,5
James Buchanan HS,181,69,69,86,17,0
Jamestown Area JSHS,43,26,26,26,0,0
Jeannette HS,66,37,34,38,1,3
Jefferson County-DuBois AVTS,76,8,5,9,1,3
Jefferson-Morgan MS/HS,49,0,0,0,0,0
Jenkintown Middle/High School,62,57,57,57,0,0
Jersey Shore Area SHS,150,81,81,81,0,0
Jim Thorpe Area HS,120,87,86,95,8,1
Jim Thorpe Area SD,4,0,0,0,0,0
Johnsonburg Area HS,50,35,29,36,1,6
Johnsonburg Area SD,1,0,0,0,0,0
Juniata SHS,140,61,41,66,5,20
Juniata Valley JSHS,68,40,40,43,3,0
Juniata Valley SD,1,0,0,0,0,0
Kane Area HS,83,47,35,49,2,12
Kane Area SD,2,0,0,0,0,0
Karns City Area SD,14,3,3,3,0,0
Karns City HS,81,61,59,61,0,2
Kennard-Dale HS,160,96,87,102,6,9
Kennett HS,324,219,217,224,5,2
Kensington Creative & Performing Arts HS,86,22,22,24,2,0
Kensington Health Sciences,90,68,56,72,4,12
Kensington HS,70,35,31,37,2,4
Keystone Education Center CS,40,4,4,8,4,0
Keystone JSHS,71,40,39,44,4,1
Keystone Oaks HS,124,97,92,97,0,5
Keystone Oaks SD,3,0,0,0,0,0
King Martin Luther HS,78,40,34,47,7,6
KIPP DuBois CS,126,96,96,114,18,0
Kiski Area HS,289,161,152,168,7,9
Knoch HS,155,0,0,0,0,0
Kutztown Area SHS,98,69,69,69,0,0
La Academia Partnership CS,26,20,20,20,0,0
Lackawanna Trail JSHS,70,44,44,44,0,0
Lakeland JSHS,111,70,70,71,1,0
Lake-Lehman JSHS,131,101,101,104,3,0
Lakeview Middle-HS,67,19,19,19,0,0
Lampeter-Strasburg SD,10,0,0,0,0,0
Lampeter-Strasburg SHS,227,157,156,162,5,1
Lancaster SD,5,1,0,1,0,1
Lankenau HS,79,64,60,68,4,4
Laurel Highlands SHS,206,120,114,131,11,6
Laurel HS,90,62,62,64,2,0
Lawrence County CTC,102,31,30,38,7,1
Lebanon SD,2,0,0,0,0,0
Lebanon SHS,274,100,85,105,5,15
Leechburg Area HS,45,29,29,29,0,0
Leechburg Area SD,2,0,0,0,0,0
Lehigh Valley Academy Regional CS,93,80,80,81,1,0
Lehigh Valley Charter High School for the Arts,141,113,112,113,0,1
Lehighton Area HS,179,106,106,125,19,0
Lehighton Area SD,4,0,0,0,0,0
Lenape Tech,165,44,41,52,8,3
Lewisburg Area SD,6,0,0,0,0,0
Lewisburg HS,153,113,113,115,2,0
Liberty HS,608,408,397,413,5,11
Ligonier Valley HS,90,53,49,59,6,4
Ligonier Valley SD,2,0,0,0,0,0
Lincoln HS,334,222,181,240,18,41
Lincoln JSHS,91,55,55,59,4,0
Lincoln Leadership Academy CS,55,52,51,53,1,1
Lincoln Park Performing Arts CS,133,103,103,108,5,0
Line Mountain HS,79,38,35,42,4,3
Littlestown Area SD,4,0,0,0,0,0
Littlestown SHS,136,72,72,75,3,0
Louis E Dieruff HS,416,231,227,249,18,4
Lower Dauphin HS,263,2,2,2,0,0
Lower Dauphin SD,8,0,0,0,0,0
Lower Merion HS,407,339,338,345,6,1
Lower Merion SD,4,0,0,0,0,0
Lower Moreland HS,219,188,188,189,1,0
Loyalsock Twp SHS,101,62,62,66,4,0
Mahanoy Area JSHS,65,35,32,35,0,3
Manheim Central SD,9,0,0,0,0,0
Manheim Central SHS,213,126,126,130,4,0
Manheim Township SD,9,0,0,0,0,0
Manheim Twp HS,429,327,308,334,7,19
Mapletown JSHS,37,22,22,22,0,0
Maplewood JSHS,69,32,32,34,2,0
Mariana Bracetti Academy CS,106,67,67,78,11,0
Mariana Bracetti Academy CS,1,0,0,0,0,0
Marion Center Area JR/SR HS,91,59,50,60,1,9
Marion Center Area SD,3,0,0,0,0,0
Maritime Academy CS,69,41,40,45,4,1
Marple Newtown SD,3,0,0,0,0,0
Marple Newtown SHS,253,219,214,224,5,5
Mars Area SD,1,0,0,0,0,0
Mars Area SHS,251,221,221,221,0,0
MAST Community CS,107,94,94,97,3,0
MAST Community CS,1,0,0,0,0,0
MaST Community CS II,76,57,57,65,8,0
Mastbaum Jules E AVTS,83,33,24,40,7,9
Masterman Julia R Sec Sch,112,108,108,109,1,0
Mastery CHS-Lenfest Campus,88,63,61,69,6,2
Mastery CS - Thomas Campus,94,0,0,0,0,0
Mastery CS -Shoemaker Campus,131,0,0,0,0,0
Mastery CS-Gratz Campus,183,0,0,0,0,0
Mastery CS-Hardy Williams,95,59,59,69,10,0
Mastery CS-Pickett Campus,108,58,58,69,11,0
Math Civics and Sciences CS,73,73,73,73,0,0
McCaskey Campus,519,309,285,332,23,24
McConnellsburg HS,71,38,38,41,3,0
McDowell HS,512,335,327,346,11,8
McGuffey HS,123,68,56,69,1,12
McGuffey SD,4,0,0,0,0,0
McKeesport Area SHS,174,100,95,114,14,5
Meadville Area SHS,153,81,77,83,2,4
Mechanicsburg Area SD,4,0,0,0,0,0
Mechanicsburg Area SHS,314,214,206,218,4,8
Mercer Area SHS,80,46,46,51,5,0
Methacton HS,353,310,304,312,2,6
Methacton SD,2,1,0,1,0,1
Meyersdale Area HS,65,26,25,28,2,1
Mid Valley SD,2,0,0,0,0,0
Mid Valley Secondary Center,106,74,71,74,0,3
Middletown Area HS,150,68,46,74,6,22
Midd-West HS,128,34,34,37,3,0
Midd-West SD,3,0,0,0,0,0
Midland Innovation & Technology CS,8,1,1,3,2,0
Mifflin Co HS,346,142,121,153,11,21
Mifflin County SD,1,0,0,0,0,0
Mifflinburg Area SHS,157,67,64,69,2,3
Millcreek Township SD,1,0,0,0,0,0
Millersburg Area SHS,45,32,32,32,0,0
Millville Area JSHS,41,27,26,32,5,1
Millville Area SD,1,0,0,0,0,0
Milton Area SD,1,0,0,0,0,0
Milton HS,170,67,65,70,3,2
Minersville Area JSHS,74,37,36,38,1,1
Minersville Area SD,1,0,0,0,0,0
Mohawk SHS,94,57,52,65,8,5
Monessen City SD,1,0,0,0,0,0
Monessen SHS,49,0,0,0,0,0
Moniteau JSHS,85,41,38,44,3,3
Moniteau SD,2,0,0,0,0,0
Montgomery JSHS,59,30,25,30,0,5
Montour HS,232,184,181,195,11,3
Montoursville Area SD,2,0,0,0,0,0
Montoursville Area SHS,142,95,95,100,5,0
Montrose Area JSHS,93,56,52,57,1,4
Moon SHS,271,217,211,217,0,6
Morrisville Borough SD,2,0,0,0,0,0
Morrisville HS,47,5,5,5,0,0
Moshannon Valley JSHS,68,27,24,30,3,3
Moshannon Valley SD,1,0,0,0,0,0
Motivation HS,73,54,47,56,2,7
Mount Carmel Area HS,122,63,62,71,8,1
Mount Pleasant Area HS,128,71,71,75,4,0
Mount Pleasant Area SD,2,0,0,0,0,0
Mount Union Area SHS,89,39,39,43,4,0
Mountain View JSHS,65,35,35,37,2,0
Mt Lebanon SHS,491,450,450,454,4,0
Muhlenberg HS,343,206,206,206,0,0
Multicultural Academy CS,53,46,46,50,4,0
Muncy JSHS,64,42,40,43,1,2
Muncy SD,1,0,0,0,0,0
Nazareth Area HS,362,305,301,306,1,4
Neshaminy HS,699,444,428,456,12,16
Neshaminy SD,37,0,0,1,1,0
Neshannock JSHS,108,87,85,90,3,2
New Brighton Area HS,96,43,41,44,1,2
New Castle Area SD,6,0,0,0,0,0
New Castle SHS,163,61,60,61,0,1
New Day CS,20,0,0,0,0,0
New Foundations CS,189,144,138,151,7,6
New Hope-Solebury HS,111,100,100,100,0,0
New Hope-Solebury SD,1,1,1,1,0,0
New Oxford SHS,273,137,134,148,11,3
Newport HS,67,40,40,42,2,0
Newport SD,3,0,0,0,0,0
Norristown Area HS,455,2,2,2,0,0
Norristown Area SD,8,0,0,0,0,0
North Allegheny HS,648,582,582,582,0,0
North Allegheny SD,11,0,0,1,1,0
North Clarion Co JSHS,42,31,30,31,0,1
North East HS,100,59,57,60,1,2
North East SD,3,0,0,0,0,0
North Hills SHS,309,225,225,234,9,0
North Penn SD,21,1,1,1,0,0
North Penn SHS,1022,806,803,812,6,3
North Penn-Liberty JSHS,49,23,23,31,8,0
North Penn-Mansfield JSHS,76,34,34,34,0,0
North Pocono HS,203,135,135,135,0,0
North Pocono SD,6,0,0,0,0,0
North Schuylkill JSHS,166,88,88,91,3,0
North Star HS,76,35,32,39,4,3
Northampton Area HS,450,300,299,326,26,1
Northampton Area SD,1,0,0,0,0,0
Northeast Bradford JSHS,50,1,1,1,0,0
Northeast HS,625,466,441,479,13,25
Northeastern SHS,255,155,147,159,4,8
Northern Bedford County HS,58,29,29,29,0,0
Northern Cambria HS,88,47,46,47,0,1
Northern Cambria SD,2,0,0,0,0,0
Northern HS,255,178,169,188,10,9
Northern Lebanon SD,6,0,0,0,0,0
Northern Lebanon SHS,183,90,81,90,0,9
Northern Lehigh SD,2,0,0,0,0,0
Northern Lehigh SHS,115,69,65,70,1,4
Northern Potter JSHS,34,16,16,16,0,0
Northgate MSHS,71,38,38,45,7,0
Northgate SD,1,0,0,0,0,0
Northwest Area HS,58,34,34,37,3,0
Northwest Area SD,2,0,0,0,0,0
Northwest PA Collegiate Academy,161,139,139,142,3,0
Northwestern Lehigh HS,174,120,117,121,1,3
Northwestern Lehigh SD,3,0,0,0,0,0
Northwestern SHS,79,47,41,50,3,6
Norwin SD,5,0,0,0,0,0
Norwin SHS,343,274,271,278,4,3
Octorara Area JSHS,175,116,97,118,2,19
Octorara Area SD,2,0,0,0,0,0
Oil City Area SD,8,0,0,0,0,0
Oil City SHS,125,53,53,55,2,0
Old Forge JSHS,73,62,62,62,0,0
Old Forge SD,1,0,0,0,0,0
Oley Valley SD,6,1,1,1,0,0
Oley Valley SHS,132,82,82,85,3,0
Olney HS,250,8,2,8,0,6
Oswayo Valley HS,28,14,14,18,4,0
Otto-Eldred JSHS,49,25,25,25,0,0
Overbrook HS,78,46,43,50,4,3
Owen J Roberts HS,405,332,325,332,0,7
Owen J Roberts SD,13,0,0,2,2,0
Oxford Area HS,306,197,183,199,2,14
Oxford Area SD,9,1,1,1,0,0
Palisades HS,116,76,76,76,0,0
Palisades SD,3,0,0,0,0,0
Palmerton Area HS,98,69,68,69,0,1
Palmerton Area SD,2,0,0,0,0,0
Palmyra Area SD,3,0,0,0,0,0
