name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
21st Century Cyber CS,156,66,66,73,7,0
Abington Heights HS,255,222,220,224,2,2
Abington Heights SD,1,0,0,0,0,0
Abington SHS,562,481,479,481,0,2
Academy at Palumbo,212,185,182,188,3,3
Academy at Westinghouse,75,5,5,7,2,0
Academy CS,15,7,7,10,3,0
Academy Park HS,285,165,165,178,13,0
Achievement House CS,93,35,35,44,9,0
ACT Academy Cyber CS,12,0,0,0,0,0
Agora Cyber CS,752,345,329,398,53,16
Agora Cyber CS,1,0,0,0,0,0
Albert Gallatin Area SD,1,0,0,0,0,0
Albert Gallatin Area SHS,244,147,126,152,5,21
Aliquippa JSHS,57,33,24,34,1,9
Allegheny Valley SD,1,0,0,0,0,0
Allegheny-Clarion Valley HS,56,35,27,37,2,8
Allegheny-Clarion Valley SD,18,0,0,0,0,0
Allentown City SD,129,46,45,59,13,1
Altoona Area HS,533,302,294,336,34,8
Ambridge Area HS,164,114,102,123,9,12
Ambridge Area SD,6,0,0,0,0,0
Annville Cleona HS,117,77,77,83,6,0
Annville-Cleona SD,1,0,0,0,0,0
Antietam MS/HS,81,65,65,66,1,0
Antietam SD,3,0,0,0,0,0
Apollo-Ridge HS,67,39,38,41,2,1
Apollo-Ridge SD,4,0,0,0,0,0
Armstrong JSHS,220,0,0,0,0,0
Armstrong SD,2,0,0,0,0,0
Arts Academy at Benjamin Rush,146,137,130,140,3,7
ASPIRA Bilingual Cyber Charter School,45,27,27,35,8,0
Athens Area HS,151,80,77,82,2,3
Austin Area JSHS,12,5,5,5,0,0
Avella Area JSHS,35,21,19,21,0,2
Avon Grove CS,70,58,54,58,0,4
Avon Grove HS,429,384,375,386,2,9
Avon Grove SD,8,1,1,1,0,0
Avonworth HS,98,86,86,86,0,0
Avonworth SD,1,0,0,0,0,0
Bald Eagle Area JSHS,144,73,68,79,6,5
Baldwin SHS,329,272,268,282,10,4
Baldwin-Whitehall SD,2,0,0,0,0,0
Bangor Area HS,213,144,144,144,0,0
Bartram John - Main,138,72,64,80,8,8
Beaver Area SHS,169,136,131,138,2,5
Beaver Falls Area SHS,81,40,39,45,5,1
Bedford Area SD,1,0,0,0,0,0
Bedford SHS,146,74,73,80,6,1
Belle Vernon Area HS,183,142,135,148,6,7
Bellefonte Area HS,198,130,127,134,4,3
Bellwood-Antis HS,85,58,58,58,0,0
Bellwood-Antis SD,2,0,0,0,0,0
Bensalem Township SD,20,0,0,0,0,0
Bensalem Twp HS,396,320,318,326,6,2
Benton Area MSHS,41,19,19,19,0,0
Bentworth SD,1,0,0,0,0,0
Bentworth SHS,80,60,54,60,0,6
Berlin Brothersvalley SHS,69,35,35,46,11,0
Bermudian Springs HS,147,99,99,105,6,0
Bermudian Springs SD,3,0,0,0,0,0
Berwick Area HS,157,114,110,116,2,4
Berwick Area SD,6,3,3,3,0,0
Bethel Park HS,416,338,338,338,0,0
Bethel Park SD,5,0,0,0,0,0
Bethlehem Area SD,10,4,4,4,0,0
Bethlehem-Center SHS,73,41,37,41,0,4
Big Spring HS,217,118,113,122,4,5
Big Spring SD,2,0,0,0,0,0
Biglerville HS,114,74,69,75,1,5
Blackhawk HS,207,177,170,181,4,7
Blackhawk SD,3,0,0,0,0,0
Blacklick Valley JSHS,47,28,28,30,2,0
Blairsville SHS,67,39,39,39,0,0
Blairsville-Saltsburg SD,3,0,0,0,0,0
Bloomsburg Area HS,113,77,77,78,1,0
Bloomsburg Area SD,6,0,0,0,0,0
Blue Mountain HS,205,145,132,147,2,13
Blue Ridge HS,66,46,42,46,0,4
Bodine William W HS,103,82,82,85,3,0
Boiling Springs HS,154,110,107,110,0,3
Boyertown Area SD,19,3,2,4,1,1
Boyertown Area SHS,522,385,376,389,4,9
Boys Latin of Philadelphia CS,87,75,74,77,2,1
Bradford Area HS,169,99,97,104,5,2
Bradford Area SD,5,0,0,4,4,0
Brandywine Heights Area SD,1,0,0,0,0,0
Brandywine Heights HS,113,75,72,75,0,3
Brentwood SHS,109,94,87,96,2,7
Bristol Borough SD,6,1,1,1,0,0
Bristol HS,64,48,48,53,5,0
Bristol Township SD,26,0,0,0,0,0
Brockway Area JSHS,63,42,35,42,0,7
Brookville JSHS,82,51,50,54,3,1
Brownsville Area HS,111,51,43,52,1,8
Bucks County Technical High School,298,214,214,245,31,0
Bucktail HS,20,15,12,15,0,3
Building 21,66,41,35,41,0,6
Burgettstown Area SD,3,0,0,0,0,0
Burgettstown MS/HS,103,70,70,70,0,0
Burrell HS,125,98,95,98,0,3
Burrell SD,1,0,0,0,0,0
Butler Area SD,28,3,3,4,1,0
Butler Area SHS,518,402,386,435,33,16
California Area SHS,87,63,61,68,5,2
Cambria Heights SD,2,0,0,0,0,0
Cambria Heights SHS,115,68,68,76,8,0
Cambridge Springs JSHS,64,36,35,43,7,1
Cameron County JSHS,51,26,21,31,5,5
Cameron County SD,1,0,0,0,0,0
Camp Hill SHS,97,88,88,90,2,0
Canon-McMillan SD,6,0,0,0,0,0
Canon-McMillan SHS,386,314,306,315,1,8
Canton JSHS,69,40,40,40,0,0
Capital Area School for the Arts Charter,51,39,39,39,0,0
Carbon Career & Technical Institute,93,34,32,34,0,2
Carbondale Area JSHS,112,75,75,75,0,0
Carlisle Area HS,378,263,259,266,3,4
Carlisle Area SD,12,0,0,0,0,0
Carlynton JSHS,104,72,65,75,3,7
Carmichaels Area HS,68,44,40,44,0,4
Carver HS,150,141,140,142,1,1
Catasauqua Area SD,4,1,1,1,0,0
Catasauqua SHS,123,78,75,79,1,3
Cedar Cliff HS,267,196,196,197,1,0
Cedar Crest HS,318,222,215,240,18,7
Centennial SD,17,5,5,5,0,0
Center for Student Lrng CS Pennsbury,26,14,14,16,2,0
Central Bucks HS-East,504,472,472,472,0,0
Central Bucks HS-South,549,511,509,512,1,2
Central Bucks HS-West,477,434,434,434,0,0
Central Bucks SD,17,1,1,1,0,0
Central Cambria HS,137,99,98,106,7,1
Central Cambria SD,1,0,0,0,0,0
Central Columbia SHS,126,108,108,109,1,0
Central Dauphin East SHS,325,170,170,170,0,0
Central Dauphin SD,8,0,0,0,0,0
Central Dauphin SHS,386,323,323,324,1,0
Central HS,138,88,84,92,4,4
Central HS,548,408,406,409,1,2
Central Mountain HS,281,139,135,139,0,4
Central PA Digital Lrng Foundation CS,16,4,3,4,0,1
Central Valley HS,160,113,112,113,0,1
Central York HS,458,351,336,358,7,15
Central York SD,2,0,0,0,0,0
Chambersburg Area Career Magnet Sch,178,79,78,81,2,1
Chambersburg Area SD,10,0,0,0,0,0
Chambersburg Area SHS,490,226,217,239,13,9
Charleroi Area HS,98,64,61,64,0,3
Charleroi SD,1,1,1,1,0,0
Charter High School for Architecture and,116,107,107,107,0,0
Chartiers Valley HS,267,215,215,215,0,0
Chartiers Valley SD,1,0,0,1,1,0
Chartiers-Houston JSHS,96,76,70,77,1,6
Chartiers-Houston SD,3,0,0,0,0,0
Cheltenham HS,331,270,267,280,10,3
Cheltenham SD,2,0,0,0,0,0
Chester HS,189,96,96,96,0,0
Chester-Upland SD,15,1,1,1,0,0
Chestnut Ridge SD,1,0,0,0,0,0
Chestnut Ridge SHS,114,66,60,78,12,6
Chichester SD,5,0,0,0,0,0
Chichester SHS,185,126,122,136,10,4
City CHS,132,95,91,98,3,4
Clairton City SD,1,0,0,0,0,0
Clairton MS/HS,51,34,28,34,0,6
Clarion Area JSHS,66,46,46,49,3,0
Clarion-Limestone Area JSHS,57,32,31,35,3,1
Clarion-Limestone Area SD,1,0,0,0,0,0
Claysburg-Kimmel HS,53,0,0,0,0,0
Clearfield Area JSHS,167,101,95,103,2,6
Coatesville Area SD,12,0,0,0,0,0
Coatesville Area SD Cyber Academy,38,10,8,11,1,2
Coatesville Area SHS,420,310,281,324,14,29
Cocalico SD,3,0,0,0,0,0
Cocalico SHS,264,182,166,183,1,16
Cochranton JSHS,81,35,32,36,1,3
Collegium CS,74,63,63,66,3,0
Colonial SD,9,0,0,0,0,0
Columbia Borough SD,6,0,0,0,0,0
Columbia HS,84,49,42,49,0,7
Columbia-Montour AVTS,148,51,51,54,3,0
Commodore Perry JSHS,44,28,24,28,0,4
Commonwealth Charter Academy CS,1027,486,480,559,73,6
Community Academy of Philadelphia CS,133,98,98,104,6,0
Conemaugh Twp Area MS/SHS,73,55,51,56,1,4
Conemaugh Valley JSHS,73,41,41,41,0,0
Conestoga SHS,536,522,522,522,0,0
Conestoga Valley SD,20,3,3,3,0,0
Conestoga Valley SHS,300,193,190,193,0,3
Conneaut Area Senior High,171,74,71,88,14,3
Connellsville Area Career & Technical Ce,106,39,39,39,0,0
Connellsville Area SD,1,0,0,0,0,0
Connellsville Area SHS,208,130,130,137,7,0
Conrad Weiser Area SD,2,1,0,1,0,1
Conrad Weiser HS,242,174,165,181,7,9
Constitution HS,89,79,78,80,1,1
Cornell HS,44,35,35,40,5,0
Corry Area HS,147,76,67,76,0,9
Corry Area SD,1,0,0,0,0,0
Coudersport Area JSHS,61,41,41,41,0,0
Coudersport Area SD,1,0,0,0,0,0
Cougar Academy,13,5,5,6,1,0
Council Rock HS North,421,380,380,381,1,0
Council Rock HS South,522,473,470,480,7,3
Cowanesque Valley JSHS,50,26,26,26,0,0
Cranberry Area JSHS,89,48,48,57,9,0
Creative and Performing Arts,138,112,112,113,1,0
Crestwood HS,220,185,182,185,0,3
Crestwood SD,3,0,0,0,0,0
Crispus Attucks CS,53,1,1,1,0,0
Cumberland Valley HS,621,507,505,514,7,2
Cumberland Valley SD,7,0,0,0,0,0
Curwensville Area JSHS,89,61,56,61,0,5
Dallas SD,1,0,0,0,0,0
Dallas SHS,207,183,183,185,2,0
Dallastown Area SD,11,5,5,6,1,0
Dallastown Area SHS,453,339,339,361,22,0
Daniel Boone Area HS,287,219,219,224,5,0
Daniel Boone Area SD,5,0,0,0,0,0
Danville Area SHS,153,109,108,116,7,1
Dauphin County Technical School,232,124,111,127,3,13
Deer Lakes HS,160,122,122,138,16,0
Deer Lakes SD,4,1,1,1,0,0
Delaware Valley HS,393,280,280,289,9,0
Derry Area SD,6,0,0,0,0,0
Derry Area SHS,151,110,101,111,1,9
Dobbins AVT HS,83,51,48,54,3,3
Donegal HS,208,135,119,135,0,16
Donegal SD,9,0,0,0,0,0
Dover Area HS,227,142,138,148,6,4
