name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
Dover Area SD,10,0,0,0,0,0
Downingtown Area SD,12,2,2,2,0,0
Downingtown HS East Campus,452,410,408,415,5,2
Downingtown HS West Campus,358,304,299,307,3,5
Downingtown STEM Academy,194,194,194,194,0,0
Dr Robert Ketterer CS Inc.,31,16,16,18,2,0
Dubois Area SD,5,0,0,0,0,0
Dubois Area SHS,250,147,146,158,11,1
Dunmore JSHS,116,102,101,107,5,1
East Allegheny JSHS,103,79,77,79,0,2
East Allegheny SD,1,0,0,0,0,0
East Forest JSHS,12,7,7,8,1,0
East Juniata JSHS,79,46,39,47,1,7
East Pennsboro Area SHS,189,132,130,133,1,2
East Stroudsburg Area SD,5,0,0,0,0,0
East Stroudsburg SHS North,251,160,160,164,4,0
East Stroudsburg SHS South,326,244,152,261,17,92
Eastern Lancaster County SD,4,0,0,0,0,0
Eastern Lebanon Co SHS,174,102,102,109,7,0
Eastern Lebanon County SD,2,0,0,0,0,0
Eastern University Academy Charter School,55,52,52,52,0,0
Eastern York HS,158,92,88,101,9,4
Eastern York SD,6,0,0,0,0,0
Easton Area HS,613,487,484,503,16,3
Edison HS/Fareira Skills,160,83,71,86,3,12
Eisenhower M/HS,70,41,39,45,4,2
Elizabeth Forward SHS,195,146,137,147,1,9
Elizabethtown Area SHS,301,207,206,218,11,1
Elk Lake JSHS,96,55,54,55,0,1
Elmer L Meyers JSHS,167,130,124,133,3,6
Emmaus HS,649,521,516,527,6,5
Ephrata Area SD,1,0,0,0,0,0
Ephrata SHS,293,184,164,189,5,20
Erie City SD,9,0,0,0,0,0
Erie HS,464,135,119,147,12,16
Esperanza Academy Charter School,157,102,102,111,9,0
Esperanza Cyber CS,22,13,13,17,4,0
Everett Area HS,98,53,53,55,2,0
Evergreen Community CS,11,10,10,10,0,0
Exeter Township SD,6,2,2,2,0,0
Exeter Twp SHS,327,233,231,241,8,2
Fairfield Area HS,89,73,73,75,2,0
Fairfield Area SD,1,0,0,0,0,0
Fairview HS,123,102,102,108,6,0
Fairview SD,2,0,0,0,0,0
Fannett-Metal SHS,38,14,14,17,3,0
Farrell Area HS/UMS,46,31,21,32,1,10
Fels Samuel HS,181,109,98,114,5,11
Ferndale Area JSHS,54,37,35,39,2,2
First Philadelphia Preparatory Charter S,45,36,34,37,1,2
Fleetwood SHS,193,129,121,130,1,8
Forbes Road JSHS,24,12,12,12,0,0
Forest Area SD,10,0,0,0,0,0
Forest City Regional HS,52,30,30,32,2,0
Forest City Regional SD,1,0,0,0,0,0
Forest Hills JSHS,145,91,81,102,11,10
Fort Cherry JSHS,78,53,50,55,2,3
Fort LeBoeuf SD,3,0,0,0,0,0
Fort LeBoeuf SHS,170,98,94,112,14,4
Fox Chapel Area HS,346,303,302,305,2,1
Fox Chapel Area SD,1,1,1,1,0,0
Frankford HS,222,111,94,114,3,17
Franklin Area JSHS,136,81,80,87,6,1
Franklin Area SD,10,0,0,0,0,0
Franklin Benjamin HS,82,31,25,31,0,6
Franklin LC,160,126,120,129,3,6
Franklin Regional SHS,306,278,278,280,2,0
Franklin Towne CHS,253,198,198,210,12,0
Frazier HS,75,41,34,41,0,7
Freedom Area SHS,110,61,51,69,8,10
Freedom HS,435,344,340,349,5,4
Freeport Area SHS,160,133,126,134,1,7
Freire CS,95,91,90,93,2,1
Furness Horace HS,149,98,92,101,3,6
G A R Memorial JSHS,126,70,70,72,2,0
Galeton Area Sch,14,6,5,8,2,1
Gamp,59,51,51,52,1,0
Garden Spot SHS,251,116,101,126,10,15
Garnet Valley HS,416,380,380,384,4,0
Garnet Valley SD,3,1,1,1,0,0
Gateway SD,7,0,0,0,0,0
Gateway SHS,269,222,216,226,4,6
General McLane HS,172,117,115,120,3,2
General McLane SD,1,0,0,0,0,0
George Jr Republic HS,29,12,9,13,1,3
Gettysburg Area HS,263,201,186,205,4,15
Gettysburg Area SD,5,0,0,0,0,0
Gillingham Charter School,11,5,5,5,0,0
Girard HS,128,78,69,80,2,9
Girard SD,1,0,0,0,0,0
Girls HS,232,202,199,202,0,3
Glendale JSHS,52,26,25,26,0,1
Governor Mifflin SHS,327,230,225,236,6,5
Great Valley HS,312,289,289,289,0,0
Great Valley SD,18,0,0,0,0,0
Greater Johnstown School District's Cybe,8,1,0,1,0,1
Greater Johnstown SD,12,0,0,0,0,0
Greater Johnstown SHS,181,126,102,126,0,24
Greater Latrobe SD,3,0,0,0,0,0
Greater Latrobe SHS,309,232,226,242,10,6
Greater Nanticoke Area SD,12,0,0,0,0,0
Greater Nanticoke Area SHS,160,103,103,106,3,0
Greencastle-Antrim SHS,211,147,140,153,6,7
Greensburg Salem SD,1,0,0,0,0,0
Greensburg-Salem HS,166,163,136,163,0,27
Greenville JSHS,119,88,85,99,11,3
Greenwood HS,50,37,37,39,2,0
Grove City Area HS,153,117,114,118,1,3
Halifax Area HS,73,52,44,52,0,8
Hamburg Area HS,169,102,92,102,0,10
Hamburg Area SD,1,0,0,0,0,0
Hampton HS,263,243,242,244,1,1
Hampton Township SD,1,0,0,0,0,0
Hanover Area JSHS,140,108,108,108,0,0
Hanover Area SD,7,1,1,1,0,0
Hanover Public SD,10,1,1,1,0,0
Hanover SHS,111,56,56,58,2,0
Harbor Creek SD,3,0,0,0,0,0
Harbor Creek Senior HS,181,112,111,115,3,1
Harmony Area JSHS,23,10,9,13,3,1
Harmony Area SD,1,0,0,0,0,0
Harrisburg City SD,41,0,0,0,0,0
Harrisburg HS,157,88,86,90,2,2
Harrisburg HS - SciTech Cmp,74,70,70,70,0,0
Harriton SHS,287,269,269,272,3,0
Hatboro-Horsham SD,4,1,1,1,0,0
Hatboro-Horsham SHS,373,331,330,332,1,1
Haverford SHS,415,369,367,374,5,2
Haverford Township SD,7,2,2,2,0,0
Hazleton Area HS,748,481,472,491,10,9
Hempfield  SD,7,0,0,0,0,0
Hempfield Area SD,4,0,0,0,0,0
Hempfield Area SHS,437,352,345,358,6,7
Hempfield SHS,513,381,368,389,8,13
Hershey HS,276,259,259,259,0,0
Hickory HS,159,128,125,128,0,3
Highlands SD,2,0,0,0,0,0
Highlands SHS,159,101,100,107,6,1
Hill Freedman World Academy,69,48,47,49,1,1
Hill House Passport Academy Charter School,83,0,0,0,0,0
Hollidaysburg Area SD,1,0,0,0,0,0
Hollidaysburg Area SHS,263,172,168,178,6,4
Homer-Center JSHS,71,53,53,53,0,0
Honesdale HS,189,135,135,140,5,0
HOPE for Hyndman CS,34,15,14,16,1,1
Hopewell SHS,153,112,108,117,5,4
Hughesville JSHS,118,68,67,70,2,1
Huntingdon Area SD,2,0,0,0,0,0
Huntingdon Area SHS,151,104,91,105,1,13
I-LEAD Charter School,71,32,32,39,7,0
Imhotep Institute CHS,125,104,104,106,2,0
Indiana Area SD,3,0,0,0,0,0
Indiana Area SHS,188,142,136,145,3,6
Innovative Arts Academy CS,43,22,22,22,0,0
Interboro SD,1,0,0,0,0,0
Interboro SHS,243,185,177,187,2,8
Iroquois JSHS,88,42,40,44,2,2
Iroquois SD,1,0,0,0,0,0
James Buchanan HS,151,90,90,90,0,0
James M Coughlin JSHS,193,145,142,145,0,3
Jamestown Area JSHS,27,17,17,22,5,0
Jeannette City SD,3,0,0,0,0,0
Jeannette HS,52,38,33,39,1,5
Jefferson County-DuBois AVTS,72,15,12,15,0,3
Jefferson-Morgan MS/HS,48,30,27,32,2,3
Jenkintown Middle/High School,38,38,38,38,0,0
Jersey Shore Area SHS,160,106,101,106,0,5
Jim Thorpe Area HS,122,90,88,95,5,2
Jim Thorpe Area SD,3,0,0,0,0,0
Johnsonburg Area HS,31,22,21,23,1,1
Juniata SHS,122,66,57,68,2,9
Juniata Valley JSHS,51,35,33,42,7,2
Kane Area HS,78,51,51,51,0,0
Karns City Area SD,1,0,0,0,0,0
Karns City HS,135,78,75,84,6,3
Kennard-Dale HS,165,117,108,118,1,9
Kennett Consolidated SD,4,1,1,1,0,0
Kennett HS,330,274,273,287,13,1
Kensington Creative & Performing Arts HS,99,57,54,60,3,3
Kensington Health Sciences,74,51,47,53,2,4
Kensington HS,90,17,13,20,3,4
Keystone  SD,2,0,0,0,0,0
Keystone Education Center CS,46,0,0,6,6,0
Keystone JSHS,69,49,40,52,3,9
Keystone Oaks HS,139,109,100,109,0,9
Keystone Oaks SD,5,0,0,0,0,0
Kimmel Alternative School,3,0,0,0,0,0
King Martin Luther HS,89,38,34,43,5,4
KIPP DuBois Charter School,112,97,97,104,7,0
Kiski Area HS,291,200,194,207,7,6
Knoch HS,208,145,145,158,13,0
Kutztown Area SHS,113,77,77,87,10,0
La Academia Partnership Charter School,30,19,19,19,0,0
Lackawanna Trail JSHS,82,50,50,56,6,0
Lackawanna Trail SD,1,0,0,0,0,0
Lakeland JSHS,106,69,69,73,4,0
Lake-Lehman JSHS,117,89,89,90,1,0
Lakeview HS,103,64,64,65,1,0
Lampeter-Strasburg SD,2,2,2,2,0,0
Lampeter-Strasburg SHS,257,189,184,191,2,5
Lancaster SD,13,2,1,2,0,1
Lankenau HS,68,45,44,46,1,1
Laurel Highlands SD,5,0,0,0,0,0
Laurel Highlands SHS,210,143,143,152,9,0
Laurel JSHS,93,67,66,72,5,1
Lawrence County CTC,134,52,52,58,6,0
Lebanon SD,12,1,1,1,0,0
Lebanon SHS,218,101,99,105,4,2
Leechburg Area HS,55,34,34,38,4,0
Lehigh Valley Academy Regional CS,71,68,67,68,0,1
Lehigh Valley Charter High School for th,149,128,128,131,3,0
Lehighton Area HS,163,109,108,120,11,1
Lenape Tech,166,71,64,83,12,7
Lewisburg HS,172,146,146,146,0,0
Liberty HS,632,478,465,487,9,13
Ligonier Valley HS,129,97,96,106,9,1
Lincoln HS,252,181,167,183,2,14
Lincoln JSHS,121,83,83,90,7,0
Lincoln Leadership Academy Charter School,61,57,57,58,1,0
Lincoln Park Performing Arts CS,129,108,108,111,3,0
Line Mountain HS,90,52,48,58,6,4
Line Mountain SD,3,0,0,0,0,0
Littlestown Area SD,6,0,0,0,0,0
Littlestown SHS,155,105,92,107,2,13
Louis E Dieruff HS,436,281,272,294,13,9
Lower Dauphin HS,306,196,196,199,3,0
Lower Dauphin SD,4,0,0,0,0,0
Lower Merion HS,357,333,333,337,4,0
Lower Merion SD,9,0,0,0,0,0
Lower Moreland HS,186,178,178,178,0,0
Loyalsock Twp SHS,110,80,80,83,3,0
Mahanoy Area JSHS,82,56,56,61,5,0
Mahanoy Area SD,1,0,0,0,0,0
Manheim Central SD,8,0,0,0,0,0
Manheim Central SHS,233,8,8,9,1,0
Manheim Township SD,1,0,0,0,0,0
Manheim Twp HS,446,356,345,361,5,11
Mapletown JSHS,47,22,20,25,3,2
Maplewood JSHS,90,42,39,49,7,3
Mariana Bracetti Academy CS,111,81,81,81,0,0
Marion Center Area JR/SR HS,106,64,62,71,7,2
Maritime Academy CS,63,40,40,42,2,0
Marple Newtown SD,5,0,0,0,0,0
Marple Newtown SHS,254,225,225,236,11,0
Mars Area SD,6,0,0,0,0,0
Mars Area SHS,278,241,241,245,4,0
MAST Community Charter School,102,89,87,90,1,2
Mastbaum Jules E AVTS,88,55,44,57,2,11
Masterman Julia R Sec Sch,106,104,104,104,0,0
Mastery CHS - Lenfest Campus,66,52,52,56,4,0
Mastery CS - Hardy Williams,60,41,41,45,4,0
Mastery CS - Thomas Campus,92,73,73,73,0,0
Mastery CS -Shoemaker Campus,116,102,100,107,5,2
Mastery CS-Gratz Campus,234,152,152,177,25,0
Mastery CS-Pickett Campus,94,62,62,66,4,0
Math Civics and Sciences CS,75,73,70,73,0,3
McCaskey Campus,564,428,377,438,10,51
McConnellsburg HS,69,35,31,35,0,4
McDowell HS,528,368,365,375,7,3
McGuffey HS,116,68,57,68,0,11
McGuffey SD,2,0,0,0,0,0
McKeesport Area SHS,238,132,132,147,15,0
Meadville Area SHS,233,135,128,138,3,7
Mechanicsburg Area SD,3,0,0,0,0,0
Mechanicsburg Area SHS,266,206,205,206,0,1
Mercer Area SHS,108,70,67,72,2,3
Methacton HS,395,357,357,360,3,0
Methacton SD,1,1,1,1,0,0
Meyersdale Area HS,64,39,37,39,0,2
Meyersdale Area SD,1,0,0,0,0,0
Mid Valley Secondary Center,110,75,74,80,5,1
Middletown Area HS,157,116,114,116,0,2
Middletown Area SD,3,0,0,0,0,0
Midd-West HS,175,68,67,69,1,1
Midd-West SD,2,0,0,0,0,0
Mifflin Co HS,420,206,193,213,7,13
Mifflin County SD,1,0,0,0,0,0
Mifflinburg Area SHS,157,80,78,82,2,2
Millcreek Township SD,3,0,0,0,0,0
Millersburg Area SHS,63,47,45,48,1,2
Millville Area JSHS,45,33,33,33,0,0
Millville Area SD,3,0,0,0,0,0
Milton Area SD,3,0,0,0,0,0
Milton HS,151,79,79,80,1,0
Minersville Area JSHS,66,46,43,48,2,3
Mohawk SHS,115,88,84,92,4,4
Monessen City SD,2,0,0,0,0,0
Monessen SHS,48,26,22,27,1,4
Moniteau JSHS,96,50,43,50,0,7
Moniteau SD,2,0,0,0,0,0
Montgomery JSHS,49,30,25,32,2,5
Montour HS,258,215,212,218,3,3
Montour SD,5,1,1,1,0,0
Montoursville Area SHS,161,120,120,121,1,0
Montrose Area JSHS,127,82,74,83,1,8
Moon Area SD,8,1,0,1,0,1
Moon SHS,274,253,242,254,1,11
Morrisville Borough SD,1,0,0,0,0,0
Morrisville HS,54,43,43,46,3,0
Moshannon Valley JSHS,75,49,43,51,2,6
Motivation HS,81,57,53,57,0,4
Mount Carmel Area HS,99,70,69,71,1,1
Mount Carmel Area SD,1,0,0,0,0,0
Mount Pleasant Area HS,160,0,0,0,0,0
Mount Union Area SHS,115,52,47,60,8,5
Mountain View JSHS,67,42,42,48,6,0
Mt Lebanon SD,2,1,1,1,0,0
Mt Lebanon SHS,437,422,422,423,1,0
Muhlenberg HS,265,179,173,179,0,6
Multicultural Academy CS,55,52,51,52,0,1
Muncy JSHS,66,53,53,53,0,0
Muncy SD,4,0,0,0,0,0
Nazareth Area HS,372,333,329,335,2,4
Neshaminy HS,626,560,559,574,14,1
Neshaminy SD,10,1,1,1,0,0
Neshannock JSHS,101,94,94,95,1,0
Neshannock Township SD,1,0,0,1,1,0
New Brighton Area HS,105,59,56,60,1,3
New Brighton Area SD,1,0,0,1,1,0
New Castle Area SD,22,3,2,3,0,1
New Castle SHS,160,115,109,117,2,6
New Day Charter School,25,0,0,1,1,0
New Foundations CS,190,178,178,180,2,0
New Hope-Solebury HS,128,123,123,123,0,0
New Hope-Solebury SD,3,0,0,0,0,0
New Oxford SHS,267,176,167,186,10,9
Newport HS,69,51,50,51,0,1
Norristown Area HS,292,221,217,221,0,4
Norristown Area SD,11,0,0,0,0,0
North Allegheny HS,641,575,570,576,1,5
North Clarion Co JSHS,46,28,28,28,0,0
North East HS,116,64,63,65,1,1
North Hills SHS,348,277,271,297,20,6
North Penn SD,4,0,0,0,0,0
North Penn SHS,974,830,829,841,11,1
North Penn-Liberty JSHS,45,27,27,28,1,0
North Penn-Mansfield JSHS,85,45,45,48,3,0
North Pocono HS,212,164,164,165,1,0
North Pocono SD,2,0,0,0,0,0
North Schuylkill JSHS,123,69,69,70,1,0
North Star HS,93,49,48,51,2,1
Northampton Area HS,418,329,325,333,4,4
Northeast Bradford JSHS,75,37,34,41,4,3
Northeast HS,679,461,448,477,16,13
Northeastern SHS,219,159,158,165,6,1
Northeastern York SD,3,0,0,0,0,0
Northern Bedford Co MS/SHS,79,35,33,36,1,2
Northern Cambria HS,83,58,58,59,1,0
Northern HS,247,149,144,149,0,5
Northern Lebanon SD,5,0,0,0,0,0
Northern Lebanon SHS,185,110,96,110,0,14
Northern Lehigh SD,1,0,0,0,0,0
Northern Lehigh SHS,127,91,88,92,1,3
Northern Potter JSHS,36,19,19,19,0,0
Northern York County SD,4,0,0,0,0,0
Northgate MSHS,61,44,44,47,3,0
Northwest Area HS,74,51,51,56,5,0
Northwest PA Collegiate Academy,201,190,190,193,3,0
Northwestern Lehigh HS,192,154,152,156,2,2
Northwestern Lehigh SD,5,2,2,2,0,0
Northwestern SHS,111,50,43,52,2,7
Norwin SD,3,0,0,0,0,0
Norwin SHS,377,322,316,326,4,6
Octorara Area JSHS,192,123,108,123,0,15
Octorara Area SD,4,0,0,0,0,0
Oil City Area SD,16,0,0,0,0,0
Oil City SHS,143,76,72,79,3,4
Old Forge JSHS,84,66,64,68,2,2
Oley Valley SD,8,2,2,3,1,0
Oley Valley SHS,135,101,101,111,10,0
Olney Charter High School,432,238,236,280,42,2
Oswayo Valley HS,34,21,21,21,0,0
Oswayo Valley SD,1,0,0,0,0,0
Otto-Eldred JSHS,44,31,29,33,2,2
Overbrook HS,78,51,46,54,3,5
Owen J Roberts HS,395,341,340,348,7,1
Owen J Roberts SD,23,6,6,8,2,0
Oxford Area HS,329,226,220,234,8,6
Oxford Area SD,2,0,0,0,0,0
Palisades HS,139,109,109,112,3,0
Palisades SD,5,0,0,0,0,0
Palmerton Area HS,114,89,89,92,3,0
Palmerton Area SD,8,0,0,0,0,0
Palmyra Area SD,1,0,0,0,0,0
Palmyra Area SHS,261,195,195,196,1,0
Panther Valley JSHS,112,56,53,56,0,3
Panther Valley SD,6,1,1,1,0,0
Parkland HS,775,659,658,661,2,1
Parkland SD,6,3,3,3,0,0
