name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
Central Valley HS,138,118,115,118,0,3
Central York HS,403,309,297,316,7,12
Central York SD,3,0,0,0,0,0
Chambersburg Area Career Magnet Sch,167,64,55,76,12,9
Chambersburg Area SD,9,0,0,0,0,0
Chambersburg Area SHS,476,230,230,245,15,0
Charleroi Area HS,113,79,75,79,0,4
Charleroi SD,2,1,1,1,0,0
Charter High School for Architecture and,110,101,100,103,2,1
Chartiers Valley HS,273,237,228,246,9,9
Chartiers Valley SD,3,0,0,0,0,0
Chartiers-Houston JSHS,66,51,51,51,0,0
Cheltenham HS,376,308,303,311,3,5
Cheltenham SD,7,0,0,0,0,0
Chester HS,184,97,97,97,0,0
Chester-Upland SD,21,0,0,0,0,0
Chestnut Ridge SD,5,0,0,1,1,0
Chestnut Ridge SHS,111,67,57,67,0,10
Chichester SD,8,0,0,0,0,0
Chichester SHS,219,170,166,184,14,4
City CHS,123,94,93,98,4,1
Clairton City SD,2,0,0,0,0,0
Clairton MS/HS,41,30,28,30,0,2
Clarion Area JSHS,70,49,43,49,0,6
Clarion Area SD,2,1,0,1,0,1
Clarion-Limestone Area JSHS,71,46,40,46,0,6
Clarion-Limestone Area SD,1,0,0,0,0,0
Claysburg-Kimmel HS,71,43,34,45,2,9
Clearfield Area JSHS,187,110,105,111,1,5
Coatesville Area SD,9,1,1,1,0,0
Coatesville Area SHS,429,288,267,302,14,21
Cocalico SD,4,0,0,0,0,0
Cocalico SHS,234,148,138,149,1,10
Cochranton JSHS,70,0,0,0,0,0
Collegium CS,68,57,57,58,1,0
Colonial SD,5,0,0,0,0,0
Columbia HS,67,44,35,44,0,9
Columbia-Montour AVTS,128,34,30,41,7,4
Commodore Perry JSHS,31,20,13,21,1,7
Commodore Perry SD,1,0,0,0,0,0
Commonwealth Charter Academy CS,834,476,475,556,80,1
Community Academy of Philadelphia CS,128,92,92,100,8,0
Conemaugh Twp Area MS/SHS,67,48,48,49,1,0
Conemaugh Valley JSHS,58,49,49,49,0,0
Conestoga SHS,488,480,480,481,1,0
Conestoga Valley SD,26,9,8,9,0,1
Conestoga Valley SHS,332,231,230,234,3,1
Conewago Valley SD,2,0,0,0,0,0
Conneaut Area Senior High,165,84,75,85,1,9
Connellsville Area Career & Technical Ce,110,25,25,45,20,0
Connellsville Area SHS,220,141,138,153,12,3
Conrad Weiser Area SD,4,0,0,1,1,0
Conrad Weiser HS,202,158,150,163,5,8
Constitution HS,86,0,0,0,0,0
Cornell HS,36,29,28,29,0,1
Corry Area HS,147,71,63,77,6,8
Coudersport Area JSHS,77,49,49,49,0,0
Cougar Academy,15,4,4,4,0,0
Council Rock HS North,437,404,404,406,2,0
Council Rock HS South,517,472,472,474,2,0
Council Rock SD,1,0,0,0,0,0
Cowanesque Valley JSHS,60,34,33,34,0,1
Cranberry Area JSHS,82,51,49,58,7,2
Crawford Central SD,3,0,0,0,0,0
Creative and Performing Arts,159,0,0,0,0,0
Crestwood HS,205,171,171,173,2,0
Crestwood SD,3,0,0,0,0,0
Crispus Attucks Youthbuild CS,74,3,0,3,0,3
Cumberland Valley HS,647,545,545,546,1,0
Cumberland Valley SD,4,0,0,0,0,0
Curwensville Area JSHS,84,60,42,62,2,18
Curwensville Area SD,1,0,0,0,0,0
Dallas SHS,205,160,160,160,0,0
Dallastown Area SD,22,7,7,8,1,0
Dallastown Area SHS,435,349,344,360,11,5
Daniel Boone Area HS,270,202,202,214,12,0
Daniel Boone Area SD,6,0,0,0,0,0
Danville Area SHS,160,116,116,122,6,0
Dauphin County Technical School,237,109,97,121,12,12
Deer Lakes HS,151,118,118,128,10,0
Delaware Valley HS,377,284,283,291,7,1
Derry Area SD,10,0,0,0,0,0
Derry Area SHS,178,138,130,139,1,8
Derry Township SD,4,0,0,0,0,0
Dobbins AVT HS,99,0,0,0,0,0
Donegal HS,213,137,128,140,3,9
Donegal SD,8,2,2,2,0,0
Dover Area HS,212,121,114,126,5,7
Dover Area SD,4,0,0,0,0,0
Downingtown Area SD,10,0,0,0,0,0
Downingtown HS East Campus,428,387,387,390,3,0
Downingtown HS West Campus,347,303,300,304,1,3
Downingtown STEM Academy,179,177,177,177,0,0
Dr Robert Ketterer CS Inc.,49,21,20,23,2,1
Dubois Area SD,3,0,0,0,0,0
Dubois Area SHS,231,147,135,155,8,12
Dunmore JSHS,113,94,94,100,6,0
East Allegheny JSHS,104,78,75,78,0,3
East Allegheny SD,10,0,0,0,0,0
East Forest JSHS,21,10,9,10,0,1
East HS,156,56,51,58,2,5
East Juniata JSHS,88,53,42,55,2,11
East Lycoming SD,1,0,0,0,0,0
East Pennsboro Area SD,2,0,0,0,0,0
East Pennsboro Area SHS,185,132,132,132,0,0
East Stroudsburg SHS North,229,118,118,120,2,0
East Stroudsburg SHS South,305,229,219,235,6,10
Eastern Lebanon Co SHS,158,87,87,87,0,0
Eastern Lebanon County SD,4,0,0,0,0,0
Eastern University Academy Charter Schoo,50,50,49,50,0,1
Eastern York HS,157,103,100,114,11,3
Eastern York SD,4,0,0,0,0,0
Easton Area HS,667,548,545,561,13,3
Edison HS/Fareira Skills,188,0,0,0,0,0
Eisenhower M/HS,77,62,59,62,0,3
Elizabeth Forward SD,2,0,0,1,1,0
Elizabeth Forward SHS,166,112,105,114,2,7
Elizabethtown Area SHS,285,191,191,201,10,0
Elk Lake JSHS,75,43,43,48,5,0
Ellwood City Area SD,1,0,0,0,0,0
Elmer L Meyers JSHS,140,112,112,113,1,0
Emmaus HS,644,515,508,520,5,7
Ephrata Area SD,2,0,0,0,0,0
Ephrata SHS,310,197,181,201,4,16
Erie City SD,2,0,0,0,0,0
Esperanza Academy Charter School,174,105,104,115,10,1
Esperanza Cyber CS,27,24,24,26,2,0
Everett Area HS,131,73,73,79,6,0
Everett Area SD,1,0,0,0,0,0
Evergreen Community CS,15,13,13,13,0,0
Exeter Township SD,1,1,1,1,0,0
Exeter Twp SHS,316,227,222,228,1,5
Fairfield Area HS,76,48,44,49,1,4
Fairview HS,118,99,99,103,4,0
Fannett-Metal SHS,34,14,13,14,0,1
Farrell Area HS/UMS,54,38,34,42,4,4
Fels Samuel HS,212,0,0,0,0,0
Ferndale Area JSHS,42,15,14,15,0,1
Ferndale Area SD,3,0,0,0,0,0
First Philadelphia Preparatory Charter S,77,49,49,55,6,0
Fleetwood Area SD,5,0,0,0,0,0
Fleetwood SHS,201,161,156,161,0,5
Forbes Road JSHS,24,0,0,0,0,0
Forest Area SD,12,0,0,0,0,0
Forest City Regional HS,57,33,31,36,3,2
Forest Hills JSHS,159,104,94,112,8,10
Fort Cherry JSHS,69,46,46,46,0,0
Fort Cherry SD,3,0,0,0,0,0
Fort LeBoeuf SD,1,0,0,0,0,0
Fort LeBoeuf SHS,171,106,102,114,8,4
Fox Chapel Area HS,326,283,280,289,6,3
Fox Chapel Area SD,4,1,1,1,0,0
Frankford HS,236,0,0,0,0,0
Franklin Area HS,147,82,82,92,10,0
Franklin Area SD,31,0,0,0,0,0
Franklin Benjamin HS,72,0,0,0,0,0
Franklin LC,172,0,0,0,0,0
Franklin Regional SHS,306,273,271,273,0,2
Franklin Towne CHS,309,253,249,259,6,4
Frazier HS,80,53,53,56,3,0
Freedom Area SHS,97,59,57,60,1,2
Freedom HS,431,346,340,349,3,6
Freeport Area SHS,147,127,124,128,1,3
Freire CS,99,86,86,92,6,0
Furness Horace HS,149,0,0,0,0,0
G A R Memorial JSHS,128,92,92,93,1,0
Galeton Area Sch,15,12,9,12,0,3
Gamp,48,0,0,0,0,0
Garden Spot SHS,249,122,119,130,8,3
Garnet Valley HS,398,364,364,366,2,0
Garnet Valley SD,2,0,0,1,1,0
Gateway SD,4,0,0,0,0,0
Gateway SHS,276,202,198,203,1,4
General McLane HS,179,127,127,131,4,0
General McLane SD,1,0,0,0,0,0
George Jr Republic HS,35,16,11,17,1,5
Gettysburg Area HS,202,146,143,153,7,3
Gettysburg Area SD,6,0,0,0,0,0
Gillingham Charter School,15,4,4,4,0,0
Girard HS,148,95,86,98,3,9
Girard SD,2,0,0,0,0,0
Girls HS,203,0,0,0,0,0
Glendale JSHS,60,42,40,45,3,2
Glendale SD,3,0,0,0,0,0
Governor Mifflin SHS,283,180,176,183,3,4
Great Valley HS,320,300,300,302,2,0
Great Valley SD,13,9,9,9,0,0
Greater Johnstown School District's Cybe,7,1,1,1,0,0
Greater Johnstown SD,8,0,0,0,0,0
Greater Johnstown SHS,187,113,104,114,1,9
Greater Latrobe SD,5,0,0,0,0,0
Greater Latrobe SHS,336,259,254,266,7,5
Greater Nanticoke Area SD,6,0,0,0,0,0
Greater Nanticoke Area SHS,147,101,101,101,0,0
Greencastle-Antrim SD,1,0,0,0,0,0
Greencastle-Antrim SHS,216,138,134,145,7,4
Greensburg Salem SD,6,0,0,0,0,0
Greensburg-Salem HS,189,154,147,154,0,7
Greenville JSHS,104,69,66,79,10,3
Greenwood HS,59,45,45,45,0,0
Grove City Area HS,147,113,111,124,11,2
Halifax Area HS,50,31,29,31,0,2
Hamburg Area HS,166,106,88,107,1,18
Hamburg Area SD,2,1,0,1,0,1
Hampton HS,252,218,218,227,9,0
Hampton Township SD,1,0,0,0,0,0
Hanover Area JSHS,133,106,106,109,3,0
Hanover Area SD,7,0,0,0,0,0
Hanover SHS,104,53,51,57,4,2
Harbor Creek Senior HS,146,103,101,104,1,2
Harmony Area JSHS,17,7,7,7,0,0
Harrisburg City SD,23,0,0,0,0,0
Harrisburg HS,179,103,103,103,0,0
Harrisburg HS - SciTech Cmp,81,79,78,79,0,1
Harriton SHS,291,274,274,279,5,0
Hatboro-Horsham SD,8,1,1,1,0,0
Hatboro-Horsham SHS,398,363,362,366,3,1
Haverford SHS,427,397,390,401,4,7
Haverford Township SD,9,2,2,2,0,0
Hazleton Area HS,680,455,438,462,7,17
Hazleton Area SD,1,0,0,0,0,0
Helen Thackston Charter School,54,36,35,40,4,1
Hempfield  SD,11,0,0,2,2,0
Hempfield Area SD,7,0,0,0,0,0
Hempfield Area SHS,448,364,358,369,5,6
Hempfield SHS,527,394,386,398,4,8
Hershey HS,277,247,247,249,2,0
Hickory HS,143,104,100,104,0,4
Highlands SD,2,0,0,0,0,0
Highlands SHS,166,110,101,114,4,9
Hill Freedman World Academy,43,0,0,0,0,0
Hill House Passport Academy Charter Scho,99,35,35,40,5,0
Hollidaysburg Area SD,3,0,0,0,0,0
Hollidaysburg Area SHS,280,187,178,194,7,9
Homer-Center JSHS,54,43,43,43,0,0
Honesdale HS,195,127,126,131,4,1
HOPE for Hyndman CS,21,13,13,14,1,0
Hopewell Area SD,1,1,1,1,0,0
Hopewell SHS,165,126,113,126,0,13
Hughesville JSHS,115,82,82,84,2,0
Huntingdon Area SHS,155,101,89,102,1,12
I-LEAD Charter School,91,59,54,69,10,5
Imhotep Institute CHS,114,0,0,0,0,0
Indiana Area SD,1,0,0,0,0,0
Indiana Area SHS,187,133,133,133,0,0
Interboro SD,6,0,0,0,0,0
Interboro SHS,271,194,192,199,5,2
Iroquois JSHS,86,48,46,55,7,2
Iroquois SD,1,0,0,0,0,0
James Buchanan HS,197,111,109,120,9,2
James M Coughlin JSHS,213,12,12,12,0,0
Jamestown Area JSHS,45,29,25,30,1,4
Jeannette City SD,3,0,0,0,0,0
Jeannette SHS,61,44,43,44,0,1
Jefferson County-DuBois AVTS,84,18,16,20,2,2
Jefferson-Morgan MS/HS,57,40,38,41,1,2
Jenkintown Middle/High School,42,40,40,40,0,0
Jenkintown SD,1,0,0,0,0,0
Jersey Shore Area SD,1,0,0,0,0,0
Jersey Shore Area SHS,166,99,92,101,2,7
Jim Thorpe Area HS,135,111,108,114,3,3
Jim Thorpe Area SD,3,0,0,0,0,0
Johnsonburg Area HS,35,22,22,24,2,0
Juniata SHS,133,71,41,71,0,30
Juniata Valley JSHS,46,25,25,29,4,0
Kane Area HS,89,50,50,53,3,0
