name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
21st Century Cyber CS,216,115,113,131,16,2
Abington Heights HS,242,213,210,213,0,3
Abington Heights SD,3,0,0,0,0,0
Abington SD,4,0,0,0,0,0
Abington SHS,567,464,462,465,1,2
Academy at Palumbo,225,208,203,212,4,5
Academy at Westinghouse,88,3,3,3,0,0
Academy Park HS,292,0,0,1,1,0
Achievement House CS,100,37,32,53,16,5
ACT Academy Cyber CS,12,0,0,0,0,0
Agora Cyber CS,677,311,302,379,68,9
Agora Cyber CS,2,0,0,0,0,0
Albert Gallatin Area SHS,259,111,111,144,33,0
Aliquippa JSHS,69,27,27,27,0,0
Allegheny-Clarion Valley HS,58,35,34,36,1,1
Allegheny-Clarion Valley SD,9,0,0,0,0,0
Allentown City SD,122,46,45,56,10,1
Altoona Area HS,492,284,266,303,19,18
Altoona Area SD,2,0,0,0,0,0
Ambridge Area HS,174,114,112,120,6,2
Ambridge Area SD,4,0,0,0,0,0
Annville Cleona HS,109,74,74,77,3,0
Annville-Cleona SD,2,0,0,0,0,0
Antietam MS/HS,61,41,38,43,2,3
Apollo-Ridge HS,75,48,48,51,3,0
Apollo-Ridge SD,5,0,0,0,0,0
Armstrong JSHS,207,134,133,136,2,1
Armstrong SD,6,0,0,0,0,0
Arts Academy at Benjamin Rush,141,127,124,131,4,3
ASPIRA Bilingual Cyber Charter School,91,40,40,46,6,0
Athens Area HS,140,77,76,81,4,1
Austin Area JSHS,16,11,10,11,0,1
Avella Area JSHS,42,30,23,30,0,7
Avon Grove CS,74,59,59,60,1,0
Avon Grove CS,3,0,0,0,0,0
Avon Grove HS,424,368,355,372,4,13
Avon Grove SD,11,1,1,1,0,0
Avonworth HS,122,117,116,117,0,1
Avonworth SD,1,0,0,0,0,0
Bald Eagle Area JSHS,131,66,64,69,3,2
Baldwin SHS,322,257,251,258,1,6
Bangor Area HS,227,156,156,157,1,0
Bartram John - Main,96,26,23,30,4,3
Beaver Area SD,2,0,0,0,0,0
Beaver Area SHS,180,144,142,148,4,2
Beaver Falls Area SHS,103,65,63,68,3,2
Bedford SHS,137,67,65,73,6,2
Belle Vernon Area HS,185,126,118,135,9,8
Belle Vernon Area SD,1,0,0,0,0,0
Bellefonte Area HS,204,132,123,137,5,9
Bellwood-Antis HS,93,62,62,62,0,0
Bensalem Township SD,10,0,0,0,0,0
Bensalem Twp HS,462,351,349,362,11,2
Benton Area HS,38,19,19,21,2,0
Bentworth SD,1,0,0,0,0,0
Bentworth SHS,77,43,43,58,15,0
Berlin Brothersvalley SHS,59,31,31,35,4,0
Bermudian Springs HS,159,82,79,84,2,3
Bermudian Springs SD,2,1,1,1,0,0
Berwick Area HS,166,112,111,112,0,1
Berwick Area SD,3,0,0,0,0,0
Bethel Park HS,340,282,282,282,0,0
Bethel Park SD,2,0,0,0,0,0
Bethlehem Area SD,12,1,1,2,1,0
Bethlehem-Center SD,1,0,0,0,0,0
Bethlehem-Center SHS,104,70,61,72,2,9
Big Beaver Falls Area SD,1,0,0,0,0,0
Big Spring HS,194,118,114,118,0,4
Big Spring SD,2,0,0,0,0,0
Biglerville HS,133,78,78,80,2,0
Blackhawk HS,150,120,116,122,2,4
Blackhawk SD,3,0,0,1,1,0
Blacklick Valley JSHS,35,23,20,23,0,3
Blacklick Valley SD,1,0,0,0,0,0
Blairsville SHS,69,36,36,38,2,0
Blairsville-Saltsburg SD,3,0,0,0,0,0
Bloomsburg Area HS,74,55,55,55,0,0
Bloomsburg Area SD,5,0,0,0,0,0
Blue Mountain HS,202,125,110,127,2,15
Blue Mountain SD,2,0,0,0,0,0
Blue Ridge HS,61,44,44,44,0,0
Bodine William W HS,95,81,80,82,1,1
Boiling Springs HS,169,113,113,115,2,0
Boyertown Area SD,23,4,3,4,0,1
Boyertown Area SHS,485,361,359,366,5,2
Boys Latin of Philadelphia CS,67,47,47,49,2,0
Bradford Area HS,178,118,111,122,4,7
Bradford Area SD,6,0,0,0,0,0
Brandywine Heights HS,115,79,74,80,1,5
Brentwood Borough SD,5,3,3,3,0,0
Brentwood SHS,74,26,25,26,0,1
Bristol Borough SD,12,3,3,3,0,0
Bristol HS,59,39,39,42,3,0
Bristol Township SD,19,0,0,0,0,0
Brockway Area JSHS,63,35,30,35,0,5
Brookville Area SD,1,0,0,0,0,0
Brookville JSHS,116,76,71,79,3,5
Brownsville Area HS,103,69,55,70,1,14
Bucks County Technical High School,337,215,186,216,1,29
Bucktail HS,35,15,10,15,0,5
Building 21,65,43,41,47,4,2
Building 21 Allentown,89,66,66,69,3,0
Burgettstown Area SD,1,0,0,0,0,0
Burgettstown MS/HS,69,43,43,47,4,0
Burrell HS,143,114,113,115,1,1
Butler Area SD,17,5,5,5,0,0
Butler Area SHS,479,360,347,396,36,13
California Area SHS,59,37,37,47,10,0
Cambria Heights SHS,112,78,73,81,3,5
Cambridge Springs JSHS,55,33,33,39,6,0
Cameron County JSHS,44,19,19,19,0,0
Camp Hill SHS,82,76,76,76,0,0
Canon-McMillan SD,8,0,0,0,0,0
Canon-McMillan SHS,357,270,270,270,0,0
Canton JSHS,56,21,19,21,0,2
Capital Area School for the Arts Charter,49,35,35,38,3,0
Carbon Career & Technical Institute,79,37,37,37,0,0
Carbondale Area JSHS,94,64,64,67,3,0
Carbondale Area SD,2,1,1,2,1,0
Carlisle Area HS,347,250,242,251,1,8
Carlisle Area SD,4,0,0,0,0,0
Carlynton JSHS,90,52,51,54,2,1
Carmichaels Area HS,63,35,31,36,1,4
Carver HS,212,189,184,191,2,5
Catasauqua SHS,103,60,57,61,1,3
Cedar Cliff HS,292,189,189,189,0,0
Cedar Crest HS,366,258,238,269,11,20
Centennial SD,7,0,0,0,0,0
Center for Student Lrng CS Pennsbury,30,12,12,15,3,0
Central Bucks HS-East,506,477,477,477,0,0
Central Bucks HS-South,595,533,533,534,1,0
Central Bucks HS-West,472,400,399,402,2,1
Central Bucks SD,17,0,0,0,0,0
Central Cambria HS,127,98,94,102,4,4
Central Cambria SD,2,0,0,0,0,0
Central Columbia SHS,131,108,105,108,0,3
Central Dauphin East SHS,325,139,139,139,0,0
Central Dauphin SD,6,0,0,0,0,0
Central Dauphin SHS,403,325,323,328,3,2
Central Greene SD,4,0,0,0,0,0
Central HS,131,81,74,89,8,7
Central HS,545,473,471,475,2,2
Central Mountain HS,280,147,141,148,1,6
Central PA Digital Lrng Foundation CS,16,4,4,5,1,0
Central Valley HS,149,101,97,105,4,4
Central York HS,481,373,356,385,12,17
Central York SD,5,0,0,0,0,0
Chambersburg Area Career Magnet Sch,172,64,64,65,1,0
Chambersburg Area SD,9,0,0,0,0,0
Chambersburg Area SHS,490,246,242,248,2,4
Charleroi Area HS,93,63,63,63,0,0
Charleroi SD,2,0,0,0,0,0
Charter High School for Architecture and,104,96,96,96,0,0
Chartiers Valley HS,237,182,179,187,5,3
Chartiers Valley SD,4,0,0,0,0,0
Chartiers-Houston JSHS,70,50,44,55,5,6
Cheltenham HS,310,254,253,257,3,1
Cheltenham SD,13,0,0,0,0,0
Chester CS for the Arts,45,40,37,43,3,3
Chester HS,174,97,97,99,2,0
Chester-Upland SD,6,1,1,1,0,0
Chestnut Ridge SD,1,0,0,0,0,0
Chestnut Ridge SHS,115,68,59,73,5,9
Chichester SD,6,0,0,0,0,0
Chichester SHS,220,148,144,158,10,4
City CHS,125,101,99,104,3,2
Clairton City SD,2,0,0,0,0,0
Clairton MS/HS,43,23,19,23,0,4
Clarion Area JSHS,68,47,45,47,0,2
Clarion Area SD,3,1,1,1,0,0
Clarion-Limestone Area JSHS,56,41,40,43,2,1
Claysburg-Kimmel HS,80,35,23,39,4,12
Clearfield Area JSHS,144,90,76,90,0,14
Clearfield Area SD,2,0,0,0,0,0
Coatesville Area SD,17,1,1,1,0,0
Coatesville Area SD Cyber Academy,25,2,2,2,0,0
Coatesville Area SHS,435,310,288,336,26,22
Cocalico SD,3,0,0,0,0,0
Cocalico SHS,255,160,156,162,2,4
Cochranton JSHS,83,51,46,51,0,5
Collegium CS,87,70,70,76,6,0
Collegium CS,2,0,0,0,0,0
Colonial SD,8,3,1,3,0,2
Columbia Borough SD,6,0,0,0,0,0
Columbia HS,85,53,37,53,0,16
Columbia-Montour AVTS,134,35,35,43,8,0
Commodore Perry JSHS,31,22,12,22,0,10
Commonwealth Charter Academy CS,840,12,12,13,1,0
Community Academy of Philadelphia CS,141,86,86,92,6,0
Conemaugh Twp Area MS/SHS,91,45,42,50,5,3
Conemaugh Valley JSHS,75,39,39,41,2,0
Conemaugh Valley SD,2,0,0,0,0,0
Conestoga SHS,514,502,502,503,1,0
Conestoga Valley SD,20,3,3,3,0,0
Conestoga Valley SHS,312,231,230,232,1,1
Conewago Valley SD,2,0,0,0,0,0
Conneaut Area Senior High,167,72,71,81,9,1
Conneaut SD,1,0,0,0,0,0
Connellsville Area Career & Technical Ce,86,23,14,24,1,9
Connellsville Area SD,1,0,0,0,0,0
Connellsville Area SHS,267,168,157,170,2,11
Conrad Weiser Area SD,2,0,0,0,0,0
Conrad Weiser HS,196,139,133,141,2,6
Constitution HS,105,86,80,87,1,6
Cornell HS,38,26,26,27,1,0
Corry Area HS,133,48,45,54,6,3
Corry Area SD,2,0,0,0,0,0
Coudersport Area JSHS,65,34,34,36,2,0
Cougar Academy,12,9,9,9,0,0
