name,graduation_count,college_bound,two_or_four_year_college_or_university,total_postsecondary_bound,non_degree_granting_postsecondary_school,specialized_associate_degree_granting_institution
21st Century Cyber CS,323,158,157,183,25,1
Abington Heights HS,254,251,251,251,0,0
Abington SD,2,0,0,0,0,0
Abington SHS,603,456,452,461,5,4
Academy at Palumbo,249,205,201,207,2,4
Academy at Westinghouse,70,3,2,3,0,1
Academy Park HS,303,0,0,0,0,0
Achievement House CS,158,67,61,73,6,6
Agora Cyber CS,511,203,190,255,52,13
Agora Cyber CS,1,0,0,0,0,0
Albert Gallatin Area SHS,234,106,106,129,23,0
Aliquippa JSHS,61,0,0,0,0,0
Allegheny-Clarion Valley HS,44,26,24,26,0,2
Allegheny-Clarion Valley SD,9,0,0,0,0,0
Allentown City SD,81,4,4,9,5,0
Altoona Area HS,502,261,247,300,39,14
Altoona Area SD,1,0,0,0,0,0
Ambridge Area HS,182,123,116,126,3,7
Ambridge Area SD,1,0,0,0,0,0
Annville Cleona HS,102,63,63,64,1,0
Antietam MS/HS,50,20,20,23,3,0
Antietam SD,4,1,1,1,0,0
Apollo-Ridge HS,70,42,40,44,2,2
Apollo-Ridge SD,4,0,0,0,0,0
Armstrong JSHS,202,0,0,0,0,0
Armstrong SD,40,0,0,0,0,0
Arts Academy at Benjamin Rush,160,127,123,131,4,4
ASPIRA Bilingual Cyber CS,54,17,17,20,3,0
Athens Area HS,144,77,76,83,6,1
Athens Area SD,1,0,0,0,0,0
Austin Area JSHS,14,7,7,7,0,0
Avella Area JSHS,47,31,31,31,0,0
Avon Grove CS,66,47,47,49,2,0
Avon Grove HS,408,313,313,323,10,0
Avon Grove SD,10,1,1,1,0,0
Avonworth HS,129,102,101,104,2,1
Bald Eagle Area JSHS,115,68,60,74,6,8
Baldwin SHS,345,249,249,252,3,0
Baldwin-Whitehall SD,4,0,0,1,1,0
Bangor Area HS,191,127,127,130,3,0
Bartram John - Main,106,51,45,54,3,6
Beaver Area SHS,162,105,103,108,3,2
Beaver Falls Area SHS,113,51,51,59,8,0
Bedford Area SD,1,0,0,0,0,0
Bedford SHS,141,71,65,72,1,6
Belle Vernon Area HS,181,129,124,129,0,5
Bellefonte Area HS,220,0,0,0,0,0
Bellwood-Antis HS,95,68,68,68,0,0
Belmont CS,70,0,0,0,0,0
Bensalem Township SD,27,0,0,0,0,0
Bensalem Twp HS,425,281,276,290,9,5
Benton Area HS,38,17,17,19,2,0
Bentworth SD,1,0,0,0,0,0
Bentworth SHS,86,54,49,56,2,5
Berlin Brothersvalley SHS,71,40,39,40,0,1
Bermudian Springs HS,148,85,80,85,0,5
Bermudian Springs SD,2,1,1,1,0,0
Berwick Area HS,198,112,110,114,2,2
Bethel Park HS,349,268,268,268,0,0
Bethel Park SD,2,0,0,0,0,0
Bethlehem Area SD,12,6,6,7,1,0
Bethlehem-Center SD,2,0,0,0,0,0
Bethlehem-Center SHS,81,52,39,52,0,13
Big Spring HS,168,82,82,82,0,0
Big Spring SD,2,0,0,0,0,0
Biglerville HS,102,55,55,60,5,0
Blackhawk HS,180,130,123,135,5,7
Blackhawk SD,1,0,0,0,0,0
Blacklick Valley JSHS,35,27,23,27,0,4
Blairsville SHS,69,32,32,33,1,0
Blairsville-Saltsburg SD,5,0,0,0,0,0
Bloomsburg Area HS,115,73,72,75,2,1
Blue Mountain HS,227,138,138,141,3,0
Blue Ridge HS,71,46,44,46,0,2
Bodine William W HS,124,69,65,71,2,4
Boiling Springs HS,155,91,90,91,0,1
Boyertown Area SD,8,2,2,2,0,0
Boyertown Area SHS,525,335,334,341,6,1
Boys Latin of Philadelphia CS,74,53,53,55,2,0
Bradford Area HS,164,94,92,96,2,2
Bradford Area SD,3,0,0,0,0,0
Brandywine Heights HS,99,58,55,58,0,3
Brentwood Borough SD,1,0,0,0,0,0
Brentwood SHS,90,61,58,63,2,3
Bristol Borough SD,7,1,1,1,0,0
Bristol HS,54,25,25,32,7,0
Bristol Township SD,21,0,0,0,0,0
Brockway Area JSHS,72,50,47,50,0,3
Brookville JSHS,95,54,52,54,0,2
Brownsville Area HS,88,64,52,64,0,12
Bucks County Technical High School,294,161,161,179,18,0
Bucktail HS,27,22,18,22,0,4
Building 21,50,32,28,35,3,4
Building 21 Allentown,78,37,36,43,6,1
Burgettstown Area SD,1,0,0,0,0,0
Burgettstown MS/HS,72,34,34,34,0,0
Burrell HS,144,107,106,108,1,1
Burrell SD,1,0,0,0,0,0
Butler Area SD,13,0,0,0,0,0
Butler Area SHS,419,304,294,314,10,10
California Area SHS,61,35,35,36,1,0
Cambria Heights SHS,113,73,72,76,3,1
Cambridge Springs JSHS,71,26,24,28,2,2
Cameron County JSHS,34,25,25,25,0,0
Camp Hill SHS,103,78,78,79,1,0
Canon-McMillan SD,6,0,0,0,0,0
Canon-McMillan SHS,425,285,275,287,2,10
Canton JSHS,65,31,31,33,2,0
Capital Area School for the Arts CS,50,34,34,34,0,0
Carbon Career & Technical Institute,95,27,27,37,10,0
Carbondale Area JSHS,94,66,66,68,2,0
Carlisle Area HS,347,222,217,225,3,5
Carlisle Area SD,4,1,1,1,0,0
Carlynton JSHS,88,47,47,47,0,0
Carlynton SD,1,0,0,0,0,0
Carmichaels Area HS,83,53,45,53,0,8
Carver HS,192,56,56,57,1,0
Catasauqua SHS,103,66,64,67,1,2
Cedar Cliff HS,301,190,189,195,5,1
Cedar Crest HS,361,187,187,211,24,0
Centennial SD,5,0,0,0,0,0
Center for Student Lrng CS Pennsbury,18,9,9,13,4,0
Central Bucks HS-East,530,480,480,482,2,0
Central Bucks HS-South,553,465,463,469,4,2
Central Bucks HS-West,462,393,391,394,1,2
Central Bucks SD,11,6,6,7,1,0
Central Cambria HS,114,83,80,85,2,3
Central Cambria SD,2,0,0,0,0,0
Central Columbia SD,9,1,1,1,0,0
Central Columbia SHS,140,107,102,109,2,5
Central Dauphin East SHS,320,123,122,124,1,1
Central Dauphin SD,7,0,0,0,0,0
Central Dauphin SHS,442,319,310,328,9,9
Central HS,114,66,63,69,3,3
Central HS,607,414,412,420,6,2
Central Mountain HS,275,128,117,128,0,11
Central PA Digital Lrng Foundation CS,11,0,0,0,0,0
Central Valley HS,139,106,102,106,0,4
Central Valley SD,1,0,0,0,0,0
Central York HS,423,298,293,305,7,5
Central York SD,7,0,0,0,0,0
Chambersburg Area Career Magnet Sch,206,69,68,69,0,1
Chambersburg Area SD,5,0,0,0,0,0
Chambersburg Area SHS,391,93,88,97,4,5
Charleroi Area HS,93,59,58,59,0,1
Charleroi SD,2,0,0,0,0,0
Chartiers Valley HS,236,171,166,176,5,5
Chartiers Valley SD,1,0,0,0,0,0
Chartiers-Houston JSHS,85,61,55,65,4,6
Cheltenham HS,327,234,234,242,8,0
Cheltenham SD,5,2,2,2,0,0
Chester Charter Scholars Academy CS,46,32,32,38,6,0
Chester HS,126,25,25,31,6,0
Chester-Upland SD,1,0,0,0,0,0
Chestnut Ridge SD,1,0,0,0,0,0
Chestnut Ridge SHS,98,49,45,49,0,4
Chichester SHS,210,109,101,121,12,8
City CHS,86,62,60,67,5,2
Clairton City SD,2,0,0,0,0,0
Clairton MS/HS,37,14,11,14,0,3
Clarion Area JSHS,65,37,36,37,0,1
Clarion-Limestone Area JSHS,59,39,36,40,1,3
Claysburg-Kimmel HS,76,33,28,37,4,5
Clearfield Area JSHS,154,63,61,65,2,2
Coatesville Area SD,33,2,0,2,0,2
Coatesville Area SD Cyber Academy,3,1,0,1,0,1
Coatesville Area SHS,399,230,205,250,20,25
Cocalico SD,3,0,0,0,0,0
Cocalico SHS,221,127,123,134,7,4
Cochranton JSHS,57,22,22,22,0,0
Collegium CS,111,81,79,86,5,2
Colonial SD,15,0,0,0,0,0
Columbia Borough SD,3,0,0,0,0,0
Columbia HS,64,29,29,29,0,0
Columbia-Montour AVTS,132,28,27,32,4,1
Commodore Perry JSHS,38,17,14,17,0,3
Commonwealth Charter Academy CS,1060,398,395,505,107,3
Community Academy of Philadelphia CS,136,82,82,83,1,0
Conemaugh Township Area SD,2,0,0,0,0,0
Conemaugh Twp Area MS/SHS,64,39,39,41,2,0
Conemaugh Valley JSHS,48,26,26,26,0,0
Conestoga SHS,539,526,526,531,5,0
Conestoga Valley SD,17,2,2,2,0,0
Conestoga Valley SHS,296,168,165,168,0,3
Conneaut Area Senior High,145,58,58,67,9,0
Connellsville Area Career & Technical Ce,97,21,14,24,3,7
Connellsville Area SD,31,4,2,5,1,2
Connellsville Area SHS,214,111,107,115,4,4
Conrad Weiser Area SD,4,0,0,0,0,0
Conrad Weiser HS,196,132,120,137,5,12
Constitution HS,105,73,70,78,5,3
Cornell HS,40,31,31,32,1,0
Corry Area HS,143,49,47,59,10,2
Corry Area SD,1,0,0,0,0,0
Coudersport Area JSHS,57,33,32,36,3,1
Cougar Academy,12,6,6,6,0,0
Council Rock HS North,393,352,351,354,2,1
Council Rock HS South,483,425,420,429,4,5
Council Rock SD,3,0,0,0,0,0
Cowanesque Valley JSHS,55,20,19,22,2,1
Cranberry Area JSHS,75,39,28,39,0,11
Crawford Central SD,1,0,0,0,0,0
Creative and Performing Arts,164,80,78,82,2,2
Crestwood SD,11,4,3,4,0,1
Crestwood Secondary Campus,220,147,142,149,2,5
Crispus Attucks CS,32,0,0,0,0,0
Cumberland Valley HS,631,496,491,499,3,5
Cumberland Valley SD,2,0,0,0,0,0
Curwensville Area JSHS,71,43,40,43,0,3
Dallas SD,1,0,0,0,0,0
Dallas SHS,201,147,147,147,0,0
Dallastown Area SD,1,1,1,1,0,0
Dallastown Area SHS,455,308,303,320,12,5
Daniel Boone Area HS,251,165,165,167,2,0
Daniel Boone Area SD,4,0,0,0,0,0
Danville Area SD,2,1,1,1,0,0
Danville Area SHS,176,126,124,130,4,2
Dauphin County Technical School,225,113,113,116,3,0
Deer Lakes HS,145,101,101,106,5,0
Delaware Valley HS,383,267,267,274,7,0
Derry Area SD,11,0,0,0,0,0
Derry Area SHS,137,89,89,93,4,0
Derry Township SD,3,0,0,0,0,0
Dobbins AVT HS,87,48,43,51,3,5
Donegal HS,205,137,133,141,4,4
Donegal SD,2,0,0,0,0,0
Dover Area HS,227,128,126,128,0,2
Dover Area SD,4,0,0,0,0,0
Downingtown Area SD,9,0,0,0,0,0
Downingtown HS East Campus,449,372,371,382,10,1
Downingtown HS West Campus,415,345,342,354,9,3
Downingtown STEM Academy,204,202,202,202,0,0
Dr Robert Ketterer CS Inc,31,0,0,0,0,0
DuBois Area SD,6,0,0,0,0,0
DuBois Area SHS,259,159,159,172,13,0
Dunmore JSHS,120,81,81,93,12,0
East Allegheny JSHS,93,57,51,58,1,6
East Forest JSHS,13,6,6,6,0,0
East Juniata JSHS,77,36,36,37,1,0
East Lycoming SD,2,0,0,0,0,0
East Penn SD,5,0,0,0,0,0
East Pennsboro Area SHS,191,105,105,110,5,0
East Stroudsburg Area SD,2,0,0,0,0,0
East Stroudsburg SHS North,255,156,155,170,14,1
East Stroudsburg SHS South,339,232,229,241,9,3
Eastern Lebanon Co SHS,167,96,96,96,0,0
Eastern Lebanon County SD,4,0,0,0,0,0
Eastern York HS,156,79,75,92,13,4
Eastern York SD,6,0,0,0,0,0
Easton Area HS,662,435,435,444,9,0
Edison HS/Fareira Skills,176,40,31,42,2,9
Eisenhower M/HS,66,37,34,39,2,3
Elizabeth Forward SHS,144,93,91,97,4,2
Elizabethtown Area SD,6,1,1,1,0,0
Elizabethtown Area SHS,298,168,168,187,19,0
Elk Lake JSHS,70,27,25,30,3,2
Elmer L Meyers JSHS,109,65,60,67,2,5
Emmaus HS,721,560,555,565,5,5
Ephrata Area SD,2,0,0,0,0,0
Ephrata SHS,322,166,152,168,2,14
Erie City SD,6,0,0,0,0,0
Erie HS,443,75,74,76,1,1
Esperanza Academy CS,179,109,109,127,18,0
Esperanza Cyber CS,44,18,18,20,2,0
Everett Area HS,92,40,40,47,7,0
Everett Area SD,1,0,0,0,0,0
Evergreen Community CS,13,11,11,11,0,0
Executive Education Academy CS,78,52,47,57,5,5
Exeter Township SD,1,0,0,0,0,0
Exeter Twp SHS,327,194,191,203,9,3
Fairfield Area HS,72,44,43,44,0,1
Fairfield Area SD,2,0,0,0,0,0
Fairview HS,120,87,87,91,4,0
Fairview SD,1,0,0,0,0,0
Fannett-Metal SHS,38,14,14,17,3,0
Farrell Area HS/UMS,46,23,20,30,7,3
Farrell Area SD,1,0,0,0,0,0
Fels Samuel HS,176,86,74,95,9,12
Ferndale Area JSHS,40,0,0,0,0,0
