Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,112011103.0,Bermudian Springs SD,Adams,28683259.11,14884119.909999998,450767.26,15334887.17,0.5346,11339429.73,0.3953,314720.75,0.011,1694221.46,0.0591
1.0,112011603.0,Conewago Valley SD,Adams,59138189.45,31224643.92000001,2062919.6900000002,33287563.61,0.5629,17542519.24,0.2966,723106.6,0.0122,7585000.0,0.1283
1.0,112013054.0,Fairfield Area SD,Adams,23777970.3,10702212.78,430104.63000000006,11132317.41,0.4682,6268410.17,0.2636,138723.72,0.0058,6238519.0,0.2624
1.0,112013753.0,Gettysburg Area SD,Adams,58040731.92,37220054.519999996,2913021.2499999995,40133075.77,0.6915,16689910.94,0.2876,1209898.91,0.0208,7846.3,0.0001
1.0,112015203.0,Littlestown Area SD,Adams,29211330.05,16623684.13,376291.58,16999975.71,0.582,11802040.54,0.404,409313.8,0.014,,0.0
1.0,112018523.0,Upper Adams SD,Adams,25846188.54,13310038.36,776197.5499999999,14086235.91,0.545,11459080.68,0.4434,300871.95,0.0116,,0.0
1.0,103021903.0,Allegheny,Allegheny,14859117.0,3176121.0,357298.0,3533419.0,0.2378,10560604.0,0.7107,765094.0,0.0515,,0.0
1.0,103020603.0,Allegheny Valley SD,Allegheny,21692372.48,15508489.92,248940.62,15757430.54,0.7264,5573333.26,0.2569,226174.68,0.0104,135434.0,0.0062
1.0,103020753.0,Avonworth SD,Allegheny,28488859.1,21496877.040000003,385429.36,21882306.4,0.7681,6404488.57,0.2248,202064.13,0.0071,,0.0
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,63239429.84,37162172.44,1579831.0300000003,38742003.47,0.6126,21704783.25,0.3432,1368399.12,0.0216,1424244.0,0.0225
1.0,103021252.0,Bethel Park SD,Allegheny,83692336.95,58989974.19999999,1921560.93,60911535.13,0.7278,21660971.78,0.2588,369939.32,0.0044,749890.72,0.009
1.0,103021453.0,Brentwood Borough SD,Allegheny,30369263.83,11826372.809999999,311146.49,12137519.3,0.3997,9542941.99,0.3142,466003.39,0.0153,8222799.15,0.2708
1.0,103021603.0,Carlynton SD,Allegheny,25382547.42,15658598.69,447972.1099999999,16106570.8,0.6346,8292797.7,0.3267,983178.92,0.0387,,0.0
1.0,103021752.0,Chartiers Valley SD,Allegheny,58668529.18,42491703.51000001,1264681.5,43756385.01,0.7458,13868346.05,0.2364,751971.28,0.0128,291826.84,0.005
1.0,103022103.0,Cornell SD,Allegheny,13505946.0,8625383.0,419125.0,9044508.0,0.6697,3808659.0,0.282,652779.0,0.0483,,0.0
1.0,103022253.0,Deer Lakes SD,Allegheny,34848197.24,21240542.78,874108.67,22114651.45,0.6346,12308112.0,0.3532,425433.79,0.0122,,0.0
1.0,103022503.0,Duquesne City SD,Allegheny,17994591.77,1646909.11,187219.42,1834128.53,0.1019,14490359.79,0.8053,1670103.45,0.0928,,0.0
1.0,103022803.0,East Allegheny SD,Allegheny,31059080.0,14881727.99,1445385.01,16327113.0,0.5257,13805488.0,0.4445,926479.0,0.0298,,0.0
1.0,103023153.0,Elizabeth Forward SD,Allegheny,37241195.77,18439724.99,1082057.95,19521782.94,0.5242,17334535.87,0.4655,384876.96,0.0103,,0.0
1.0,103023912.0,Fox Chapel Area SD,Allegheny,89606696.1,69997169.49,1112654.21,71109823.7,0.7936,16576817.82,0.185,826493.63,0.0092,1093560.95,0.0122
1.0,103024102.0,Gateway SD,Allegheny,71119954.92,50423667.449999996,1116498.92,51540166.37,0.7247,18485225.34,0.2599,1094563.21,0.0154,,0.0
