Unnamed: 0,Unnamed: 1,Unnamed: 2,2021 Keystone Grade 11 - School Level Proficiency Results*,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,"* Proficiency summary data do not include students who were enrolled in the school after October 1, home schooled, excluded from school aggregation, EL students who were enrolled for less than one year in a school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,
,,,* Information is not displayed for student populations of fewer than 11.,,,,,,,,,,,
,,,** Note that fewer students participated in Keystone Exams than in past years. A comparison to 2018-19 is included in the table below to demonstrate that difference. 2021 results may not reflect representative samples of the schools' students. Cross-year comparisons of proficiency are likely to be inaccurate for this reason.   ,,,,,,,,,,,
,,,,,,,,,,,,,,
AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,Difference in Number Scored From 2019,Percent Reduction From 2019,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
112015203,000000014,Adams,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Biology,Historically Underperforming,11,30,-91,-0.7520661157024794,33.3,6.7,30,30
112015203,000000014,Adams,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Literature,All Students,11,6,-139,-0.9586206896551724,,,,
112015203,000000014,Adams,LITTLESTOWN AREA SD,LITTLESTOWN SHS,Literature,Historically Underperforming,11,5,-117,-0.9590163934426229,,,,
112018523,000000021,Adams,UPPER ADAMS SD,BIGLERVILLE HS,Algebra I,All Students,11,124,-9,-0.06766917293233082,24.2,36.3,31.5,8.1
112018523,000000021,Adams,UPPER ADAMS SD,BIGLERVILLE HS,Algebra I,Historically Underperforming,11,55,-2,-0.03508771929824561,14.5,27.3,40,18.2
112018523,000000021,Adams,UPPER ADAMS SD,BIGLERVILLE HS,Biology,All Students,11,12,-120,-0.9090909090909091,0,16.7,50,33.3
112018523,000000021,Adams,UPPER ADAMS SD,BIGLERVILLE HS,Biology,Historically Underperforming,11,8,-48,-0.8571428571428571,,,,
112018523,000000021,Adams,UPPER ADAMS SD,BIGLERVILLE HS,Literature,All Students,11,3,-130,-0.9774436090225563,,,,
112018523,000000021,Adams,UPPER ADAMS SD,BIGLERVILLE HS,Literature,Historically Underperforming,11,3,-54,-0.9473684210526315,,,,
103020407,000005273,Allegheny,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Algebra I,All Students,11,4,-2,-0.3333333333333333,,,,
103020407,000005273,Allegheny,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Algebra I,Historically Underperforming,11,2,-2,-0.5,,,,
103020407,000005273,Allegheny,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Biology,All Students,11,3,-2,-0.4,,,,
103020407,000005273,Allegheny,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Biology,Historically Underperforming,11,2,-2,-0.5,,,,
103020603,000000029,Allegheny,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,All Students,11,61,5,0.08928571428571429,18,42.6,32.8,6.6
103020603,000000029,Allegheny,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,Historically Underperforming,11,26,-4,-0.13333333333333333,15.4,38.5,38.5,7.7
103020603,000000029,Allegheny,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,All Students,11,28,-25,-0.4716981132075472,57.1,35.7,3.6,3.6
103020603,000000029,Allegheny,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,Historically Underperforming,11,11,-16,-0.5925925925925926,54.5,27.3,9.1,9.1
103020603,000000029,Allegheny,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,All Students,11,3,-52,-0.9454545454545454,,,,
103020603,000000029,Allegheny,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,Historically Underperforming,11,2,-27,-0.9310344827586207,,,,
103020753,000005199,Allegheny,AVONWORTH SD,AVONWORTH HS,Algebra I,All Students,11,114,8,0.07547169811320754,34.2,32.5,26.3,7
103020753,000005199,Allegheny,AVONWORTH SD,AVONWORTH HS,Algebra I,Historically Underperforming,11,32,8,0.3333333333333333,12.5,37.5,34.4,15.6
103020753,000005199,Allegheny,AVONWORTH SD,AVONWORTH HS,Biology,All Students,11,81,-32,-0.2831858407079646,40.7,42,16,1.2
103020753,000005199,Allegheny,AVONWORTH SD,AVONWORTH HS,Biology,Historically Underperforming,11,13,-13,-0.5,38.5,30.8,30.8,0
103021102,000000050,Allegheny,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,All Students,11,297,-61,-0.17039106145251395,30,29.6,32,8.4
103021102,000000050,Allegheny,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,Historically Underperforming,11,91,-51,-0.3591549295774648,26.4,22,34.1,17.6
103021102,000000050,Allegheny,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,All Students,11,321,-39,-0.10833333333333334,36.1,30.5,21.5,11.8
103021102,000000050,Allegheny,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,Historically Underperforming,11,111,-34,-0.23448275862068965,30.6,21.6,20.7,27
103021252,000000062,Allegheny,BETHEL PARK SD,BETHEL PARK HS,Algebra I,All Students,11,280,-49,-0.14893617021276595,29.6,47.5,18.6,4.3
103021252,000000062,Allegheny,BETHEL PARK SD,BETHEL PARK HS,Algebra I,Historically Underperforming,11,61,-6,-0.08955223880597014,21.3,31.1,31.1,16.4
103021252,000000062,Allegheny,BETHEL PARK SD,BETHEL PARK HS,Biology,All Students,11,112,-217,-0.6595744680851063,58,31.3,8.9,1.8
103021252,000000062,Allegheny,BETHEL PARK SD,BETHEL PARK HS,Biology,Historically Underperforming,11,12,-56,-0.8235294117647058,41.7,25,16.7,16.7
103021252,000000062,Allegheny,BETHEL PARK SD,BETHEL PARK HS,Literature,All Students,11,3,-326,-0.9908814589665653,,,,
103021252,000000062,Allegheny,BETHEL PARK SD,BETHEL PARK HS,Literature,Historically Underperforming,11,2,-66,-0.9705882352941176,,,,
103021453,000000070,Allegheny,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,All Students,11,74,-12,-0.13953488372093023,17.6,37.8,43.2,1.4
103021453,000000070,Allegheny,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,Historically Underperforming,11,33,-18,-0.35294117647058826,15.2,33.3,51.5,0
103021453,000000070,Allegheny,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,All Students,11,59,-27,-0.313953488372093,39,39,20.3,1.7
103021453,000000070,Allegheny,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,Historically Underperforming,11,28,-23,-0.45098039215686275,25,46.4,28.6,0
103021453,000000070,Allegheny,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,All Students,11,2,-84,-0.9767441860465116,,,,
103021453,000000070,Allegheny,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,Historically Underperforming,11,1,-50,-0.9803921568627451,,,,
103021603,000000079,Allegheny,CARLYNTON SD,CARLYNTON JSHS,Algebra I,All Students,11,80,-17,-0.17525773195876287,16.3,30,36.3,17.5
103021603,000000079,Allegheny,CARLYNTON SD,CARLYNTON JSHS,Algebra I,Historically Underperforming,11,35,-17,-0.3269230769230769,11.4,31.4,34.3,22.9
103021603,000000079,Allegheny,CARLYNTON SD,CARLYNTON JSHS,Biology,All Students,11,76,-21,-0.21649484536082475,28.9,28.9,30.3,11.8
103021603,000000079,Allegheny,CARLYNTON SD,CARLYNTON JSHS,Biology,Historically Underperforming,11,33,-19,-0.36538461538461536,21.2,36.4,24.2,18.2
103021752,000006706,Allegheny,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,All Students,11,209,-38,-0.15384615384615385,15.8,38.3,34,12
103021752,000006706,Allegheny,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,Historically Underperforming,11,59,-21,-0.2625,3.4,22,44.1,30.5
103021752,000006706,Allegheny,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,All Students,11,212,-36,-0.14516129032258066,30.7,34,22.2,13.2
103021752,000006706,Allegheny,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,Historically Underperforming,11,66,-15,-0.18518518518518517,15.2,21.2,27.3,36.4
102020001,000007727,Allegheny,CITY CHS,CITY CHS,Biology,All Students,11,133,11,0.09016393442622951,1.5,15.8,40.6,42.1
102020001,000007727,Allegheny,CITY CHS,CITY CHS,Biology,Historically Underperforming,11,93,8,0.09411764705882353,1.1,9.7,40.9,48.4
