Cat,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,Actual Instruction Expense,"Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,121136603.0,Panther Valley SD,Carbon,19267315.99,5581608.18,352002.2,25200926.369999997,,2253375.13,27454301.5,17040676.96,10847626.3,6423632.8,764486.71,1091642.24,23360.32,116567.62,,,604592.79,254522.74,1352527.06,261591.32,603974.6,1116064.92,1379387.98,,8946.77
1.0,121139004.0,Weatherly Area SD,Carbon,8472528.63,4697551.59,204370.23,13374450.450000001,,620057.59,13994508.04,9535790.2,5674289.61,2093346.02,314686.77,58904.0,,,,331302.23,540709.65,224999.0,1026023.79,175134.64,378371.57,1405989.16,743878.82,194051.43,8393.53
1.0,110141003.0,Bald Eagle Area SD,Centre,17632974.09,10410755.38,758654.41,28802383.88,401376.47,2320374.96,31524135.31,19952187.77,11652483.75,3778041.85,1890752.07,310051.92,1644.5,,,,1244008.24,1881326.58,1604934.46,446134.39,432427.18,2992603.14,1710461.68,46608.38,52251.33
1.0,110141103.0,Bellefonte Area SD,Centre,32659834.24,15340466.24,886138.34,48886438.82,,3930497.68,52816936.5,38072760.43,21589672.4,7996072.68,2902090.4,133326.51,38672.25,,,,1538274.49,1043960.18,3292683.68,376155.14,652173.56,4874545.14,2277939.76,1284734.29,
1.0,110147003.0,Penns Valley Area SD,Centre,15993535.61,9377061.33,616025.57,25986622.509999998,,3168048.01,29154670.52,12769720.57,11715944.41,3601590.34,637282.81,38718.05,,,,,691469.98,2006155.33,1624548.76,238779.62,311268.95,2623693.44,1802777.01,78368.24,
1.0,110148002.0,State College Area SD,Centre,91642799.31,47076464.21,2102459.15,140821722.67000002,17926.94,14020247.98,154859897.59,107852920.84,65407591.46,20596984.81,3826706.57,1750865.46,52691.29,7959.72,,,5516990.1,5289465.84,8029385.51,2458183.97,1460721.24,11722864.72,6205468.29,6393384.54,
1.0,124150503.0,Avon Grove SD,Chester,59222769.51,26401616.01,1109220.41,86733605.92999999,,7529065.41,94262671.34,68044227.48,42828988.74,13637450.2,2717426.71,36346.86,2557.0,,,,4701162.03,3366665.1,4419755.82,1039209.95,907730.82,4276423.35,4799675.69,2751318.3,139674.95
1.0,124151902.0,Coatesville Area SD,Chester,136049853.54,35953490.36,1044496.68,173047840.57999998,,7604916.81,180652757.39,139781435.14,81071019.24,50739159.3,3884186.51,230447.23,124116.69,,,924.57,3537980.13,2553432.75,7315491.91,1026439.96,1460448.58,8236827.31,8581314.35,3089437.55,152117.82
1.0,124152003.0,Downingtown Area SD,Chester,147133788.53,66798830.86,3303190.49,217235809.88,277150.92,17503739.02,235016699.82,167602131.04,104320236.55,34667789.73,6541729.36,1597762.38,6270.51,,,,9215208.09,7588576.84,13326181.85,3032395.81,2161332.68,15879518.89,10602070.91,4796418.54,197127.25
1.0,124153503.0,Great Valley SD,Chester,63777004.21,28704071.0,1317255.4,93798330.61000001,,17157673.47,110956004.08,73283711.16,45347097.68,17601918.23,710991.51,116996.79,,,,,3846627.78,3597939.12,5332748.31,1005263.24,1089339.45,6305055.75,4062749.11,3419759.74,44588.5
