Cat,AUN,LEA Name,County,"Instruction
1000","Support Services
2000","Non-Instructional Services
3000",Current Expenditures,"Facilities Acquisition, Construction and Improvement
4000","Other Expenditures and Financing Uses
5000",Total Expenditures ,Actual Instructional Expense,Regular Programs - E/S 1100,Special and Gifted Education 1200,Vocational Education Programs 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Community / Junior College Education Programs 1700,Pre-Kindergarten 1800,Pupil Personnel 2100,Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,124153503.0,Great Valley SD,Chester,45340489.35,22537125.3,1449663.14,69327277.79,,10145078.25,79472356.04,,31537905.28,12724496.1,770643.6,307444.37,,,,,2773729.56,2189375.38,4223265.56,769426.69,943110.06,6225048.0,3838956.42,1532470.71,41742.92
1.0,124154003.0,Kennett Consolidated SD,Chester,41173136.06,21322426.09,1226693.0,63722255.150000006,71158.0,10094135.04,73887548.19,,28231127.0,11416475.49,1317515.0,207428.57,590.0,,,,2048888.82,1814253.81,3161969.47,750036.0,910954.09,6004335.5,4716012.0,1880490.29,35486.11
1.0,124156503.0,Octorara Area SD,Chester,28419740.94,12036457.07,550118.23,41006316.24,,6046491.85,47052808.09,,18764189.1,7385660.04,1646416.17,623475.63,,,,,1360561.39,799446.4,2417034.01,503640.62,560458.44,2716712.34,2736318.73,897691.65,44593.49
1.0,124156603.0,Owen J Roberts SD,Chester,46689497.47,28156620.42,1515700.53,76361818.42,,13807067.83,90168886.25,,31123710.12,12603769.51,2403300.02,556416.59,,2301.23,,,3210806.17,2560101.03,4223893.29,1228021.8,1060968.19,8640868.17,4961809.88,2005803.1,264348.79
1.0,124156703.0,Oxford Area SD,Chester,34523013.39,14999205.74,851995.04,50374214.17,,6490646.32,56864860.49,,22344690.22,10762385.13,1358528.0,57410.04,,,,,1418617.85,1163156.97,2915420.48,570700.86,635093.09,3732222.65,3486433.07,1056973.96,20586.81
1.0,124157203.0,Phoenixville Area SD,Chester,44757590.11,21367789.75,1632308.95,67757688.81,,10681881.66,78439570.47,,32291622.14,9827111.21,2578691.0,60165.76,,,,,3264268.91,1526686.91,4193216.25,648554.91,767843.77,5318759.58,4054939.83,1556148.88,37370.71
1.0,124157802.0,Tredyffrin-Easttown SD,Chester,65603590.33,36781389.84,1928888.03,104313868.2,,6438225.0,110752093.2,,48430748.8,16559630.11,507946.0,105265.42,,,,,4028269.57,3149890.42,6642168.96,1090840.24,1162535.77,11201489.61,6655806.29,2427420.04,422968.94
1.0,124158503.0,Unionville-Chadds Ford SD,Chester,40209588.79,22522031.47,1221570.94,63953191.199999996,,10316954.69,74270145.89,,28912363.87,10189109.29,709829.0,398286.63,,,,,2974983.85,3481224.91,3319109.4,578640.08,1044428.77,6435855.66,3969167.19,675982.08,42639.53
1.0,124159002.0,West Chester Area SD,Chester,116101437.78,56801957.2,4237967.56,177141362.54000002,,28332783.13,205474145.67,,81156212.88,29689924.66,4692319.32,551225.36,11755.56,,,,7675483.5,4881281.35,10502798.75,2002751.05,1521955.3,15281209.78,12650019.14,2158718.89,127739.44
1.0,106160303.0,Allegheny-Clarion Valley SD,Clarion,8340041.49,4416268.82,258879.32,13015189.63,314375.37,591982.84,13921547.84,,5480431.03,1431624.52,711749.28,716236.66,,,,,440693.27,623463.92,819720.19,188960.62,173745.72,1181709.11,976168.68,,11807.31
1.0,106161203.0,Clarion Area SD,Clarion,6858866.02,3933352.28,367269.35,11159487.649999999,,1036607.32,12196094.97,,4747151.99,1571274.96,359771.12,174841.13,5826.82,,,,425757.78,514924.02,829673.6,151041.43,276448.91,1120796.32,597569.71,,17140.51
1.0,106161703.0,Clarion-Limestone Area SD,Clarion,7685871.75,4172604.63,233466.83,12091943.209999999,,471777.55,12563720.76,,5022449.02,1763578.21,667007.82,226230.47,6606.23,,,,410168.06,489817.2,889794.68,139557.76,266669.29,1127763.38,829606.03,6206.72,13021.51
1.0,106166503.0,Keystone SD,Clarion,9069200.44,4405070.82,199914.79,13674186.049999999,,428027.0,14102213.05,,6412850.22,1724165.15,876177.09,46242.25,8065.73,,,1700.0,353986.4,202428.04,1128926.48,129344.47,258245.75,1224681.02,903897.31,159494.52,44066.83
1.0,106167504.0,North Clarion County SD,Clarion,4704531.49,2373156.0,88799.17,7166486.66,33956.0,605927.94,7806370.6,,3200814.22,728448.76,317723.03,201648.9,8416.75,,,247479.83,194877.92,191547.79,585288.29,86384.94,132062.49,547526.49,489895.49,133711.61,11860.98
1.0,106168003.0,Redbank Valley SD,Clarion,10442706.3,4453689.35,327476.97,15223872.620000001,,1403796.73,16627669.35,,7095524.28,2366842.2,919157.45,61182.37,,,,,334381.2,576888.74,828612.59,178337.83,163909.37,1217423.72,1140977.36,,13158.54
1.0,106169003.0,Union SD,Clarion,5629661.77,3339344.39,266385.0,9235391.16,,778452.0,10013843.16,,4393481.95,886127.52,342108.3,7944.0,,,,,325094.88,176659.0,819031.44,124795.0,178399.81,981089.0,467958.0,262919.0,3398.26
1.0,110171003.0,Clearfield Area SD,Clearfield,18311544.92,11164184.15,579552.17,30055281.240000002,375245.93,4008389.25,34438916.42,,11615720.89,4683233.91,1671861.74,339478.38,,,,1250.0,958819.57,1279809.97,1760001.89,510513.86,372676.37,3098339.18,1852186.41,1331836.9,
1.0,110171803.0,Curwensville Area SD,Clearfield,8581170.99,4326522.87,313997.97,13221691.83,88283.03,1463202.14,14773177.0,,6112158.21,1711360.51,670201.75,87450.52,,,,,344137.74,437847.16,1127854.92,203162.28,272881.74,1200443.37,740195.66,,
1.0,106172003.0,Dubois Area SD,Clearfield,30576572.22,16966217.55,819311.36,48362101.129999995,,3645550.07,52007651.2,,19828158.11,7997897.18,2183466.18,525671.24,41279.51,,100.0,,1435279.94,2135851.98,3161435.46,783885.69,657091.54,4871477.59,2834883.83,1026250.57,60060.95
1.0,110173003.0,Glendale SD,Clearfield,7235982.19,4150885.04,305135.38,11692002.610000001,67071.67,1032330.48,12791404.76,,4697441.81,1923484.32,224986.38,390069.68,,,,,347990.59,226783.37,985666.11,75031.24,300584.53,1254446.92,823127.76,137254.52,
1.0,110173504.0,Harmony Area SD,Clearfield,3581117.57,2080874.67,120159.32,5782151.5600000005,100071.68,517667.59,6399890.83,,2461570.85,787289.59,170674.52,56774.56,,,,104808.05,196374.23,269274.3,515826.06,105759.99,184411.87,354013.08,455215.14,,
1.0,110175003.0,Moshannon Valley SD,Clearfield,7098896.65,4232820.79,324818.85,11656536.290000001,5499.6,2478081.93,14140117.82,,4958250.54,1465937.34,626429.3,47172.47,,,1107.0,,208488.07,645678.02,894004.45,108181.96,162076.39,1265928.63,948463.27,,
1.0,110177003.0,Philipsburg-Osceola Area SD,Clearfield,15537781.68,8673870.02,550330.85,24761982.55,1600.0,2823521.88,27587104.43,,11271993.71,2785951.29,1148096.6,329026.21,,,,2713.87,750304.52,914694.38,1401729.32,336694.72,392519.33,2716424.6,1520607.66,640895.49,
