Ctgy,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,112011103.0,Bermudian Springs SD,Adams,36134482.68,16419521.62,733677.0299999999,17153198.65,0.4747,13093355.94,0.3624,385797.61,0.0107,5502130.48,0.1523
1.0,112011603.0,Conewago Valley SD,Adams,59741834.62,36776812.53999999,1485358.1800000002,38262170.72,0.6405,20198895.99,0.3381,1280767.91,0.0214,,0.0
1.0,112013054.0,Fairfield Area SD,Adams,19108272.88,11506316.66,420755.53,11927072.19,0.6242,6992480.69,0.3659,188720.0,0.0099,,0.0
1.0,112013753.0,Gettysburg Area SD,Adams,62924604.07,39623630.11,3904064.68,43527694.79,0.6917,18311427.74,0.291,1060924.16,0.0169,24557.38,0.0004
1.0,112015203.0,Littlestown Area SD,Adams,33346349.2,19469264.29,666359.75,20135624.04,0.6038,12834722.09,0.3849,376003.07,0.0113,,0.0
1.0,112018523.0,Upper Adams SD,Adams,29593373.35,15407730.889999997,1167308.79,16575039.68,0.5601,12649235.67,0.4274,369098.0,0.0125,,0.0
1.0,103020603.0,Allegheny Valley SD,Allegheny,23915228.0,16724000.919999998,617784.08,17341785.0,0.7251,6270011.0,0.2622,303432.0,0.0127,,0.0
1.0,103020753.0,Avonworth SD,Allegheny,32715758.55,24806653.459999997,573786.41,25380439.87,0.7758,7213877.71,0.2205,121440.97,0.0037,,0.0
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,70851822.79,43162067.17,1841761.69,45003828.86,0.6352,23899782.61,0.3373,1948211.32,0.0275,,0.0
1.0,103021252.0,Bethel Park SD,Allegheny,87997668.4,61354570.87,2610798.81,63965369.68,0.7269,23689420.82,0.2692,336861.9,0.0038,6016.0,0.0001
1.0,103021453.0,Brentwood Borough SD,Allegheny,23169895.3,12588876.399999999,445204.49000000005,13034080.89,0.5625,9814507.84,0.4236,321306.57,0.0139,,0.0
1.0,103021603.0,Carlynton SD,Allegheny,28765843.82,18160673.81,536420.8400000001,18697094.65,0.65,9049308.22,0.3146,1019440.95,0.0354,,0.0
1.0,103021752.0,Chartiers Valley SD,Allegheny,65540382.34,46020289.57000001,1566067.78,47586357.35,0.7261,15753313.64,0.2404,868604.65,0.0133,1332106.7,0.0203
1.0,103021903.0,Clairton City SD,Allegheny,16557030.16,3395467.2199999997,429774.43,3825241.65,0.231,11733856.23,0.7087,997932.28,0.0603,,0.0
1.0,103022103.0,Cornell SD,Allegheny,14565892.0,9129474.0,427594.0,9557068.0,0.6561,4233002.0,0.2906,775822.0,0.0533,,0.0
1.0,103022253.0,Deer Lakes SD,Allegheny,37102965.73,22226704.86,1058361.17,23285066.03,0.6276,13454719.16,0.3626,363030.54,0.0098,150.0,0.0
1.0,103022503.0,Duquesne City SD,Allegheny,20350632.35,1783032.1300000001,331993.04999999993,2115025.18,0.1039,16562127.87,0.8138,1673479.3,0.0822,,0.0
1.0,103022803.0,East Allegheny SD,Allegheny,34921886.83,16625816.89,1072367.41,17698184.3,0.5068,16435889.75,0.4706,787812.78,0.0226,,0.0
1.0,103023153.0,Elizabeth Forward SD,Allegheny,43075475.44,21751804.380000003,1432261.9,23184066.28,0.5382,19454223.62,0.4516,437185.54,0.0101,,0.0
1.0,103023912.0,Fox Chapel Area SD,Allegheny,98700664.11,75634929.84999998,2267475.05,77902404.9,0.7893,19296458.38,0.1955,1064257.41,0.0108,437543.42,0.0044
1.0,103024102.0,Gateway SD,Allegheny,74027053.02,51153760.86,2057825.49,53211586.35,0.7188,19500090.44,0.2634,1315376.23,0.0178,,0.0
1.0,103024603.0,Hampton Township SD,Allegheny,51970480.42,36543442.24999999,805911.0,37349353.25,0.7187,14330109.69,0.2757,286867.48,0.0055,4150.0,0.0001
1.0,103024753.0,Highlands SD,Allegheny,46035892.06,20995306.849999998,1155143.6,22150450.45,0.4812,22786810.55,0.495,1098631.06,0.0239,,0.0
1.0,103025002.0,Keystone Oaks SD,Allegheny,56017775.82,29366344.02,1190070.54,30556414.56,0.5455,12326434.09,0.22,675309.96,0.0121,12459617.21,0.2224
1.0,103026002.0,McKeesport Area SD,Allegheny,67127582.0,16742395.0,1377527.0,18119922.0,0.2699,44350729.0,0.6607,4560452.0,0.0679,96479.0,0.0014
1.0,103026303.0,Montour SD,Allegheny,73012127.68,55942636.46999999,2127078.35,58069714.82,0.7953,13960213.88,0.1912,947758.3,0.013,34440.68,0.0005
1.0,103026343.0,Moon Area SD,Allegheny,79133238.67,57684839.07000001,1777331.7,59462170.77,0.7514,17789570.11,0.2248,1618282.79,0.0205,263215.0,0.0033
