Ctgy,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,"Actual
Instruction Expense (AIE)","Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education Programs 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,117089003.0,Wyalusing Area SD,Bradford,12445371.32,6589754.87,394180.02,19429306.21,,2814495.0,22243801.21,13471966.7,8748218.7,2672328.48,982218.58,33846.98,8758.58,,,,940720.99,802686.48,1138555.87,158287.4,600818.65,1437230.73,1507128.75,4326.0,
1.0,122091002.0,Bensalem Township SD,Bucks,97687777.54,39163772.37,1473195.13,138324745.04,,25000425.96,163325171.0,105577860.25,60333331.13,32271502.77,4954143.37,62230.28,66569.99,,,,4756188.78,6388050.26,6705020.94,1591926.5,1118234.94,9712585.74,7606528.78,781250.98,503985.45
1.0,122091303.0,Bristol Borough SD,Bucks,16746831.71,5091285.39,324352.29,22162469.39,113393.61,2085816.61,24361679.61,16223286.8,11246391.13,4131103.05,1168794.35,196427.18,4116.0,,,,609536.61,14540.32,1202496.41,208019.32,382892.63,1837160.76,474303.11,357141.52,5194.71
1.0,122091352.0,Bristol Township SD,Bucks,90022487.32,32637322.57,1186812.72,123846622.61,,10942815.57,134789438.18,93443242.44,50278300.45,31722890.58,6292844.74,877242.59,60708.96,,,790500.0,4237510.51,4154680.3,5647918.48,1383138.16,1216458.4,7540270.07,7519619.95,873550.78,64175.92
1.0,122092002.0,Centennial SD,Bucks,72641288.95,32782531.47,1625503.6,107049324.02,85662.41,10184079.08,117319065.51,83271465.78,51785231.38,18719224.98,2109124.48,27708.11,,,,,5475101.66,3139740.44,6138253.77,1230625.39,859508.2,7902870.53,4893935.41,3100274.73,42221.34
1.0,122092102.0,Central Bucks SD,Bucks,188117761.84,93122677.16,8146900.93,289387339.93,,42590143.76,331977483.69,217784858.97,137234673.67,42630167.36,4623029.28,3594052.53,35839.0,,,,13448285.19,11909521.86,14485026.46,4033967.87,1650274.19,24320271.57,19104458.05,3947385.85,223486.12
1.0,122092353.0,Council Rock SD,Bucks,149973880.15,60421673.47,3644490.38,214040044.0,,21126571.0,235166615.0,165272632.62,96952745.51,49064244.85,2098035.0,1848300.79,10554.0,,,,8010920.32,6659916.05,10601673.22,2863573.3,1430181.69,13660911.98,11819439.33,5279916.22,95141.36
1.0,122097203.0,Morrisville Borough SD,Bucks,15628304.0,5282363.0,590327.0,21500994.0,,1132566.0,22633560.0,16256423.85,7692455.0,6392344.0,914358.0,17537.0,7923.0,,,603687.0,871617.0,134388.0,1190688.0,186844.0,468855.0,1465635.0,457169.0,459132.0,48035.0
1.0,122097502.0,Neshaminy SD,Bucks,113593190.77,46814399.42,1968556.92,162376147.11,641425.2,20798494.36,183816066.67,126796622.01,72195790.23,31246208.69,8499785.7,1187224.15,13682.0,,,450500.0,6524933.9,3709848.71,8613277.53,1680340.18,1572505.11,11583482.66,9483202.93,3540791.31,106017.09
1.0,122097604.0,New Hope-Solebury SD,Bucks,21564776.12,12865043.77,713684.49,35143504.38,,3822008.75,38965513.13,28631029.48,14765868.76,5999048.14,799395.37,463.85,,,,,1999880.36,2420561.05,2422191.62,397806.73,749248.58,3017911.85,1392582.32,452883.14,11978.12
1.0,122098003.0,Palisades SD,Bucks,23675997.08,13392852.71,1113738.82,38182588.61,32691.17,3367640.02,41582919.8,29709345.14,16263986.16,6077649.53,1005023.55,281172.36,8709.0,39456.48,,,1452388.15,1223986.53,2790163.07,415121.64,886469.58,3558126.49,2017330.03,1035881.95,13385.27
