AUN,School District,County,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09
103027352.0,Penn Hills SD,Allegheny,49767896.09,48104088.11,51364746.89,53084985.87,52140714.98,53122886.7,53993054.87,54630601.33,54437581.05,51634480.16,51284202.49,50886226.93,50209435.79
103021003.0,Pine-Richland SD,Allegheny,60350836.25,57292839.02,56232785.31,53696722.02,54524657.84,52039724.95,51820190.19,44693148.25,44413960.99,42846702.37,43143447.54,41826906.13,41373994.47
102027451.0,Pittsburgh SD,Allegheny,467083856.76,461848213.87,455755542.64,442458514.29,410658978.72,399005771.66,370374115.84,370586855.41,355176347.17,379315141.44,376853377.78,396143291.4,382349080.44
103027503.0,Plum Borough SD,Allegheny,40933648.38,37628579.18,39089198.78,41088159.64,40757008.64,41281569.09,38251659.6,36815691.05,37627154.29,36131512.35,36245026.96,37095835.06,36857751.89
103027753.0,Quaker Valley SD,Allegheny,33770986.26,33289142.44,32423885.06,32068778.34,31240050.08,29408530.8,28565925.43,27108032.75,27043349.8,26018376.9,26099392.22,25229671.53,23885441.76
103028203.0,Riverview SD,Allegheny,16483017.28,16167743.33,16189807.42,15997958.69,15760011.23,15091912.63,14135722.0,13956704.38,13927581.64,12790650.99,12702509.91,12578273.96,12582443.98
103028302.0,Shaler Area SD,Allegheny,57738251.01,57100671.63,55982541.06,53362459.24,52477858.78,51344884.57,53023326.1,50869727.08,48318425.15,48254633.76,49426276.31,47420628.72,47110635.76
103028653.0,South Allegheny SD,Allegheny,16897388.84,16511270.79,16729777.65,16488353.89,15610371.86,15605667.89,15109746.87,14181269.93,13202685.95,13113031.29,13631565.29,12869992.0,12737367.64
103028703.0,South Fayette Township SD,Allegheny,38170262.19,35559203.7,33785300.91,31929259.27,29302148.79,29653967.56,26504088.76,24691890.54,22937520.83,21522174.22,20956425.65,20157085.63,19594505.04
103028753.0,South Park SD,Allegheny,21544232.74,21268751.59,20995999.05,20364423.3,19834711.53,18803479.36,18858259.68,18507807.02,18035757.74,17754366.5,18332959.17,18497062.63,19201868.15
103028833.0,Steel Valley SD,Allegheny,28597253.53,28255856.44,26807312.23,26254924.33,24565916.54,22258537.87,21266801.37,18756682.84,18110708.56,17662466.67,20808802.16,20545394.62,19788814.24
103028853.0,Sto-Rox SD,Allegheny,,17258211.36,18187673.99,16234740.46,16269174.06,15125036.38,15547526.85,15345897.91,13731675.77,15771048.78,14760986.1,15443786.19,16512153.2
103029203.0,Upper Saint Clair SD,Allegheny,62013306.44,60267735.23,57344276.73,52714563.75,52499052.33,49516929.81,47485291.94,44961682.47,42738931.27,41996101.95,41401372.29,41374665.72,41430604.88
103029403.0,West Allegheny SD,Allegheny,44409153.74,42588960.94,41392587.28,39255064.55,38104167.14,36604175.6,37070225.13,35373022.17,33616242.89,33645755.02,33115238.39,30888634.02,30111557.67
103029553.0,West Jefferson Hills SD,Allegheny,38297773.94,37816221.92,39289774.22,33306703.82,31250300.19,29306606.79,27920326.78,27152783.56,26114901.22,24780841.55,24651537.48,24476493.38,24137046.02
103029603.0,West Mifflin Area SD,Allegheny,31727477.56,31194727.33,31112576.95,29196670.49,29644226.75,29369731.34,28948867.94,27941551.56,27363113.63,25774936.81,27275373.99,29937287.59,30356371.38
103029803.0,Wilkinsburg Borough SD,Allegheny,22198482.64,22031287.7,20350780.01,20425565.76,20996463.56,20047316.71,20261012.57,20005407.27,19124028.89,20501184.9,22272126.1,20737156.68,18989598.22
