Cat,AUN,LEA Name,County,"Instruction
1000","Support Services
2000","Non-Instructional Services
3000",Current Expenditures,"Facilities Acquisition, Construction and Improvement
4000","Other Expenditures and Financing Uses
5000",Total Expenditures ,Actual Instructional Expense (AIE),Regular Programs - E/S 1100,Special and Gifted Education 1200,"Vocational Education Programs
1300",Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Community / Junior College Education Programs 1700,"Pre-Kindergarten
1800","Pupil Personnel
2100","Instructional Staff
2200","Administration
2300","Pupil Health
2400","Business
2500",Operation & Maintenance of Plant Services 2600,"Student Transportation Services
2700","Central
2800","Other Support Services
2900"
1.0,114060503.0,Antietam SD,Berks,9792540.08,5747571.34,371919.09,15912030.51,,11292191.31,27204221.82,12393626.15,6714573.98,2641167.5,415636.39,17018.64,4143.57,,,,649254.98,720673.6,1672392.36,170682.73,340423.15,1471815.72,247999.88,464908.06,9420.86
1.0,114060753.0,Boyertown Area SD,Berks,65224194.87,31289134.5,1463907.52,97977236.89,,9947717.36,107924954.25,74741859.74,45924101.1,17067806.12,1994656.4,236916.25,,715.0,,,2824101.63,5241823.46,5519119.61,1052092.3,1170626.91,7034755.26,5667453.22,2682965.01,96197.1
1.0,114060853.0,Brandywine Heights Area SD,Berks,16503187.61,8371650.79,581682.37,25456520.77,210061.27,4464205.85,30130787.89,19412042.75,11725815.16,4078088.22,692378.74,6168.49,737.0,,,,993990.78,1054399.57,1296783.31,343210.69,533718.62,2259544.47,1388638.44,478053.64,23311.27
1.0,114061103.0,Conrad Weiser Area SD,Berks,28495023.17,12215657.93,851271.31,41561952.410000004,,5002590.21,46564542.62,30124202.13,18620626.42,7454331.16,1948417.66,471647.93,,,,,1483062.4,1382335.9,2207025.96,492426.91,598907.94,3322785.29,2025923.25,668718.75,34471.53
1.0,114061503.0,Daniel Boone Area SD,Berks,30978193.22,14588417.49,670139.04,46236749.75,,16321902.5,62558652.25,34231869.27,22724774.49,7331933.41,884809.48,36675.84,,,,,1671259.11,1535833.22,2914916.35,564958.57,636333.64,3954410.96,3014051.05,259974.43,36680.16
1.0,114062003.0,Exeter Township SD,Berks,39570931.15,17986298.54,1350867.9,58908097.589999996,658080.92,9364773.75,68930952.26,46005064.68,27059854.84,10868765.1,1561422.88,80888.33,,,,,2092333.49,2304263.71,3410506.48,614054.22,622582.2,4837026.54,2773947.84,1284399.96,47184.1
1.0,114062503.0,Fleetwood Area SD,Berks,24443201.56,11469923.8,654649.49,36567774.85,,5825368.46,42393143.31,27804679.27,16981881.85,5782149.66,1636966.45,38661.79,3541.81,,,,1186587.73,1493490.43,2455446.65,531912.11,453949.31,3226809.4,1823613.02,268558.53,29556.62
1.0,114063003.0,Governor Mifflin SD,Berks,38410473.5,18115216.14,1583160.3,58108849.94,5531.0,7076312.03,65190692.97,45458748.56,26030833.19,10417717.13,1806292.06,85131.12,,,,70500.0,1985448.45,3000870.06,3452101.04,440726.41,1309109.46,5243233.64,2314879.62,313934.26,54913.2
1.0,114063503.0,Hamburg Area SD,Berks,21175667.0,11090628.0,830065.0,33096360.0,,4738667.0,37835027.0,24825578.94,15214226.0,4958386.0,954143.0,48258.0,654.0,,,,1376733.0,1088277.0,1984807.0,429357.0,446415.0,2945755.0,1840126.0,950261.0,28897.0
1.0,114064003.0,Kutztown Area SD,Berks,17481226.97,9248022.2,696803.12,27426052.29,121533.31,3488182.55,31035768.15,21533868.8,11882108.15,4258335.15,1171276.33,164903.19,,4604.15,,,996916.82,1709586.48,1869623.85,434733.99,393433.72,2574942.48,1166278.62,74691.41,27814.83
1.0,114065503.0,Muhlenberg SD,Berks,30640173.16,14902671.79,1433593.18,46976438.13,45916.0,6939240.39,53961594.52,35990192.54,21960410.57,6858750.92,1564418.83,256592.84,,,,,2117250.83,1280932.6,2938442.61,583704.87,555655.78,4463591.51,2090742.58,829964.26,42386.75
1.0,114066503.0,Oley Valley SD,Berks,16801692.99,9531109.95,773751.72,27106554.659999996,,2965134.52,30071689.18,20614387.2,11112230.49,4762120.54,898129.15,25676.81,3536.0,,,,1148359.37,974828.86,2084092.16,503333.96,410703.35,2508900.84,1582913.75,291489.67,26487.99
1.0,114067002.0,Reading SD,Berks,136549488.07,64117805.24,2914426.39,203581719.7,,14212496.53,217794216.23,136484009.04,88515930.75,36898212.07,5412872.75,3150438.77,310965.59,170512.37,,2090555.77,7502058.71,4669938.99,18963785.99,3167400.27,1381436.18,18173075.75,5216648.54,4831082.93,212377.88
1.0,114067503.0,Schuylkill Valley SD,Berks,21974685.35,8641184.12,1148809.29,31764678.759999998,,5387841.27,37152520.03,24106697.2,16395511.05,4236195.59,677360.62,664646.09,972.0,,,,1079203.7,473132.53,1954011.68,323201.04,563833.82,1943853.39,1844015.37,430145.95,29786.64
1.0,114068003.0,Tulpehocken Area SD,Berks,16610889.44,8731646.86,458376.39,25800912.689999998,,3292086.11,29092998.8,19199929.85,11892727.62,3728741.59,739822.41,249597.82,,,,,898181.3,911788.76,1441342.42,319488.88,401606.21,2252394.97,1374182.37,1110049.46,22612.49
1.0,114068103.0,Twin Valley SD,Berks,34106741.56,15151530.97,778923.24,50037195.77,16666.68,6570650.96,56624513.41,37255366.57,21724423.34,9383076.13,1668928.77,1330313.32,,,,,2382957.53,2117384.01,2614904.72,528658.4,543408.64,3288724.19,3411337.94,210268.01,53887.53
1.0,114069103.0,Wilson  SD,Berks,52937229.01,26073238.37,2289599.09,81300066.47,,14527032.89,95827099.36,63372872.19,36826373.34,13221586.35,2406685.6,470776.89,11806.83,,,,3004782.57,5862528.61,4967706.75,744006.0,846736.98,7092633.57,2878567.3,466683.98,209592.61
1.0,114069353.0,Wyomissing Area SD,Berks,17200027.42,10231452.23,921397.95,28352877.6,,3992112.85,32344990.45,22628966.95,12690100.44,3956003.58,456847.31,88167.64,8908.45,,,,1295979.67,710933.64,2165901.97,381359.64,569824.45,2643778.56,939651.67,1497846.35,26176.28
1.0,108070502.0,Altoona Area SD,Blair,59127236.1,29641972.26,1873189.54,90642397.9,,2865596.26,93507994.16,59575617.2,39998415.14,15352863.34,2683968.27,543251.46,64408.83,484329.06,,,3964110.27,1883401.24,5942352.21,1188401.07,1265462.18,9213138.51,4446831.92,1659268.57,79006.29
1.0,108071003.0,Bellwood-Antis SD,Blair,8826351.73,4961585.34,463084.51,14251021.58,,1220755.56,15471777.14,10440590.92,6991001.39,1292615.32,482244.91,60490.11,,,,,485759.57,733621.91,1246736.95,211636.43,264679.51,1386593.55,556398.36,72352.94,3806.12
1.0,108071504.0,Claysburg-Kimmel SD,Blair,6047226.7,3599694.77,307961.32,9954882.790000001,,1232456.14,11187338.93,6710725.2,4060419.49,1149379.0,483017.34,354410.87,,,,,137487.34,201059.52,813812.86,184952.59,145596.09,1144978.16,517983.81,451745.22,2079.18
1.0,108073503.0,Hollidaysburg Area SD,Blair,26058521.78,14020518.89,931457.9,41010498.57,,33756599.11,74767097.68,30531883.68,19502162.04,5506400.48,710218.98,323384.87,16355.41,,,,1439702.34,2018181.13,3053437.54,561254.64,596097.98,4270689.34,1988496.62,77080.03,15579.27
1.0,108077503.0,Spring Cove SD,Blair,14206220.05,7232796.55,545642.3,21984658.900000002,,2536875.87,24521534.77,15474464.8,10228740.21,3418863.28,410317.56,148299.0,,,,,795768.34,298641.1,1443341.79,317305.3,407642.26,2094740.03,1533387.89,334713.43,7256.41
1.0,108078003.0,Tyrone Area SD,Blair,12471686.05,8034175.99,488959.0,20994821.04,35885.85,1100003.6,22130710.49,13730295.57,8056464.07,2438763.61,772058.84,755060.53,,,,449339.0,872637.21,573376.55,1689210.82,342953.0,569182.99,1831543.0,1250775.25,633309.34,271187.83
1.0,108079004.0,Williamsburg Community SD,Blair,3849947.98,2296112.81,239974.23,6386035.0200000005,,715346.22,7101381.24,4451383.86,2668546.03,934929.44,234245.37,12227.14,,,,,115500.21,317886.78,605737.91,114383.67,176713.48,686311.72,277992.89,252.0,1334.15
1.0,117080503.0,Athens Area SD,Bradford,19714684.38,9940534.47,516901.02,30172119.87,232463.55,4279418.24,34684001.66,21555887.28,13243301.69,4866483.29,1543134.47,61764.93,,,,,875111.46,1217205.93,1992633.46,336427.95,639118.31,2483210.96,1939036.94,457789.46,
1.0,117081003.0,Canton Area SD,Bradford,9090399.03,4115402.07,349916.52,13555717.62,15073.5,1408237.0,14979028.12,9501511.46,6905600.01,1746151.23,252060.84,186586.95,,,,,360534.84,257180.27,893442.15,169865.54,297727.79,1061875.17,853625.92,221150.39,
1.0,117083004.0,Northeast Bradford SD,Bradford,8328799.58,4693445.12,296248.93,13318493.629999999,,830552.66,14149046.29,9733834.52,6130601.34,1811110.91,289312.42,97774.91,,,,,445252.48,239171.06,1032490.0,169986.94,474129.63,830809.66,1151506.7,350098.65,
1.0,117086003.0,Sayre Area SD,Bradford,11573219.61,5616798.01,543842.23,17733859.849999998,1080.0,213172.15,17948112.0,13657648.53,7455568.67,3272164.81,616729.6,54855.54,3286.0,,,170614.99,533491.82,251348.75,1191872.6,152885.1,597067.91,1909329.88,538238.09,442563.86,
1.0,117086503.0,Towanda Area SD,Bradford,13785497.37,6790318.36,575161.73,21150977.46,68926.32,3026645.21,24246548.99,14263744.67,9489699.89,3244653.96,736249.6,24785.22,7580.34,,,282528.36,570042.86,1014831.75,1214677.61,241526.56,498352.9,1927030.12,1280293.02,43563.54,
1.0,117086653.0,Troy Area SD,Bradford,12667709.12,6709417.38,492063.44,19869189.94,8662.5,23391920.72,43269773.16,13542783.79,9073534.61,2858738.04,605794.02,129642.45,,,,,689540.69,1098865.67,1306074.31,200951.23,282308.86,1382804.28,1505554.98,243317.36,
1.0,117089003.0,Wyalusing Area SD,Bradford,11860581.59,6449404.19,388017.29,18698003.07,,7280354.57,25978357.64,13387971.77,8375367.34,2578595.1,832072.52,63794.09,10752.54,,,,755985.72,852413.21,1251191.36,178276.59,592295.27,1391880.73,1418369.51,8991.8,
