The 2018 Keystone Exams for Grade 11 - State Level Proficiency Results*,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"* Proficiency summary data do not include students who were resident of the state after October 1, home schooled, excluded from state aggregation, ELL students who were enrolled for less than one year in US school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,
,,,,,,,,
Subject,Group,Grade,Number Scored,% Advanced,% Proficient,% Basic,% Below Basic,% Advanced/Proficient
Algebra I,All Students,11,122260,23.5,41.7,25.1,9.7,65.2
Algebra I,Historically Underperforming,11,57678,11.2,33.7,36.7,18.4,44.8
Biology,All Students,11,121144,27,37.4,21.3,14.3,64.4
Biology,Historically Underperforming,11,56701,12.2,31.9,29.6,26.3,44.1
Literature,All Students,11,121508,10,62.7,18.9,8.4,72.7
Literature,Historically Underperforming,11,56919,3.8,50.9,29.1,16.2,54.7
