Ctgy,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,118403903.0,Lake-Lehman SD,Luzerne,30109954.73,16109384.179999998,435091.83,16544476.01,0.5495,13204527.29,0.4385,351193.13,0.0117,9758.3,0.0003
1.0,118406003.0,Northwest Area SD,Luzerne,18884371.98,6610743.300000001,320051.86,6930795.16,0.367,11545040.13,0.6114,408536.69,0.0216,,0.0
1.0,118406602.0,Pittston Area SD,Luzerne,50764394.12,28274350.330000002,837297.02,29111647.35,0.5735,20411535.55,0.4021,1192310.56,0.0235,48900.66,0.001
1.0,118408852.0,Wilkes-Barre Area SD,Luzerne,123685533.87,62721970.46999999,1664602.92,64386573.39,0.5206,49621383.81,0.4012,4745457.22,0.0384,4932119.45,0.0399
1.0,118409203.0,Wyoming Area SD,Luzerne,34665505.04,18194103.11,425400.78,18619503.89,0.5371,15073309.45,0.4348,872214.61,0.0252,100477.09,0.0029
1.0,118409302.0,Wyoming Valley West SD,Luzerne,76324852.26,35283651.65,1083150.0599999998,36366801.71,0.4765,35360643.61,0.4633,3352215.94,0.0439,1245191.0,0.0163
1.0,117412003.0,East Lycoming SD,Lycoming,25269313.1,9481505.1,1019869.3900000001,10501374.49,0.4156,14376536.83,0.5689,368151.78,0.0146,23250.0,0.0009
1.0,117414003.0,Jersey Shore Area SD,Lycoming,41659611.45,16958947.45,780350.06,17739297.51,0.4258,23371198.11,0.561,549115.83,0.0132,,0.0
1.0,117414203.0,Loyalsock Township SD,Lycoming,22478571.48,14691922.389999999,709530.84,15401453.23,0.6852,6778119.06,0.3015,293613.38,0.0131,5385.81,0.0002
1.0,117415004.0,Montgomery Area SD,Lycoming,15558467.22,5808849.08,708691.75,6517540.83,0.4189,8656558.89,0.5564,384367.5,0.0247,,0.0
1.0,117415103.0,Montoursville Area SD,Lycoming,29045229.62,15477843.95,652596.7400000001,16130440.69,0.5554,12604757.81,0.434,310031.12,0.0107,,0.0
1.0,117415303.0,Muncy SD,Lycoming,17343614.67,9488763.249999998,533303.3400000001,10022066.59,0.5779,7082137.49,0.4083,238709.59,0.0138,701.0,0.0
1.0,117416103.0,South Williamsport Area SD,Lycoming,18780982.85,7613647.069999998,261343.94,7874991.01,0.4193,10552061.84,0.5618,353930.0,0.0188,,0.0
1.0,117417202.0,Williamsport Area SD,Lycoming,89933806.0,33274243.0,2130362.0,35404605.0,0.3937,46908991.0,0.5216,7620210.0,0.0847,,0.0
1.0,109420803.0,Bradford Area SD,McKean,39402964.83,11796253.03,887187.4700000001,12683440.5,0.3219,25192885.9,0.6394,1394524.72,0.0354,132113.71,0.0034
1.0,109422303.0,Kane Area SD,McKean,25198139.28,4326373.58,460753.62,4787127.2,0.19,12507657.48,0.4964,447864.45,0.0178,7455490.15,0.2959
1.0,109426003.0,Otto-Eldred SD,McKean,11102268.98,1811521.8599999999,170929.65999999997,1982451.52,0.1786,8638025.92,0.778,481791.54,0.0434,,0.0
1.0,109426303.0,Port Allegany SD,McKean,14883020.31,3030270.6799999997,434247.9700000001,3464518.65,0.2328,10936974.76,0.7349,481526.9,0.0324,,0.0
1.0,109427503.0,Smethport Area SD,McKean,15026795.23,3983684.93,540149.88,4523834.81,0.3011,10061229.67,0.6696,441730.75,0.0294,,0.0
1.0,104431304.0,Commodore Perry SD,Mercer,8823795.78,2290265.5100000002,434435.38,2724700.89,0.3088,6072080.89,0.6881,27014.0,0.0031,,0.0
1.0,104432503.0,Farrell Area SD,Mercer,17513389.0,3440259.0,1021531.0,4461790.0,0.2548,12230921.0,0.6984,820678.0,0.0469,,0.0
1.0,104432803.0,Greenville Area SD,Mercer,20360250.98,6533754.38,1043882.57,7577636.95,0.3722,12203913.03,0.5994,577368.9,0.0284,1332.1,0.0001
1.0,104432903.0,Grove City Area SD,Mercer,40107169.36,13037269.94,8642511.57,21679781.51,0.5405,16498617.86,0.4114,1928769.99,0.0481,,0.0
1.0,104433303.0,Hermitage SD,Mercer,31147396.41,18004437.360000003,682466.27,18686903.63,0.6,11798944.86,0.3788,658028.92,0.0211,3519.0,0.0001
1.0,104433604.0,Jamestown Area SD,Mercer,9207474.74,3285966.0000000005,265802.55,3551768.55,0.3857,5347742.03,0.5808,307964.16,0.0334,,0.0
1.0,104433903.0,Lakeview SD,Mercer,16721929.58,4606482.11,658205.0999999999,5264687.21,0.3148,10933085.3,0.6538,524157.07,0.0313,,0.0
1.0,104435003.0,Mercer Area SD,Mercer,17673519.68,6704211.9399999995,1100191.51,7804403.45,0.4416,9531945.04,0.5393,6868.81,0.0004,330302.38,0.0187
1.0,104435303.0,Reynolds SD,Mercer,19459760.05,5796174.320000001,738876.5,6535050.82,0.3358,12801849.13,0.6579,122860.1,0.0063,,0.0
1.0,104435603.0,Sharon City SD,Mercer,34977235.89,8247682.6,1749215.9499999997,9996898.55,0.2858,23739810.03,0.6787,1240332.31,0.0355,195.0,0.0
1.0,104435703.0,Sharpsville Area SD,Mercer,17126332.17,5391848.720000002,945507.2400000001,6337355.96,0.37,10724473.19,0.6262,64503.02,0.0038,,0.0
1.0,104437503.0,West Middlesex Area SD,Mercer,15351090.28,5148476.37,462786.11,5611262.48,0.3655,9215340.15,0.6003,524487.65,0.0342,,0.0
1.0,111444602.0,Mifflin County SD,Mifflin,76735163.9,32799360.21,1553300.9800000002,34352661.19,0.4477,39372800.09,0.5131,3009702.62,0.0392,,0.0
1.0,120452003.0,East Stroudsburg Area SD,Monroe,156006462.52,104064646.28999999,2380507.15,106445153.44,0.6823,45654568.78,0.2926,3267619.75,0.0209,639120.55,0.0041
1.0,120455203.0,Pleasant Valley SD,Monroe,99085507.21,49414150.46999999,2148842.02,51562992.49,0.5204,45529940.06,0.4595,1540138.23,0.0155,452436.43,0.0046
1.0,120455403.0,Pocono Mountain SD,Monroe,209221549.4,138612417.19,3022390.2800000003,141634807.47,0.677,64113916.87,0.3064,3472405.06,0.0166,420.0,0.0
1.0,120456003.0,Stroudsburg Area SD,Monroe,110885963.29,71713307.65,1763037.59,73476345.24,0.6626,33370066.9,0.3009,3777163.85,0.0341,262387.3,0.0024
1.0,123460302.0,Abington SD,Montgomery,153149025.72,116044760.23,1795213.9600000002,117839974.19,0.7694,33449739.74,0.2184,1672197.3,0.0109,187114.49,0.0012
1.0,123460504.0,Bryn Athyn SD,Montgomery,225515.43,163392.0,9330.0,172722.0,0.7659,52793.43,0.2341,,0.0,,0.0
1.0,123461302.0,Cheltenham SD,Montgomery,116092885.0,87940327.0,2784689.0,90725016.0,0.7815,24739963.0,0.2131,627906.0,0.0054,,0.0
1.0,123461602.0,Colonial SD,Montgomery,123020352.16,95493174.79999998,5261956.5,100755131.3,0.819,21400640.54,0.174,808867.97,0.0066,55712.35,0.0005
1.0,123463603.0,Hatboro-Horsham SD,Montgomery,102803317.33,78833657.62999998,2128800.5100000002,80962458.14,0.7875,20299026.11,0.1975,1539433.08,0.015,2400.0,0.0
1.0,123463803.0,Jenkintown SD,Montgomery,16322351.0,12614069.0,269069.0,12883138.0,0.7893,3239557.0,0.1985,111812.0,0.0069,87844.0,0.0054
1.0,123464502.0,Lower Merion SD,Montgomery,266456964.92,222951539.53000003,3814521.59,226766061.12,0.851,37419517.33,0.1404,2271386.47,0.0085,,0.0
1.0,123464603.0,Lower Moreland Township SD,Montgomery,48800699.83,37821486.0,1033367.58,38854853.58,0.7962,9162262.4,0.1877,243920.75,0.005,539663.1,0.0111
1.0,123465303.0,Methacton SD,Montgomery,106751700.03,81422143.66,2042846.0200000003,83464989.68,0.7819,22577921.35,0.2115,690369.87,0.0065,18419.13,0.0002
1.0,123465602.0,Norristown Area SD,Montgomery,150561871.59,106216202.67,2657915.9000000004,108874118.57,0.7231,35837379.73,0.238,5848788.29,0.0388,1585.0,0.0
1.0,123465702.0,North Penn SD,Montgomery,252302221.68,193084156.16,5817019.62,198901175.78,0.7883,50377168.15,0.1997,2865162.57,0.0114,158715.18,0.0006
1.0,123466103.0,Perkiomen Valley SD,Montgomery,107429093.39,79450911.05,2457865.0,81908776.05,0.7624,23280314.88,0.2167,960796.46,0.0089,1279206.0,0.0119
1.0,123466303.0,Pottsgrove SD,Montgomery,65188845.0,42718159.0,1515355.0,44233514.0,0.6785,19970857.0,0.3064,984474.0,0.0151,,0.0
1.0,123466403.0,Pottstown SD,Montgomery,63193585.92,32540993.519999996,2027241.96,34568235.48,0.547,25782629.81,0.408,2380412.63,0.0377,462308.0,0.0073
1.0,123467103.0,Souderton Area SD,Montgomery,126901679.25,89268304.79,4402709.3,93671014.09,0.7381,29080577.1,0.2292,946608.48,0.0075,3203479.58,0.0252
1.0,123467203.0,Springfield Township SD,Montgomery,55464301.66,43520830.8,1344518.95,44865349.75,0.8089,10139731.65,0.1828,415224.22,0.0075,43996.04,0.0008
1.0,123467303.0,Spring-Ford Area SD,Montgomery,154240231.24,115278221.56999998,3330568.2500000005,118608789.82,0.769,33435705.77,0.2168,557225.87,0.0036,1638509.78,0.0106
1.0,123468303.0,Upper Dublin SD,Montgomery,98437200.73,78330744.98999998,2133164.12,80463909.11,0.8174,17395005.63,0.1767,427485.99,0.0043,150800.0,0.0015
1.0,123468402.0,Upper Merion Area SD,Montgomery,99143394.76,80560226.64000002,2397829.33,82958055.97,0.8367,14279499.43,0.144,676555.36,0.0068,1229284.0,0.0124
1.0,123468503.0,Upper Moreland Township SD,Montgomery,63276577.79,48253128.129999995,1203677.68,49456805.81,0.7816,13268214.44,0.2097,500345.57,0.0079,51211.97,0.0008
1.0,123468603.0,Upper Perkiomen SD,Montgomery,59591208.24,38953255.38999999,1207708.7899999998,40160964.18,0.6739,18987001.42,0.3186,412518.55,0.0069,30724.09,0.0005
1.0,123469303.0,Wissahickon SD,Montgomery,100595742.45,78675677.51999998,1780854.0399999998,80456531.56,0.7998,19551672.5,0.1944,556419.39,0.0055,31119.0,0.0003
