Cat,AUN,LEA Name,County,"Committed
Fund Balance 0830","Assigned
Fund Balance 0840","Unassigned
Fund Balance 0850"
1.0,113363603.0,Lampeter-Strasburg SD,Lancaster,,3015215.0,6704299.0
1.0,113364002.0,Lancaster SD,Lancaster,5000000.0,2948215.0,13929823.0
1.0,113364403.0,Manheim Central SD,Lancaster,20300000.0,,4771381.0
1.0,113364503.0,Manheim Township SD,Lancaster,9555262.0,840128.0,8616305.0
1.0,113365203.0,Penn Manor SD,Lancaster,16899586.0,,6771976.0
1.0,113365303.0,Pequea Valley SD,Lancaster,13300000.0,4000000.0,2769590.0
1.0,113367003.0,Solanco SD,Lancaster,4500000.0,806985.0,4223390.0
1.0,113369003.0,Warwick SD,Lancaster,13250000.0,,5874320.0
1.0,104372003.0,Ellwood City Area SD,Lawrence,,2500000.0,1610428.0
1.0,104374003.0,Laurel SD,Lawrence,,7369684.0,179746.0
1.0,104375003.0,Mohawk Area SD,Lawrence,5000000.0,3292750.0,1579605.0
1.0,104375203.0,Neshannock Township SD,Lawrence,,4995457.0,1750000.0
1.0,104375302.0,New Castle Area SD,Lawrence,,,4973535.0
1.0,104376203.0,Shenango Area SD,Lawrence,,,1586175.0
1.0,104377003.0,Union Area SD,Lawrence,,3696146.0,1000000.0
1.0,104378003.0,Wilmington Area SD,Lawrence,,4803773.0,983932.0
1.0,113380303.0,Annville-Cleona SD,Lebanon,6200807.0,,2419160.0
1.0,113381303.0,Cornwall-Lebanon SD,Lebanon,,13093000.0,7038087.0
1.0,113382303.0,Eastern Lebanon County SD,Lebanon,1000000.0,6000000.0,2710956.0
1.0,113384603.0,Lebanon SD,Lebanon,33789.0,36000000.0,6761301.0
1.0,113385003.0,Northern Lebanon SD,Lebanon,500188.0,300000.0,4670297.0
1.0,113385303.0,Palmyra Area SD,Lebanon,500000.0,1372137.0,3233093.0
1.0,121390302.0,Allentown City SD,Lehigh,,,59569703.0
1.0,121391303.0,Catasauqua Area SD,Lehigh,,,4843890.0
1.0,121392303.0,East Penn SD,Lehigh,6068784.0,11102180.0,6225272.0
1.0,121394503.0,Northern Lehigh SD,Lehigh,2148942.0,5543926.0,6779440.0
1.0,121394603.0,Northwestern Lehigh SD,Lehigh,9037190.0,6506701.0,1515884.0
1.0,121395103.0,Parkland SD,Lehigh,29599827.0,5074177.0,8165206.0
1.0,121395603.0,Salisbury Township SD,Lehigh,6252736.0,2451172.0,3339000.0
1.0,121395703.0,Southern Lehigh SD,Lehigh,,12497466.0,4200000.0
1.0,121397803.0,Whitehall-Coplay SD,Lehigh,2882318.0,2320000.0,6763328.0
1.0,118401403.0,Crestwood SD,Luzerne,,250000.0,859461.0
1.0,118401603.0,Dallas SD,Luzerne,2170000.0,,680547.0
1.0,118402603.0,Greater Nanticoke Area SD,Luzerne,947162.0,,2782506.0
1.0,118403003.0,Hanover Area SD,Luzerne,,,2571838.0
1.0,118403302.0,Hazleton Area SD,Luzerne,12095942.0,500000.0,14923980.0
1.0,118403903.0,Lake-Lehman SD,Luzerne,500000.0,4177707.0,2026844.0
1.0,118406003.0,Northwest Area SD,Luzerne,505737.0,,211251.0
1.0,118406602.0,Pittston Area SD,Luzerne,,2824331.0,4835035.0
1.0,118408852.0,Wilkes-Barre Area SD,Luzerne,,,9644507.0
1.0,118409203.0,Wyoming Area SD,Luzerne,,365270.0,3245000.0
1.0,118409302.0,Wyoming Valley West SD,Luzerne,,,5460251.0
1.0,117412003.0,East Lycoming SD,Lycoming,4113211.0,,2269895.0
1.0,117414003.0,Jersey Shore Area SD,Lycoming,4062803.0,,6111438.0
1.0,117414203.0,Loyalsock Township SD,Lycoming,2995000.0,583354.0,4264335.0
1.0,117415004.0,Montgomery Area SD,Lycoming,630000.0,4375635.0,1442884.0
1.0,117415103.0,Montoursville Area SD,Lycoming,359550.0,,5244509.0
1.0,117415303.0,Muncy SD,Lycoming,1159000.0,,1746066.0
1.0,117416103.0,South Williamsport Area SD,Lycoming,1100000.0,,2589816.0
1.0,117417202.0,Williamsport Area SD,Lycoming,5405184.0,12553937.0,8417636.0
1.0,109420803.0,Bradford Area SD,McKean,7286941.0,801069.0,4433338.0
1.0,109422303.0,Kane Area SD,McKean,5478463.0,,3741121.0
1.0,109426003.0,Otto-Eldred SD,McKean,879814.0,464448.0,1060096.0
1.0,109426303.0,Port Allegany SD,McKean,4200000.0,1030211.0,2357992.0
1.0,109427503.0,Smethport Area SD,McKean,2709170.0,8167.0,2488210.0
1.0,104431304.0,Commodore Perry SD,Mercer,5150235.0,784326.0,1036695.0
1.0,104432503.0,Farrell Area SD,Mercer,,4404958.0,1604457.0
1.0,104432803.0,Greenville Area SD,Mercer,,2741248.0,1697719.0
1.0,104432903.0,Grove City Area SD,Mercer,,5968714.0,2215237.0
1.0,104433303.0,Hermitage SD,Mercer,1850000.0,2107353.0,2793366.0
1.0,104433604.0,Jamestown Area SD,Mercer,,2454435.0,1150784.0
1.0,104433903.0,Lakeview SD,Mercer,1680000.0,3025000.0,2761002.0
1.0,104435003.0,Mercer Area SD,Mercer,,,-270433.0
1.0,104435303.0,Reynolds SD,Mercer,,3790903.0,1819958.0
1.0,104435603.0,Sharon City SD,Mercer,2050000.0,3500000.0,978691.0
1.0,104435703.0,Sharpsville Area SD,Mercer,,1657722.0,1366955.0
1.0,104437503.0,West Middlesex Area SD,Mercer,,2682422.0,1205026.0
1.0,111444602.0,Mifflin County SD,Mifflin,1098724.0,11216140.0,7397381.0
