Unnamed: 0,Unnamed: 1,Unnamed: 2,The 2016 Keystone Exams - Best Score Results*,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,"* Proficiency summary data do not include students who were enrolled in the school after October 1, home schooled, excluded from school aggregation, ELL students who were enrolled for less than one year in US school, or students who did not attempt. ",,,,,,,,,,
,,,Data for groups with 10 or fewer students were replaced by blanks. Proficiency percentages may not add up to 100 due to rounding.,,,,,,,,,,
,,,,,,,,,,,,,
Year,AUN,School Number,County,District,School,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
2016,112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Biology,All Students,11,99,51.5,28.3,14.1,6.1
2016,112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Biology,Historically Underperforming,11,43,39.5,23.3,23.3,14
2016,112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Literature,All Students,11,101,7.9,69.3,16.8,5.9
2016,112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Literature,Historically Underperforming,11,45,6.7,60,20,13.3
2016,103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Algebra I,All Students,11,10,,,,
2016,103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Algebra I,Historically Underperforming,11,7,,,,
2016,103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Biology,All Students,11,12,0,16.7,58.3,25
2016,103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Biology,Historically Underperforming,11,8,,,,
2016,103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Literature,All Students,11,10,,,,
2016,103020407,000005273,ALLEGHENY,A W BEATTIE CAREER CENTER,A W BEATTIE CAREER CENTER,Literature,Historically Underperforming,11,7,,,,
2016,102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Algebra I,All Students,11,30,0,0,33.3,66.7
