Cat,AUN,LEA Name,County,"Committed
Fund Balance 0830","Assigned
Fund Balance 0840","Unassigned
Fund Balance 0850"
1.0,112011103.0,Bermudian Springs SD,Adams,96056.0,2975440.0,2745746.0
1.0,112011603.0,Conewago Valley SD,Adams,,,8363511.0
1.0,112013054.0,Fairfield Area SD,Adams,2748765.0,6575716.0,915154.0
1.0,112013753.0,Gettysburg Area SD,Adams,9888175.0,5709610.0,5128177.0
1.0,112015203.0,Littlestown Area SD,Adams,,8237223.0,3103763.0
1.0,112018523.0,Upper Adams SD,Adams,,3237270.0,3589927.0
1.0,103020603.0,Allegheny Valley SD,Allegheny,,8700000.0,3246399.0
1.0,103020753.0,Avonworth SD,Allegheny,2000000.0,,5724374.0
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,2468797.0,18002346.0,6338979.0
1.0,103021252.0,Bethel Park SD,Allegheny,9821127.0,7311424.0,5840140.0
1.0,103021453.0,Brentwood Borough SD,Allegheny,1750000.0,3161980.0,1764692.0
1.0,103021603.0,Carlynton SD,Allegheny,,622500.0,8450809.0
1.0,103021752.0,Chartiers Valley SD,Allegheny,1380643.0,,5002109.0
1.0,103021903.0,Clairton City SD,Allegheny,,,
1.0,103022103.0,Cornell SD,Allegheny,,,-892329.0
1.0,103022253.0,Deer Lakes SD,Allegheny,,3200000.0,1269945.0
1.0,103022503.0,Duquesne City SD,Allegheny,,,1481740.0
1.0,103022803.0,East Allegheny SD,Allegheny,,,-5393459.0
1.0,103023153.0,Elizabeth Forward SD,Allegheny,,6000000.0,3229764.0
1.0,103023912.0,Fox Chapel Area SD,Allegheny,6821888.0,10123834.0,10125722.0
1.0,103024102.0,Gateway SD,Allegheny,4527000.0,,9181821.0
1.0,103024603.0,Hampton Township SD,Allegheny,994000.0,12595.0,3904478.0
1.0,103024753.0,Highlands SD,Allegheny,3572031.0,14915341.0,7552885.0
1.0,103025002.0,Keystone Oaks SD,Allegheny,6000000.0,628907.0,5753432.0
1.0,103026002.0,McKeesport Area SD,Allegheny,,,16505305.0
1.0,103026303.0,Montour SD,Allegheny,,19257564.0,10871573.0
1.0,103026343.0,Moon Area SD,Allegheny,11000000.0,4000000.0,6035659.0
1.0,103026402.0,Mt Lebanon SD,Allegheny,,644717.0,4605500.0
1.0,103026852.0,North Allegheny SD,Allegheny,1211443.0,8852051.0,15313763.0
1.0,103026902.0,North Hills SD,Allegheny,,9702969.0,4875513.0
1.0,103026873.0,Northgate SD,Allegheny,,8243862.0,2218151.0
1.0,103027352.0,Penn Hills SD,Allegheny,4000000.0,,15202626.0
1.0,103021003.0,Pine-Richland SD,Allegheny,192471.0,27696986.0,7598407.0
1.0,102027451.0,Pittsburgh SD,Allegheny,72135397.0,37157955.0,114685103.0
1.0,103027503.0,Plum Borough SD,Allegheny,7843221.0,,5676158.0
1.0,103027753.0,Quaker Valley SD,Allegheny,1075000.0,3367500.0,4255602.0
1.0,103028203.0,Riverview SD,Allegheny,,,8544594.0
1.0,103028302.0,Shaler Area SD,Allegheny,,1615253.0,5987102.0
1.0,103028653.0,South Allegheny SD,Allegheny,,3853386.0,290729.0
1.0,103028703.0,South Fayette Township SD,Allegheny,27641316.0,,4592744.0
1.0,103028753.0,South Park SD,Allegheny,,6053286.0,3325355.0
1.0,103028833.0,Steel Valley SD,Allegheny,,2000000.0,2075380.0
1.0,103028853.0,Sto-Rox SD,Allegheny,,,4465124.0
1.0,103029203.0,Upper St. Clair SD,Allegheny,,3550000.0,7569398.0
1.0,103029403.0,West Allegheny SD,Allegheny,,17899699.0,14213957.0
1.0,103029553.0,West Jefferson Hills SD,Allegheny,13761671.0,,4754322.0
1.0,103029603.0,West Mifflin Area SD,Allegheny,,,8394282.0
1.0,103029803.0,Wilkinsburg Borough SD,Allegheny,,,7580408.0
1.0,103029902.0,Woodland Hills SD,Allegheny,,5204217.0,8000000.0
1.0,128030603.0,Apollo-Ridge SD,Armstrong,,,9775629.0
1.0,128030852.0,Armstrong SD,Armstrong,6194828.0,4000000.0,8000000.0
1.0,128033053.0,Freeport Area SD,Armstrong,3000000.0,14119.0,3078176.0
1.0,128034503.0,Leechburg Area SD,Armstrong,1033205.0,2441793.0,1928541.0
1.0,127040503.0,Aliquippa SD,Beaver,,,7980544.0
1.0,127040703.0,Ambridge Area SD,Beaver,,,10030897.0
1.0,127041203.0,Beaver Area SD,Beaver,,8217822.0,3000000.0
1.0,127041503.0,Big Beaver Falls Area SD,Beaver,,5488869.0,2711998.0
1.0,127041603.0,Blackhawk SD,Beaver,,4242624.0,1660923.0
1.0,127042003.0,Central Valley SD,Beaver,891599.0,1000000.0,2879240.0
1.0,127042853.0,Freedom Area SD,Beaver,5172021.0,,2367390.0
1.0,127044103.0,Hopewell Area SD,Beaver,2261249.0,,3613962.0
1.0,127045303.0,Midland Borough SD,Beaver,,,3785329.0
1.0,127045653.0,New Brighton Area SD,Beaver,,6569918.0,5157152.0
1.0,127045853.0,Riverside Beaver County SD,Beaver,,2374608.0,1580381.0
1.0,127046903.0,Rochester Area SD,Beaver,,,705220.0
1.0,127047404.0,South Side Area SD,Beaver,,4925738.0,1705778.0
1.0,127049303.0,Western Beaver County SD,Beaver,,5185.0,1015653.0
1.0,108051003.0,Bedford Area SD,Bedford,2580052.0,,3483170.0
1.0,108051503.0,Chestnut Ridge SD,Bedford,7921375.0,,2696599.0
1.0,108053003.0,Everett Area SD,Bedford,,400000.0,3434417.0
1.0,108056004.0,Northern Bedford County SD,Bedford,1975000.0,2032335.0,2332793.0
1.0,108058003.0,Tussey Mountain SD,Bedford,,,8236491.0
1.0,114060503.0,Antietam SD,Berks,5131082.0,1824072.0,2056249.0
1.0,114060753.0,Boyertown Area SD,Berks,4100000.0,9000000.0,8606290.0
1.0,114060853.0,Brandywine Heights Area SD,Berks,1500000.0,6388822.0,3643751.0
1.0,114061103.0,Conrad Weiser Area SD,Berks,1533854.0,1960685.0,4314325.0
1.0,114061503.0,Daniel Boone Area SD,Berks,1209136.0,,6353282.0
1.0,114062003.0,Exeter Township SD,Berks,2321821.0,9390630.0,4479865.0
1.0,114062503.0,Fleetwood Area SD,Berks,257584.0,297615.0,2689324.0
1.0,114063003.0,Governor Mifflin SD,Berks,1250000.0,500000.0,5804216.0
1.0,114063503.0,Hamburg Area SD,Berks,64963.0,19088564.0,2683251.0
1.0,114064003.0,Kutztown Area SD,Berks,3361928.0,201814.0,2337308.0
1.0,114065503.0,Muhlenberg SD,Berks,,14682987.0,6212943.0
1.0,114066503.0,Oley Valley SD,Berks,,777015.0,2847154.0
1.0,114067002.0,Reading SD,Berks,,,101169812.0
1.0,114067503.0,Schuylkill Valley SD,Berks,543533.0,1223755.0,1548026.0
1.0,114068003.0,Tulpehocken Area SD,Berks,2000000.0,,3188493.0
1.0,114068103.0,Twin Valley SD,Berks,,8660000.0,8234667.0
1.0,114069103.0,Wilson SD,Berks,23677595.0,1000000.0,7627086.0
1.0,114069353.0,Wyomissing Area SD,Berks,12258294.0,161004.0,3461173.0
1.0,108070502.0,Altoona Area SD,Blair,20000000.0,,11116932.0
1.0,108071003.0,Bellwood-Antis SD,Blair,193966.0,80437.0,2208189.0
1.0,108071504.0,Claysburg-Kimmel SD,Blair,,2871051.0,2232802.0
1.0,108073503.0,Hollidaysburg Area SD,Blair,3722941.0,183429.0,6871435.0
1.0,108077503.0,Spring Cove SD,Blair,1400000.0,1683561.0,6362157.0
1.0,108078003.0,Tyrone Area SD,Blair,1000000.0,6164647.0,3266856.0
1.0,108079004.0,Williamsburg Community SD,Blair,1750000.0,621703.0,1571514.0
1.0,117080503.0,Athens Area SD,Bradford,,7116408.0,160053.0
1.0,117081003.0,Canton Area SD,Bradford,,5535367.0,1585460.0
1.0,117083004.0,Northeast Bradford SD,Bradford,967688.0,5129000.0,1475853.0
1.0,117086003.0,Sayre Area SD,Bradford,,1301062.0,1070970.0
1.0,117086503.0,Towanda Area SD,Bradford,500000.0,3681630.0,2084613.0
1.0,117086653.0,Troy Area SD,Bradford,3312136.0,1463262.0,2641277.0
1.0,117089003.0,Wyalusing Area SD,Bradford,5587834.0,,4925073.0
1.0,122091002.0,Bensalem Township SD,Bucks,5000000.0,,13337347.0
1.0,122091303.0,Bristol Borough SD,Bucks,,,1355726.0
1.0,122091352.0,Bristol Township SD,Bucks,3237285.0,23000000.0,13124278.0
1.0,122092002.0,Centennial SD,Bucks,2500000.0,,10248367.0
1.0,122092102.0,Central Bucks SD,Bucks,,18688284.0,42404172.0
1.0,122092353.0,Council Rock SD,Bucks,10432840.0,238227.0,16508812.0
1.0,122097203.0,Morrisville Borough SD,Bucks,,,-1802612.0
1.0,122097502.0,Neshaminy SD,Bucks,15000000.0,17240754.0,12700196.0
1.0,122097604.0,New Hope-Solebury SD,Bucks,18012602.0,,3268812.0
1.0,122098003.0,Palisades SD,Bucks,16441438.0,5756335.0,3258403.0
