Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,103028203.0,Riverview SD,Allegheny,22437019.58,15144403.57,282959.07000000007,15427362.64,0.6876,6679846.75,0.2977,329408.19,0.0147,402.0,0.0
1.0,103028302.0,Shaler Area SD,Allegheny,80201050.57,50619927.29,1464723.5200000003,52084650.81,0.6494,27303487.0,0.3404,812912.76,0.0101,,0.0
1.0,103028653.0,South Allegheny SD,Allegheny,23961226.97,6517013.31,648947.06,7165960.37,0.2991,15595856.71,0.6509,609409.89,0.0254,590000.0,0.0246
1.0,103028703.0,South Fayette Township SD,Allegheny,52214910.87,38182574.0,935144.4099999999,39117718.41,0.7492,11167924.71,0.2139,1518597.75,0.0291,410670.0,0.0079
1.0,103028753.0,South Park SD,Allegheny,32162013.66,18998320.49,519883.89,19518204.38,0.6069,12279569.24,0.3818,364240.04,0.0113,,0.0
1.0,103028833.0,Steel Valley SD,Allegheny,32611116.21,15568278.78,733933.54,16302212.32,0.4999,14856040.01,0.4556,1452863.88,0.0446,,0.0
1.0,103028853.0,Sto-Rox SD,Allegheny,27023570.6,7594988.859999999,671895.79,8266884.65,0.3059,15886257.89,0.5879,1370428.06,0.0507,1500000.0,0.0555
1.0,103029203.0,Upper Saint Clair SD,Allegheny,88283533.25,57814761.4,1684362.52,59499123.92,0.674,16423912.64,0.186,878342.69,0.0099,11482154.0,0.1301
1.0,103029403.0,West Allegheny SD,Allegheny,61682999.87,44206503.99999999,1085905.0699999998,45292409.07,0.7343,16040992.5,0.2601,349598.3,0.0057,,0.0
1.0,103029553.0,West Jefferson Hills SD,Allegheny,47615336.96,32677511.78,642094.29,33319606.07,0.6998,14003271.2,0.2941,292459.69,0.0061,,0.0
1.0,103029603.0,West Mifflin Area SD,Allegheny,97249579.54,29229899.43,4151799.5300000003,33381698.96,0.3433,18576885.51,0.191,1473696.07,0.0152,43817299.0,0.4506
1.0,103029803.0,Wilkinsburg Borough SD,Allegheny,30924367.18,13757121.709999997,363522.22,14120643.93,0.4566,14933854.07,0.4829,1869869.18,0.0605,,0.0
