Cat,AUN,LEA Name,County,Total State Revenue 7000,Basic Education Funding 7110,Basic Education Funding - Formula 7111,Basic Education Funding - Social Security 7112,Level Up Supplement 7120,Charter Schools 7140,Tuition for Orphans & Children Placed in Private Homes 7160,School Improvement Grants 7170,Staff and Program Development 7180,Vocational Education 7220,Alternative Education 7230,Driver Education - Student 7240,Migratory Children 7250,Workforce Investment Act 7260,Special Education Funding for School Aged Pupils 7271,Early Intervention 7272,Adult Literacy 7280,Education Assistance Program (Tutoring) 7291,Pre-K Counts 7292,Program Revenues not Listed Previously 7299,Pupil Transportation Subsidy 7311,Nonpublic and Charter School Pupil Transportation Subsidy 7312,Rental & Sinking Fund Payments / Building Reimbursement Subsidy 7320,"Health Services (Medical, Dental, Nurse, Act 25) 7330","State Property Tax Reduction Allocation
7340","Sewage Treatment Operations / Environmental Subsidies
7350",School Safety and Security Grants 7361,School Mental Health & Safety and Security Grants 7362,Other Safe Schools Grants 7369,Project 720 / High School Reform 7503,Ready to Learn Block Grant 7505,PAsmart Grants 7506,Supplemental Equipment Grants 7509,Continuity of Education and Equity Grants 7521,Revenue for the Support of Public Schools 7598,Other State Revenue not Listed Elsewhere 7599,"Revenue for Milk, Lunch & Breakfast Programs 7600",State Share of Social Security & Medicare Taxes 7810,State Share of Retirement Contributions 7820,Educational Technology 7910,Classrooms for the Future 7920,Other Technology Grants 7990
1.0,103023912.0,Fox Chapel Area SD,Allegheny,22978822.11,6762050.04,4958888.41,1803161.63,,,41182.33,,,,,,,,2662793.56,,,,,,1013709.55,194425.0,1044618.99,78077.31,1854485.62,,,136031.35,,,205030.0,364613.57,,,,,,,8621804.79,,,
1.0,103024102.0,Gateway SD,Allegheny,22554064.09,9844308.42,8625179.3,1219129.12,,,45175.75,,,,,,,,2643685.09,,,,,,900349.18,120120.0,519404.27,,1840397.7,,,,,,385880.0,,,,,,,,6254743.68,,,
1.0,103024603.0,Hampton Township SD,Allegheny,15982736.0,6670413.86,5622440.32,1047973.54,,,85244.96,,,,,,,,1669386.81,,,,,,691729.77,69300.0,560222.39,58643.57,1082870.93,,,23445.19,,,294130.0,,,,,,,,4777348.52,,,
1.0,103024753.0,Highlands SD,Allegheny,24664415.0,14328946.0,13445682.0,883264.0,,,155352.0,,,,,,,,2500380.0,,,,399702.0,,1082534.0,57750.0,,43185.0,1634216.0,,,42597.0,,,460757.0,,,,,,,,3958996.0,,,
1.0,103025002.0,Keystone Oaks SD,Allegheny,13253653.0,6293374.0,5596184.0,697190.0,,,76708.0,,,,,,,,1656046.0,,,,,,430939.0,44275.0,,51925.0,1069169.0,,,98303.0,,,231127.0,,,,,,,,3301787.0,,,
1.0,103026002.0,McKeesport Area SD,Allegheny,54762880.0,33080592.0,31778324.0,1302268.0,2202095.0,,213836.0,,,312820.0,,,,,4267216.0,,,,707143.0,,1295539.0,213675.0,1296475.0,56789.0,3074153.0,,,66450.0,,,888223.0,,20512.0,,,,,,7067362.0,,,
1.0,103026303.0,Montour SD,Allegheny,16282387.43,6323233.94,5198038.17,1125195.77,,,55831.12,,,,,,,,1775226.04,,,,,,422385.84,103950.0,582593.28,61468.16,1166191.45,,,171031.4,,,196733.0,,,,,,,,5423743.2,,,
1.0,103026343.0,Moon Area SD,Allegheny,21216367.54,9662320.46,8334147.49,1328172.97,,,25776.03,,,,,,,,2136358.98,,,,,,808299.02,43505.0,724345.47,80065.7,1205317.18,,,,,,335009.0,,,,,,,,6195370.7,,,
1.0,103026402.0,Mt Lebanon SD,Allegheny,26741687.55,9346912.64,7443714.77,1903197.87,,14199.28,33723.51,,,,,12570.0,,,3125310.88,,,,,,180347.53,,1918800.7,107131.88,2149281.15,,195596.0,,,,418618.0,,,,,,,,9239195.98,,,
1.0,103026852.0,North Allegheny SD,Allegheny,41851999.66,14775331.65,11664444.68,3110886.97,,,30805.04,,,,,,,,4282402.53,,,,,,2130785.06,343420.0,1683885.94,158914.27,2832858.18,,89294.4,,,,581758.0,,,,,,,,14942544.59,,,
1.0,103026902.0,North Hills SD,Allegheny,22991149.18,9372934.24,7932685.24,1440249.0,,,80266.81,,,,,,40.0,,2784812.6,,,,,,975277.0,98945.0,487899.0,82288.36,1803823.62,,,,,,393030.0,,,,,,,,6911832.55,,,
1.0,103026873.0,Northgate SD,Allegheny,9841011.95,4934907.68,4516630.69,418276.99,,,135487.73,,,,,,,,1087019.17,,,,190000.0,,188997.13,,11751.88,19040.41,880023.84,,51359.0,,,,201103.0,,,,,,,,2141322.11,,,
1.0,103027352.0,Penn Hills SD,Allegheny,38905835.12,20016671.32,19149232.26,867439.06,,,35706.83,,,,,,,,4240640.4,,,,,,2297871.21,458150.0,762754.55,60699.8,2974271.01,,19800.0,,,,2100686.0,,,,,,,,5938584.0,,,
1.0,103021003.0,Pine-Richland SD,Allegheny,20602743.0,7419951.0,5995710.0,1424241.0,,,13160.0,,,,,,,,1872833.0,,,,,,1122801.0,202895.0,1049853.0,90036.0,1572308.0,,,,,,418675.0,,,,,18183.0,,,6822048.0,,,
1.0,102027451.0,Pittsburgh SD,Allegheny,324237551.95,181758103.46,168667446.68,13090656.78,,,236312.41,,,466167.87,,,,,29730590.64,5883808.5,,,7489151.73,2310945.75,5116734.4,2728880.0,1233540.18,485873.94,31157941.6,,627352.96,,,,8955423.0,66278.25,42085.02,,,,,-3640301.08,49588663.32,,,
1.0,103027503.0,Plum Borough SD,Allegheny,28767629.83,14979818.18,13753521.64,1226296.54,,,2496.19,,,,,,,,2863754.88,,,,,,1216207.47,90090.0,716337.25,68754.16,2084433.63,,,111213.54,,,618345.0,,,,,230.96,,,6015948.57,,,
1.0,103027753.0,Quaker Valley SD,Allegheny,9231012.71,2985387.97,2152976.32,832411.65,,,,,,,,,,,879839.7,,,,,,262154.74,63910.0,133731.19,46740.33,845428.99,,,84934.57,49427.37,,66366.0,,,,,,,,3813091.85,,,
1.0,103028203.0,Riverview SD,Allegheny,7466041.31,3841198.1,3470278.24,370919.86,,,268.78,,,,,,,,769368.66,,,,,,149154.91,23870.0,187337.33,18684.3,449950.26,,,,,,126151.0,,,,,1415.86,,,1898642.11,,,
1.0,103028302.0,Shaler Area SD,Allegheny,30753387.3,14185165.21,12620939.02,1564226.19,,,74878.75,,,,,,,,3999066.87,,,,,,1174799.96,123200.0,341762.14,,2570581.83,,,,,,706471.0,,,,,,,,7577461.54,,,
1.0,103028653.0,South Allegheny SD,Allegheny,19009918.95,11301913.44,10770133.73,531779.71,363833.18,,106460.48,,,,,175.0,,,1667061.26,,,,,,1050377.58,33880.0,372609.69,25264.25,957236.55,,20698.47,,,,343234.0,,,,,,,,2767175.05,,,
1.0,103028703.0,South Fayette Township SD,Allegheny,16236542.48,5822249.73,4621327.55,1200922.18,,,27413.65,,,,,,,,1253251.8,,,,,,1064192.63,12705.0,677242.26,61935.35,840131.03,,,92000.0,,,263996.0,188763.85,,,,,,,5932661.18,,,
1.0,103028753.0,South Park SD,Allegheny,14851686.99,7079023.42,7079023.42,,,,11836.04,,,,,,,,1581880.58,,,,,,543823.84,26565.0,486665.82,32807.69,1096243.42,,,,,,308092.0,,,,,,,632789.89,3051959.29,,,
1.0,103028833.0,Steel Valley SD,Allegheny,19135290.73,11583992.03,10977035.85,606956.18,624220.65,,89917.74,,,,,,,,1786867.26,,,,,,179805.74,,,,1220947.93,,,,,,351241.0,,,,,764.56,,,3297533.82,,,
1.0,103028853.0,Sto-Rox SD,Allegheny,23658579.92,12883107.93,12646235.36,236872.57,1073916.5,,63311.07,2000000.0,,,,,,,1655974.41,,,,,,652132.7,333025.0,709037.65,18754.57,1074662.79,,,126011.0,,,892443.0,,,,,14457.13,,,2161746.17,,,
1.0,103029203.0,Upper St. Clair SD,Allegheny,20948931.18,6891398.89,5291514.79,1599884.1,,,5930.76,,,,,,,,2250962.1,,,,,,939899.07,63525.0,942717.37,81789.13,1751712.63,,,170236.0,,,332045.0,,,,,,,,7518715.23,,,
1.0,103029403.0,West Allegheny SD,Allegheny,18208360.83,8051938.71,6929939.86,1121998.85,,,,,,,,,,,1897746.34,,,,,,713477.21,41965.0,292835.52,60122.71,1434357.01,,,159147.93,,,353119.0,,,,,,,,5203651.4,,,
1.0,103029553.0,West Jefferson Hills SD,Allegheny,18253437.58,7852396.79,6771229.69,1081167.1,,,11311.69,,,,,,,,2001649.56,,,,,,958591.0,34650.0,281296.7,63938.47,1407508.44,,164582.45,,,,337321.0,,,,,22123.03,,,5118068.45,,,
1.0,103029603.0,West Mifflin Area SD,Allegheny,23846235.56,10613935.11,9610493.03,1003442.08,783925.71,,82520.92,,,,,,,,2676967.99,,,,,,1485442.13,88935.0,752774.04,49796.26,1845354.82,,71850.0,,,,489803.0,,,,,,,,4904930.58,,,
1.0,103029803.0,Wilkinsburg Borough SD,Allegheny,19283594.58,12389723.95,12089629.06,300094.89,564297.2,,83150.63,,,,,,,,1457111.17,,,,1169122.01,,353820.26,179410.0,175870.75,27181.1,1014845.16,,7870.0,,,,280424.0,,,,,,,618.0,1580150.35,,,
1.0,103029902.0,Woodland Hills SD,Allegheny,40776572.44,20658617.08,19470935.12,1187681.96,1386886.0,,46750.22,,,,,,,,4786803.58,,,,900001.02,,2145277.86,618310.0,,50588.93,2789034.37,,273284.37,,,,886447.0,,,,,,,,6234572.01,,,
1.0,128030603.0,Apollo-Ridge SD,Armstrong,16348685.85,9524124.08,9031424.35,492699.73,,,21704.97,,,,,,,,1241949.34,,,,200000.0,,1083016.44,5932.08,261210.76,22050.5,1108177.37,,30000.0,127300.0,,,279085.0,,,,,1767.92,,,2442367.39,,,
1.0,128030852.0,Armstrong SD,Armstrong,61906840.0,34765972.0,32867715.0,1898257.0,,,61969.0,,,,,5835.0,,,5485086.0,,,,,,4876770.0,168630.0,1362766.0,90354.0,4522826.0,,,76952.0,,,1089020.0,,,,,,,,9400660.0,,,
1.0,128033053.0,Freeport Area SD,Armstrong,14727379.66,7992902.91,7385591.93,607310.98,,,12316.46,,,,,,,,1237929.39,,,,,,941263.74,45815.0,197880.79,35470.22,888585.99,,,156084.0,,,273836.0,130844.59,,,,,,,2814450.57,,,
1.0,128034503.0,Leechburg Area SD,Armstrong,8143953.07,4812772.02,4505369.15,307402.87,,,13490.27,,,,,,,,664744.51,,,,,,357057.29,8855.0,,11437.5,562991.72,,,86007.89,40000.0,,141716.0,,,,,,,,1444880.87,,,
1.0,127040503.0,Aliquippa SD,Beaver,18842003.78,11610062.39,11368222.0,241840.39,818132.0,,10769.0,,,,,,,,1453699.0,,,,366667.0,,477534.0,60830.0,1402925.0,18372.0,943446.0,,,,,,564428.0,,,,,,,,1115139.39,,,
1.0,127040703.0,Ambridge Area SD,Beaver,22700371.43,12541850.27,11968936.07,572914.2,,,32060.15,,,,,,,,2591826.1,,,,818452.4,,768973.7,47740.0,615558.08,39207.32,1325697.56,,30000.0,163879.25,,,672955.0,,,,,,,,3052171.6,,,
1.0,127041203.0,Beaver Area SD,Beaver,13204733.44,6992418.22,6399559.74,592858.48,,,,,,,,,,,1257384.31,,,,,,661047.3,53515.0,379364.28,39783.84,543198.46,,,145303.82,58297.51,,239950.0,,,,,20213.64,,,2814257.06,,,
1.0,127041503.0,Big Beaver Falls Area SD,Beaver,23063151.41,13584598.07,12926445.4,658152.67,738537.51,,11832.98,,,,,335.0,,,1795596.24,,,,400000.0,,931032.69,49280.0,390144.65,36892.85,1254099.57,,,,60000.0,,384341.0,,,,,,,,3426460.85,,,
1.0,127041603.0,Blackhawk SD,Beaver,18754588.15,10289479.71,9876662.75,412816.96,,,7016.39,,,39898.75,,2625.0,,,1871034.6,,,,,,1528725.95,73920.0,550936.76,,1082858.82,,,,,,359398.0,,,,,,,,2948694.17,,,
1.0,127042003.0,Central Valley SD,Beaver,16821773.66,10005377.46,9398895.64,606481.82,,,,,,,,,,,1770678.52,,,,,,525145.3,56210.0,220577.15,37349.87,1060366.85,,,,,,324054.0,,,,,,,,2822014.51,,,
1.0,127042853.0,Freedom Area SD,Beaver,14646273.7,9000794.4,8593339.61,407454.79,,,,,,,,,,,1211558.79,,,,,,585590.03,14245.0,865071.41,23700.6,630409.26,,10510.34,,,,268806.0,,,,,,,,2035587.87,,,
1.0,127044103.0,Hopewell Area SD,Beaver,20983549.76,11113356.6,10328738.82,784617.78,,,57262.66,,,,,,,,2134876.59,,,,,,834500.0,60830.0,832498.25,37740.92,1450949.46,,,,,,655523.0,,,,,6613.32,,,3799398.96,,,
1.0,127045303.0,Midland Borough SD,Beaver,5009109.78,3581614.96,3483829.86,97785.1,82261.91,,,,,,,,,,321086.61,,,,,,67005.81,4235.0,,4495.63,111771.79,,,146254.92,,,103258.0,,,,,,,,587125.15,,,
1.0,127045653.0,New Brighton Area SD,Beaver,19290750.08,12409141.64,11826043.85,583097.79,421262.88,,26654.57,,,,,,,,1632899.05,,,,,,674842.46,18865.0,,24581.13,846216.4,,30000.0,122340.04,,,331589.0,,,,,,,,2752357.91,,,
1.0,127045853.0,Riverside Beaver County SD,Beaver,14662326.32,8596144.54,8133045.62,463098.92,,,,,,,,,,,1280416.05,,,,200000.0,,517915.64,6545.0,320186.13,25032.65,1005817.07,,,105000.82,99955.06,,289853.0,,,,,33967.17,,,2181493.19,,,
1.0,127046903.0,Rochester Area SD,Beaver,12544348.81,7442024.64,7077960.45,364064.19,255439.25,,17623.83,,,,,,,,946339.21,,,,,,287579.44,22715.0,556922.05,7718.56,612345.77,,137380.28,,,,433274.0,,,,,,,,1824986.78,,,
1.0,127047404.0,South Side Area SD,Beaver,15251573.32,10922223.72,10496326.47,425897.25,,,,,,,,,,,824063.04,,,,,,633136.32,5005.0,190202.09,18022.67,457805.28,,,,40000.0,,188678.0,,,,,,,,1972437.2,,,
1.0,127049303.0,Western Beaver County SD,Beaver,10005931.99,6026287.07,5755562.99,270724.08,,,51419.92,,,,,,,,717450.81,,,,600000.0,,546138.09,9240.0,,13105.33,369300.19,,,201726.25,,,141256.0,,,,,2782.5,,,1327225.83,,,
1.0,108051003.0,Bedford Area SD,Bedford,15716533.66,8710262.2,8295846.99,414415.21,,,72779.58,,,,,,40.0,,1443755.45,,,,290517.88,,1275369.69,51205.0,418264.04,34286.74,822525.26,,,162544.06,,,328163.0,,,,,,,,2106820.76,,,
1.0,108051503.0,Chestnut Ridge SD,Bedford,15518549.1,9162689.85,8790540.57,372149.28,,,1233.18,,,43402.24,,,,,1106870.38,,,,340000.0,,1227222.4,20790.0,503475.74,24223.36,570077.95,,96363.08,,,,285476.0,272814.39,,,,,,,1863910.53,,,
1.0,108053003.0,Everett Area SD,Bedford,12846707.99,7332950.77,7010309.17,322641.6,,,39857.57,,,,,,,,1057098.29,,,,,,1248379.69,6160.0,370376.86,22604.3,740907.32,,,28312.5,41711.31,,245969.0,,,,,493.86,,,1711886.52,,,
1.0,108056004.0,Northern Bedford County SD,Bedford,9973759.11,6432724.14,6165502.45,267221.69,,,182780.87,,,120206.74,,,,,672180.32,,,,,,576580.95,3850.0,,16300.25,408482.48,,2025.44,,,,192894.0,,,,,127.76,,,1365606.16,,,
1.0,108058003.0,Tussey Mountain SD,Bedford,13405492.57,8485928.29,8185056.17,300872.12,,,54865.63,,,,,,,,863979.61,,,,211011.91,,954526.68,,410667.54,16417.63,428669.39,,,149849.44,,,233979.0,,,,,,,,1595597.45,,,
1.0,114060503.0,Antietam SD,Berks,9912596.82,5255881.23,4855575.65,400305.58,450790.48,,14927.8,,,,,,,,905200.69,,,,,,162388.9,13475.0,144134.98,23558.57,571879.84,,,197687.0,40750.0,,167132.0,,,,,,,,1964790.33,,,
1.0,114060753.0,Boyertown Area SD,Berks,41721211.06,18759737.57,16953174.08,1806563.49,,,152478.36,,,,,,,,4436171.06,,,,520556.0,,3066697.66,135520.0,1317360.96,125523.7,2152659.69,,335245.0,19642.86,,,776832.0,,,,,22809.6,,,9899976.6,,,
1.0,114060853.0,Brandywine Heights Area SD,Berks,10900285.73,5148008.54,4644172.56,503835.98,,,17018.1,,,,,,,,1253815.08,,,,150000.0,,552601.34,31185.0,32183.14,24197.9,990772.46,,,151117.48,,,205220.0,,,,,,,,2344166.69,,,
1.0,114061103.0,Conrad Weiser Area SD,Berks,17885688.88,8219349.93,7298079.04,921270.89,,,288141.34,,,,,,,,2074396.6,,,,,,839734.56,33568.31,378263.74,45315.99,1282812.77,,,,,,370988.0,,,,,,,,4353117.64,,,
1.0,114061503.0,Daniel Boone Area SD,Berks,19555905.44,10077179.54,9379774.93,697404.61,,,41130.21,,,,,,,,2060302.05,,,,,,1587386.7,128975.0,556457.11,56736.04,1482544.86,,,,,,489146.0,,,,,,,,3076047.93,,,
1.0,114062003.0,Exeter Township SD,Berks,25722724.47,11696708.26,10198265.0,1498443.26,,,87031.57,,,,,,,,2705404.68,,,,,,1058468.9,92015.0,663312.82,73794.02,1685735.08,,,,,,542921.0,,,,,56353.0,,,7060980.14,,,
1.0,114062503.0,Fleetwood Area SD,Berks,16149891.89,7297628.19,6503790.52,793837.67,,,139087.29,,,,,,80.0,,1801730.43,,,,,,705487.31,37345.0,233505.27,42083.71,1412496.36,,135393.0,,,,371717.0,,,,,,,,3973338.33,,,
1.0,114063003.0,Governor Mifflin SD,Berks,22306714.74,8891600.34,7737038.0,1154562.34,,,239230.12,,,,,,,,2947834.58,,,,400000.0,,1028744.58,57365.0,1110280.33,70095.01,1085258.92,,732.9,,,,686905.0,,,,,,,,5788667.96,,,
1.0,114063503.0,Hamburg Area SD,Berks,16344496.45,8535614.57,7827306.36,708308.21,,,83085.56,,,,,,,,1724711.27,,,,,,820682.78,13090.0,319281.56,38434.89,1044056.54,,,94921.39,,,338158.0,,,,,92.31,,,3332367.58,,,
1.0,114064003.0,Kutztown Area SD,Berks,10202521.15,4541628.14,4006869.98,534758.16,,,21332.87,,,43469.31,,,,,1048169.4,,,,,,765293.77,43120.0,10867.01,25669.66,769743.67,,64460.01,91666.7,,,140805.0,,,,,2985.1,,,2633310.51,,,
1.0,114065503.0,Muhlenberg SD,Berks,23457954.0,9846488.3,8421265.45,1425222.85,,,51422.94,,,,,,1000.0,,2317333.56,,,,,,628709.47,89705.0,1279500.74,77857.01,1508059.11,,,82706.0,,,947941.0,,,,,,,,6627230.87,,,
1.0,114066503.0,Oley Valley SD,Berks,11071585.75,4799037.63,4308345.38,490692.25,,,45644.6,,,81907.12,,,,,1245965.9,,,,150000.0,,841876.04,32340.0,185931.46,26561.84,785189.87,,246772.0,,,,206179.0,,,,,,,,2424180.29,,,
1.0,114067002.0,Reading SD,Berks,261278247.05,177022652.2,170711951.24,6310700.96,13315706.91,,80743.54,,,,,,,,17585034.82,,,,,,1330377.5,387695.0,6335171.81,,4636513.66,,,,,,4785693.0,,,,,,,,35798658.61,,,
1.0,114067503.0,Schuylkill Valley SD,Berks,10907538.2,4297363.62,3636393.27,660970.35,,,124714.99,,,,,,,,1208478.6,,,,,,910355.74,39655.0,124852.79,35827.16,745986.47,,,13194.2,,,197972.0,,,,,787.53,,,3208350.1,,,
1.0,114068003.0,Tulpehocken Area SD,Berks,10872024.0,5228841.79,4741135.56,487706.23,,,88567.15,,,21467.51,,2090.0,120.0,,1046379.01,,,,,,693790.23,34265.0,175866.9,25189.25,811765.92,,90969.71,,,,200065.0,,5499.7,,,,,,2447146.83,,,
1.0,114068103.0,Twin Valley SD,Berks,17807656.41,7451143.1,6515828.08,935315.02,,,144508.21,,,,,,,,1956001.24,,,,,,1834307.66,72765.0,182362.18,56506.74,1298408.68,,,,,,329551.0,,,,,,,,4482102.6,,,
1.0,114069103.0,Wilson SD,Berks,29801466.26,12683290.51,10696124.71,1987165.8,,,137364.17,,,,,,,,3202396.03,,,,,,901445.36,60060.0,309849.7,120665.7,1732298.43,,,162296.36,,,579495.0,,,,,76000.0,,,9836305.0,,,
1.0,114069353.0,Wyomissing Area SD,Berks,8237727.97,2997026.53,2370616.09,626410.44,,,7992.32,,,,,,,,1143770.1,,,,,,211509.63,20405.0,17410.22,34414.45,611539.42,,,,,,139739.0,,,,,618.26,,,3053303.04,,,
