Cat,AUN,LEA Name,County,"Object 100
Personnel Services - Salaries","Object 200
Personnel Services - Employee Benefits",Object 220 Social Security Contributions,Object 230 Retirement Contributions,"Object 300
Purchased Professional and Technical Services","Object 400
Purchased Property Services","Object 500
Other Purchased Services","Object 600
Supplies","Object 700
Property","Object 800
Other Objects","Object 900
Other Uses of Funds",Total
1.0,103026873.0,Northgate SD,Allegheny,11519474.76,7363291.819999999,868732.7000000001,4042847.73,1863565.22,1568366.29,3871350.16,1580887.93,177754.45,259571.68,275400.0,28479662.31
1.0,103027352.0,Penn Hills SD,Allegheny,27681118.650000002,17628532.02,2073218.14,9422128.84,4379301.54,941495.04,28610399.889999997,2881330.28,2015335.79,6074346.48,7473500.0,97685359.69
1.0,103021003.0,Pine-Richland SD,Allegheny,39009570.0,25560015.0,2904289.0,13630000.0,4507389.0,2531865.0,9543719.0,4451833.0,42702.0,3528083.0,13438262.0,102613438.0
1.0,102027451.0,Pittsburgh SD,Allegheny,240212485.11,154240387.05,17683490.13,84078083.91,65432670.580000006,6880871.220000001,187375163.39000005,23141410.689999998,10077925.27,22787053.93,36670524.0,746818491.24
1.0,103027503.0,Plum Borough SD,Allegheny,29849211.069999997,17483903.68,2209183.43,10278584.97,2548846.38,997319.3699999999,3546580.22,3901616.63,328865.65,3256389.84,6669844.0,68582576.84
1.0,103027753.0,Quaker Valley SD,Allegheny,22835251.07,13475828.07,1703822.81,7747206.97,1609690.82,712929.2400000001,3698384.3,2422152.15,358054.32,2956793.31,9495642.29,57564725.57
1.0,103028203.0,Riverview SD,Allegheny,10383490.879999999,7044818.51,766318.5900000001,3734832.5500000003,1097218.21,342385.64999999997,2862355.44,931293.85,422734.94000000006,875782.4299999999,2974246.01,26934325.92
1.0,103028302.0,Shaler Area SD,Allegheny,41665566.4,26426095.310000002,3119255.16,14631039.62,2715870.81,1125924.7799999998,9703573.57,3765377.5,507864.95999999996,212534.22999999998,7948661.03,94071468.59
1.0,103028653.0,South Allegheny SD,Allegheny,10711424.209999999,6621565.59,805392.1799999999,3679437.7600000002,2551256.34,1175173.73,6763791.44,1007068.3500000001,201545.71999999997,1362786.71,690897.56,31085509.65
1.0,103028703.0,South Fayette Township SD,Allegheny,29742384.849999998,18624095.06,2199874.9899999998,10348600.03,2394101.67,1067318.32,3631471.6499999994,3099118.31,1915887.87,3319297.64,5793568.85,69587244.22
1.0,103028753.0,South Park SD,Allegheny,15314339.080000002,9765687.3,1122455.55,5318605.8,1864844.4100000001,414394.01,4449008.54,1668996.3800000001,724725.72,2743492.83,2576269.74,39521758.01
1.0,103028833.0,Steel Valley SD,Allegheny,15572242.7,10418031.11,1163142.16,5338526.81,3392652.0900000003,1095891.69,9623740.129999999,1802744.95,392341.48,549766.8300000001,1773490.0,44620900.98
1.0,103028853.0,Sto-Rox SD,Allegheny,8106318.2299999995,5311764.76,611775.56,2924327.0100000002,2889246.0,529325.65,13204996.590000002,985979.02,384837.26,312561.66000000003,1572106.17,33297135.34
