Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,112011103.0,Bermudian Springs SD,Adams,26361936.57,14081000.419999998,476580.97000000003,14557581.39,0.5522,11448361.06,0.4343,355994.12,0.0135,,0.0
1.0,112011603.0,Conewago Valley SD,Adams,58144651.9,30230683.979999997,841200.48,31071884.46,0.5344,17710701.55,0.3046,652065.89,0.0112,8710000.0,0.1498
1.0,112013054.0,Fairfield Area SD,Adams,23162576.75,10096106.22,410942.2,10507048.42,0.4536,6090586.2,0.2629,148264.9,0.0064,6416677.23,0.277
1.0,112013753.0,Gettysburg Area SD,Adams,56304049.9,36428739.87,2824896.5300000003,39253636.4,0.6972,15878810.47,0.282,1166243.04,0.0207,5359.99,0.0001
1.0,112015203.0,Littlestown Area SD,Adams,28573476.63,16123679.52,436340.0899999999,16560019.61,0.5796,11473567.84,0.4015,539889.18,0.0189,,0.0
1.0,112018523.0,Upper Adams SD,Adams,25026119.37,13004357.000000002,742965.98,13747322.98,0.5493,10992845.39,0.4393,285951.0,0.0114,,0.0
1.0,103020603.0,Allegheny Valley SD,Allegheny,21521653.25,15265754.129999999,263188.03,15528942.16,0.7215,5753892.98,0.2674,238818.11,0.0111,,0.0
1.0,103020753.0,Avonworth SD,Allegheny,26757663.93,20110990.759999998,334311.45,20445302.21,0.7641,6069365.32,0.2268,227996.4,0.0085,15000.0,0.0006
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,60129921.35,35581561.15,1619011.85,37200573.0,0.6187,20899823.35,0.3476,1496593.53,0.0249,532931.47,0.0089
1.0,103021252.0,Bethel Park SD,Allegheny,80241968.28,57703525.57,1749660.18,59453185.75,0.7409,20389549.78,0.2541,373739.23,0.0047,25493.52,0.0003
1.0,103021453.0,Brentwood Borough SD,Allegheny,23220524.06,11453052.55,309297.81,11762350.36,0.5065,8612008.68,0.3709,366165.02,0.0158,2480000.0,0.1068
1.0,103021603.0,Carlynton SD,Allegheny,24139868.7,14814557.15,485162.31,15299719.46,0.6338,8047999.36,0.3334,792149.88,0.0328,,0.0
1.0,103021752.0,Chartiers Valley SD,Allegheny,57454805.64,42563432.93,1284723.23,43848156.16,0.7632,12848227.27,0.2236,757231.33,0.0132,1190.88,0.0
1.0,103021903.0,Clairton City SD,Allegheny,14418266.3,3043834.749999999,340857.66,3384692.41,0.2348,10178925.27,0.706,854648.62,0.0593,,0.0
1.0,103022103.0,Cornell SD,Allegheny,12247839.0,8068882.0,354883.0,8423765.0,0.6878,3509976.0,0.2866,308985.0,0.0252,5113.0,0.0004
1.0,103022253.0,Deer Lakes SD,Allegheny,34625188.45,21874243.320000004,550273.9099999999,22424517.23,0.6476,11682453.58,0.3374,518217.64,0.015,,0.0
1.0,103022503.0,Duquesne City SD,Allegheny,18836741.36,1746896.68,412758.76999999996,2159655.45,0.1147,13989566.76,0.7427,1342520.02,0.0713,1344999.13,0.0714
1.0,103022803.0,East Allegheny SD,Allegheny,29422317.0,14740566.450000001,1311583.55,16052150.0,0.5456,12724437.0,0.4325,645730.0,0.0219,,0.0
1.0,103023153.0,Elizabeth Forward SD,Allegheny,37908224.57,18540786.35,1447023.4400000002,19987809.79,0.5273,17525666.48,0.4623,394748.3,0.0104,,0.0
1.0,103023912.0,Fox Chapel Area SD,Allegheny,87716767.87,69382926.16,1290750.4,70673676.56,0.8057,15749454.64,0.1795,581900.81,0.0066,711735.86,0.0081
1.0,103024102.0,Gateway SD,Allegheny,69144609.02,49432999.239999995,1161184.83,50594184.07,0.7317,17642472.9,0.2552,907952.05,0.0131,,0.0
1.0,103024603.0,Hampton Township SD,Allegheny,45465532.02,32715601.0,412413.61,33128014.61,0.7286,12111353.06,0.2664,221966.05,0.0049,4198.3,0.0001
1.0,103024753.0,Highlands SD,Allegheny,39909889.91,18866138.31,858313.8799999999,19724452.19,0.4942,19169291.47,0.4803,881185.25,0.0221,134961.0,0.0034
1.0,103025002.0,Keystone Oaks SD,Allegheny,42675841.14,27407493.69,831479.7799999999,28238973.47,0.6617,10330952.99,0.2421,452879.95,0.0106,3653034.73,0.0856
1.0,103026002.0,McKeesport Area SD,Allegheny,60012563.0,13989458.0,1742838.0,15732296.0,0.2622,38054938.0,0.6341,5623041.0,0.0937,602288.0,0.01
1.0,103026303.0,Montour SD,Allegheny,60984974.05,45796096.39000001,1217738.3699999999,47013834.76,0.7709,12415111.62,0.2036,494626.85,0.0081,1061400.82,0.0174
1.0,103026343.0,Moon Area SD,Allegheny,65510856.0,48583227.0,1069681.0,49652908.0,0.7579,14518040.0,0.2216,1330908.0,0.0203,9000.0,0.0001
1.0,103026402.0,Mt Lebanon SD,Allegheny,87917843.05,68594621.23,1340503.91,69935125.14,0.7955,17569625.86,0.1998,413092.05,0.0047,,0.0
1.0,103026852.0,North Allegheny SD,Allegheny,136592589.77,105365018.45999998,1871594.29,107236612.75,0.7851,28292907.71,0.2071,1011832.13,0.0074,51237.18,0.0004
