Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)",Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Revenue from Federal Sources 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
1.0,112011103.0,Bermudian Springs SD,Adams,33924814.53,18354020.86,598343.4799999999,18952364.34,0.5587,13465515.44,0.3969,1327671.67,0.0391,179263.08,0.0053
1.0,112011603.0,Conewago Valley SD,Adams,74573016.61,41750410.169999994,1504732.67,43255142.84,0.58,22517270.11,0.3019,1513603.66,0.0203,7287000.0,0.0977
1.0,112013054.0,Fairfield Area SD,Adams,19913609.380000003,12218448.319999997,482155.57999999996,12700603.9,0.6378,6958886.23,0.3495,254119.25,0.0128,0.0,0.0
1.0,112013753.0,Gettysburg Area SD,Adams,68509421.56,42466845.20999999,3477546.74,45944391.95,0.6706,18850889.72,0.2752,3692132.84,0.0539,22007.05,0.0003
1.0,112015203.0,Littlestown Area SD,Adams,36953488.38,21588269.509999998,505379.85,22093649.36,0.5979,13768503.09,0.3726,1036632.93,0.0281,54703.0,0.0015
1.0,112018523.0,Upper Adams SD,Adams,36810992.870000005,16891979.87,1584094.6600000001,18476074.53,0.5019,13720397.56,0.3727,814085.78,0.0221,3800435.0,0.1032
1.0,103020603.0,Allegheny Valley SD,Allegheny,25294329.55,17601939.939999998,322892.24000000005,17924832.18,0.7087,6395175.27,0.2528,839502.1,0.0332,134820.0,0.0053
1.0,103020753.0,Avonworth SD,Allegheny,36087746.43,27168119.41,575836.1599999999,27743955.57,0.7688,7826770.35,0.2169,517020.51,0.0143,0.0,0.0
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,80462839.55,49676430.54,1413881.8900000001,51090312.43,0.635,25729861.21,0.3198,2992665.91,0.0372,650000.0,0.0081
1.0,103021252.0,Bethel Park SD,Allegheny,93223683.69000001,63409145.42,1707296.96,65116442.38,0.6985,24821517.42,0.2663,2113171.48,0.0227,1172552.41,0.0126
1.0,103021453.0,Brentwood Borough SD,Allegheny,28240648.630000003,15066944.91,437661.16,15504606.07,0.549,10654729.78,0.3773,1810678.64,0.0641,270634.14,0.0096
1.0,103021603.0,Carlynton SD,Allegheny,34212864.93,21441222.5,721669.0700000001,22162891.57,0.6478,9461738.25,0.2766,2588235.11,0.0757,0.0,0.0
