Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)",Local Other (6500-6999),Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Total Federal Revenue 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
3.0,101302607.0,Greene County CTC,Greene,3488936.63,,2225686.27,2225686.27,0.6379,573252.17,0.1643,658409.0,0.1887,31589.19,0.0091
3.0,111312607.0,Huntingdon County CTC,Huntingdon,2417113.04,,1778531.3099999998,1778531.31,0.7358,427846.22,0.177,77259.0,0.032,133476.51,0.0552
3.0,128324207.0,Indiana County Technology Center,Indiana,5124415.75,,4126851.4699999997,4126851.47,0.8053,842850.7,0.1645,153140.0,0.0299,1573.58,0.0003
3.0,106333407.0,Jefferson County-DuBois AVTS,Jefferson,7169551.529999999,,5698536.05,5698536.05,0.7948,962238.48,0.1342,508777.0,0.071,,0.0
3.0,119354207.0,CTC of Lackawanna County,Lackawanna,5974935.0,,4095231.0,4095231.0,0.6854,970826.0,0.1625,908878.0,0.1521,,0.0
3.0,113363807.0,Lancaster County CTC,Lancaster,24163099.64,,15717798.52,15717798.52,0.6505,3371455.34,0.1395,5068919.78,0.2098,4926.0,0.0002
3.0,104374207.0,Lawrence County CTC,Lawrence,6142446.7,,4784170.0,4784170.0,0.7789,899619.41,0.1465,357465.29,0.0582,101192.0,0.0165
3.0,113384307.0,Lebanon County CTC,Lebanon,7841439.92,,4829303.34,4829303.34,0.6159,1223502.98,0.156,1788633.6,0.2281,,0.0
3.0,121393007.0,Lehigh Career & Technical Institute,Lehigh,27284098.110000003,,22110888.17,22110888.17,0.8104,4341934.1,0.1591,814126.0,0.0298,17149.84,0.0006
3.0,118408707.0,West Side CTC,Luzerne,6285372.46,,5114616.630000001,5114616.63,0.8137,968311.33,0.1541,202444.5,0.0322,,0.0
3.0,118408607.0,Wilkes-Barre Area CTC,Luzerne,8873031.629999999,,6997758.75,6997758.75,0.7887,1262237.76,0.1423,347733.0,0.0392,265302.12,0.0299
3.0,117414807.0,Lycoming CTC,Lycoming,1621577.31,,1214837.0799999998,1214837.08,0.7492,313900.19,0.1936,91258.04,0.0563,1582.0,0.001
3.0,109420107.0,Seneca Highlands Career and Technical Center,McKean,1884882.19,,1460786.19,1460786.19,0.775,424096.0,0.225,,0.0,,0.0
3.0,104435107.0,Mercer County Career Center,Mercer,5118533.59,,4028831.0,4028831.0,0.7871,812681.04,0.1588,277021.55,0.0541,,0.0
3.0,111444207.0,Mifflin-Juniata CTC,Mifflin,2848380.96,,2054422.67,2054422.67,0.7213,566269.02,0.1988,177689.27,0.0624,50000.0,0.0176
3.0,120454507.0,Monroe Career & Tech Inst,Monroe,9376103.479999999,,7415093.98,7415093.98,0.7909,1509750.84,0.161,447692.12,0.0477,3566.54,0.0004
3.0,123460957.0,Central Montco Technical High School,Montgomery,7042449.5,,5955845.500000001,5955845.5,0.8457,761964.83,0.1082,324639.17,0.0461,,0.0
3.0,123463507.0,Eastern Center for Arts & Technology,Montgomery,8826951.0,,6701072.0,6701072.0,0.7592,991759.0,0.1124,1132429.0,0.1283,1691.0,0.0002
3.0,123465507.0,North Montco Tech Career Center,Montgomery,11472525.92,,9818892.23,9818892.23,0.8559,1376917.69,0.12,276716.0,0.0241,,0.0
3.0,123469007.0,Western Montgomery CTC,Montgomery,4676525.350000001,,3963035.22,3963035.22,0.8474,597456.13,0.1278,116034.0,0.0248,,0.0
3.0,120481107.0,Bethlehem AVTS,Northampton,10111171.899999999,,8437858.61,8437858.61,0.8345,1381995.59,0.1367,289371.0,0.0286,1946.7,0.0002
3.0,120483007.0,Career Institute of Technology,Northampton,8080303.32,,6893528.540000001,6893528.54,0.8531,975936.57,0.1208,210545.61,0.0261,292.6,0.0
3.0,116495207.0,Northumberland County CTC,Northumberland,1842690.91,,1501873.99,1501873.99,0.815,268777.92,0.1459,72039.0,0.0391,,0.0
3.0,126514007.0,Philadelphia AVTS,Philadelphia,41511657.730000004,,33027363.0,33027363.0,0.7956,8484294.73,0.2044,,0.0,,0.0
3.0,129546907.0,Schuylkill Technology Centers,Schuylkill,6678499.3100000005,,5231041.829999999,5231041.83,0.7833,988772.61,0.1481,267253.87,0.04,191431.0,0.0287
3.0,108567807.0,Somerset County Technology Center,Somerset,6027891.010000001,,4223961.2299999995,4223961.23,0.7007,870816.28,0.1445,933113.5,0.1548,,0.0
3.0,119584707.0,Susquehanna County CTC,Susquehanna,4736958.66,,3348763.6899999995,3348763.69,0.7069,694415.81,0.1466,693779.16,0.1465,,0.0
3.0,116606707.0,SUN Area Technical Institute,Union,6650296.0,,5644689.0,5644689.0,0.8488,849564.0,0.1277,156043.0,0.0235,,0.0
3.0,106619107.0,Venango Technology Center,Venango,6059793.77,,4890449.3100000005,4890449.31,0.807,1001529.46,0.1653,167815.0,0.0277,,0.0
3.0,101634207.0,Mon Valley CTC,Washington,2897636.68,,2263441.37,2263441.37,0.7811,516086.31,0.1781,118109.0,0.0408,,0.0
3.0,101638907.0,Western Area CTC,Washington,5486607.899999999,,3804743.63,3804743.63,0.6935,787848.76,0.1436,894015.51,0.1629,,0.0
3.0,107651207.0,Central Westmoreland CTC,Westmoreland,7074398.24,,5469238.109999999,5469238.11,0.7731,1287188.9,0.182,317971.23,0.0449,,0.0
3.0,107652207.0,Eastern Westmoreland CTC,Westmoreland,3599682.2199999997,,2867664.5,2867664.5,0.7966,620001.72,0.1722,97016.0,0.027,15000.0,0.0042
3.0,107656407.0,Northern Westmoreland CTC,Westmoreland,3018697.01,,2372211.15,2372211.15,0.7858,499694.86,0.1655,146791.0,0.0486,,0.0
3.0,112679107.0,York Co School of Technology,York,24339563.150000002,,19938285.67,19938285.67,0.8192,3520812.3,0.1447,880465.18,0.0362,,0.0
4.0,197010542.0,Gettysburg Montessori Charter School,Adams,1644504.0,,1560172.0,1560172.0,0.9487,53567.0,0.0326,27682.0,0.0168,3083.0,0.0019
4.0,141019741.0,Vida Charter School,Adams,2517672.0,,2330824.0,2330824.0,0.9258,105580.0,0.0419,81268.0,0.0323,,0.0
4.0,102020003.0,Academy CS,Allegheny,3374767.0,,3183782.0,3183782.0,0.9434,3879.0,0.0011,187106.0,0.0554,,0.0
4.0,102023180.0,Career Connections CHS,Allegheny,4047943.0,,3527072.0,3527072.0,0.8713,205662.0,0.0508,315209.0,0.0779,,0.0
4.0,102020001.0,City CHS,Allegheny,9839556.0,,9058574.0,9058574.0,0.9206,406940.0,0.0414,374042.0,0.038,,0.0
4.0,199025446.0,Environmental Charter School at Frick Park,Allegheny,9468028.0,,8721643.0,8721643.0,0.9212,470506.0,0.0497,234559.0,0.0248,41320.0,0.0044
4.0,102023030.0,Manchester Academic CS,Allegheny,4232234.0,,3710539.0,3710539.0,0.8767,250897.0,0.0593,270798.0,0.064,,0.0
4.0,103022481.0,Penn Hills Charter School for Entrepreneurship,Allegheny,0.0,,,,,,,,,,
4.0,115220003.0,Pennsylvania Distance Learning CS,Allegheny,5811209.0,,5465894.0,5465894.0,0.9406,157580.0,0.0271,187735.0,0.0323,,0.0
4.0,160028259.0,Propel CS-Braddock Hills,Allegheny,9031015.0,,8496724.0,8496724.0,0.9408,361716.0,0.0401,172575.0,0.0191,,0.0
4.0,103020005.0,Propel CS-East,Allegheny,5705645.0,,5360986.0,5360986.0,0.9396,235057.0,0.0412,109602.0,0.0192,,0.0
4.0,103020002.0,Propel CS-Homestead,Allegheny,12479302.0,,11357403.0,11357403.0,0.9101,697839.0,0.0559,424060.0,0.034,,0.0
4.0,103020003.0,Propel CS-McKeesport,Allegheny,4750195.0,,4303944.0,4303944.0,0.9061,286539.0,0.0603,159712.0,0.0336,,0.0
4.0,103020004.0,Propel CS-Montour,Allegheny,5491330.0,,5020870.0,5020870.0,0.9143,176474.0,0.0321,293986.0,0.0535,,0.0
4.0,103028192.0,Propel CS-Northside,Allegheny,4317857.0,,4081834.0,4081834.0,0.9453,137859.0,0.0319,98164.0,0.0227,,0.0
4.0,103024162.0,Propel CS-Pitcairn,Allegheny,4307663.0,,4116175.0,4116175.0,0.9555,140139.0,0.0325,51349.0,0.0119,,0.0
4.0,103023410.0,Spectrum CS,Allegheny,891613.0,,857557.0,857557.0,0.9618,33943.0,0.0381,113.0,0.0001,,0.0
4.0,103023090.0,Urban League of Greater Pittsburgh CS,Allegheny,3144529.0,,2877186.0,2877186.0,0.915,158593.0,0.0504,98980.0,0.0315,9770.0,0.0031
4.0,102023080.0,Urban Pathways 6-12 CS,Allegheny,5740529.050000001,,5170833.2,5170833.2,0.9008,176839.15,0.0308,295575.41,0.0515,97281.29,0.0169
4.0,103028246.0,Urban Pathways K-5 College Charter School,Allegheny,4091582.0,,3539114.0,3539114.0,0.865,112396.0,0.0275,440072.0,0.1076,,0.0
4.0,103025206.0,Young Scholars of Western Pennsylvania CS,Allegheny,3304427.0,,2944954.0,2944954.0,0.8912,129900.0,0.0393,229573.0,0.0695,,0.0
4.0,127046517.0,Baden Academy CS,Beaver,4151866.7700000005,,3930240.74,3930240.74,0.9466,119716.35,0.0288,101909.68,0.0245,,0.0
4.0,127040001.0,Beaver Area Academic CS,Beaver,970535.0,,930892.0,930892.0,0.9592,35244.0,0.0363,4399.0,0.0045,,0.0
