Cat,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,Actual Instruction Expense (AIE),"Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education Programs 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,127047404.0,South Side Area SD,Beaver,13069373.37,7986801.26,668685.3,21724859.93,84987.72,1415831.87,23225679.52,16504537.5,10239453.69,2604038.01,185433.26,40448.41,,,,,750612.78,944811.43,1601481.16,247036.7,397251.98,2524539.88,1427741.72,59657.11,33668.5
1.0,127049303.0,Western Beaver County SD,Beaver,8864918.82,4683018.56,364119.22,13912056.6,,604924.09,14516980.69,9766658.97,5289548.12,2065445.87,598635.32,126225.48,4677.4,,,780386.63,304993.2,277280.95,1112709.42,168899.09,126408.49,1439946.96,1247481.52,,5298.93
1.0,108051003.0,Bedford Area SD,Bedford,17340973.52,9936924.27,810426.28,28088324.07,,2094456.28,30182780.35,19404596.52,12257253.61,3296380.23,1065796.62,713559.06,,,,7984.0,748246.38,964636.26,2309055.89,356344.0,429838.44,2134730.65,2168370.22,400876.25,424826.18
1.0,108051503.0,Chestnut Ridge SD,Bedford,12182514.06,7132121.05,456764.98,19771400.09,,1736477.28,21507877.37,12907553.87,8200942.71,2324722.03,907627.2,418463.03,,,,330759.09,568618.33,553392.93,1538644.67,272814.21,480760.2,1748106.81,1709782.54,254372.91,5628.45
1.0,108053003.0,Everett Area SD,Bedford,11198470.13,6848707.83,436568.49,18483746.45,108714.96,3573347.86,22165809.27,11313395.61,7377913.05,2498253.02,761510.99,560793.07,,,,,697357.24,291006.58,1344916.68,227054.88,276925.05,1761012.3,1586532.39,294839.44,369063.27
1.0,108056004.0,Northern Bedford County SD,Bedford,8572106.35,3883953.4,333563.07,12789622.82,,1064184.24,13853807.06,8501840.56,6115000.23,1634586.11,589091.84,149516.6,,,,83911.57,485529.47,141201.88,1032714.08,128064.72,167968.62,1020013.19,794946.15,110166.49,3348.8
1.0,108058003.0,Tussey Mountain SD,Bedford,9255274.28,4995993.36,428641.74,14679909.38,404170.56,2126981.75,17211061.69,10018833.67,6209626.44,2151564.37,361563.52,349211.89,,,,183308.06,444103.69,108137.12,1221038.52,256220.83,231090.82,1253284.31,1199151.35,192117.37,90849.35
1.0,114060503.0,Antietam SD,Berks,12032899.24,5692529.32,396011.03,18121439.590000004,,1903776.61,20025216.2,12320206.87,7424819.67,4175908.67,381745.33,16583.73,33841.84,,,,633215.08,677926.69,1529133.57,195863.69,370845.47,1597751.73,235304.48,433552.89,18935.72
1.0,114060753.0,Boyertown Area SD,Berks,74131763.99,33598336.59,1576281.87,109306382.45,,8153499.63,117459882.08,82973826.7,51540627.84,19788188.65,2199115.07,373771.02,,65.0,,229996.41,3594039.09,4793445.97,6173159.32,1008583.29,1271246.5,7476274.0,5677704.17,3503387.5,100496.75
1.0,114060853.0,Brandywine Heights Area SD,Berks,18013960.99,9628141.1,662884.56,28304986.649999995,780468.46,3731346.65,32816801.76,21928519.6,13157553.56,4299861.42,554532.0,2014.01,,,,,1115469.21,1522299.99,1529850.04,390506.6,635477.82,2211025.58,1511939.51,688190.18,23382.17
1.0,114061103.0,Conrad Weiser Area SD,Berks,31601961.79,13674030.71,1265066.79,46541059.29,,5084206.17,51625265.46,32538438.59,19599629.36,9784813.78,1858103.73,359414.92,,,,,1825606.17,1587682.29,2602293.51,580446.42,713361.87,3632811.19,1992369.1,704371.96,35088.2
1.0,114061503.0,Daniel Boone Area SD,Berks,34892444.0,15550217.18,1003586.25,51446247.43,,26345465.71,77791713.14,38398291.19,24867947.6,8700608.17,1228200.0,78505.96,17182.27,,,,1440757.07,3175876.45,3051031.1,535562.72,584694.0,3603222.97,3056482.91,65162.95,37427.01
1.0,114062003.0,Exeter Township SD,Berks,45672886.84,20268965.86,1603400.0,67545252.7,95216.41,31156704.57,98797173.68,51514723.25,30958834.26,13194226.27,1378387.86,128621.46,12816.99,,,,2464685.63,2553548.31,3687569.12,794216.17,672875.73,5210520.27,3198714.19,1637181.12,49655.32
1.0,114062503.0,Fleetwood Area SD,Berks,28140393.8,12739039.88,716792.5,41596226.18,,6017384.46,47613610.64,31970076.26,18719336.7,7532233.6,1877112.12,1837.38,9874.0,,,,1420215.28,2397962.52,2296126.75,575848.18,561711.98,3500729.0,1527951.63,426560.19,31934.35
1.0,114063003.0,Governor Mifflin SD,Berks,43032007.23,19528249.59,1855258.95,64415515.769999996,17672.0,6971813.6,71405001.37,50309352.61,28508426.36,12812740.17,1276173.0,74620.75,22126.23,,,337920.72,2604304.3,3347677.69,3657573.36,578061.52,1218773.8,5165725.55,1950272.17,950769.72,55091.48
1.0,114063503.0,Hamburg Area SD,Berks,24664888.47,12624386.15,775604.56,38064879.18,5400.0,4394813.59,42465092.77,29100873.0,16817540.8,6931108.07,846214.74,59854.86,,,10170.0,,1628412.71,1156972.11,1986935.19,491186.99,564217.76,3684434.57,1755418.48,1326999.99,29808.35
1.0,114064003.0,Kutztown Area SD,Berks,18538968.94,10040856.0,775499.91,29355324.85,574225.0,10634275.4,40563825.25,22701565.94,13252031.54,4425243.26,829270.07,28174.03,,4250.04,,,1099181.23,1661308.8,2099841.02,554516.82,475846.64,2662812.6,1342829.47,117671.44,26847.98
1.0,114065503.0,Muhlenberg SD,Berks,36752339.04,18234604.56,1655134.08,56642077.67999999,,7418489.11,64060566.79,42148136.94,24773732.78,9546326.84,1821288.93,566604.67,44385.82,,,,2878587.52,1812559.0,3785446.54,775614.97,647812.75,4685996.43,2515746.18,1089554.72,43286.45
1.0,114066503.0,Oley Valley SD,Berks,19052507.81,10430730.84,665519.16,30148757.81,,3134766.56,33283524.37,22756885.11,12763543.19,5354658.53,927540.01,1741.08,5025.0,,,,1253338.34,1102770.02,2407448.94,527319.74,506854.74,2570164.98,1620218.51,415561.45,27054.12
1.0,114067002.0,Reading SD,Berks,167855864.74,78584950.48,3275631.9,249716447.12000003,5135247.32,24517079.18,279368773.62,168039929.7,105747228.42,51028194.42,5487254.11,2902513.44,701844.36,17853.69,,1970976.3,10900074.67,5929304.93,19398151.24,4321480.43,2092844.45,20538942.81,5817429.79,9543394.9,43327.26
1.0,114067503.0,Schuylkill Valley SD,Berks,23855886.41,10645491.67,1115733.48,35617111.559999995,,3282095.17,38899206.73,26966183.01,17337521.72,5505210.36,526458.0,473573.96,13122.37,,,,1243945.16,772725.4,2343195.07,389660.32,479929.48,2332089.21,1809188.98,1242857.9,31900.15
1.0,114068003.0,Tulpehocken Area SD,Berks,18396799.6,8971150.02,435791.26,27803740.880000003,,5250619.03,33054359.91,20997201.9,13120282.98,4393128.53,642570.68,238322.41,2495.0,,,,1175550.28,1027422.47,1576896.42,366592.72,459211.07,2394270.77,1324637.48,623387.95,23180.86
1.0,114068103.0,Twin Valley SD,Berks,39499270.29,17465032.86,938282.47,57902585.62,457.0,5916477.96,63819520.58,42836706.66,24139835.15,11251201.9,1915252.57,2181823.85,11156.82,,,,2814023.87,3163946.88,2971693.02,533964.88,701898.39,3623565.96,3312262.33,288474.65,55202.88
1.0,114069103.0,Wilson SD,Berks,64939488.77,28407721.36,2431878.02,95779088.14999999,,10989738.56,106768826.71,75088415.85,43766657.78,18173568.16,2628808.62,353741.98,16712.23,,,,3720989.2,5422314.54,5965284.87,1145884.86,1125556.42,7277601.0,2927615.79,648637.43,173837.25
1.0,114069353.0,Wyomissing Area SD,Berks,21289566.82,11409153.32,964917.5,33663637.64,,4201085.35,37864722.99,26835645.46,15145974.14,5690521.37,430407.37,22663.94,,,,,1532555.91,718215.46,2639192.65,488947.89,711429.91,2764135.89,736203.34,1791596.08,26876.19
1.0,108070502.0,Altoona Area SD,Blair,69987996.96,33219799.03,2024279.74,105232075.72999999,59825.99,7090164.28,112382066.0,67319592.68,46134924.96,19421748.3,3158320.24,840527.55,78082.35,354393.56,,,4791869.1,2251839.29,7008356.97,1300658.86,1504456.86,10658426.49,3881767.48,1768286.54,54137.44
1.0,108071003.0,Bellwood-Antis SD,Blair,10970713.66,5981181.96,536441.65,17488337.27,624900.0,8071636.44,26184873.71,12034717.56,8220149.81,2112935.04,513804.1,123824.71,,,,,531264.56,1109159.61,1415670.07,233764.03,313275.63,1644214.44,655430.2,74603.21,3800.21
1.0,108071504.0,Claysburg-Kimmel SD,Blair,6917527.98,4670604.0,389412.13,11977544.110000001,,1135601.4,13113145.51,7882274.39,4967918.48,1369543.83,578168.68,1896.99,,,,,395877.79,488374.89,873930.94,277650.14,199884.01,1351933.83,624856.7,455999.98,2095.72
1.0,108073503.0,Hollidaysburg Area SD,Blair,30337139.88,15256293.17,975240.56,46568673.61,,4469911.06,51038584.67,36018580.04,22429469.68,6634609.1,980586.98,267377.89,25096.23,,,,1554573.86,2280852.8,3426093.08,580722.8,694081.87,4508130.09,2112056.18,84040.9,15741.59
1.0,108077503.0,Spring Cove SD,Blair,14844705.79,8607757.86,555890.23,24008353.88,,16955603.84,40963957.72,16048970.96,10986703.61,3343836.19,499919.98,14246.01,,,,,908872.87,629753.5,1578817.34,397594.79,495816.83,2810326.42,1551491.15,227843.81,7241.15
