Cat,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,Actual Instruction Expense (AIE),"Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education Programs 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,116191203.0,Bloomsburg Area SD,Columbia,16184408.52,8855196.49,733182.84,25772787.849999998,,8232151.21,34004939.06,19174188.98,11820750.54,2440105.51,1569140.42,182515.86,4112.95,,167783.24,,896827.59,911077.93,1753708.27,373581.35,366458.55,2213312.49,1085410.79,1254819.52,
1.0,116191503.0,Central Columbia SD,Columbia,18556877.28,9809349.94,647865.47,29014092.689999998,,19283767.83,48297860.52,21476586.96,12180847.66,4033433.0,2243863.29,92452.33,6281.0,,,,984274.8,1932964.46,2225917.56,322234.52,467995.61,2484401.13,1343535.4,48026.46,
1.0,116195004.0,Millville Area SD,Columbia,8657621.85,5231900.45,269846.14,14159368.440000001,,633196.48,14792564.92,10846948.24,5385976.64,2115974.64,673484.46,482186.11,,,,,575221.59,700836.69,988888.71,126766.08,450442.26,1655109.95,701235.86,33399.31,
1.0,116197503.0,Southern Columbia Area SD,Columbia,13299816.06,6527121.17,570345.13,20397282.36,,2029805.42,22427087.78,14563840.67,8815329.8,3001299.45,1473101.37,7585.44,,,,2500.0,687134.96,447858.96,1361867.77,202080.17,303993.81,1623139.12,1426009.15,475037.23,
1.0,105201033.0,Conneaut SD,Crawford,21274237.45,13421767.22,772559.52,35468564.190000005,,4246858.34,39715422.53,23422472.11,13211354.91,5313869.51,2468938.43,274402.6,5672.0,,,,1153578.64,1171315.0,2426335.83,596977.39,498203.3,2959128.53,3710885.66,852478.43,52864.44
1.0,105201352.0,Crawford Central SD,Crawford,34189805.73,19522922.58,1135622.16,54848350.46999999,,13837858.01,68686208.48,37232140.19,23192662.38,9003302.21,1484133.33,483674.32,26033.49,,,,2081654.73,3278857.92,3381832.51,808442.28,654190.24,4571148.26,3952683.64,726138.12,67974.88
1.0,105204703.0,Penncrest SD,Crawford,32917942.22,15103513.05,892381.59,48913836.86,,1641168.97,50555005.83,29955270.13,23070780.35,6551089.59,1363811.36,1637797.38,294463.54,,,,1245872.16,2148389.75,2782770.11,806056.65,632748.05,3647849.22,3697031.84,89057.68,53737.59
1.0,115210503.0,Big Spring SD,Cumberland,31511253.78,14960570.66,1033849.32,47505673.76,,5829040.46,53334714.22,35869986.8,20477260.03,10237978.89,689350.13,103585.73,3079.0,,,,1830633.01,1563217.04,2838569.26,551485.57,438897.55,4110466.7,2468623.6,1130849.48,27828.45
1.0,115211003.0,Camp Hill SD,Cumberland,14336115.37,6642232.87,880989.24,21859337.479999997,,11775649.04,33634986.52,18072229.41,10663001.31,3547457.06,54877.0,,4823.0,65957.0,,,1242912.35,860334.6,1813238.61,234231.32,391178.24,1921089.15,166001.52,,13247.08
1.0,115211103.0,Carlisle Area SD,Cumberland,47505695.74,24523976.95,1523986.61,73553659.3,,11411626.76,84965286.06,55031902.91,32093618.95,10684657.97,1763751.13,2715134.76,20578.23,227954.7,,,3970020.87,2072235.48,5141599.14,1124250.59,664524.67,5561515.55,3649358.83,2288322.41,52149.41
1.0,115211603.0,Cumberland Valley SD,Cumberland,76554754.0,46926543.0,2258296.0,125739593.0,216648.0,12610351.0,138566592.0,98074069.58,52419654.0,20995814.0,954718.0,1569538.0,8206.0,501718.0,100356.0,4750.0,4516135.0,8559690.0,7437414.0,1213757.0,2112738.0,13081849.0,7067936.0,2811868.0,125156.0
1.0,115212503.0,East Pennsboro Area SD,Cumberland,26449708.14,11629398.26,714424.12,38793530.519999996,329474.79,4230181.3,43353186.61,30252699.8,18713028.81,7088443.14,442112.94,936.51,8479.74,196707.0,,,1196305.1,1217018.44,2669705.21,552199.94,571146.91,2756951.05,1718296.64,917441.44,30333.53
1.0,115216503.0,Mechanicsburg Area SD,Cumberland,44103980.82,19629795.49,2158222.72,65891999.03,38791.65,7434239.3,73365029.98,51675798.73,32417227.49,10851079.28,370515.4,201888.16,8456.49,240814.0,,14000.0,3065726.11,2180322.46,4018303.67,844257.38,854617.95,4448424.28,1876879.28,1949209.66,392054.7
1.0,115218003.0,Shippensburg Area SD,Cumberland,31964801.21,13877910.69,829284.83,46671996.73,970245.58,3925397.47,51567639.78,34925697.22,22252544.85,7647971.4,1772354.5,285258.46,,,6672.0,,2113691.71,2290096.03,2538972.3,632730.07,576507.15,3188134.07,2249075.92,255254.0,33449.44
1.0,115218303.0,South Middleton SD,Cumberland,20068467.25,11801285.08,841261.85,32711014.18,,4192400.29,36903414.47,25318137.07,14467568.59,5053034.95,399640.0,48692.71,380.0,99151.0,,,1537364.76,2099000.29,2499252.82,520828.4,659160.0,2743246.38,1679289.66,31319.0,31823.77
1.0,115221402.0,Central Dauphin SD,Dauphin,131497602.81,53673523.99,2991355.69,188162482.49,,13835567.48,201998049.97,142861083.35,89073813.23,33237623.29,6379729.73,1755819.56,,1050617.0,,,6774350.22,3767641.6,11281500.56,2733886.8,1357103.73,13944781.42,8597422.73,4985162.38,231674.55
1.0,115221753.0,Derry Township SD,Dauphin,35764217.21,21032401.08,1590813.31,58387431.6,,6523963.97,64911395.57,45454901.24,25421325.38,8591771.59,1454230.2,136527.04,,160363.0,,,2187184.63,2570384.54,3707159.66,1077117.76,867944.66,5841578.07,2768793.59,1960560.7,51677.47
1.0,115222504.0,Halifax Area SD,Dauphin,11728835.62,6293012.48,429517.03,18451365.130000003,,10229238.29,28680603.42,13636818.5,7788521.6,2996617.92,729126.74,1046.81,,65159.0,,148363.55,736532.94,636318.25,1332127.69,184447.86,479486.29,1421814.7,1034853.42,458899.33,8532.0
1.0,115222752.0,Harrisburg City SD,Dauphin,87462580.0,36379237.0,1103780.0,124945597.0,,19949342.0,144894939.0,83422842.04,51433627.0,27710754.0,3883693.0,3423983.0,281419.0,,556749.0,172355.0,5273952.0,4254583.0,7878595.0,1204487.0,954881.0,9482557.0,3757298.0,3039212.0,533672.0
1.0,115224003.0,Lower Dauphin SD,Dauphin,40525734.48,18619399.88,928258.63,60073392.99,,4829674.07,64903067.06,45675258.87,25021985.14,11270878.58,2875735.22,1139264.56,,202144.0,,15726.98,2455307.92,2575068.94,3822439.09,673709.89,515713.44,5327046.05,2751061.43,457815.65,41237.47
1.0,115226003.0,Middletown Area SD,Dauphin,26569747.63,14668431.71,1344917.96,42583097.300000004,149498.47,6875699.59,49608295.36,31876412.17,18014125.18,7044996.45,1260665.32,94734.68,5074.0,150152.0,,,2392642.82,1232683.37,2688387.0,721533.82,672609.67,3754672.02,1425814.63,1754451.61,25636.77
1.0,115226103.0,Millersburg Area SD,Dauphin,9149160.34,4123832.95,320280.45,13593273.739999998,28665.0,9799030.47,23420969.21,9408308.92,6571392.53,2385499.73,137905.18,7337.9,,47025.0,,,347279.88,570377.46,1124411.28,174939.53,332798.07,951872.15,413631.81,202225.3,6297.47
1.0,115228003.0,Steelton-Highspire SD,Dauphin,15997578.05,7442831.24,199243.0,23639652.29,,2616716.0,26256368.29,15171937.93,7901917.55,6402037.0,231259.0,950624.5,32344.0,,140167.0,339229.0,879227.0,590994.0,1406451.0,164225.0,634413.24,1921831.0,905582.0,,940108.0
1.0,115228303.0,Susquehanna Township SD,Dauphin,32860050.5,14409641.03,928030.24,48197721.77,,35080697.57,83278419.34,37626649.07,20983137.71,9394381.82,1653794.06,529911.1,27137.81,271688.0,,,1455763.53,808720.95,3162198.3,493071.03,1077118.02,3614523.19,2197945.62,1554068.45,46231.94
1.0,115229003.0,Upper Dauphin Area SD,Dauphin,12934977.48,5863253.76,397987.83,19196219.07,40669.7,1255088.42,20491977.19,13445326.14,8608782.31,3270965.27,847942.5,44241.3,,38969.25,,124076.85,567494.66,400463.29,1136999.06,211195.49,326000.03,1493839.69,1238897.27,478831.32,9532.95
1.0,125231232.0,Chester-Upland SD,Delaware,101746413.73,30274028.24,498679.96,132519121.92999999,130016.21,9926146.29,142575284.43,100333474.41,51489698.49,45745199.58,1316107.55,2114182.43,,,50686.64,1030539.04,4708587.35,2718799.28,4565696.76,1298211.55,3239598.07,6841929.26,5242646.42,1619791.17,38768.38
1.0,125231303.0,Chichester SD,Delaware,47425697.29,22725429.0,1547824.46,71698950.74999999,8707.0,7366804.56,79074462.31,53467301.96,30541104.17,14975389.61,601251.0,1297858.51,10094.0,,,,3827304.22,1403710.04,3951134.15,568187.83,908014.92,5642326.06,4035885.26,2355165.52,33701.0
1.0,125234103.0,Garnet Valley SD,Delaware,68203314.58,24943628.69,2270656.25,95417599.52,77691.51,13826741.33,109322032.36,76370378.96,46799499.05,20498396.7,681719.0,9762.83,,213937.0,,,2806152.03,2081711.56,5722139.7,678613.01,1092445.13,5988715.02,4558282.05,1926011.87,89558.32
1.0,125234502.0,Haverford Township SD,Delaware,75847304.03,35211737.08,1559750.43,112618791.54,,11198322.13,123817113.67,88517019.17,49387452.18,23896396.6,680991.65,545509.6,13508.0,1323446.0,,,5821336.9,4184670.25,5698734.19,2229915.53,1419119.15,8720157.93,5004482.83,2020788.11,112532.19
1.0,125235103.0,Interboro SD,Delaware,42613852.72,20571489.49,951992.45,64137334.66,31138.19,4211523.37,68379996.22,47050941.15,28941274.65,11342099.15,927172.0,505105.62,,455067.0,,443134.3,3408538.31,1483866.89,5001158.24,853027.37,638622.26,4477918.08,2943563.68,1727635.19,37159.47
1.0,125235502.0,Marple Newtown SD,Delaware,46496439.05,29918291.88,1507798.6,77922529.52999999,,14431520.28,92354049.81,56936910.55,28054955.26,18041686.81,300619.27,57118.02,42059.69,,,,3117053.73,3681490.6,4110724.86,1791752.59,1178681.85,7163513.71,6555805.52,2207455.13,111813.89
1.0,125236903.0,Penn-Delco SD,Delaware,34438449.19,20434312.66,1035491.5,55908253.349999994,15687.48,9085841.36,65009782.19,42677373.0,23199595.37,10606420.55,588504.0,32179.72,4515.0,7234.55,,,2456219.46,2097133.99,3895203.96,799799.85,945660.01,4696917.88,3595792.73,1903332.31,44252.47
1.0,125237603.0,Radnor Township SD,Delaware,57293580.52,31534626.1,1331225.95,90159432.57000001,,7198228.74,97357661.31,69341855.81,41060915.6,14776389.42,262707.82,33722.68,,1159845.0,,,4311616.68,4297699.97,5849218.19,1189122.32,996743.23,8408375.28,4872931.23,1529721.5,79197.7
1.0,125237702.0,Ridley SD,Delaware,77975818.73,30198296.44,1167110.89,109341226.06,,12615308.02,121956534.08,84685819.86,54944542.09,19841534.45,1139100.0,1339572.19,,711070.0,,,4559584.0,1637081.81,6804138.36,1731158.76,1224902.81,7584129.85,3632742.09,2965643.69,58915.07
1.0,125237903.0,Rose Tree Media SD,Delaware,55283790.63,30060546.51,1706067.05,87050404.19,,11129649.46,98180053.65,66865990.6,38621783.13,14398343.57,436215.54,893188.39,9017.0,925243.0,,,3354934.53,4141258.05,5311136.14,881155.81,1353696.28,7941599.71,5631320.43,1316139.22,129306.34
1.0,125238402.0,Southeast Delco SD,Delaware,52706730.47,21881666.99,1001765.34,75590162.8,,6635548.38,82225711.18,50480370.91,30922996.59,18190396.1,1050110.0,2195604.78,639.0,346984.0,,,2901807.2,1869913.95,4650136.32,808242.05,1097453.42,5342938.05,4715265.94,467163.21,28746.85
1.0,125238502.0,Springfield SD,Delaware,44111466.53,22615960.71,1850698.04,68578125.28,,8887890.13,77466015.41,54414493.86,31143900.55,11345700.99,779292.0,239443.43,8879.56,583145.0,11105.0,,3719584.05,1616079.01,4360922.3,730418.23,880248.47,5234460.59,3494078.91,2513023.0,67146.15
1.0,125239452.0,Upper Darby SD,Delaware,136099880.95,57061951.35,4866269.9,198028102.2,2266752.93,10340106.23,210634961.36,138902014.76,90840775.4,41096270.4,1219487.19,1815268.96,271864.0,856215.0,,,7774754.85,8694818.67,9985367.38,1759134.53,1767147.69,14940680.88,9665950.96,2386991.39,87105.0
1.0,125239603.0,Wallingford-Swarthmore SD,Delaware,50231239.54,24644901.1,1590760.3,76466900.94,,7627148.79,84094049.73,58805438.9,34982988.18,14582330.51,291268.0,185829.85,4491.0,184332.0,,,3517193.16,2656217.89,5801950.79,1431873.94,970951.99,4854002.51,3755912.89,1607898.18,48899.75
1.0,125239652.0,William Penn SD,Delaware,69509315.0,27226888.0,1547790.0,98283993.0,,4177433.0,102461426.0,67432877.01,43224880.0,24469232.0,1395863.0,95954.0,,307271.0,16115.0,,3708937.0,2062934.0,6047944.0,1090109.0,922846.0,6376417.0,5360777.0,1624918.0,32006.0
1.0,109243503.0,Johnsonburg Area SD,Elk,5707419.28,3749571.66,281087.71,9738078.650000002,49229.39,9.32,9787317.36,6663847.76,3849962.56,1266979.58,275178.88,179492.91,,,,135805.35,318016.68,152790.29,802449.21,181391.77,391624.86,1218194.54,542036.6,120910.98,22156.73
1.0,109246003.0,Ridgway Area SD,Elk,9061412.31,4525050.88,223581.22,13810044.410000002,,95000.0,13905044.41,9365839.44,6664540.81,2396616.07,,255.43,,,,,526870.71,392015.86,924112.71,227195.01,361996.99,1361931.88,695020.98,958.74,34948.0
1.0,109248003.0,Saint Marys Area SD,Elk,17486288.25,10071031.82,581242.03,28138562.1,,1609348.78,29747910.88,20488751.54,12591228.93,4382406.25,348395.02,84039.85,74628.2,,,5590.0,957615.54,875809.97,2643775.68,501875.57,557618.72,2459717.29,1786119.31,155046.96,133452.78
1.0,105251453.0,Corry Area SD,Erie,19471611.55,10447273.41,966165.68,30885050.64,20690.66,2792284.8,33698026.1,19296618.44,12950970.3,4055077.29,1683836.63,393043.63,,,53840.26,334843.44,1058515.95,1044310.84,2564416.06,253303.55,925151.17,2495084.63,2068805.03,9300.27,28385.91
1.0,105252602.0,Erie City SD,Erie,132068363.64,46984083.99,1473582.94,180526030.57,224175.27,32840416.18,213590622.02,116582111.59,90749687.05,34680034.14,3513294.26,912341.35,384585.61,193334.78,,1635086.45,7803021.3,6075735.84,10608993.46,1560761.62,2296747.48,12025620.59,5478897.42,978025.92,156280.36
1.0,105253303.0,Fairview SD,Erie,13813726.2,8151007.42,853517.4,22818251.019999996,,3619599.98,26437851.0,17315788.7,10787524.89,2787428.92,173236.04,47617.31,5971.5,,11947.54,,511537.82,868160.03,1906249.3,243128.7,612845.74,2330747.64,1286529.88,344793.58,47014.73
1.0,105253553.0,Fort LeBoeuf SD,Erie,20193702.37,10093024.07,665773.24,30952499.68,18318.68,3905504.21,34876322.57,22489541.41,13815865.39,5328249.97,904423.03,125603.46,19560.52,,,,1333914.55,1175350.2,2150523.36,544281.79,248183.58,2337891.82,1751409.65,475555.69,75913.43
1.0,105253903.0,General McLane SD,Erie,20401679.86,10533310.99,871242.81,31806233.66,,1584149.36,33390383.02,22704782.45,13876908.25,4376305.66,1277608.96,870856.99,,,,,1162547.37,1386615.23,2085048.7,435832.82,378930.28,2858704.47,2064954.57,109041.63,51635.92
1.0,105254053.0,Girard SD,Erie,15919633.17,7780611.83,651614.6,24351859.6,,2574362.44,26926222.04,16602737.69,11590616.37,3697224.37,405537.8,114692.14,13516.4,,,98046.09,1059066.13,665900.47,1725823.11,388469.46,383414.83,2124763.18,1064629.81,341771.18,26773.66
1.0,105254353.0,Harbor Creek SD,Erie,20100893.2,9079836.68,569802.4,29750532.279999997,,4434564.29,34185096.57,21321140.77,15374781.75,4076372.02,435311.04,210986.7,3441.69,,,,892126.92,935601.62,1881128.86,397129.21,503055.68,2596874.67,1416541.87,404723.2,52654.65
1.0,105256553.0,Iroquois SD,Erie,11909528.79,6234495.38,530117.18,18674141.349999998,1538936.64,15577353.81,35790431.8,14379775.24,7714130.67,3290419.87,229948.9,570582.26,,,,104447.09,567930.15,402306.38,1714647.64,155420.49,453721.0,1935042.79,673254.84,319310.0,12862.09
1.0,105257602.0,Millcreek Township SD,Erie,58100007.11,32597174.14,1720181.58,92417362.83,81134.05,8113891.47,100612388.35,66208114.69,40071237.91,14106593.81,3342672.83,498736.15,68818.87,11947.54,,,4327378.44,3447158.07,5925928.18,1380352.8,1038483.7,9295230.77,5225004.03,1751178.12,206460.03
1.0,105258303.0,North East SD,Erie,14638753.61,6968423.32,605853.38,22213030.31,,3235358.75,25448389.06,15778314.41,10495099.78,3089967.78,793544.48,260141.57,,,,,511811.19,693949.93,2008194.61,256900.13,373575.7,2137724.67,955635.8,,30631.29
1.0,105258503.0,Northwestern SD,Erie,13670093.65,6228402.19,506510.33,20405006.169999998,,105017.76,20510023.93,13400113.6,9416070.51,3238045.35,997483.49,18494.3,,,,,587789.33,1126024.94,1472724.21,246429.91,315693.88,1090379.16,1366063.0,,23297.76
1.0,105259103.0,Union City Area SD,Erie,10625610.31,5374548.65,552446.09,16552605.05,123841.0,2587576.05,19264022.1,10281925.71,7911487.0,2164746.53,386451.24,162722.89,,,202.65,,469174.82,361917.58,1044296.62,135556.86,375992.22,1377062.68,1300669.59,295550.43,14327.85
1.0,105259703.0,Wattsburg Area SD,Erie,12954572.54,8898198.54,630397.62,22483168.7,,5854491.92,28337660.62,15827995.21,9691384.72,2825481.86,311538.0,121466.96,4701.0,,,,868975.71,1385453.15,1954258.99,295800.55,574826.4,2062669.8,1704987.12,20165.24,31061.58
1.0,101260303.0,Albert Gallatin Area SD,Fayette,32734747.18,15674699.53,744521.94,49153968.65,4634.7,4209727.59,53368330.94,32341996.69,22102176.16,8859909.93,1487044.0,244848.32,40768.77,,,,1257383.24,673824.3,3579546.35,490412.75,606688.92,5432515.36,3056959.98,553052.9,24315.73
1.0,101260803.0,Brownsville Area SD,Fayette,17319493.37,8802780.18,552914.24,26675187.79,,9135987.49,35811175.28,17471834.65,10841456.71,5561174.57,493029.48,398782.74,25049.87,,,,1060963.61,579155.08,1519363.65,342312.24,414010.58,2320846.17,2309535.78,246665.12,9927.95
1.0,101261302.0,Connellsville Area SD,Fayette,45327174.51,20014462.25,1187042.64,66528679.4,,7481211.82,74009891.22,41581490.66,28287652.66,11603313.85,4336959.28,975944.99,123303.73,,,,1451933.1,1865649.48,2825723.1,677854.67,643794.27,6082700.3,4639304.0,1790951.3,36552.03
1.0,101262903.0,Frazier SD,Fayette,11768169.04,5022785.6,429233.9,17220188.54,,1366872.82,18587061.36,11967387.44,8434615.61,2587740.19,636376.08,21876.16,,,,87561.0,260342.08,489235.85,1274024.53,206507.64,339666.37,1229049.12,1201260.06,12600.0,10099.95
1.0,101264003.0,Laurel Highlands SD,Fayette,31521962.15,14811334.5,687761.05,47021057.699999996,,4688817.93,51709875.63,32615532.78,21649201.77,8119091.67,1096451.08,630609.18,16758.45,,9850.0,,1793538.79,1200145.5,3020831.21,890480.73,963806.92,4470153.35,2109093.55,328653.72,34630.73
1.0,101268003.0,Uniontown Area SD,Fayette,29702144.26,14425344.32,556401.94,44683890.519999996,23980.44,2931431.64,47639302.6,29938711.62,19575034.61,7099827.66,2176687.92,468810.2,66153.87,,,315630.0,1320770.35,696701.86,2484367.98,587431.55,368923.69,4962370.3,3308907.73,663288.03,32582.83
1.0,106272003.0,Forest Area SD,Forest,7050229.27,4777066.14,289315.88,12116611.290000001,595375.94,762247.51,13474234.74,8716900.0,4955916.39,1369370.56,557954.9,11362.85,1898.16,1076.08,,152650.33,253588.2,155720.51,1146433.27,252285.86,232983.41,949074.38,1342697.3,426830.37,17452.84
1.0,112281302.0,Chambersburg Area SD,Franklin,87940018.0,40556079.0,2112966.0,130609063.0,,47942397.0,178551460.0,95599114.26,59871443.0,20975509.0,2544897.0,3130669.0,,,,1417500.0,4524249.0,4727969.0,8818552.0,2292862.0,866517.0,9183186.0,6835439.0,3245823.0,61482.0
1.0,112282004.0,Fannett-Metal SD,Franklin,5256864.87,2760936.94,172018.36,8189820.170000001,251574.81,42065.79,8483460.77,5883213.93,3862913.07,1064679.57,101412.1,79110.13,,,,148750.0,227864.57,397851.42,777978.7,148222.88,167432.46,567896.34,470046.5,,3644.07
1.0,112283003.0,Greencastle-Antrim SD,Franklin,27377874.31,10673746.25,678064.68,38729685.24,43114.1,4355651.96,43128451.3,29541230.0,20798470.46,5100313.0,884699.81,432583.04,4308.0,,,157500.0,1227565.2,1068276.5,2755911.69,451490.16,511914.86,2067732.19,1633081.22,939137.19,18637.24
1.0,112286003.0,Tuscarora SD,Franklin,21009204.39,12767985.18,734426.51,34511616.08,,14025828.17,48537444.25,25209167.61,16117729.46,3578589.21,568817.01,420483.71,8585.0,,,315000.0,1393128.54,1455101.62,2162232.39,657218.12,519728.7,2988281.44,2222970.34,1369324.03,0.0
1.0,112289003.0,Waynesboro Area SD,Franklin,41187532.98,15464693.38,915638.73,57567865.089999996,337865.21,19188813.93,77094544.23,40058561.16,26697456.74,8075573.55,1867816.29,3420419.32,,16622.12,,1109644.96,2165021.15,1423473.9,2814927.24,686365.82,752385.75,3600402.53,2736590.37,1124079.08,161447.54
1.0,111291304.0,Central Fulton SD,Fulton,10493400.69,4575038.02,845220.62,15913659.329999998,1560.0,930893.77,16846113.1,11734800.52,8036804.65,1951444.65,494767.86,10383.53,,,,,553107.75,398796.49,1188176.01,133517.28,297516.5,1094488.67,794789.14,114646.18,
1.0,111292304.0,Forbes Road SD,Fulton,4210680.87,2540645.22,143529.39,6894855.4799999995,121071.19,651925.83,7667852.5,5202560.64,3141909.71,568592.95,400572.52,6244.51,,,,93361.18,185522.02,259389.73,798390.74,85192.59,1440.32,751363.28,459346.54,,
1.0,111297504.0,Southern Fulton SD,Fulton,8032029.32,4142403.29,247750.25,12422182.86,,553238.06,12975420.92,8763347.33,5277455.26,1675237.81,620794.91,55515.61,,,,403025.73,129307.92,358083.86,1080327.73,193731.26,158776.68,949672.9,866003.07,344119.1,62380.77
1.0,101301303.0,Carmichaels Area SD,Greene,10327810.79,4920587.4,546027.75,15794425.94,1303.11,1694599.66,17490328.71,10924215.46,6766336.79,2808853.33,573503.27,74707.99,,,,104409.41,177911.68,363457.13,1171805.6,74662.64,322954.74,1599181.23,976192.7,228135.22,6286.46
1.0,101301403.0,Central Greene SD,Greene,17894637.4,10076801.71,680270.41,28651709.52,,3138730.41,31790439.93,19270379.82,11001411.06,5387393.79,1465567.13,40265.42,,,,,657685.02,759344.1,2518892.42,313185.63,553780.62,2604255.84,2628545.42,20023.8,21088.86
1.0,101303503.0,Jefferson-Morgan SD,Greene,8960769.79,4940056.09,376221.11,14277046.989999998,,831796.63,15108843.62,9626390.7,6190177.08,2057601.34,377553.74,335437.63,,,,,221112.61,283977.4,828108.28,93435.71,314137.11,2422569.37,771072.21,,5643.4
1.0,101306503.0,Southeastern Greene SD,Greene,6745406.9,4063253.57,310613.27,11119273.74,,4144.62,11123418.36,7109531.31,4075993.65,2002314.29,314394.29,352704.67,,,,,106130.26,4556.31,1221850.4,125132.84,314209.14,822006.55,1190722.3,274501.23,4144.54
1.0,101308503.0,West Greene SD,Greene,9450017.75,4826713.03,361355.37,14638086.15,,929630.81,15567716.96,10756810.3,6497754.88,2281398.75,662699.51,8164.61,,,,,241253.85,847862.43,1153842.79,97152.88,219243.32,1558306.87,692059.25,120.0,16871.64
1.0,111312503.0,Huntingdon Area SD,Huntingdon,17489519.72,10483960.02,577457.32,28550937.06,,19309832.02,47860769.08,20193736.61,10716903.43,5389196.74,897063.14,314554.41,,,,171802.0,1126459.16,1709614.84,2252969.61,306744.04,424142.27,2418254.31,2215011.19,30764.6,
1.0,111312804.0,Juniata Valley SD,Huntingdon,6869661.99,3558541.17,363197.24,10791400.4,23530.93,1537977.26,12352908.59,7519603.84,4574084.12,1708719.61,550019.55,36838.71,,,,,271665.24,579336.25,1037943.02,79929.89,161175.01,778806.55,642342.29,7342.92,
1.0,111316003.0,Mount Union Area SD,Huntingdon,14112409.98,5396054.75,460801.94,19969266.67,,1902390.47,21871657.14,13105202.61,8382388.11,4415427.89,1101329.31,213264.67,,,,,540014.37,291469.23,1194427.11,136125.21,418710.66,1568990.22,909684.21,278092.18,58541.56
1.0,111317503.0,Southern Huntingdon County SD,Huntingdon,10299620.16,5734706.89,239469.61,16273796.66,,822972.13,17096768.79,10725775.92,6604623.06,2452884.38,900118.27,341994.45,,,,,488473.93,598279.27,1143016.68,196536.85,314306.87,1599694.32,1392145.55,2253.42,
1.0,128321103.0,Blairsville-Saltsburg SD,Indiana,20293722.59,9867864.82,855066.24,31016653.65,,3707990.47,34724644.12,22806170.19,13734353.9,4688884.24,1067704.75,386117.43,208.99,,,416453.28,1324365.15,1211015.97,1774127.9,448764.14,482163.6,2665580.82,1859932.39,48343.64,53571.21
1.0,128323303.0,Homer-Center SD,Indiana,10072905.33,4776113.67,399086.34,15248105.34,,2424365.23,17672470.57,11500267.93,7309435.48,2303609.59,429078.54,28890.06,1891.66,,,,522735.48,652262.47,1083451.9,339321.0,264751.95,1280157.97,554166.61,52342.57,26923.72
1.0,128323703.0,Indiana Area SD,Indiana,35416571.47,13980201.63,1008861.67,50405634.77,,4255154.52,54660789.29,37813342.53,27257535.42,6437062.39,891627.16,451752.21,8417.46,,,370176.83,1845024.5,1267960.85,2525173.59,921963.49,496348.7,3994245.51,1835470.22,940822.42,153192.35
1.0,128325203.0,Marion Center Area SD,Indiana,15294702.14,7892397.31,507707.34,23694806.79,,1316161.97,25010968.76,16358721.91,10650216.63,3370992.41,745602.39,270453.57,14780.12,,,242657.02,739173.82,310594.59,1759891.64,385212.8,540874.64,2218653.54,1543554.36,346056.09,48385.83
1.0,128326303.0,Penns Manor Area SD,Indiana,10909433.84,5420255.4,443723.62,16773412.86,,921130.44,17694543.3,11180580.51,6617335.02,2828551.53,930560.64,411818.88,12867.77,,,108300.0,572721.22,337167.83,970533.09,216493.02,287919.71,1307764.87,1200485.89,504911.78,22257.99
1.0,128327303.0,Purchase Line SD,Indiana,11206179.56,6696507.77,290837.23,18193524.56,3986.8,1160288.13,19357799.49,11208265.31,7151378.42,2898572.31,805537.34,179275.97,,,,171415.52,618141.43,1188563.91,1037260.84,230426.9,326339.29,1503707.91,1642663.78,124504.9,24898.81
1.0,128328003.0,United SD,Indiana,12961641.59,6568386.23,375008.37,19905036.19,23175.0,1542791.2,21471002.39,13071402.81,8754460.6,2609470.37,840062.29,489743.46,4851.89,,,263052.98,536258.74,443550.59,1177204.0,256500.6,351786.86,1816021.38,1629632.29,322656.08,34775.69
1.0,106330703.0,Brockway Area SD,Jefferson,9600433.03,5397909.88,478553.28,15476896.19,13273.46,91185.02,15581354.67,11006923.87,7091439.39,1676612.67,795564.69,33007.28,3809.0,,,,515897.71,495972.79,1144367.57,148516.53,555616.35,1449363.51,831880.25,243739.05,12556.12
1.0,106330803.0,Brookville Area SD,Jefferson,14239383.31,7913740.72,538852.53,22691976.560000002,173350.49,1890862.65,24756189.7,15113062.13,9994139.11,3083967.61,1001208.54,159848.05,220.0,,,,681910.97,841044.91,1422193.92,335007.32,514861.61,1990665.07,1787420.68,315545.72,25090.52
1.0,106338003.0,Punxsutawney Area SD,Jefferson,23026680.55,12583968.5,819895.0,36430544.05,33169.97,2484732.64,38948446.66,23724258.69,14194634.41,6194087.53,2518465.03,72305.46,47188.12,,,,1181250.35,2460012.16,1790217.98,509067.53,466895.37,2714520.8,3427324.39,1387.5,33292.42
1.0,111343603.0,Juniata County SD,Juniata,24199275.67,11480688.96,664436.67,36344401.300000004,17994.0,3707421.2,40069816.5,24456303.1,15987222.86,5991187.98,2003590.68,203647.42,13626.73,,,,1207349.07,686342.71,2621359.35,588779.14,522104.54,2331446.1,3520660.93,2647.12,
