Unnamed: 0,Unnamed: 1,2017 Keystone Exams Grade 11 - School Level Proficiency Results*,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,"* Proficiency summary data do not include students who were enrolled in the schools after October 1, home schooled, excluded from school aggregation, 
ELL students who were enrolled for less than one year in US school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,
,,* Information is not displayed for student populations of fewer than 11.,,,,,,,,,,
,,,,,,,,,,,,
AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,% Advanced,% Proficient,% Basic,% Below Basic
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Biology,Historically Underperforming,11,52,25,38.5,30.8,5.8
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Literature,All Students,11,112,5.4,72.3,21.4,0.9
112018523,000000021,ADAMS,UPPER ADAMS SD,BIGLERVILLE HS,Literature,Historically Underperforming,11,51,2,62.7,33.3,2
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Algebra I,All Students,11,14,0,0,7.1,92.9
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Algebra I,Historically Underperforming,11,13,0,0,7.7,92.3
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Biology,All Students,11,15,0,0,20,80
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Biology,Historically Underperforming,11,13,0,0,15.4,84.6
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Literature,All Students,11,12,0,8.3,16.7,75
102020003,000007846,ALLEGHENY,ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,Literature,Historically Underperforming,11,12,0,8.3,16.7,75
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,All Students,11,83,12,53,27.7,7.2
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Algebra I,Historically Underperforming,11,37,8.1,40.5,35.1,16.2
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,All Students,11,82,24.4,37.8,30.5,7.3
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Biology,Historically Underperforming,11,36,13.9,33.3,38.9,13.9
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,All Students,11,83,6,72.3,14.5,7.2
103020603,000000029,ALLEGHENY,ALLEGHENY VALLEY SD,SPRINGDALE JSHS,Literature,Historically Underperforming,11,37,5.4,62.2,21.6,10.8
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Algebra I,All Students,11,94,46.8,38.3,13.8,1.1
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Algebra I,Historically Underperforming,11,16,12.5,31.3,50,6.3
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Biology,All Students,11,94,42.6,39.4,12.8,5.3
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Biology,Historically Underperforming,11,16,6.3,31.3,31.3,31.3
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Literature,All Students,11,94,17,67,10.6,5.3
103020753,000005199,ALLEGHENY,AVONWORTH SD,AVONWORTH SHS,Literature,Historically Underperforming,11,16,0,50,25,25
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,All Students,11,317,17,50.8,26.5,5.7
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Algebra I,Historically Underperforming,11,123,9.8,37.4,39,13.8
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,All Students,11,317,27.1,38.5,24,10.4
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Biology,Historically Underperforming,11,114,12.3,31.6,32.5,23.7
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,All Students,11,328,7,65.2,21.3,6.4
103021102,000000050,ALLEGHENY,BALDWIN-WHITEHALL SD,BALDWIN SHS,Literature,Historically Underperforming,11,127,2.4,44.1,37.8,15.7
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Algebra I,All Students,11,400,19,53,21.3,6.8
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Algebra I,Historically Underperforming,11,95,13.7,35.8,26.3,24.2
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Biology,All Students,11,400,34,41.5,15.5,9
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Biology,Historically Underperforming,11,93,17.2,36.6,20.4,25.8
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Literature,All Students,11,399,10.8,73.9,12.5,2.8
103021252,000000062,ALLEGHENY,BETHEL PARK SD,BETHEL PARK SHS,Literature,Historically Underperforming,11,92,6.5,58.7,26.1,8.7
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,All Students,11,110,13.6,50.9,29.1,6.4
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Algebra I,Historically Underperforming,11,48,4.2,35.4,47.9,12.5
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,All Students,11,110,20.9,46.4,21.8,10.9
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Biology,Historically Underperforming,11,48,4.2,39.6,31.3,25
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,All Students,11,111,7.2,78.4,9,5.4
103021453,000000070,ALLEGHENY,BRENTWOOD BOROUGH SD,BRENTWOOD SHS,Literature,Historically Underperforming,11,49,0,69.4,18.4,12.2
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Algebra I,All Students,11,92,10.9,42.4,40.2,6.5
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Algebra I,Historically Underperforming,11,39,12.8,20.5,56.4,10.3
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Biology,All Students,11,93,14,60.2,17.2,8.6
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Biology,Historically Underperforming,11,40,17.5,45,25,12.5
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Literature,All Students,11,92,5.4,72.8,14.1,7.6
103021603,000000079,ALLEGHENY,CARLYNTON SD,CARLYNTON JSHS,Literature,Historically Underperforming,11,39,5.1,66.7,20.5,7.7
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,All Students,11,263,14.1,58.2,23.6,4.2
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,Historically Underperforming,11,88,9.1,48.9,34.1,8
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,All Students,11,263,41.4,44.9,9.5,4.2
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,Historically Underperforming,11,88,28.4,40.9,22.7,8
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,All Students,11,260,4.6,72.3,17.7,5.4
103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,Historically Underperforming,11,85,2.4,56.5,30.6,10.6
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Algebra I,All Students,11,145,15.9,48.3,23.4,12.4
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Algebra I,Historically Underperforming,11,90,13.3,44.4,26.7,15.6
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Biology,All Students,11,145,13.8,42.1,20.7,23.4
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Biology,Historically Underperforming,11,90,8.9,37.8,26.7,26.7
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Literature,All Students,11,150,6.7,66,22.7,4.7
102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Literature,Historically Underperforming,11,96,5.2,60.4,27.1,7.3
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,All Students,11,49,0,20.4,67.3,12.2
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,Historically Underperforming,11,40,0,15,70,15
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,All Students,11,50,0,14,44,42
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,Historically Underperforming,11,40,0,10,40,50
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,All Students,11,49,0,38.8,55.1,6.1
103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,Historically Underperforming,11,40,0,37.5,55,7.5
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Algebra I,All Students,11,46,2.2,32.6,47.8,17.4
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Algebra I,Historically Underperforming,11,46,2.2,32.6,47.8,17.4
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Biology,All Students,11,46,15.2,32.6,32.6,19.6
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Biology,Historically Underperforming,11,46,15.2,32.6,32.6,19.6
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Literature,All Students,11,46,0,58.7,32.6,8.7
103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Literature,Historically Underperforming,11,46,0,58.7,32.6,8.7
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Algebra I,All Students,11,155,17.4,41.3,32.9,8.4
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Algebra I,Historically Underperforming,11,59,5.1,30.5,49.2,15.3
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Biology,All Students,11,157,34.4,33.1,25.5,7
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Biology,Historically Underperforming,11,61,16.4,31.1,37.7,14.8
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Literature,All Students,11,153,9.2,65.4,18.3,7.2
103022253,000000513,ALLEGHENY,DEER LAKES SD,DEER LAKES HS,Literature,Historically Underperforming,11,58,3.4,51.7,29.3,15.5
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,All Students,11,106,10.4,34,33,22.6
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Algebra I,Historically Underperforming,11,63,3.2,33.3,38.1,25.4
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,All Students,11,109,16.5,25.7,30.3,27.5
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Biology,Historically Underperforming,11,65,12.3,20,32.3,35.4
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,All Students,11,107,1.9,43,37.4,17.8
103022803,000008340,ALLEGHENY,EAST ALLEGHENY SD,EAST ALLEGHENY JSHS,Literature,Historically Underperforming,11,62,3.2,32.3,40.3,24.2
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Algebra I,All Students,11,194,9.3,59.3,26.8,4.6
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Algebra I,Historically Underperforming,11,75,2.7,45.3,40,12
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Biology,All Students,11,192,18.8,53.6,19.8,7.8
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Biology,Historically Underperforming,11,74,10.8,39.2,32.4,17.6
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Literature,All Students,11,185,6.5,66.5,18.9,8.1
103023153,000000144,ALLEGHENY,ELIZABETH FORWARD SD,ELIZABETH FORWARD SH,Literature,Historically Underperforming,11,70,0,47.1,32.9,20
103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Algebra I,All Students,11,334,39.8,50.6,9.3,0.3
103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Algebra I,Historically Underperforming,11,79,20.3,51.9,26.6,1.3
103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Biology,All Students,11,332,57.8,33.1,6.6,2.4
103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Biology,Historically Underperforming,11,77,29.9,45.5,16.9,7.8
103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Literature,All Students,11,332,25.6,70.8,3,0.6
103023912,000000156,ALLEGHENY,FOX CHAPEL AREA SD,FOX CHAPEL AREA SHS,Literature,Historically Underperforming,11,77,3.9,81.8,11.7,2.6
103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Algebra I,All Students,11,250,16,61.6,18.8,3.6
103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Algebra I,Historically Underperforming,11,85,7.1,55.3,30.6,7.1
103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Biology,All Students,11,248,35.9,40.7,17.3,6
103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Biology,Historically Underperforming,11,85,21.2,36.5,30.6,11.8
103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Literature,All Students,11,250,15.6,72.4,10,2
103024102,000000170,ALLEGHENY,GATEWAY SD,GATEWAY SHS,Literature,Historically Underperforming,11,85,2.4,71.8,21.2,4.7
103024603,000005190,ALLEGHENY,HAMPTON TOWNSHIP SD,HAMPTON HS,Algebra I,All Students,11,256,35.5,53.1,10.5,0.8
103024603,000005190,ALLEGHENY,HAMPTON TOWNSHIP SD,HAMPTON HS,Algebra I,Historically Underperforming,11,27,7.4,48.1,37,7.4
103024603,000005190,ALLEGHENY,HAMPTON TOWNSHIP SD,HAMPTON HS,Biology,All Students,11,258,45.3,41.9,10.5,2.3
103024603,000005190,ALLEGHENY,HAMPTON TOWNSHIP SD,HAMPTON HS,Biology,Historically Underperforming,11,29,10.3,51.7,24.1,13.8
103024603,000005190,ALLEGHENY,HAMPTON TOWNSHIP SD,HAMPTON HS,Literature,All Students,11,258,20.5,75.2,3.5,0.8
103024603,000005190,ALLEGHENY,HAMPTON TOWNSHIP SD,HAMPTON HS,Literature,Historically Underperforming,11,29,3.4,65.5,24.1,6.9
103024753,000005153,ALLEGHENY,HIGHLANDS SD,HIGHLANDS HS,Algebra I,All Students,11,163,6.7,46,35,12.3
103024753,000005153,ALLEGHENY,HIGHLANDS SD,HIGHLANDS HS,Algebra I,Historically Underperforming,11,104,1,42.3,38.5,18.3
103024753,000005153,ALLEGHENY,HIGHLANDS SD,HIGHLANDS HS,Biology,All Students,11,158,15.8,35.4,34.2,14.6
103024753,000005153,ALLEGHENY,HIGHLANDS SD,HIGHLANDS HS,Biology,Historically Underperforming,11,99,9.1,34.3,38.4,18.2
103024753,000005153,ALLEGHENY,HIGHLANDS SD,HIGHLANDS HS,Literature,All Students,11,158,3.8,44.3,37.3,14.6
103024753,000005153,ALLEGHENY,HIGHLANDS SD,HIGHLANDS HS,Literature,Historically Underperforming,11,99,0,36.4,43.4,20.2
