Cat,AUN,LEA Name,County,"Object 100
Personnel Services - Salaries","Object 200
Personnel Services - Employee Benefits",Object 220 Social Security Contributions,Object 230 Retirement Contributions,"Object 300
Purchased Professional and Technical Services","Object 400
Purchased Property Services","Object 500
Other Purchased Services","Object 600
Supplies","Object 700
Property","Object 800
Other Objects","Object 900
Other Uses of Funds",Total
1.0,112011103.0,Bermudian Springs SD,Adams,12783756.479999999,8850912.950000001,928604.7,4425818.58,2271754.57,537247.04,4542128.72,927722.67,659543.51,2246391.33,1778681.44,34598138.71
1.0,112011603.0,Conewago Valley SD,Adams,27160888.75,18285471.36,2003582.47,9431861.75,7910071.01,889748.2700000001,5930177.0200000005,1482193.2,527265.0,1179326.9600000002,11043726.43,74408868.0
1.0,112013054.0,Fairfield Area SD,Adams,7233731.17,4447196.53,538538.05,2466638.06,1745265.73,196306.89,2422637.08,1020155.21,657902.87,858191.04,1153068.73,19734455.25
1.0,112013753.0,Gettysburg Area SD,Adams,24394920.52,18124365.439999998,1776867.67,8494605.49,5659518.32,716081.39,9022305.48,3645716.7600000002,193731.01,1809378.91,5285566.0,68851583.83
1.0,112015203.0,Littlestown Area SD,Adams,14458220.970000003,9136657.51,1060785.08,4989375.220000001,3627961.6000000006,458516.81,4381398.899999999,1293821.42,407192.69,974346.1599999999,1319335.03,36057451.09
1.0,112018523.0,Upper Adams SD,Adams,11520464.48,6930318.14,851205.6900000001,3858696.0300000003,2494744.06,1471566.69,4690395.51,965566.25,128614.13,1146624.1400000001,5516334.54,34864627.940000005
1.0,103020603.0,Allegheny Valley SD,Allegheny,8682819.110000001,5520983.100000001,660204.73,3004341.5399999996,1081182.42,678219.47,3108896.83,846999.42,71576.76,847312.59,4501633.26,25339622.96
1.0,103020753.0,Avonworth SD,Allegheny,15263923.35,9560786.159999998,1148844.6900000002,5228905.5,1726810.6900000002,502974.53,3528136.6999999997,1534714.81,207207.39,1384052.81,1557116.0,35265722.44
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,31233672.69,19686441.119999997,2345428.3200000003,10730546.620000001,4654402.44,4636526.07,4105588.5700000003,3032202.1399999997,403406.67,1554151.99,6919000.0,76225391.69
1.0,103021252.0,Bethel Park SD,Allegheny,43025740.68,27444482.660000004,3198262.58,14876745.350000001,4114543.19,1687580.8900000001,4425087.680000001,4590377.29,1160575.8800000001,3958607.88,4206338.03,94613334.17999999
1.0,103021453.0,Brentwood Borough SD,Allegheny,10650898.35,6876396.21,819323.94,3692294.93,1645206.75,374221.56,2811483.97,1121524.34,318551.46,474129.27,1729923.28,26002335.189999998
1.0,103021603.0,Carlynton SD,Allegheny,13015332.07,8421470.819999998,957107.7799999999,4478184.600000001,2249683.8,1298994.9100000001,5010953.24,1219604.7600000002,675959.47,245280.66999999998,280052.71,32417332.45
1.0,103021752.0,Chartiers Valley SD,Allegheny,33334546.11,20888861.81,2491436.94,11420738.440000001,2986053.6,540319.42,4566521.14,2979664.8899999997,444928.38,3820137.87,3106771.22,72667804.44
1.0,103021903.0,Clairton City SD,Allegheny,7369924.029999999,4411441.789999999,553878.41,2356394.95,1120623.88,1473616.7,4136048.33,940082.39,37385.22,155939.31,156674.5,19801736.15
1.0,103022103.0,Cornell SD,Allegheny,6500704.0,4214948.0,477730.0,2220162.0,916981.0,511813.0,2561949.0,413071.0,949013.0,219725.0,1049283.0,17337487.0
1.0,103022253.0,Deer Lakes SD,Allegheny,16593931.26,10599070.18,1245775.8699999999,5748035.430000001,1718015.04,321796.84,3867556.84,1705398.6500000001,251300.0,1419963.09,2678264.33,39155296.23
1.0,103022503.0,Duquesne City SD,Allegheny,4729472.0,3278589.0,358881.0,1616644.0,1434588.3900000001,181456.0,10513366.3,779904.16,180551.0,373322.0,767219.0,22238467.85
1.0,103022803.0,East Allegheny SD,Allegheny,12199742.190000001,8420525.99,1371140.1800000002,4229780.029999999,3405545.9699999997,285759.81999999995,9515380.290000001,1054777.2,782563.92,67827.0,3178131.0,38910253.38
1.0,103023153.0,Elizabeth Forward SD,Allegheny,19521351.659999996,12223183.030000001,1464740.6500000001,6619490.840000001,1611577.42,676312.1499999999,4976510.2299999995,2224330.7699999996,540904.9299999999,112030.70999999999,5009650.74,46895851.64
1.0,103023912.0,Fox Chapel Area SD,Allegheny,48111818.09,29433127.65,3541960.11,16648435.059999999,4016844.19,1279898.37,8317574.44,3789032.0300000003,2852756.73,3903781.96,3292518.51,104997351.97
1.0,103024102.0,Gateway SD,Allegheny,33983721.339999996,21002867.84,2675966.53,12142074.31,3114289.54,2952165.3600000003,11325838.659999998,4423187.88,125416.7,2221150.91,3005000.0,82153638.22999999
1.0,103024603.0,Hampton Township SD,Allegheny,27490072.570000004,15002566.799999999,2064480.42,9266633.57,1452690.9600000002,524447.73,5620462.84,1980657.71,495892.35000000003,170872.86,4931250.6,57668914.42
1.0,103024753.0,Highlands SD,Allegheny,18733389.0,11078104.0,1411771.0,6481771.0,2020316.0,587216.0,8045920.0,2484728.0,85554.0,789268.0,2310820.0,46135315.0
