Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)",Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Revenue from Federal Sources 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
1.0,104372003.0,Ellwood City Area SD,Lawrence,30500172.14,9182227.19,1222620.0,10404847.19,0.3411,18181398.15,0.5961,1890634.58,0.062,23292.22,0.0008
1.0,104374003.0,Laurel SD,Lawrence,19220407.08,5765903.920000001,521708.65,6287612.57,0.3271,12161493.73,0.6327,763800.78,0.0397,7500.0,0.0004
1.0,104375003.0,Mohawk Area SD,Lawrence,26176679.99,8145658.96,427498.75,8573157.71,0.3275,16823457.29,0.6427,774519.87,0.0296,5545.12,0.0002
1.0,104375203.0,Neshannock Township SD,Lawrence,21093682.93,13604561.429999998,437374.07999999996,14041935.51,0.6657,6651333.35,0.3153,398308.07,0.0189,2106.0,0.0001
1.0,104375302.0,New Castle Area SD,Lawrence,54918389.17,9801988.86,966895.8600000001,10768884.72,0.1961,37422615.69,0.6814,6726888.76,0.1225,,0.0
1.0,104376203.0,Shenango Area SD,Lawrence,24467909.11,6363450.76,301556.20999999996,6665006.97,0.2724,12012677.5,0.491,940224.64,0.0384,4850000.0,0.1982
1.0,104377003.0,Union Area SD,Lawrence,12960153.0,4060995.0,497527.0,4558522.0,0.3517,7515268.0,0.5799,875733.0,0.0676,10630.0,0.0008
1.0,104378003.0,Wilmington Area SD,Lawrence,33382236.86,8759926.5,681301.3300000001,9441227.83,0.2828,10706168.35,0.3207,1720145.68,0.0515,11514695.0,0.3449
1.0,113380303.0,Annville-Cleona SD,Lebanon,27885211.26,16282343.08,544001.3799999999,16826344.46,0.6034,9465604.69,0.3394,645819.06,0.0232,947443.05,0.034
1.0,113381303.0,Cornwall-Lebanon SD,Lebanon,87558794.93,55473786.660000004,1617142.5999999999,57090929.26,0.652,25067364.6,0.2863,5229767.66,0.0597,170733.41,0.0019
1.0,113382303.0,Eastern Lebanon County SD,Lebanon,45919581.0,30242698.75,858101.8500000001,31100800.6,0.6773,13120290.4,0.2857,1670022.54,0.0364,28467.46,0.0006
1.0,113384603.0,Lebanon SD,Lebanon,81911799.77,20542178.82,2802391.5200000005,23344570.34,0.285,50309448.05,0.6142,8185127.68,0.0999,72653.7,0.0009
1.0,113385003.0,Northern Lebanon SD,Lebanon,41501937.28,23460274.65,773966.38,24234241.03,0.5839,16378608.86,0.3946,888649.89,0.0214,437.5,0.0
1.0,113385303.0,Palmyra Area SD,Lebanon,57571064.91,36970261.769999996,1650343.3499999999,38620605.12,0.6708,16052410.43,0.2788,2317620.84,0.0403,580428.52,0.0101
1.0,121390302.0,Allentown City SD,Lehigh,350131828.0,110178081.0,5415616.0,115593697.0,0.3301,201711736.0,0.5761,32573470.0,0.093,252925.0,0.0007
1.0,121391303.0,Catasauqua Area SD,Lehigh,33953945.82,21131934.58,825318.5900000001,21957253.17,0.6467,10100429.19,0.2975,1716533.96,0.0506,179729.5,0.0053
1.0,121392303.0,East Penn SD,Lehigh,154044406.15,113485169.66999999,2161805.7399999998,115646975.41,0.7507,35437401.07,0.23,2960029.67,0.0192,,0.0
1.0,121394503.0,Northern Lehigh SD,Lehigh,34488550.85,18992613.789999995,566472.36,19559086.15,0.5671,13756604.65,0.3989,1030044.05,0.0299,142816.0,0.0041
1.0,121394603.0,Northwestern Lehigh SD,Lehigh,45471646.41,29992639.080000002,1033328.0599999999,31025967.14,0.6823,13710433.01,0.3015,735246.26,0.0162,,0.0
1.0,121395103.0,Parkland SD,Lehigh,192059872.52,147011964.35000002,2321244.46,149333208.81,0.7775,37267221.86,0.194,5459441.85,0.0284,,0.0
1.0,121395603.0,Salisbury Township SD,Lehigh,42797506.25,29281638.14,1890758.75,31172396.89,0.7284,7955353.16,0.1859,3520524.75,0.0823,149231.45,0.0035
1.0,121395703.0,Southern Lehigh SD,Lehigh,69156962.95,52478751.879999995,662597.49,53141349.37,0.7684,14962482.96,0.2164,1053130.62,0.0152,,0.0
1.0,121397803.0,Whitehall-Coplay SD,Lehigh,76799782.05,51259146.69,1289129.26,52548275.95,0.6842,21568785.14,0.2808,2640133.43,0.0344,42587.53,0.0006
1.0,118401403.0,Crestwood SD,Luzerne,41280057.89,24666542.87,634673.8200000001,25301216.69,0.6129,15202245.54,0.3683,776595.66,0.0188,,0.0
1.0,118401603.0,Dallas SD,Luzerne,43537594.72,26558126.119999997,369531.38,26927657.5,0.6185,12840820.11,0.2949,2762117.11,0.0634,1007000.0,0.0231
1.0,118402603.0,Greater Nanticoke Area SD,Luzerne,33674447.18,9879697.510000002,423399.06,10303096.57,0.306,19755907.62,0.5867,3565442.99,0.1059,50000.0,0.0015
1.0,118403003.0,Hanover Area SD,Luzerne,36706696.45,17571575.54,670800.6799999999,18242376.22,0.497,16364050.29,0.4458,2100269.94,0.0572,,0.0
1.0,118403302.0,Hazleton Area SD,Luzerne,207663274.98,70068029.22,2033109.5,72101138.72,0.3472,83336477.38,0.4013,15276940.6,0.0736,36948718.28,0.1779
1.0,118403903.0,Lake-Lehman SD,Luzerne,32693655.27,17852310.06,441199.79,18293509.85,0.5595,13405254.61,0.41,982418.67,0.03,12472.14,0.0004
1.0,118406003.0,Northwest Area SD,Luzerne,21035046.0,7123849.0,645875.0,7769724.0,0.3694,11813133.0,0.5616,1452189.0,0.069,,0.0
1.0,118406602.0,Pittston Area SD,Luzerne,56265543.99,32626918.110000003,688818.0499999999,33315736.16,0.5921,20710204.58,0.3681,2239603.25,0.0398,,0.0
