Name,AcademicYearId,AUN,DataElement,DisplayValue
Albert Gallatin Area SD,18,101260303,Instruction,30226754.19
Brownsville Area SD,18,101260803,Instruction,17254865.88
Connellsville Area SD,18,101261302,Instruction,42829346.07
Frazier SD,18,101262903,Instruction,11311846.01
Laurel Highlands SD,18,101264003,Instruction,29354038.08
Uniontown Area SD,18,101268003,Instruction,28132551.97
Carmichaels Area SD,18,101301303,Instruction,9524864.15
Central Greene SD,18,101301403,Instruction,19554722.37
Jefferson-Morgan SD,18,101303503,Instruction,8560531.5
Southeastern Greene SD,18,101306503,Instruction,6410123.25
West Greene SD,18,101308503,Instruction,9785573.78
Avella Area SD,18,101630504,Instruction,5895338.96
Bentworth SD,18,101630903,Instruction,10053100.22
Bethlehem-Center SD,18,101631003,Instruction,13411956.78
Burgettstown Area SD,18,101631203,Instruction,11820005.29
California Area SD,18,101631503,Instruction,8557048.32
Canon-McMillan SD,18,101631703,Instruction,41726748.05
Charleroi SD,18,101631803,Instruction,13424886.57
Chartiers-Houston SD,18,101631903,Instruction,9938021.76
Fort Cherry SD,18,101632403,Instruction,10402003.39
McGuffey SD,18,101633903,Instruction,16359997.19
Peters Township SD,18,101636503,Instruction,37939489.83
Ringgold SD,18,101637002,Instruction,24196156.83
Trinity Area SD,18,101638003,Instruction,32461172.27
Washington SD,18,101638803,Instruction,15802555.56
Pittsburgh SD,18,102027451,Instruction,405797021.12
Allegheny Valley SD,18,103020603,Instruction,11699062.52
Avonworth SD,18,103020753,Instruction,17448719.99
Pine-Richland SD,18,103021003,Instruction,45647986.0
Baldwin-Whitehall SD,18,103021102,Instruction,37057687.71
Bethel Park SD,18,103021252,Instruction,51697051.27
Brentwood Borough SD,18,103021453,Instruction,14563236.5
Carlynton SD,18,103021603,Instruction,18599100.0
Chartiers Valley SD,18,103021752,Instruction,38965212.48
Clairton City SD,18,103021903,Instruction,10624446.0
Cornell SD,18,103022103,Instruction,8691544.0
Deer Lakes SD,18,103022253,Instruction,19354731.42
Duquesne City SD,18,103022503,Instruction,13329620.62
East Allegheny SD,18,103022803,Instruction,20303433.2
Elizabeth Forward SD,18,103023153,Instruction,23577227.02
Fox Chapel Area SD,18,103023912,Instruction,60152608.47
Gateway SD,18,103024102,Instruction,45439354.14
Hampton Township SD,18,103024603,Instruction,28685265.83
Highlands SD,18,103024753,Instruction,28012231.06
Keystone Oaks SD,18,103025002,Instruction,23296744.59
McKeesport Area SD,18,103026002,Instruction,39158649.0
Montour SD,18,103026303,Instruction,34829279.44
Moon Area SD,18,103026343,Instruction,43594138.99
Mt Lebanon SD,18,103026402,Instruction,57263561.66
North Allegheny SD,18,103026852,Instruction,96260657.0
Northgate SD,18,103026873,Instruction,14471319.0
North Hills SD,18,103026902,Instruction,47111389.53
Penn Hills SD,18,103027352,Instruction,54236594.17
Plum Borough SD,18,103027503,Instruction,39546685.75
Quaker Valley SD,18,103027753,Instruction,24186734.0
Riverview SD,18,103028203,Instruction,12213174.87
Shaler Area SD,18,103028302,Instruction,47755050.75
South Allegheny SD,18,103028653,Instruction,15949010.91
South Fayette Township SD,18,103028703,Instruction,25914983.4
South Park SD,18,103028753,Instruction,17326421.67
Steel Valley SD,18,103028833,Instruction,23656212.87
Sto-Rox SD,18,103028853,Instruction,17311552.52
Upper Saint Clair SD,18,103029203,Instruction,42769921.07
West Allegheny SD,18,103029403,Instruction,30831146.87
West Jefferson Hills SD,18,103029553,Instruction,27225351.59
West Mifflin Area SD,18,103029603,Instruction,29730424.65
Wilkinsburg Borough SD,18,103029803,Instruction,20414465.38
Woodland Hills SD,18,103029902,Instruction,62170561.53
Butler Area SD,18,104101252,Instruction,62148294.79
Karns City Area SD,18,104103603,Instruction,13441324.28
Mars Area SD,18,104105003,Instruction,26686249.84
Moniteau SD,18,104105353,Instruction,11427278.98
Slippery Rock Area SD,18,104107503,Instruction,20533693.0
South Butler County SD,18,104107803,Instruction,20049086.2
Seneca Valley SD,18,104107903,Instruction,76864368.13
Ellwood City Area SD,18,104372003,Instruction,17864495.38
Laurel SD,18,104374003,Instruction,9930322.22
Mohawk Area SD,18,104375003,Instruction,14754188.31
Neshannock Township SD,18,104375203,Instruction,11321025.16
New Castle Area SD,18,104375302,Instruction,35191222.18
Shenango Area SD,18,104376203,Instruction,11560844.97
Union Area SD,18,104377003,Instruction,7220201.0
Wilmington Area SD,18,104378003,Instruction,11593542.24
Commodore Perry SD,18,104431304,Instruction,5319788.91
Farrell Area SD,18,104432503,Instruction,9676256.0
Greenville Area SD,18,104432803,Instruction,12427521.91
Grove City Area SD,18,104432903,Instruction,27006094.34
