Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)",Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Revenue from Federal Sources 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
1.0,112011103.0,Bermudian Springs SD,Adams,30895884.12,16844469.66,501758.94999999995,17346228.61,0.5614,13194218.31,0.4271,355437.2,0.0115,,0.0
1.0,112011603.0,Conewago Valley SD,Adams,61734919.17,37686137.46,1429152.97,39115290.43,0.6336,21459481.27,0.3476,1160147.47,0.0188,,0.0
1.0,112013054.0,Fairfield Area SD,Adams,32065924.18,11512686.0,326244.89,11838930.89,0.3692,7142907.99,0.2228,242829.3,0.0076,12841256.0,0.4005
1.0,112013753.0,Gettysburg Area SD,Adams,63679175.97,39723979.53,3561779.52,43285759.05,0.6797,19061752.17,0.2993,1324391.15,0.0208,7273.6,0.0001
1.0,112015203.0,Littlestown Area SD,Adams,34201513.01,20078411.330000002,606012.5900000001,20684423.92,0.6048,13049673.59,0.3816,325859.0,0.0095,141556.5,0.0041
1.0,112018523.0,Upper Adams SD,Adams,29938348.65,15259342.32,987815.24,16247157.56,0.5427,13410311.16,0.4479,280879.93,0.0094,,0.0
1.0,103020603.0,Allegheny Valley SD,Allegheny,24153405.0,16559991.0,519961.0,17079952.0,0.7071,6469190.0,0.2678,305161.0,0.0126,299102.0,0.0124
1.0,103020753.0,Avonworth SD,Allegheny,34429892.98,26158153.05,488450.22,26646603.27,0.7739,7631530.0,0.2217,151759.71,0.0044,,0.0
1.0,103021102.0,Baldwin-Whitehall SD,Allegheny,73104431.83,44734742.27,1544197.0300000003,46278939.3,0.6331,25299005.26,0.3461,1526487.27,0.0209,,0.0
1.0,103021252.0,Bethel Park SD,Allegheny,85450028.18,58232209.949999996,2052566.1199999999,60284776.07,0.7055,24734968.56,0.2895,338921.62,0.004,91361.93,0.0011
1.0,103021453.0,Brentwood Borough SD,Allegheny,23805766.96,12977899.240000002,471312.94999999995,13449212.19,0.565,10084756.05,0.4236,266381.72,0.0112,5417.0,0.0002
1.0,103021603.0,Carlynton SD,Allegheny,29510677.11,18521932.88,622468.9,19144401.78,0.6487,9239235.68,0.3131,1127039.65,0.0382,,0.0
