Cat,AUN,LEA Name,County,"Instruction
1000","Support Services
2000","Non-Instructional Services
3000",Current Expenditures,"Facilities Acquisition, Construction and Improvement
4000","Other Expenditures and Financing Uses
5000",Total Expenditures ,"Actual
Instruction Expense (AIE)",Regular Programs - E/S 1100,Special and Gifted Education 1200,"Vocational Education Programs
1300",Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Community / Junior College Education Programs 1700,"Pre-Kindergarten
1800","Pupil Personnel
2100","Instructional Staff
2200","Administration
2300","Pupil Health
2400","Business
2500",Operation & Maintenance of Plant Services 2600,"Student Transportation Services
2700","Central
2800","Other Support Services
2900"
1.0,127045653.0,New Brighton Area SD,Beaver,13790163.0,6891428.0,641747.0,21323338.0,5888.0,5955954.0,27285180.0,14861908.58,9652425.0,2941803.0,1080948.0,110701.0,4286.0,,,,801081.0,500669.0,1369549.0,284961.0,303262.0,2195249.0,1018763.0,411579.0,6315.0
1.0,127045853.0,Riverside Beaver County SD,Beaver,13795741.43,7325234.61,511029.17,21632005.21,,1921346.42,23553351.63,15636292.28,10106801.14,3009379.26,433549.72,74476.51,,,,171534.8,863471.98,625373.82,1512568.34,228711.61,511635.16,2250590.44,1304989.62,16666.89,11226.75
1.0,127046903.0,Rochester Area SD,Beaver,10274524.47,4479610.48,312410.24,15066545.19,,1283283.28,16349828.47,10735241.1,6844799.22,3177872.55,189087.48,62765.22,,,,,384863.01,318757.11,873936.6,176848.78,361962.11,1344386.79,669551.59,345052.83,4251.66
1.0,127047404.0,South Side Area SD,Beaver,13256173.0,7591669.0,669744.0,21517586.0,110624.0,1462517.0,23090727.0,16144429.55,10551766.0,2342539.0,341373.0,20495.0,,,,,605555.0,822215.0,1536028.0,218616.0,398105.0,2359076.0,1599836.0,41864.0,10374.0
1.0,127049303.0,Western Beaver County SD,Beaver,7736503.61,4166562.43,207831.75,12110897.79,,673417.67,12784315.46,8529722.65,4495908.96,1691398.11,644250.08,513961.64,,,,390984.82,312279.59,183835.98,1077496.28,156109.3,127509.92,1282581.46,1021658.97,,5090.93
1.0,108051003.0,Bedford Area SD,Bedford,16791497.28,9375314.2,495808.87,26662620.35,,2147993.31,28810613.66,18388197.85,12064583.54,3197986.73,1143172.91,375353.8,4978.97,,,5421.33,732301.26,760892.28,2117899.48,335931.89,413013.21,2039357.53,2133443.33,340408.21,502067.01
1.0,108051503.0,Chestnut Ridge SD,Bedford,11504526.2,6802610.77,470291.36,18777428.33,,1343951.39,20121379.72,12078647.18,7869494.37,2144111.08,814632.57,357098.11,3570.45,,,315619.62,551111.13,702130.43,1428800.7,258900.39,438336.22,1456331.72,1762017.39,199334.87,5647.92
1.0,108053003.0,Everett Area SD,Bedford,11074072.98,5743789.62,478941.4,17296804.0,,3243295.11,20540099.11,11271240.34,7672928.17,2181092.14,678433.92,541618.75,,,,,591903.88,254510.11,1125469.69,213187.12,268774.91,1470208.71,1401143.85,150472.68,268118.67
1.0,108056004.0,Northern Bedford County SD,Bedford,7812621.19,3880228.05,303050.0,11995899.24,16879.13,8736732.47,20749510.84,8033810.94,5500637.22,1368408.23,627456.49,189420.04,,,,126699.21,474212.04,102510.05,995505.44,117768.2,213383.88,1068794.1,794816.83,110044.79,3192.72
1.0,108058003.0,Tussey Mountain SD,Bedford,9234854.99,5392417.14,349447.91,14976720.04,9187.3,17223747.22,32209654.56,10503435.42,6530936.52,1852385.25,497265.59,258424.5,,,,95843.13,442028.52,144399.27,1765603.08,341173.87,29657.32,1250551.74,1245414.44,170280.24,3308.66
1.0,114060503.0,Antietam SD,Berks,10743144.1,5595850.88,387992.53,16726987.51,,1668020.86,18395008.37,12792633.04,7058534.26,3251680.4,412452.97,10999.87,9476.6,,,,666205.81,851553.44,1525623.63,183158.81,318255.23,1335048.83,245800.87,460983.31,9220.95
1.0,114060753.0,Boyertown Area SD,Berks,68616671.53,32348660.8,1504120.56,102469452.89,,9111256.0,111580708.89,78319094.42,47497425.98,18833530.11,2028296.58,256767.37,,651.49,,,3337343.28,5489514.3,5739649.49,1078173.25,1205496.58,7072172.42,5590380.97,2737347.94,98582.57
1.0,114060853.0,Brandywine Heights Area SD,Berks,16781844.67,8846857.08,622877.2,26251578.95,330438.74,4508475.88,31090493.57,20122742.51,12224603.47,3853183.34,699282.76,4775.1,,,,,1090831.83,1233986.53,1391836.55,362108.72,524948.97,2351054.31,1394847.25,473798.03,23444.89
1.0,114061103.0,Conrad Weiser Area SD,Berks,29446681.83,12825098.0,938618.33,43210398.16,,5084175.38,48294573.54,30118608.76,19284670.14,7767530.39,1923761.35,470719.95,,,,,1563111.2,1388289.77,2229054.68,495488.71,640179.29,3568450.06,2202342.94,703492.76,34688.59
1.0,114061503.0,Daniel Boone Area SD,Berks,32027647.65,14692509.2,743327.37,47463484.22,,44004650.97,91468135.19,35813065.55,23578088.74,7366467.32,1046849.13,21079.92,15162.54,,,,1706595.44,1861863.93,3140910.99,600948.8,608182.9,3604672.41,2879384.81,252884.07,37065.85
1.0,114062003.0,Exeter Township SD,Berks,40379143.34,18384298.93,1465143.69,60228585.96,125467.02,10584164.67,70938217.65,45458901.9,28443246.78,10348920.54,1532890.33,54085.69,,,,,2165252.19,2426414.59,3452172.33,536998.44,596500.6,5038514.28,2715836.96,1403720.6,48888.94
1.0,114062503.0,Fleetwood Area SD,Berks,25790748.53,12431886.2,661701.63,38884336.36,,5555226.25,44439562.61,29488654.24,17760074.45,6247855.58,1757744.31,20255.9,4818.29,,,,1230266.92,1534858.87,2833363.24,558814.47,484115.95,3497575.12,1960175.41,299201.92,33514.3
1.0,114063003.0,Governor Mifflin SD,Berks,39280170.22,19285213.87,1606893.18,60172277.27,,7438783.51,67611060.78,46819847.1,26096605.57,11039336.86,1873487.4,94345.56,10164.0,,,166230.83,2127619.21,3380251.39,3635875.88,478504.18,1210473.64,5422206.02,2351326.21,623516.99,55440.35
