Unnamed: 0,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)",Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Revenue from Federal Sources 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
1.0,103028302.0,Shaler Area SD,Allegheny,92129004.81,55933189.63,2741007.9,58674197.53,0.6369,30753387.3,0.3338,2701419.98,0.0293,,0.0
1.0,103028653.0,South Allegheny SD,Allegheny,31325433.58,8861411.4,1051906.82,9913318.22,0.3165,19009918.95,0.6069,2402196.41,0.0767,,0.0
1.0,103028703.0,South Fayette Township SD,Allegheny,70292823.49,48487300.71,2293976.97,50781277.68,0.7224,16236542.48,0.231,1739384.05,0.0247,1535619.28,0.0218
1.0,103028753.0,South Park SD,Allegheny,40671353.75,23589669.93,1035676.34,24625346.27,0.6055,14851686.99,0.3652,1194320.49,0.0294,,0.0
1.0,103028833.0,Steel Valley SD,Allegheny,43995892.5,20368290.77,1407006.74,21775297.51,0.4949,19135290.73,0.4349,2623102.56,0.0596,462201.7,0.0105
1.0,103028853.0,Sto-Rox SD,Allegheny,39826413.36,9413998.76,586783.54,10000782.3,0.2511,23658579.92,0.594,6159038.14,0.1546,8013.0,0.0002
1.0,103029203.0,Upper St. Clair SD,Allegheny,100241033.19,74353203.65,2754238.56,77107442.21,0.7692,20948931.18,0.209,736472.38,0.0073,1448187.42,0.0144
1.0,103029403.0,West Allegheny SD,Allegheny,78140169.56,57623912.4,1757535.16,59381447.56,0.7599,18208360.83,0.233,519330.22,0.0066,31030.95,0.0004
1.0,103029553.0,West Jefferson Hills SD,Allegheny,62831318.57,41521976.42,2004585.0,43526561.42,0.6928,18253437.58,0.2905,1051319.57,0.0167,,0.0
1.0,103029603.0,West Mifflin Area SD,Allegheny,64447305.4,30980839.81,4778437.84,35759277.65,0.5549,23846235.56,0.37,4782161.64,0.0742,59630.55,0.0009
1.0,103029803.0,Wilkinsburg Borough SD,Allegheny,37963274.04,12098772.82,1093939.83,13192712.65,0.3475,19283594.58,0.508,5486966.81,0.1445,,0.0
1.0,103029902.0,Woodland Hills SD,Allegheny,116250693.53,58475517.35,3065904.92,61541422.27,0.5294,40776572.44,0.3508,9459567.79,0.0814,4473131.03,0.0385
1.0,128030603.0,Apollo-Ridge SD,Armstrong,27454974.6,8418169.19,714088.53,9132257.72,0.3326,16348685.85,0.5955,1786901.64,0.0651,187129.39,0.0068
1.0,128030852.0,Armstrong SD,Armstrong,108013641.0,37343595.0,2579944.0,39923539.0,0.3696,61906840.0,0.5731,6162647.0,0.0571,20615.0,0.0002
1.0,128033053.0,Freeport Area SD,Armstrong,37161945.04,20089621.83,937589.04,21027210.87,0.5658,14727379.66,0.3963,1336791.31,0.036,70563.2,0.0019
1.0,128034503.0,Leechburg Area SD,Armstrong,15442931.45,6309420.12,521776.0,6831196.12,0.4424,8143953.07,0.5274,467782.26,0.0303,,0.0
1.0,127040503.0,Aliquippa SD,Beaver,31794197.91,7268526.86,1890796.27,9159323.13,0.2881,18842003.78,0.5926,3792871.0,0.1193,,0.0
1.0,127040703.0,Ambridge Area SD,Beaver,54493525.13,25719514.76,1783620.01,27503134.77,0.5047,22700371.43,0.4166,3986111.68,0.0731,303907.25,0.0056
1.0,127041203.0,Beaver Area SD,Beaver,39965684.56,23529965.89,1422734.05,24952699.94,0.6244,13204733.44,0.3304,1602921.61,0.0401,205329.57,0.0051
1.0,127041503.0,Big Beaver Falls Area SD,Beaver,36612216.57,8183897.12,785799.6,8969696.72,0.245,23063151.41,0.6299,4579368.44,0.1251,,0.0
1.0,127041603.0,Blackhawk SD,Beaver,41287766.6,20540589.16,882849.59,21423438.75,0.5189,18754588.15,0.4542,988091.25,0.0239,121648.45,0.0029
1.0,127042003.0,Central Valley SD,Beaver,42989441.46,22497808.67,814109.31,23311917.98,0.5423,16821773.66,0.3913,2855749.82,0.0664,,0.0
1.0,127042853.0,Freedom Area SD,Beaver,27842683.6,10721633.72,792880.61,11514514.33,0.4136,14646273.7,0.526,1681895.57,0.0604,,0.0
1.0,127044103.0,Hopewell Area SD,Beaver,46548374.76,22797767.34,1063973.09,23861740.43,0.5126,20983549.76,0.4508,1241544.87,0.0267,461539.7,0.0099
1.0,127045303.0,Midland Borough SD,Beaver,7358750.04,879300.39,353104.88,1232405.27,0.1675,5009109.78,0.6807,1117234.99,0.1518,,0.0
1.0,127045653.0,New Brighton Area SD,Beaver,32579175.16,7560721.69,823268.07,8383989.76,0.2573,19290750.08,0.5921,4904435.32,0.1505,,0.0
1.0,127045853.0,Riverside Beaver County SD,Beaver,27050869.89,10412829.35,572596.51,10985425.86,0.4061,14662326.32,0.542,1156538.82,0.0428,246578.89,0.0091
1.0,127046903.0,Rochester Area SD,Beaver,20720181.04,5589780.89,360320.27,5950101.16,0.2872,12544348.81,0.6054,2225731.07,0.1074,,0.0
1.0,127047404.0,South Side Area SD,Beaver,25903086.7,9409571.52,491937.15,9901508.67,0.3823,15251573.32,0.5888,750004.71,0.029,,0.0
1.0,127049303.0,Western Beaver County SD,Beaver,15664566.33,4842447.35,246567.63,5089014.98,0.3249,10005931.99,0.6388,565777.95,0.0361,3841.41,0.0002
1.0,108051003.0,Bedford Area SD,Bedford,36078436.25,15505942.7,1573892.24,17079834.94,0.4734,15716533.66,0.4356,3282067.65,0.091,,0.0
1.0,108051503.0,Chestnut Ridge SD,Bedford,24597565.52,6755074.4,1193703.22,7948777.62,0.3232,15518549.1,0.6309,1130238.8,0.0459,,0.0
1.0,108053003.0,Everett Area SD,Bedford,25189600.62,8890396.5,1026546.48,9916942.98,0.3937,12846707.99,0.51,2389341.65,0.0949,36608.0,0.0015
1.0,108056004.0,Northern Bedford County SD,Bedford,17583081.83,4282286.41,671731.84,4954018.25,0.2817,9973759.11,0.5672,1855304.47,0.1055,800000.0,0.0455
1.0,108058003.0,Tussey Mountain SD,Bedford,20870848.48,5537419.95,732398.43,6269818.38,0.3004,13405492.57,0.6423,1111433.53,0.0533,84104.0,0.004
1.0,114060503.0,Antietam SD,Berks,25273794.53,12226072.29,869935.03,13096007.32,0.5182,9912596.82,0.3922,2247129.39,0.0889,18061.0,0.0007
1.0,114060753.0,Boyertown Area SD,Berks,139836896.11,89944533.03,5687306.4,95631839.43,0.6839,41721211.06,0.2984,2483845.62,0.0178,,0.0
1.0,114060853.0,Brandywine Heights Area SD,Berks,36235466.96,22655318.32,999935.4,23655253.72,0.6528,10900285.73,0.3008,1669544.68,0.0461,10382.83,0.0003
1.0,114061103.0,Conrad Weiser Area SD,Berks,63097465.07,35783496.14,2593609.12,38377105.26,0.6082,17885688.88,0.2835,6248041.93,0.099,586629.0,0.0093
1.0,114061503.0,Daniel Boone Area SD,Berks,63146475.75,40200569.93,2097902.05,42298471.98,0.6698,19555905.44,0.3097,1292098.33,0.0205,,0.0
1.0,114062003.0,Exeter Township SD,Berks,83614467.14,53007888.47,2093549.22,55101437.69,0.659,25722724.47,0.3076,2774596.3,0.0332,15708.68,0.0002
1.0,114062503.0,Fleetwood Area SD,Berks,51179777.06,31122272.76,1275182.92,32397455.68,0.633,16149891.89,0.3156,2496446.98,0.0488,135982.51,0.0027
1.0,114063003.0,Governor Mifflin SD,Berks,83411053.08,52667530.14,1962722.84,54630252.98,0.655,22306714.74,0.2674,5608834.95,0.0672,865250.41,0.0104
1.0,114063503.0,Hamburg Area SD,Berks,51284972.56,31041890.99,1662417.09,32704308.08,0.6377,16344496.45,0.3187,1658138.74,0.0323,578029.29,0.0113
1.0,114064003.0,Kutztown Area SD,Berks,36671794.5,23436712.54,1025635.28,24462347.82,0.6671,10202521.15,0.2782,1794849.35,0.0489,212076.18,0.0058
1.0,114065503.0,Muhlenberg SD,Berks,74628354.2,45150714.41,1970537.58,47121251.99,0.6314,23457954.0,0.3143,3703247.87,0.0496,345900.34,0.0046
1.0,114066503.0,Oley Valley SD,Berks,36896067.76,24121927.32,959983.97,25081911.29,0.6798,11071585.75,0.3001,546726.14,0.0148,195844.58,0.0053
1.0,114067002.0,Reading SD,Berks,365206539.26,46363766.54,4488692.21,50852458.75,0.1392,261278247.05,0.7154,51491680.96,0.141,1584152.5,0.0043
1.0,114067503.0,Schuylkill Valley SD,Berks,44569849.93,31310458.97,1232513.68,32542972.65,0.7302,10907538.2,0.2447,908462.08,0.0204,210877.0,0.0047
1.0,114068003.0,Tulpehocken Area SD,Berks,39425303.48,26542966.73,1135355.15,27678321.88,0.702,10872024.0,0.2758,874957.6,0.0222,,0.0
1.0,114068103.0,Twin Valley SD,Berks,72318906.59,49994781.8,3002540.63,52997322.43,0.7328,17807656.41,0.2462,1508722.27,0.0209,5205.48,0.0001
1.0,114069103.0,Wilson SD,Berks,128658034.34,88720890.19,5069407.24,93790297.43,0.729,29801466.26,0.2316,3318298.09,0.0258,1747972.56,0.0136
1.0,114069353.0,Wyomissing Area SD,Berks,42980569.82,31824748.8,1187550.83,33012299.63,0.7681,8237727.97,0.1917,1668478.91,0.0388,62063.31,0.0014
1.0,108070502.0,Altoona Area SD,Blair,128975165.32,28914134.65,4082769.78,32996904.43,0.2558,76961158.11,0.5967,18769687.0,0.1455,247415.78,0.0019
1.0,108071003.0,Bellwood-Antis SD,Blair,21509143.75,6899029.18,679457.14,7578486.32,0.3523,11965939.81,0.5563,1055140.67,0.0491,909576.95,0.0423
1.0,108071504.0,Claysburg-Kimmel SD,Blair,16067410.73,3800290.89,415118.59,4215409.48,0.2624,9969591.7,0.6205,1819794.92,0.1133,62614.63,0.0039
1.0,108073503.0,Hollidaysburg Area SD,Blair,54944842.09,27966692.91,1973760.16,29940453.07,0.5449,22673900.34,0.4127,2302707.68,0.0419,27781.0,0.0005
1.0,108077503.0,Spring Cove SD,Blair,30523278.64,12477461.53,1157198.21,13634659.74,0.4467,14599326.14,0.4783,2281142.76,0.0747,8150.0,0.0003
1.0,108078003.0,Tyrone Area SD,Blair,30614331.31,8064638.93,933435.45,8998074.38,0.2939,17653344.92,0.5766,3525273.61,0.1152,437638.4,0.0143
1.0,108079004.0,Williamsburg Community SD,Blair,8893511.51,2161943.52,193053.7,2354997.22,0.2648,5954633.7,0.6695,583880.59,0.0657,,0.0
1.0,117080503.0,Athens Area SD,Bradford,45515863.6,16857305.56,951979.75,17809285.31,0.3913,24082662.46,0.5291,3623915.83,0.0796,,0.0
1.0,117081003.0,Canton Area SD,Bradford,19402167.09,4218901.86,684960.33,4903862.19,0.2527,12483228.3,0.6434,2015076.6,0.1039,,0.0
1.0,117083004.0,Northeast Bradford SD,Bradford,16515349.32,4726451.97,834096.11,5560548.08,0.3367,9632809.15,0.5833,1305882.05,0.0791,16110.04,0.001
1.0,117086003.0,Sayre Area SD,Bradford,24383255.44,9015619.12,576244.27,9591863.39,0.3934,11737930.01,0.4814,2627953.36,0.1078,425508.68,0.0175
1.0,117086503.0,Towanda Area SD,Bradford,32634547.12,12221205.65,862164.53,13083370.18,0.4009,16481447.89,0.505,3069729.05,0.0941,,0.0
1.0,117086653.0,Troy Area SD,Bradford,28500266.55,9330444.77,871219.5,10201664.27,0.3579,16976640.33,0.5957,1321961.95,0.0464,,0.0
1.0,117089003.0,Wyalusing Area SD,Bradford,29442490.52,11421430.7,1219735.49,12641166.19,0.4294,13916706.06,0.4727,2839421.27,0.0964,45197.0,0.0015
1.0,122091002.0,Bensalem Township SD,Bucks,172189972.84,112290974.53,5613526.87,117904501.4,0.6847,44611903.8,0.2591,9673567.64,0.0562,,0.0
1.0,122091303.0,Bristol Borough SD,Bucks,29053529.15,11887398.22,983916.4,12871314.62,0.443,13408768.28,0.4615,2674839.39,0.0921,98606.86,0.0034
1.0,122091352.0,Bristol Township SD,Bucks,196513525.61,91124720.28,4705682.54,95830402.82,0.4877,52351857.6,0.2664,10120658.63,0.0515,38210606.56,0.1944
1.0,122092002.0,Centennial SD,Bucks,140289531.16,97697184.53,3786748.8,101483933.33,0.7234,35616916.62,0.2539,3178681.21,0.0227,10000.0,0.0001
1.0,122092102.0,Central Bucks SD,Bucks,376782314.88,272275189.31,11210442.95,283485632.26,0.7524,82432624.74,0.2188,10857731.88,0.0288,6326.0,0.0
1.0,122092353.0,Council Rock SD,Bucks,266443844.25,197888895.1,6637300.83,204526195.93,0.7676,58547805.78,0.2197,3322242.88,0.0125,47599.66,0.0002
1.0,122097203.0,Morrisville Borough SD,Bucks,24475462.0,14151297.0,444133.0,14595430.0,0.5963,7734134.0,0.316,2135898.0,0.0873,10000.0,0.0004
1.0,122097502.0,Neshaminy SD,Bucks,199242771.7,138998037.74,7379465.14,146377502.88,0.7347,50627212.66,0.2541,2238056.16,0.0112,,0.0
1.0,122097604.0,New Hope-Solebury SD,Bucks,49579554.07,40923519.16,1409195.64,42332714.8,0.8538,6994891.33,0.1411,251947.94,0.0051,,0.0
1.0,122098003.0,Palisades SD,Bucks,46130465.45,33850809.27,1718379.04,35569188.31,0.7711,10276771.4,0.2228,249369.84,0.0054,35135.9,0.0008
1.0,122098103.0,Pennridge SD,Bucks,155829181.81,109002832.0,5153657.0,114156489.0,0.7326,36989826.81,0.2374,4682866.0,0.0301,,0.0
1.0,122098202.0,Pennsbury SD,Bucks,237075584.38,166834239.76,6618285.03,173452524.79,0.7316,59015007.39,0.2489,4532804.92,0.0191,75247.28,0.0003
1.0,122098403.0,Quakertown Community SD,Bucks,126615625.38,87474079.81,4079218.39,91553298.2,0.7231,30782864.63,0.2431,3706163.6,0.0293,573298.95,0.0045
1.0,104101252.0,Butler Area SD,Butler,109983075.85,51998034.84,3594145.81,55592180.65,0.5055,50628728.61,0.4603,3683110.59,0.0335,79056.0,0.0007
1.0,104103603.0,Karns City Area SD,Butler,26582395.0,7515316.0,1270141.0,8785457.0,0.3305,16908109.0,0.6361,888829.0,0.0334,,0.0
1.0,104107803.0,Knoch SD,Butler,37943510.06,19963169.82,1862022.83,21825192.65,0.5752,15571437.2,0.4104,546880.21,0.0144,,0.0
1.0,104105003.0,Mars Area SD,Butler,56764763.87,39314920.71,1804491.78,41119412.49,0.7244,15089673.83,0.2658,249139.4,0.0044,306538.15,0.0054
1.0,104105353.0,Moniteau SD,Butler,23809775.1,7227340.6,1108812.2,8336152.8,0.3501,14341887.15,0.6024,1131735.15,0.0475,,0.0
1.0,104107903.0,Seneca Valley SD,Butler,156764433.65,106438609.52,9076718.3,115515327.82,0.7369,39852188.86,0.2542,1371737.78,0.0088,25179.19,0.0002
1.0,104107503.0,Slippery Rock Area SD,Butler,35322201.0,17547693.0,1032703.0,18580396.0,0.526,16390671.0,0.464,351134.0,0.0099,,0.0
1.0,108110603.0,Blacklick Valley SD,Cambria,14425607.6,2026903.15,534174.26,2561077.41,0.1775,9584428.84,0.6644,2280101.35,0.1581,,0.0
1.0,108111203.0,Cambria Heights SD,Cambria,26008117.6,6230172.74,632879.47,6863052.21,0.2639,16773287.07,0.6449,2371778.32,0.0912,,0.0
1.0,108111303.0,Central Cambria SD,Cambria,28197943.55,10772561.58,1624945.36,12397506.94,0.4397,14194647.91,0.5034,1596144.44,0.0566,9644.26,0.0003
1.0,108111403.0,Conemaugh Valley SD,Cambria,17410887.87,3004009.13,451541.41,3455550.54,0.1985,10425203.14,0.5988,3446038.21,0.1979,84095.98,0.0048
1.0,108112003.0,Ferndale Area SD,Cambria,13863639.61,2651161.91,715802.95,3366964.86,0.2429,9570090.53,0.6903,926584.22,0.0668,,0.0
1.0,108112203.0,Forest Hills SD,Cambria,30911372.83,5883790.32,944762.4,6828552.72,0.2209,20934513.83,0.6772,2857541.5,0.0924,290764.78,0.0094
1.0,108112502.0,Greater Johnstown SD,Cambria,73301233.65,11683926.8,1522050.59,13205977.39,0.1802,41302763.52,0.5635,18756063.74,0.2559,36429.0,0.0005
1.0,108114503.0,Northern Cambria SD,Cambria,30683328.57,3796488.04,704430.1,4500918.14,0.1467,15079810.37,0.4915,1107600.06,0.0361,9995000.0,0.3257
1.0,108116003.0,Penn Cambria SD,Cambria,27442745.19,7373196.55,929766.22,8302962.77,0.3026,17269403.21,0.6293,1866379.21,0.068,4000.0,0.0001
1.0,108116303.0,Portage Area SD,Cambria,15696124.41,2708097.47,521952.46,3230049.93,0.2058,10987613.88,0.7,1478460.6,0.0942,,0.0
1.0,108116503.0,Richland SD,Cambria,25391851.8,14813650.86,936714.51,15750365.37,0.6203,7941000.09,0.3127,1177739.73,0.0464,522746.61,0.0206
1.0,108118503.0,Westmont Hilltop SD,Cambria,28252396.23,13632727.27,859898.24,14492625.51,0.513,11788291.25,0.4172,1967850.47,0.0697,3629.0,0.0001
1.0,109122703.0,Cameron County SD,Cameron,14526033.0,3801317.0,463664.0,4264981.0,0.2936,9847639.0,0.6779,408153.0,0.0281,5260.0,0.0004
