BERMUDIAN SPRINGS SD,Algebra I,All Students,141,23.4,44,24.8,7.8,2016
BERMUDIAN SPRINGS SD,Algebra I,Historically Underperforming,58,12.1,32.8,39.7,15.5,2016
BERMUDIAN SPRINGS SD,Biology,All Students,142,16.9,44.4,23.2,15.5,2016
BERMUDIAN SPRINGS SD,Biology,Historically Underperforming,59,6.8,35.6,30.5,27.1,2016
BERMUDIAN SPRINGS SD,Literature,All Students,142,12,68.3,16.2,3.5,2016
BERMUDIAN SPRINGS SD,Literature,Historically Underperforming,59,3.4,59.3,28.8,8.5,2016
CONEWAGO VALLEY SD,Algebra I,All Students,267,30.7,51.3,12,6,2016
CONEWAGO VALLEY SD,Algebra I,Historically Underperforming,105,15.2,49.5,21.9,13.3,2016
CONEWAGO VALLEY SD,Biology,All Students,270,35.6,40,17.4,7,2016
CONEWAGO VALLEY SD,Biology,Historically Underperforming,106,22.6,32.1,31.1,14.2,2016
CONEWAGO VALLEY SD,Literature,All Students,276,5.8,70.7,17.4,6.2,2016
CONEWAGO VALLEY SD,Literature,Historically Underperforming,110,2.7,52.7,30,14.5,2016
FAIRFIELD AREA SD,Algebra I,All Students,77,18.2,44.2,27.3,10.4,2016
FAIRFIELD AREA SD,Algebra I,Historically Underperforming,18,0,27.8,27.8,44.4,2016
FAIRFIELD AREA SD,Biology,All Students,77,22.1,37.7,23.4,16.9,2016
FAIRFIELD AREA SD,Biology,Historically Underperforming,18,5.6,16.7,11.1,66.7,2016
FAIRFIELD AREA SD,Literature,All Students,77,7.8,66.2,11.7,14.3,2016
FAIRFIELD AREA SD,Literature,Historically Underperforming,18,5.6,22.2,22.2,50,2016
GETTYSBURG AREA SD,Algebra I,All Students,199,23.1,49.2,23.6,4,2016
GETTYSBURG AREA SD,Algebra I,Historically Underperforming,82,7.3,46.3,37.8,8.5,2016
GETTYSBURG AREA SD,Biology,All Students,198,33.3,40.4,18.7,7.6,2016
GETTYSBURG AREA SD,Biology,Historically Underperforming,83,16.9,41,27.7,14.5,2016
GETTYSBURG AREA SD,Literature,All Students,199,9,73.4,15.1,2.5,2016
GETTYSBURG AREA SD,Literature,Historically Underperforming,83,6,61.4,26.5,6,2016
LITTLESTOWN AREA SD,Algebra I,All Students,167,30.5,56.9,11.4,1.2,2016
LITTLESTOWN AREA SD,Algebra I,Historically Underperforming,58,20.7,51.7,24.1,3.4,2016
LITTLESTOWN AREA SD,Biology,All Students,167,35.9,41.9,16.8,5.4,2016
LITTLESTOWN AREA SD,Biology,Historically Underperforming,58,25.9,31,31,12.1,2016
LITTLESTOWN AREA SD,Literature,All Students,165,18.2,73.3,8.5,0,2016
