District,Subject,Demographic,Total_Students,p4,p5,p6,p7
BERMUDIAN SPRINGS SD,Algebra I,All Students,139,27.3,45.3,21.6,5.8
BERMUDIAN SPRINGS SD,Algebra I,Historically Underperforming,47,14.899999999999999,29.799999999999997,38.3,17.0
BERMUDIAN SPRINGS SD,Biology,All Students,139,25.900000000000002,38.1,23.7,12.199999999999998
BERMUDIAN SPRINGS SD,Biology,Historically Underperforming,48,14.6,25.0,33.3,27.1
BERMUDIAN SPRINGS SD,Literature,All Students,139,7.200000000000001,71.2,16.5,5.0
BERMUDIAN SPRINGS SD,Literature,Historically Underperforming,48,2.1,52.1,33.3,12.5
CONEWAGO VALLEY SD,Algebra I,All Students,270,28.499999999999996,43.7,23.3,4.4
CONEWAGO VALLEY SD,Algebra I,Historically Underperforming,92,12.0,42.39999999999999,32.6,13.0
CONEWAGO VALLEY SD,Biology,All Students,264,31.1,40.5,18.6,9.8
CONEWAGO VALLEY SD,Biology,Historically Underperforming,90,8.900000000000002,47.8,23.300000000000004,20.0
CONEWAGO VALLEY SD,Literature,All Students,264,7.6,62.5,23.5,6.4
CONEWAGO VALLEY SD,Literature,Historically Underperforming,91,2.2,45.10000000000001,40.70000000000001,12.1
FAIRFIELD AREA SD,Algebra I,All Students,76,18.4,53.900000000000006,26.3,1.3
FAIRFIELD AREA SD,Algebra I,Historically Underperforming,16,18.8,37.5,37.5,6.3
FAIRFIELD AREA SD,Biology,All Students,76,19.7,52.6,19.7,7.9
FAIRFIELD AREA SD,Biology,Historically Underperforming,16,18.8,37.5,18.8,25.0
FAIRFIELD AREA SD,Literature,All Students,76,10.5,63.2,23.700000000000003,2.6
FAIRFIELD AREA SD,Literature,Historically Underperforming,16,6.3,43.8,37.5,12.5
GETTYSBURG AREA SD,Algebra I,All Students,197,41.10000000000001,33.5,18.8,6.6000000000000005
GETTYSBURG AREA SD,Algebra I,Historically Underperforming,84,15.5,40.5,28.6,15.5
GETTYSBURG AREA SD,Biology,All Students,195,35.4,38.5,18.999999999999996,7.200000000000001
GETTYSBURG AREA SD,Biology,Historically Underperforming,81,13.600000000000001,38.3,30.9,17.3
GETTYSBURG AREA SD,Literature,All Students,194,21.6,63.9,10.3,4.1
GETTYSBURG AREA SD,Literature,Historically Underperforming,77,13.0,58.4,18.2,10.4
LITTLESTOWN AREA SD,Algebra I,All Students,144,29.2,51.4,16.7,2.8000000000000003
LITTLESTOWN AREA SD,Algebra I,Historically Underperforming,121,32.2,49.6,15.7,2.5
LITTLESTOWN AREA SD,Biology,All Students,144,39.6,43.1,12.5,4.9
LITTLESTOWN AREA SD,Biology,Historically Underperforming,121,43.8,38.8,12.4,5.0
LITTLESTOWN AREA SD,Literature,All Students,145,9.7,73.1,11.0,6.2
LITTLESTOWN AREA SD,Literature,Historically Underperforming,122,9.8,71.3,13.100000000000001,5.7
UPPER ADAMS SD,Algebra I,All Students,133,27.1,41.4,28.6,3.0
UPPER ADAMS SD,Algebra I,Historically Underperforming,57,10.5,36.8,45.6,7.000000000000001
UPPER ADAMS SD,Biology,All Students,132,45.5,31.8,19.7,3.0
UPPER ADAMS SD,Biology,Historically Underperforming,56,32.1,28.6,33.9,5.4
UPPER ADAMS SD,Literature,All Students,133,9.8,67.7,18.0,4.5
UPPER ADAMS SD,Literature,Historically Underperforming,57,3.5000000000000004,54.400000000000006,31.6,10.5
A W BEATTIE CAREER CENTER,Algebra I,All Students,6,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Algebra I,Historically Underperforming,4,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Biology,All Students,5,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Biology,Historically Underperforming,4,NULL,NULL,NULL,NULL
