ADAMS COUNTY TECHNICAL INSTITUTE,Algebra I,All Students,3,,,,,2021
ADAMS COUNTY TECHNICAL INSTITUTE,Biology,All Students,1,,,,,2021
ADAMS COUNTY TECHNICAL INSTITUTE,Literature,All Students,1,,,,,2021
BERMUDIAN SPRINGS SD,Algebra I,All Students,135,32.6,42.2,23.7,1.5,2021
BERMUDIAN SPRINGS SD,Algebra I,Historically Underperforming,37,24.3,35.1,37.8,2.7,2021
BERMUDIAN SPRINGS SD,Biology,All Students,36,72.2,16.7,11.1,0,2021
BERMUDIAN SPRINGS SD,Biology,Historically Underperforming,6,,,,,2021
BERMUDIAN SPRINGS SD,Literature,All Students,87,13.8,86.2,0,0,2021
BERMUDIAN SPRINGS SD,Literature,Historically Underperforming,18,22.2,77.8,0,0,2021
CONEWAGO VALLEY SD,Algebra I,All Students,227,37.4,43.6,14.5,4.4,2021
CONEWAGO VALLEY SD,Algebra I,Historically Underperforming,78,24.4,41,21.8,12.8,2021
CONEWAGO VALLEY SD,Biology,All Students,40,52.5,12.5,30,5,2021
CONEWAGO VALLEY SD,Biology,Historically Underperforming,15,33.3,20,40,6.7,2021
CONEWAGO VALLEY SD,Literature,All Students,14,0,14.3,50,35.7,2021
CONEWAGO VALLEY SD,Literature,Historically Underperforming,9,,,,,2021
FAIRFIELD AREA SD,Algebra I,All Students,75,26.7,37.3,30.7,5.3,2021
FAIRFIELD AREA SD,Algebra I,Historically Underperforming,16,25,37.5,25,12.5,2021
FAIRFIELD AREA SD,Biology,All Students,40,42.5,37.5,17.5,2.5,2021
FAIRFIELD AREA SD,Biology,Historically Underperforming,9,,,,,2021
GETTYSBURG AREA SD,Algebra I,All Students,194,38.1,42.3,17,2.6,2021
GETTYSBURG AREA SD,Algebra I,Historically Underperforming,60,16.7,46.7,28.3,8.3,2021
GETTYSBURG AREA SD,Biology,All Students,27,44.4,14.8,29.6,11.1,2021
GETTYSBURG AREA SD,Biology,Historically Underperforming,10,,,,,2021
GETTYSBURG AREA SD,Literature,All Students,11,9.1,27.3,36.4,27.3,2021
GETTYSBURG AREA SD,Literature,Historically Underperforming,8,,,,,2021
LITTLESTOWN AREA SD,Algebra I,All Students,145,27.6,42.8,23.4,6.2,2021
LITTLESTOWN AREA SD,Algebra I,Historically Underperforming,30,10,20,46.7,23.3,2021
LITTLESTOWN AREA SD,Biology,All Students,142,43.7,31.7,16.2,8.5,2021
