BERMUDIAN SPRINGS SD,Algebra I,All Students,58,37.9,37.9,15.5,8.6,2022
BERMUDIAN SPRINGS SD,Algebra I,Economically Disadvantaged,17,17.6,47.1,17.6,17.6,2022
BERMUDIAN SPRINGS SD,Algebra I,ELL,1,,,,,2022
BERMUDIAN SPRINGS SD,Algebra I,IEP,4,,,,,2022
BERMUDIAN SPRINGS SD,Biology,All Students,98,12.2,30.6,33.7,23.5,2022
BERMUDIAN SPRINGS SD,Biology,Economically Disadvantaged,33,6.1,27.3,30.3,36.4,2022
BERMUDIAN SPRINGS SD,Biology,ELL,2,,,,,2022
BERMUDIAN SPRINGS SD,Biology,IEP,7,,,,,2022
BERMUDIAN SPRINGS SD,Literature,All Students,28,0,21.4,50,28.6,2022
BERMUDIAN SPRINGS SD,Literature,Economically Disadvantaged,13,0,15.4,46.2,38.5,2022
BERMUDIAN SPRINGS SD,Literature,ELL,2,,,,,2022
BERMUDIAN SPRINGS SD,Literature,IEP,6,,,,,2022
CONEWAGO VALLEY SD,Algebra I,All Students,106,65.1,16,3.8,15.1,2022
CONEWAGO VALLEY SD,Algebra I,Economically Disadvantaged,29,51.7,10.3,10.3,27.6,2022
CONEWAGO VALLEY SD,Algebra I,ELL,2,,,,,2022
CONEWAGO VALLEY SD,Algebra I,IEP,19,10.5,0,15.8,73.7,2022
CONEWAGO VALLEY SD,Biology,All Students,128,7.8,31.3,40.6,20.3,2022
CONEWAGO VALLEY SD,Biology,Economically Disadvantaged,48,2.1,29.2,45.8,22.9,2022
CONEWAGO VALLEY SD,Biology,ELL,4,,,,,2022
CONEWAGO VALLEY SD,Biology,IEP,33,3,12.1,39.4,45.5,2022
CONEWAGO VALLEY SD,Literature,All Students,241,10,54.8,27.4,7.9,2022
CONEWAGO VALLEY SD,Literature,Economically Disadvantaged,75,4,50.7,32,13.3,2022
CONEWAGO VALLEY SD,Literature,ELL,2,,,,,2022
CONEWAGO VALLEY SD,Literature,IEP,30,3.3,6.7,46.7,43.3,2022
FAIRFIELD AREA SD,Algebra I,All Students,35,34.3,48.6,8.6,8.6,2022
FAIRFIELD AREA SD,Algebra I,Economically Disadvantaged,6,,,,,2022
FAIRFIELD AREA SD,Algebra I,IEP,1,,,,,2022
FAIRFIELD AREA SD,Biology,All Students,41,7.3,31.7,34.1,26.8,2022
FAIRFIELD AREA SD,Biology,Economically Disadvantaged,11,0,36.4,36.4,27.3,2022
FAIRFIELD AREA SD,Biology,IEP,7,,,,,2022
FAIRFIELD AREA SD,Literature,All Students,67,4.5,56.7,25.4,13.4,2022
