District,Subject,Demographic,Total_Students,p4,p5,p6,p7
ADAMS COUNTY TECHNICAL INSTITUTE,Algebra I,All Students,3,NULL,NULL,NULL,NULL
ADAMS COUNTY TECHNICAL INSTITUTE,Biology,All Students,1,NULL,NULL,NULL,NULL
ADAMS COUNTY TECHNICAL INSTITUTE,Literature,All Students,1,NULL,NULL,NULL,NULL
BERMUDIAN SPRINGS SD,Algebra I,All Students,135,32.6,42.2,23.7,1.5
BERMUDIAN SPRINGS SD,Algebra I,Historically Underperforming,37,24.3,35.1,37.8,2.7
BERMUDIAN SPRINGS SD,Biology,All Students,36,72.2,16.7,11.1,0.0
BERMUDIAN SPRINGS SD,Biology,Historically Underperforming,6,NULL,NULL,NULL,NULL
BERMUDIAN SPRINGS SD,Literature,All Students,87,13.8,86.2,0.0,0.0
BERMUDIAN SPRINGS SD,Literature,Historically Underperforming,18,22.2,77.8,0.0,0.0
CONEWAGO VALLEY SD,Algebra I,All Students,227,37.4,43.6,14.499999999999998,4.4
CONEWAGO VALLEY SD,Algebra I,Historically Underperforming,78,24.4,41.0,21.800000000000004,12.8
CONEWAGO VALLEY SD,Biology,All Students,40,52.5,12.5,30.0,5.0
CONEWAGO VALLEY SD,Biology,Historically Underperforming,15,33.3,20.0,40.0,6.7
CONEWAGO VALLEY SD,Literature,All Students,14,0.0,14.3,50.0,35.7
CONEWAGO VALLEY SD,Literature,Historically Underperforming,9,NULL,NULL,NULL,NULL
FAIRFIELD AREA SD,Algebra I,All Students,75,26.700000000000003,37.3,30.7,5.3
FAIRFIELD AREA SD,Algebra I,Historically Underperforming,16,25.0,37.5,25.0,12.5
FAIRFIELD AREA SD,Biology,All Students,40,42.5,37.5,17.5,2.5
FAIRFIELD AREA SD,Biology,Historically Underperforming,9,NULL,NULL,NULL,NULL
GETTYSBURG AREA SD,Algebra I,All Students,194,38.1,42.3,17.0,2.6
GETTYSBURG AREA SD,Algebra I,Historically Underperforming,60,16.7,46.7,28.300000000000004,8.3
GETTYSBURG AREA SD,Biology,All Students,27,44.4,14.800000000000002,29.600000000000005,11.1
GETTYSBURG AREA SD,Biology,Historically Underperforming,10,NULL,NULL,NULL,NULL
GETTYSBURG AREA SD,Literature,All Students,11,9.099999999999998,27.3,36.39999999999999,27.3
GETTYSBURG AREA SD,Literature,Historically Underperforming,8,NULL,NULL,NULL,NULL
LITTLESTOWN AREA SD,Algebra I,All Students,145,27.6,42.8,23.4,6.2
LITTLESTOWN AREA SD,Algebra I,Historically Underperforming,30,10.0,20.0,46.7,23.3
LITTLESTOWN AREA SD,Biology,All Students,142,43.7,31.7,16.2,8.5
LITTLESTOWN AREA SD,Biology,Historically Underperforming,30,33.3,6.7,30.0,30.0
LITTLESTOWN AREA SD,Literature,All Students,6,NULL,NULL,NULL,NULL
LITTLESTOWN AREA SD,Literature,Historically Underperforming,5,NULL,NULL,NULL,NULL
UPPER ADAMS SD,Algebra I,All Students,124,24.2,36.3,31.5,8.1
UPPER ADAMS SD,Algebra I,Historically Underperforming,55,14.499999999999998,27.3,40.0,18.2
UPPER ADAMS SD,Biology,All Students,12,0.0,16.699999999999996,50.0,33.3
UPPER ADAMS SD,Biology,Historically Underperforming,8,NULL,NULL,NULL,NULL
UPPER ADAMS SD,Literature,All Students,3,NULL,NULL,NULL,NULL
UPPER ADAMS SD,Literature,Historically Underperforming,3,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Algebra I,All Students,4,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Algebra I,Historically Underperforming,2,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Biology,All Students,3,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Biology,Historically Underperforming,2,NULL,NULL,NULL,NULL
ALLEGHENY VALLEY SD,Algebra I,All Students,61,18.0,42.6,32.8,6.6000000000000005
ALLEGHENY VALLEY SD,Algebra I,Historically Underperforming,26,15.399999999999997,38.5,38.5,7.699999999999998
ALLEGHENY VALLEY SD,Biology,All Students,28,57.10000000000001,35.7,3.5999999999999996,3.5999999999999996
ALLEGHENY VALLEY SD,Biology,Historically Underperforming,11,54.50000000000001,27.3,9.099999999999998,9.099999999999998
ALLEGHENY VALLEY SD,Literature,All Students,3,NULL,NULL,NULL,NULL
ALLEGHENY VALLEY SD,Literature,Historically Underperforming,2,NULL,NULL,NULL,NULL
AVONWORTH SD,Algebra I,All Students,114,34.199999999999996,32.5,26.3,7.000000000000001
AVONWORTH SD,Algebra I,Historically Underperforming,32,12.5,37.5,34.4,15.6
AVONWORTH SD,Biology,All Students,81,40.699999999999996,41.99999999999999,16.0,1.2
AVONWORTH SD,Biology,Historically Underperforming,13,38.5,30.799999999999994,30.799999999999994,0.0
BALDWIN-WHITEHALL SD,Algebra I,All Students,297,30.0,29.600000000000005,32.0,8.4
BALDWIN-WHITEHALL SD,Algebra I,Historically Underperforming,91,26.400000000000002,22.0,34.1,17.6
BALDWIN-WHITEHALL SD,Biology,All Students,321,36.1,30.5,21.5,11.799999999999999
BALDWIN-WHITEHALL SD,Biology,Historically Underperforming,111,30.599999999999998,21.6,20.7,27.0
BETHEL PARK SD,Algebra I,All Students,280,29.600000000000005,47.5,18.6,4.3
BETHEL PARK SD,Algebra I,Historically Underperforming,61,21.3,31.1,31.1,16.4
BETHEL PARK SD,Biology,All Students,112,57.99999999999999,31.3,8.9,1.7999999999999998
BETHEL PARK SD,Biology,Historically Underperforming,12,41.7,25.0,16.699999999999996,16.699999999999996
BETHEL PARK SD,Literature,All Students,3,NULL,NULL,NULL,NULL
BETHEL PARK SD,Literature,Historically Underperforming,2,NULL,NULL,NULL,NULL
BRENTWOOD BOROUGH SD,Algebra I,All Students,74,17.6,37.8,43.2,1.3999999999999997
BRENTWOOD BOROUGH SD,Algebra I,Historically Underperforming,33,15.2,33.3,51.5,0.0
BRENTWOOD BOROUGH SD,Biology,All Students,59,39.0,39.0,20.3,1.7000000000000002
BRENTWOOD BOROUGH SD,Biology,Historically Underperforming,28,25.0,46.4,28.6,0.0
BRENTWOOD BOROUGH SD,Literature,All Students,2,NULL,NULL,NULL,NULL
BRENTWOOD BOROUGH SD,Literature,Historically Underperforming,1,NULL,NULL,NULL,NULL
CARLYNTON SD,Algebra I,All Students,80,16.3,30.0,36.3,17.5
CARLYNTON SD,Algebra I,Historically Underperforming,35,11.4,31.4,34.3,22.899999999999995
CARLYNTON SD,Biology,All Students,76,28.9,28.9,30.3,11.799999999999999
CARLYNTON SD,Biology,Historically Underperforming,33,21.2,36.4,24.2,18.2
CHARTIERS VALLEY SD,Algebra I,All Students,209,15.8,38.29999999999999,34.0,12.0
CHARTIERS VALLEY SD,Algebra I,Historically Underperforming,59,3.4000000000000004,22.0,44.10000000000001,30.5
CHARTIERS VALLEY SD,Biology,All Students,212,30.7,34.0,22.2,13.200000000000001
CHARTIERS VALLEY SD,Biology,Historically Underperforming,66,15.2,21.2,27.3,36.4
CITY CHS,Biology,All Students,133,1.5,15.8,40.6,42.1
CITY CHS,Biology,Historically Underperforming,93,1.1,9.7,40.9,48.4
CLAIRTON CITY SD,Algebra I,All Students,49,2.0,22.4,61.199999999999996,14.3
CLAIRTON CITY SD,Algebra I,Historically Underperforming,44,2.3,18.199999999999996,63.6,15.9
CLAIRTON CITY SD,Biology,All Students,26,11.5,26.899999999999995,46.2,15.399999999999997
