BERMUDIAN SPRINGS SD,Algebra I,All Students,139,27.3,45.3,21.6,5.8,2019
BERMUDIAN SPRINGS SD,Algebra I,Historically Underperforming,47,14.9,29.8,38.3,17,2019
BERMUDIAN SPRINGS SD,Biology,All Students,139,25.9,38.1,23.7,12.2,2019
BERMUDIAN SPRINGS SD,Biology,Historically Underperforming,48,14.6,25,33.3,27.1,2019
BERMUDIAN SPRINGS SD,Literature,All Students,139,7.2,71.2,16.5,5,2019
BERMUDIAN SPRINGS SD,Literature,Historically Underperforming,48,2.1,52.1,33.3,12.5,2019
CONEWAGO VALLEY SD,Algebra I,All Students,270,28.5,43.7,23.3,4.4,2019
CONEWAGO VALLEY SD,Algebra I,Historically Underperforming,92,12,42.4,32.6,13,2019
CONEWAGO VALLEY SD,Biology,All Students,264,31.1,40.5,18.6,9.8,2019
CONEWAGO VALLEY SD,Biology,Historically Underperforming,90,8.9,47.8,23.3,20,2019
CONEWAGO VALLEY SD,Literature,All Students,264,7.6,62.5,23.5,6.4,2019
CONEWAGO VALLEY SD,Literature,Historically Underperforming,91,2.2,45.1,40.7,12.1,2019
FAIRFIELD AREA SD,Algebra I,All Students,76,18.4,53.9,26.3,1.3,2019
FAIRFIELD AREA SD,Algebra I,Historically Underperforming,16,18.8,37.5,37.5,6.3,2019
FAIRFIELD AREA SD,Biology,All Students,76,19.7,52.6,19.7,7.9,2019
FAIRFIELD AREA SD,Biology,Historically Underperforming,16,18.8,37.5,18.8,25,2019
FAIRFIELD AREA SD,Literature,All Students,76,10.5,63.2,23.7,2.6,2019
FAIRFIELD AREA SD,Literature,Historically Underperforming,16,6.3,43.8,37.5,12.5,2019
GETTYSBURG AREA SD,Algebra I,All Students,197,41.1,33.5,18.8,6.6,2019
GETTYSBURG AREA SD,Algebra I,Historically Underperforming,84,15.5,40.5,28.6,15.5,2019
GETTYSBURG AREA SD,Biology,All Students,195,35.4,38.5,19,7.2,2019
GETTYSBURG AREA SD,Biology,Historically Underperforming,81,13.6,38.3,30.9,17.3,2019
GETTYSBURG AREA SD,Literature,All Students,194,21.6,63.9,10.3,4.1,2019
GETTYSBURG AREA SD,Literature,Historically Underperforming,77,13,58.4,18.2,10.4,2019
LITTLESTOWN AREA SD,Algebra I,All Students,144,29.2,51.4,16.7,2.8,2019
LITTLESTOWN AREA SD,Algebra I,Historically Underperforming,121,32.2,49.6,15.7,2.5,2019
LITTLESTOWN AREA SD,Biology,All Students,144,39.6,43.1,12.5,4.9,2019
LITTLESTOWN AREA SD,Biology,Historically Underperforming,121,43.8,38.8,12.4,5,2019
LITTLESTOWN AREA SD,Literature,All Students,145,9.7,73.1,11,6.2,2019
LITTLESTOWN AREA SD,Literature,Historically Underperforming,122,9.8,71.3,13.1,5.7,2019
UPPER ADAMS SD,Algebra I,All Students,133,27.1,41.4,28.6,3,2019
UPPER ADAMS SD,Algebra I,Historically Underperforming,57,10.5,36.8,45.6,7,2019
UPPER ADAMS SD,Biology,All Students,132,45.5,31.8,19.7,3,2019
UPPER ADAMS SD,Biology,Historically Underperforming,56,32.1,28.6,33.9,5.4,2019
UPPER ADAMS SD,Literature,All Students,133,9.8,67.7,18,4.5,2019
UPPER ADAMS SD,Literature,Historically Underperforming,57,3.5,54.4,31.6,10.5,2019
A W BEATTIE CAREER CENTER,Algebra I,All Students,6,,,,,2019
A W BEATTIE CAREER CENTER,Algebra I,Historically Underperforming,4,,,,,2019
A W BEATTIE CAREER CENTER,Biology,All Students,5,,,,,2019
A W BEATTIE CAREER CENTER,Biology,Historically Underperforming,4,,,,,2019
A W BEATTIE CAREER CENTER,Literature,All Students,6,,,,,2019
A W BEATTIE CAREER CENTER,Literature,Historically Underperforming,5,,,,,2019
ALLEGHENY VALLEY SD,Algebra I,All Students,56,8.9,58.9,26.8,5.4,2019
ALLEGHENY VALLEY SD,Algebra I,Historically Underperforming,30,3.3,53.3,33.3,10,2019
ALLEGHENY VALLEY SD,Biology,All Students,53,22.6,49.1,17,11.3,2019
ALLEGHENY VALLEY SD,Biology,Historically Underperforming,27,14.8,51.9,22.2,11.1,2019
ALLEGHENY VALLEY SD,Literature,All Students,55,10.9,69.1,18.2,1.8,2019
ALLEGHENY VALLEY SD,Literature,Historically Underperforming,29,13.8,58.6,24.1,3.4,2019
AVONWORTH SD,Algebra I,All Students,106,34.9,33,25.5,6.6,2019
AVONWORTH SD,Algebra I,Historically Underperforming,24,16.7,25,37.5,20.8,2019
AVONWORTH SD,Biology,All Students,113,23.9,38.1,24.8,13.3,2019
AVONWORTH SD,Biology,Historically Underperforming,26,0,26.9,38.5,34.6,2019
AVONWORTH SD,Literature,All Students,116,19,67.2,12.1,1.7,2019
AVONWORTH SD,Literature,Historically Underperforming,26,3.8,61.5,26.9,7.7,2019
BALDWIN-WHITEHALL SD,Algebra I,All Students,358,16.5,51.4,23.7,8.4,2019
BALDWIN-WHITEHALL SD,Algebra I,Historically Underperforming,142,9.2,37.3,38,15.5,2019
BALDWIN-WHITEHALL SD,Biology,All Students,360,28.9,43.3,19.7,8.1,2019
BALDWIN-WHITEHALL SD,Biology,Historically Underperforming,145,11.7,38.6,31.7,17.9,2019
BALDWIN-WHITEHALL SD,Literature,All Students,354,14.1,64.4,15.5,5.9,2019
BALDWIN-WHITEHALL SD,Literature,Historically Underperforming,138,4.3,54.3,26.8,14.5,2019
BETHEL PARK SD,Algebra I,All Students,329,27.7,52.9,16.7,2.7,2019
BETHEL PARK SD,Algebra I,Historically Underperforming,67,16.4,34.3,37.3,11.9,2019
