District,Subject,Demographic,Total_Students,p4,p5,p6,p7
BERMUDIAN SPRINGS SD,Algebra I,All Students,141,23.4,44.0,24.799999999999997,7.8
BERMUDIAN SPRINGS SD,Algebra I,Historically Underperforming,58,12.1,32.8,39.7,15.5
BERMUDIAN SPRINGS SD,Biology,All Students,142,16.9,44.4,23.199999999999996,15.5
BERMUDIAN SPRINGS SD,Biology,Historically Underperforming,59,6.800000000000001,35.6,30.5,27.1
BERMUDIAN SPRINGS SD,Literature,All Students,142,12.0,68.3,16.2,3.5000000000000004
BERMUDIAN SPRINGS SD,Literature,Historically Underperforming,59,3.4000000000000004,59.29999999999998,28.800000000000004,8.5
CONEWAGO VALLEY SD,Algebra I,All Students,267,30.7,51.300000000000004,12.0,6.0
CONEWAGO VALLEY SD,Algebra I,Historically Underperforming,105,15.2,49.5,21.9,13.3
CONEWAGO VALLEY SD,Biology,All Students,270,35.6,40.0,17.4,7.000000000000001
CONEWAGO VALLEY SD,Biology,Historically Underperforming,106,22.6,32.1,31.1,14.2
CONEWAGO VALLEY SD,Literature,All Students,276,5.8,70.7,17.4,6.199999999999999
CONEWAGO VALLEY SD,Literature,Historically Underperforming,110,2.7,52.7,30.0,14.499999999999998
FAIRFIELD AREA SD,Algebra I,All Students,77,18.2,44.2,27.3,10.4
FAIRFIELD AREA SD,Algebra I,Historically Underperforming,18,0.0,27.800000000000004,27.800000000000004,44.4
FAIRFIELD AREA SD,Biology,All Students,77,22.1,37.7,23.400000000000002,16.9
FAIRFIELD AREA SD,Biology,Historically Underperforming,18,5.6000000000000005,16.7,11.1,66.7
FAIRFIELD AREA SD,Literature,All Students,77,7.8,66.2,11.700000000000001,14.3
FAIRFIELD AREA SD,Literature,Historically Underperforming,18,5.6000000000000005,22.2,22.2,50.0
GETTYSBURG AREA SD,Algebra I,All Students,199,23.1,49.20000000000001,23.6,4.0
GETTYSBURG AREA SD,Algebra I,Historically Underperforming,82,7.3,46.29999999999999,37.8,8.5
GETTYSBURG AREA SD,Biology,All Students,198,33.3,40.4,18.700000000000003,7.6
GETTYSBURG AREA SD,Biology,Historically Underperforming,83,16.9,41.0,27.699999999999996,14.499999999999998
GETTYSBURG AREA SD,Literature,All Students,199,9.0,73.40000000000002,15.1,2.5
GETTYSBURG AREA SD,Literature,Historically Underperforming,83,6.0,61.4,26.5,6.0
LITTLESTOWN AREA SD,Algebra I,All Students,167,30.5,56.89999999999999,11.4,1.2
LITTLESTOWN AREA SD,Algebra I,Historically Underperforming,58,20.700000000000003,51.7,24.1,3.4000000000000004
LITTLESTOWN AREA SD,Biology,All Students,167,35.9,41.9,16.8,5.4
LITTLESTOWN AREA SD,Biology,Historically Underperforming,58,25.900000000000002,31.0,31.0,12.1
LITTLESTOWN AREA SD,Literature,All Students,165,18.2,73.3,8.5,0.0
LITTLESTOWN AREA SD,Literature,Historically Underperforming,57,12.3,64.9,22.8,0.0
UPPER ADAMS SD,Algebra I,All Students,99,23.200000000000003,46.5,23.200000000000003,7.1
UPPER ADAMS SD,Algebra I,Historically Underperforming,43,11.6,41.9,30.2,16.3
UPPER ADAMS SD,Biology,All Students,99,51.5,28.300000000000004,14.099999999999998,6.1
UPPER ADAMS SD,Biology,Historically Underperforming,43,39.49999999999999,23.3,23.3,14.000000000000002
UPPER ADAMS SD,Literature,All Students,101,7.9,69.3,16.8,5.9
UPPER ADAMS SD,Literature,Historically Underperforming,45,6.7,60.0,20.0,13.3
A W BEATTIE CAREER CENTER,Algebra I,All Students,10,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Algebra I,Historically Underperforming,7,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Biology,All Students,12,0.0,16.699999999999996,58.3,25.0
A W BEATTIE CAREER CENTER,Biology,Historically Underperforming,8,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Literature,All Students,10,NULL,NULL,NULL,NULL
A W BEATTIE CAREER CENTER,Literature,Historically Underperforming,7,NULL,NULL,NULL,NULL
ACADEMY CHARTER SCHOOL,Algebra I,All Students,30,0.0,0.0,33.3,66.7
ACADEMY CHARTER SCHOOL,Algebra I,Historically Underperforming,27,0.0,0.0,37.0,63.0
ACADEMY CHARTER SCHOOL,Biology,All Students,30,0.0,0.0,3.3000000000000003,96.7
ACADEMY CHARTER SCHOOL,Biology,Historically Underperforming,27,0.0,0.0,3.7000000000000006,96.3
ACADEMY CHARTER SCHOOL,Literature,All Students,28,0.0,0.0,35.7,64.3
ACADEMY CHARTER SCHOOL,Literature,Historically Underperforming,25,0.0,0.0,32.0,68.0
ALLEGHENY VALLEY SD,Algebra I,All Students,72,15.299999999999999,56.89999999999999,23.6,4.2
ALLEGHENY VALLEY SD,Algebra I,Historically Underperforming,26,3.8,53.79999999999999,30.799999999999994,11.5
ALLEGHENY VALLEY SD,Biology,All Students,71,32.4,40.8,18.3,8.5
ALLEGHENY VALLEY SD,Biology,Historically Underperforming,25,12.0,44.0,24.0,20.0
ALLEGHENY VALLEY SD,Literature,All Students,70,11.4,68.6,15.7,4.3
ALLEGHENY VALLEY SD,Literature,Historically Underperforming,24,12.5,54.2,25.0,8.3
AVONWORTH SD,Algebra I,All Students,109,40.4,45.00000000000001,8.3,6.4
AVONWORTH SD,Algebra I,Historically Underperforming,28,17.9,32.1,25.0,25.0
AVONWORTH SD,Biology,All Students,116,45.7,41.400000000000006,9.5,3.4000000000000004
AVONWORTH SD,Biology,Historically Underperforming,28,14.3,32.1,39.3,14.3
