BETHEL PARK SD,Algebra I,Historically Underperforming,95,13.7,35.8,26.3,24.2,2017
BETHEL PARK SD,Biology,All Students,400,34,41.5,15.5,9,2017
BETHEL PARK SD,Biology,Historically Underperforming,93,17.2,36.6,20.4,25.8,2017
BETHEL PARK SD,Literature,All Students,399,10.8,73.9,12.5,2.8,2017
BETHEL PARK SD,Literature,Historically Underperforming,92,6.5,58.7,26.1,8.7,2017
BRENTWOOD BOROUGH SD,Algebra I,All Students,110,13.6,50.9,29.1,6.4,2017
BRENTWOOD BOROUGH SD,Algebra I,Historically Underperforming,48,4.2,35.4,47.9,12.5,2017
BRENTWOOD BOROUGH SD,Biology,All Students,110,20.9,46.4,21.8,10.9,2017
BRENTWOOD BOROUGH SD,Biology,Historically Underperforming,48,4.2,39.6,31.3,25,2017
BRENTWOOD BOROUGH SD,Literature,All Students,111,7.2,78.4,9,5.4,2017
BRENTWOOD BOROUGH SD,Literature,Historically Underperforming,49,0,69.4,18.4,12.2,2017
CARLYNTON SD,Algebra I,All Students,92,10.9,42.4,40.2,6.5,2017
CARLYNTON SD,Algebra I,Historically Underperforming,39,12.8,20.5,56.4,10.3,2017
CARLYNTON SD,Biology,All Students,93,14,60.2,17.2,8.6,2017
CARLYNTON SD,Biology,Historically Underperforming,40,17.5,45,25,12.5,2017
CARLYNTON SD,Literature,All Students,92,5.4,72.8,14.1,7.6,2017
CARLYNTON SD,Literature,Historically Underperforming,39,5.1,66.7,20.5,7.7,2017
CHARTIERS VALLEY SD,Algebra I,All Students,263,14.1,58.2,23.6,4.2,2017
CHARTIERS VALLEY SD,Algebra I,Historically Underperforming,88,9.1,48.9,34.1,8,2017
CHARTIERS VALLEY SD,Biology,All Students,263,41.4,44.9,9.5,4.2,2017
CHARTIERS VALLEY SD,Biology,Historically Underperforming,88,28.4,40.9,22.7,8,2017
CHARTIERS VALLEY SD,Literature,All Students,260,4.6,72.3,17.7,5.4,2017
CHARTIERS VALLEY SD,Literature,Historically Underperforming,85,2.4,56.5,30.6,10.6,2017
CITY CHS,Algebra I,All Students,145,15.9,48.3,23.4,12.4,2017
CITY CHS,Algebra I,Historically Underperforming,90,13.3,44.4,26.7,15.6,2017
CITY CHS,Biology,All Students,145,13.8,42.1,20.7,23.4,2017
CITY CHS,Biology,Historically Underperforming,90,8.9,37.8,26.7,26.7,2017
CITY CHS,Literature,All Students,150,6.7,66,22.7,4.7,2017
CITY CHS,Literature,Historically Underperforming,96,5.2,60.4,27.1,7.3,2017
CLAIRTON CITY SD,Algebra I,All Students,49,0,20.4,67.3,12.2,2017
CLAIRTON CITY SD,Algebra I,Historically Underperforming,40,0,15,70,15,2017
CLAIRTON CITY SD,Biology,All Students,50,0,14,44,42,2017
CLAIRTON CITY SD,Biology,Historically Underperforming,40,0,10,40,50,2017
CLAIRTON CITY SD,Literature,All Students,49,0,38.8,55.1,6.1,2017
CLAIRTON CITY SD,Literature,Historically Underperforming,40,0,37.5,55,7.5,2017
CORNELL SD,Algebra I,All Students,46,2.2,32.6,47.8,17.4,2017
CORNELL SD,Algebra I,Historically Underperforming,46,2.2,32.6,47.8,17.4,2017
CORNELL SD,Biology,All Students,46,15.2,32.6,32.6,19.6,2017
CORNELL SD,Biology,Historically Underperforming,46,15.2,32.6,32.6,19.6,2017
CORNELL SD,Literature,All Students,46,0,58.7,32.6,8.7,2017
CORNELL SD,Literature,Historically Underperforming,46,0,58.7,32.6,8.7,2017
DEER LAKES SD,Algebra I,All Students,155,17.4,41.3,32.9,8.4,2017
DEER LAKES SD,Algebra I,Historically Underperforming,59,5.1,30.5,49.2,15.3,2017
DEER LAKES SD,Biology,All Students,157,34.4,33.1,25.5,7,2017
DEER LAKES SD,Biology,Historically Underperforming,61,16.4,31.1,37.7,14.8,2017
DEER LAKES SD,Literature,All Students,153,9.2,65.4,18.3,7.2,2017
DEER LAKES SD,Literature,Historically Underperforming,58,3.4,51.7,29.3,15.5,2017
EAST ALLEGHENY SD,Algebra I,All Students,106,10.4,34,33,22.6,2017
EAST ALLEGHENY SD,Algebra I,Historically Underperforming,63,3.2,33.3,38.1,25.4,2017
EAST ALLEGHENY SD,Biology,All Students,109,16.5,25.7,30.3,27.5,2017
EAST ALLEGHENY SD,Biology,Historically Underperforming,65,12.3,20,32.3,35.4,2017
EAST ALLEGHENY SD,Literature,All Students,107,1.9,43,37.4,17.8,2017
EAST ALLEGHENY SD,Literature,Historically Underperforming,62,3.2,32.3,40.3,24.2,2017
ELIZABETH FORWARD SD,Algebra I,All Students,194,9.3,59.3,26.8,4.6,2017
ELIZABETH FORWARD SD,Algebra I,Historically Underperforming,75,2.7,45.3,40,12,2017
ELIZABETH FORWARD SD,Biology,All Students,192,18.8,53.6,19.8,7.8,2017
ELIZABETH FORWARD SD,Biology,Historically Underperforming,74,10.8,39.2,32.4,17.6,2017
ELIZABETH FORWARD SD,Literature,All Students,185,6.5,66.5,18.9,8.1,2017
ELIZABETH FORWARD SD,Literature,Historically Underperforming,70,0,47.1,32.9,20,2017
FOX CHAPEL AREA SD,Algebra I,All Students,334,39.8,50.6,9.3,0.3,2017
FOX CHAPEL AREA SD,Algebra I,Historically Underperforming,79,20.3,51.9,26.6,1.3,2017
FOX CHAPEL AREA SD,Biology,All Students,332,57.8,33.1,6.6,2.4,2017
FOX CHAPEL AREA SD,Biology,Historically Underperforming,77,29.9,45.5,16.9,7.8,2017
FOX CHAPEL AREA SD,Literature,All Students,332,25.6,70.8,3,0.6,2017
FOX CHAPEL AREA SD,Literature,Historically Underperforming,77,3.9,81.8,11.7,2.6,2017
GATEWAY SD,Algebra I,All Students,250,16,61.6,18.8,3.6,2017
GATEWAY SD,Algebra I,Historically Underperforming,85,7.1,55.3,30.6,7.1,2017
GATEWAY SD,Biology,All Students,248,35.9,40.7,17.3,6,2017
GATEWAY SD,Biology,Historically Underperforming,85,21.2,36.5,30.6,11.8,2017
GATEWAY SD,Literature,All Students,250,15.6,72.4,10,2,2017
GATEWAY SD,Literature,Historically Underperforming,85,2.4,71.8,21.2,4.7,2017
HAMPTON TOWNSHIP SD,Algebra I,All Students,256,35.5,53.1,10.5,0.8,2017
HAMPTON TOWNSHIP SD,Algebra I,Historically Underperforming,27,7.4,48.1,37,7.4,2017
HAMPTON TOWNSHIP SD,Biology,All Students,258,45.3,41.9,10.5,2.3,2017
HAMPTON TOWNSHIP SD,Biology,Historically Underperforming,29,10.3,51.7,24.1,13.8,2017
HAMPTON TOWNSHIP SD,Literature,All Students,258,20.5,75.2,3.5,0.8,2017
HAMPTON TOWNSHIP SD,Literature,Historically Underperforming,29,3.4,65.5,24.1,6.9,2017
HIGHLANDS SD,Algebra I,All Students,163,6.7,46,35,12.3,2017
HIGHLANDS SD,Algebra I,Historically Underperforming,104,1,42.3,38.5,18.3,2017
HIGHLANDS SD,Biology,All Students,158,15.8,35.4,34.2,14.6,2017
HIGHLANDS SD,Biology,Historically Underperforming,99,9.1,34.3,38.4,18.2,2017
HIGHLANDS SD,Literature,All Students,158,3.8,44.3,37.3,14.6,2017
HIGHLANDS SD,Literature,Historically Underperforming,99,0,36.4,43.4,20.2,2017
HILL HOUSE PASSPORT ACADEMY CS,Algebra I,All Students,45,0,4.4,64.4,31.1,2017
HILL HOUSE PASSPORT ACADEMY CS,Algebra I,Historically Underperforming,40,0,5,62.5,32.5,2017
HILL HOUSE PASSPORT ACADEMY CS,Biology,All Students,44,0,0,20.5,79.5,2017
HILL HOUSE PASSPORT ACADEMY CS,Biology,Historically Underperforming,39,0,0,17.9,82.1,2017
HILL HOUSE PASSPORT ACADEMY CS,Literature,All Students,42,0,21.4,54.8,23.8,2017
HILL HOUSE PASSPORT ACADEMY CS,Literature,Historically Underperforming,38,0,23.7,52.6,23.7,2017
KEYSTONE OAKS SD,Algebra I,All Students,140,23.6,50.7,20.7,5,2017
KEYSTONE OAKS SD,Algebra I,Historically Underperforming,54,18.5,33.3,35.2,13,2017
KEYSTONE OAKS SD,Biology,All Students,140,20.7,51.4,18.6,9.3,2017
KEYSTONE OAKS SD,Biology,Historically Underperforming,54,16.7,37,25.9,20.4,2017
KEYSTONE OAKS SD,Literature,All Students,139,7.2,74.8,12.2,5.8,2017
KEYSTONE OAKS SD,Literature,Historically Underperforming,53,0,60.4,26.4,13.2,2017
MCKEESPORT AREA SD,Algebra I,All Students,227,5.3,29.1,37.9,27.8,2017
MCKEESPORT AREA SD,Algebra I,Historically Underperforming,129,2.3,24,36.4,37.2,2017
MCKEESPORT AREA SD,Biology,All Students,225,10.7,24,22.2,43.1,2017
MCKEESPORT AREA SD,Biology,Historically Underperforming,127,7.9,18.9,19.7,53.5,2017
MCKEESPORT AREA SD,Literature,All Students,223,3.1,46.2,33.2,17.5,2017
MCKEESPORT AREA SD,Literature,Historically Underperforming,124,0.8,34.7,41.1,23.4,2017
MONTOUR SD,Algebra I,All Students,257,28,55.3,14.8,1.9,2017
MONTOUR SD,Algebra I,Historically Underperforming,63,12.7,47.6,31.7,7.9,2017
MONTOUR SD,Biology,All Students,257,38.1,45.5,12.1,4.3,2017
MONTOUR SD,Biology,Historically Underperforming,63,22.2,38.1,27,12.7,2017
MONTOUR SD,Literature,All Students,257,5.8,77.4,15.6,1.2,2017
MONTOUR SD,Literature,Historically Underperforming,63,3.2,54,38.1,4.8,2017
MOON AREA SD,Algebra I,All Students,283,26.5,56.5,14.8,2.1,2017
MOON AREA SD,Algebra I,Historically Underperforming,78,9,48.7,35.9,6.4,2017
MOON AREA SD,Biology,All Students,281,49.8,36.7,10.3,3.2,2017
MOON AREA SD,Biology,Historically Underperforming,76,13.2,51.3,23.7,11.8,2017
MOON AREA SD,Literature,All Students,282,11.7,79.4,7.1,1.8,2017
MOON AREA SD,Literature,Historically Underperforming,76,2.6,75,15.8,6.6,2017
MT LEBANON SD,Algebra I,All Students,431,43.4,49.9,4.6,2.1,2017
MT LEBANON SD,Algebra I,Historically Underperforming,99,22.2,54.5,14.1,9.1,2017
MT LEBANON SD,Biology,All Students,430,54.7,35.8,6.3,3.3,2017
MT LEBANON SD,Biology,Historically Underperforming,98,33.7,36.7,15.3,14.3,2017
MT LEBANON SD,Literature,All Students,429,20,76.2,3.5,0.2,2017
MT LEBANON SD,Literature,Historically Underperforming,98,12.2,71.4,15.3,1,2017
NORTH ALLEGHENY SD,Algebra I,All Students,630,44.9,47.8,6,1.3,2017
NORTH ALLEGHENY SD,Algebra I,Historically Underperforming,67,14.9,46.3,26.9,11.9,2017
NORTH ALLEGHENY SD,Biology,All Students,625,54.6,33.8,8.6,3,2017
NORTH ALLEGHENY SD,Biology,Historically Underperforming,65,27.7,21.5,26.2,24.6,2017
NORTH ALLEGHENY SD,Literature,All Students,626,27.2,68.5,3.2,1.1,2017
NORTH ALLEGHENY SD,Literature,Historically Underperforming,65,7.7,60,21.5,10.8,2017
NORTH HILLS SD,Algebra I,All Students,347,41.5,39.5,14.4,4.6,2017
NORTH HILLS SD,Algebra I,Historically Underperforming,105,22.9,35.2,27.6,14.3,2017
NORTH HILLS SD,Biology,All Students,347,37.2,45.8,11.2,5.8,2017
NORTH HILLS SD,Biology,Historically Underperforming,105,21,41.9,21.9,15.2,2017
NORTH HILLS SD,Literature,All Students,340,10.9,66.5,19.1,3.5,2017
NORTH HILLS SD,Literature,Historically Underperforming,102,2.9,49,37.3,10.8,2017
NORTHGATE SD,Algebra I,All Students,64,6.3,40.6,39.1,14.1,2017
NORTHGATE SD,Algebra I,Historically Underperforming,35,5.7,25.7,45.7,22.9,2017
NORTHGATE SD,Biology,All Students,64,10.9,32.8,32.8,23.4,2017
NORTHGATE SD,Biology,Historically Underperforming,34,5.9,17.6,35.3,41.2,2017
NORTHGATE SD,Literature,All Students,65,7.7,67.7,20,4.6,2017
NORTHGATE SD,Literature,Historically Underperforming,35,5.7,54.3,31.4,8.6,2017
PA DISTANCE LEARNING CS,Algebra I,All Students,51,7.8,17.6,41.2,33.3,2017
PA DISTANCE LEARNING CS,Algebra I,Historically Underperforming,20,0,10,35,55,2017
PA DISTANCE LEARNING CS,Biology,All Students,51,5.9,25.5,37.3,31.4,2017
PA DISTANCE LEARNING CS,Biology,Historically Underperforming,20,0,10,50,40,2017
PA DISTANCE LEARNING CS,Literature,All Students,51,3.9,54.9,21.6,19.6,2017
PA DISTANCE LEARNING CS,Literature,Historically Underperforming,20,0,45,20,35,2017
PENN HILLS SD,Algebra I,All Students,274,6.6,34.3,38.3,20.8,2017
PENN HILLS SD,Algebra I,Historically Underperforming,169,3,26.6,40.2,30.2,2017
PENN HILLS SD,Biology,All Students,269,17.5,23.8,27.5,31.2,2017
PENN HILLS SD,Biology,Historically Underperforming,165,10.3,20,29.1,40.6,2017
PENN HILLS SD,Literature,All Students,261,3.1,46.7,32.6,17.6,2017
PENN HILLS SD,Literature,Historically Underperforming,158,3.2,36.7,36.7,23.4,2017
PINE-RICHLAND SD,Algebra I,All Students,351,43.9,46.4,8.8,0.9,2017
PINE-RICHLAND SD,Algebra I,Historically Underperforming,61,16.4,47.5,31.1,4.9,2017
