District,Subject,Demographic,Total_Students,p4,p5,p6,p7
BERMUDIAN SPRINGS SD,Algebra I,All Students,137,27.0,45.3,22.6,5.1
BERMUDIAN SPRINGS SD,Algebra I,Historically Underperforming,60,8.3,45.0,36.7,10.0
BERMUDIAN SPRINGS SD,Biology,All Students,138,29.7,37.0,24.6,8.7
BERMUDIAN SPRINGS SD,Biology,Historically Underperforming,60,11.7,35.0,36.7,16.7
BERMUDIAN SPRINGS SD,Literature,All Students,138,13.8,71.0,13.0,2.2
BERMUDIAN SPRINGS SD,Literature,Historically Underperforming,60,1.7000000000000002,71.7,21.7,5.0
CONEWAGO VALLEY SD,Algebra I,All Students,252,34.1,38.1,20.6,7.1
CONEWAGO VALLEY SD,Algebra I,Historically Underperforming,95,17.9,35.8,29.5,16.8
CONEWAGO VALLEY SD,Biology,All Students,253,37.9,36.4,15.4,10.3
CONEWAGO VALLEY SD,Biology,Historically Underperforming,94,19.1,35.099999999999994,22.3,23.4
CONEWAGO VALLEY SD,Literature,All Students,256,12.9,59.8,19.9,7.400000000000001
CONEWAGO VALLEY SD,Literature,Historically Underperforming,97,5.2,45.4,32.0,17.5
FAIRFIELD AREA SD,Algebra I,All Students,69,36.2,52.2,5.8,5.8
FAIRFIELD AREA SD,Algebra I,Historically Underperforming,19,31.6,31.6,15.8,21.1
FAIRFIELD AREA SD,Biology,All Students,71,26.8,56.3,9.9,7.000000000000001
FAIRFIELD AREA SD,Biology,Historically Underperforming,19,15.8,52.6,5.299999999999999,26.3
FAIRFIELD AREA SD,Literature,All Students,69,10.1,72.5,11.6,5.8
FAIRFIELD AREA SD,Literature,Historically Underperforming,19,0.0,63.2,15.8,21.1
GETTYSBURG AREA SD,Algebra I,All Students,322,24.5,48.39999999999999,20.8,6.199999999999999
GETTYSBURG AREA SD,Algebra I,Historically Underperforming,119,10.1,42.9,31.1,16.0
GETTYSBURG AREA SD,Biology,All Students,325,29.2,40.0,23.4,7.400000000000001
GETTYSBURG AREA SD,Biology,Historically Underperforming,121,12.4,35.5,36.4,15.7
GETTYSBURG AREA SD,Literature,All Students,325,11.400000000000002,71.1,12.9,4.6
GETTYSBURG AREA SD,Literature,Historically Underperforming,122,3.3000000000000003,60.699999999999996,25.4,10.7
LITTLESTOWN AREA SD,Algebra I,All Students,127,26.0,58.3,12.6,3.1
LITTLESTOWN AREA SD,Algebra I,Historically Underperforming,45,15.6,51.1,24.400000000000002,8.900000000000002
LITTLESTOWN AREA SD,Biology,All Students,127,38.6,41.7,10.2,9.4
LITTLESTOWN AREA SD,Biology,Historically Underperforming,45,26.700000000000003,37.8,15.6,20.0
LITTLESTOWN AREA SD,Literature,All Students,127,8.7,73.2,14.2,3.9
LITTLESTOWN AREA SD,Literature,Historically Underperforming,45,6.7,60.0,22.2,11.1
UPPER ADAMS SD,Algebra I,All Students,114,21.9,44.7,28.1,5.3
UPPER ADAMS SD,Algebra I,Historically Underperforming,53,11.3,43.4,37.7,7.5
UPPER ADAMS SD,Biology,All Students,113,35.4,37.2,24.8,2.7
UPPER ADAMS SD,Biology,Historically Underperforming,52,25.0,38.5,30.799999999999994,5.800000000000001
UPPER ADAMS SD,Literature,All Students,112,5.4,72.3,21.4,0.8999999999999999
UPPER ADAMS SD,Literature,Historically Underperforming,51,2.0,62.7,33.3,2.0
ACADEMY CHARTER SCHOOL,Algebra I,All Students,14,0.0,0.0,7.1,92.9
ACADEMY CHARTER SCHOOL,Algebra I,Historically Underperforming,13,0.0,0.0,7.699999999999998,92.3
ACADEMY CHARTER SCHOOL,Biology,All Students,15,0.0,0.0,20.0,80.0
ACADEMY CHARTER SCHOOL,Biology,Historically Underperforming,13,0.0,0.0,15.399999999999997,84.6
ACADEMY CHARTER SCHOOL,Literature,All Students,12,0.0,8.3,16.699999999999996,75.0
ACADEMY CHARTER SCHOOL,Literature,Historically Underperforming,12,0.0,8.3,16.699999999999996,75.0
ALLEGHENY VALLEY SD,Algebra I,All Students,83,12.0,53.0,27.699999999999996,7.200000000000001
ALLEGHENY VALLEY SD,Algebra I,Historically Underperforming,37,8.1,40.5,35.1,16.2
ALLEGHENY VALLEY SD,Biology,All Students,82,24.4,37.8,30.5,7.3
ALLEGHENY VALLEY SD,Biology,Historically Underperforming,36,13.900000000000002,33.3,38.9,13.900000000000002
ALLEGHENY VALLEY SD,Literature,All Students,83,6.0,72.3,14.499999999999998,7.200000000000001
ALLEGHENY VALLEY SD,Literature,Historically Underperforming,37,5.4,62.2,21.6,10.8
AVONWORTH SD,Algebra I,All Students,94,46.8,38.3,13.8,1.1
AVONWORTH SD,Algebra I,Historically Underperforming,16,12.5,31.3,50.0,6.3
AVONWORTH SD,Biology,All Students,94,42.6,39.4,12.8,5.300000000000001
AVONWORTH SD,Biology,Historically Underperforming,16,6.3,31.3,31.3,31.3
AVONWORTH SD,Literature,All Students,94,17.0,67.0,10.600000000000001,5.300000000000001
AVONWORTH SD,Literature,Historically Underperforming,16,0.0,50.0,25.0,25.0
BALDWIN-WHITEHALL SD,Algebra I,All Students,317,17.0,50.8,26.5,5.699999999999999
BALDWIN-WHITEHALL SD,Algebra I,Historically Underperforming,123,9.8,37.4,39.0,13.8
BALDWIN-WHITEHALL SD,Biology,All Students,317,27.1,38.5,24.0,10.4
BALDWIN-WHITEHALL SD,Biology,Historically Underperforming,114,12.3,31.6,32.5,23.7
BALDWIN-WHITEHALL SD,Literature,All Students,328,7.000000000000001,65.2,21.3,6.4
BALDWIN-WHITEHALL SD,Literature,Historically Underperforming,127,2.4,44.1,37.8,15.7
BETHEL PARK SD,Algebra I,All Students,400,19.0,53.0,21.3,6.800000000000001
BETHEL PARK SD,Algebra I,Historically Underperforming,95,13.699999999999998,35.8,26.3,24.2
BETHEL PARK SD,Biology,All Students,400,34.0,41.5,15.5,9.0
BETHEL PARK SD,Biology,Historically Underperforming,93,17.2,36.6,20.4,25.8
BETHEL PARK SD,Literature,All Students,399,10.8,73.9,12.5,2.8
BETHEL PARK SD,Literature,Historically Underperforming,92,6.5,58.70000000000001,26.1,8.7
BRENTWOOD BOROUGH SD,Algebra I,All Students,110,13.600000000000001,50.9,29.100000000000005,6.4
BRENTWOOD BOROUGH SD,Algebra I,Historically Underperforming,48,4.2,35.39999999999999,47.89999999999999,12.5
BRENTWOOD BOROUGH SD,Biology,All Students,110,20.9,46.4,21.8,10.9
BRENTWOOD BOROUGH SD,Biology,Historically Underperforming,48,4.2,39.60000000000001,31.3,25.0
BRENTWOOD BOROUGH SD,Literature,All Students,111,7.200000000000001,78.4,9.0,5.4
BRENTWOOD BOROUGH SD,Literature,Historically Underperforming,49,0.0,69.39999999999999,18.4,12.2
CARLYNTON SD,Algebra I,All Students,92,10.9,42.39999999999999,40.2,6.5
CARLYNTON SD,Algebra I,Historically Underperforming,39,12.8,20.5,56.39999999999999,10.3
CARLYNTON SD,Biology,All Students,93,14.000000000000002,60.199999999999996,17.2,8.6
CARLYNTON SD,Biology,Historically Underperforming,40,17.5,45.0,25.0,12.5
CARLYNTON SD,Literature,All Students,92,5.4,72.8,14.099999999999998,7.6
CARLYNTON SD,Literature,Historically Underperforming,39,5.1,66.7,20.5,7.7
