School District,District Address (City),District Address (Street),District Zip Code,Geographic Size of District (Square Miles)
Conewago Valley SD,New Oxford,130 Berlin Rd,17350,75.11
Conneaut SD,Linesville,219 W School Dr,16424,318.57
Connellsville Area SD,Connellsville,732 Rockridge Rd.,15425,217.06
Conrad Weiser Area SD,Robesonia,44 Big Spring Rd,19551,59.7
Cornell SD,Coraopolis,1099 Maple Street,15108,3.81
Cornwall-Lebanon SD,Lebanon,105 E Evergreen Rd,17042,66.66
Corry Area SD,Corry,540 East Pleasant Street,16407,210.92
Coudersport Area SD,Coudersport,698 Dwight Street,16915,211.94
Council Rock SD,Newtown,30 N Chancellor St,18940,70.23
Cranberry Area SD,Seneca,3 Education Dr,16346,156.63
Crawford Central SD,Meadville,11280 Mercer Pike,16335,158.3
Crestwood SD,Mountain Top,281 S Mountain Blvd,18707,107.97
Cumberland Valley SD,Mechanicsburg,6746 Carlisle Pike,17050,102.95
Curwensville Area SD,Curwensville,650 Beech St,16833,116.61
Dallas SD,Dallas,2010 Conyngham Ave,18612,48.14
Dallastown Area SD,Dallastown,700 New School Ln,17313,55.26
Daniel Boone Area SD,Birdsboro,Daniel Boone Area SD Administrative Office,19508,43.65
Danville Area SD,Danville,733 Ironmen Lane,17821,125.31
Deer Lakes SD,Cheswick,19 East Union Road,15024,40.74
Delaware Valley SD,Milford,236 Route 6 and 209,18337,196.12
Derry Area SD,Derry,982 N Chestnut Street Ext,15627,97.92
Derry Township SD,Hershey,30 East Granada Ave,17033,27.4
Donegal SD,Mount Joy,1051 Koser Rd,17552,35.72
Dover Area SD,Dover,101 Edgeway Road,17315,70.36
Downingtown Area SD,Downingtown,540 Trestle Place,19335,80.02
Dubois Area SD,DuBois,500 Liberty Blvd,15801,258.21
Dunmore SD,Dunmore,300 W Warren St,18512,8.99
Duquesne City SD,Duquesne,300 Kennedy Ave,15110,2.04
East Allegheny SD,North Versailles,1150 Jacks Run Rd,15137,9.47
East Lycoming SD,Hughesville,349 Cemetery St,17737,147.21
East Penn SD,Emmaus,800 Pine Street,18049,45.07
East Pennsboro Area SD,Enola,890 Panther Parkway,17025,10.7
East Stroudsburg Area SD,East Stroudsburg,50 Vine St,18301,216.84
Eastern Lancaster County SD,New Holland,669 E Main St,17557,97.18
Eastern Lebanon County SD,Myerstown,180 Elco Dr,17067,71.06
Eastern York SD,Wrightsville,120 S Third St,17368,55.06
Easton Area SD,Easton,1801 Bushkill Drive,18040,31.63
Elizabeth Forward SD,Elizabeth,401 Rock Run Road,15037,43.5
Elizabethtown Area SD,Elizabethtown,600 E High St,17022,56.2
Elk Lake SD,Springville,2380 Elk Lake School Road,18844,195.01
Ellwood City Area SD,Ellwood City,501 Crescent Ave,16117,38.76
Ephrata Area SD,Ephrata,803 Oak Blvd,17522,43.87
Erie City SD,Erie,148 W 21st St,16502,27.96
Everett Area SD,EVERETT,427 E SOUTH ST,15537,294.13
Exeter Township SD,Reading,200 Elm St,19606,25.46
Fairfield Area SD,Fairfield,4840 Fairfield Rd,17320,61.66
Fairview SD,Fairview,7466 McCray Rd,16415,29.16
Fannett-Metal SD,Willow Hill,14823 Path Valley Road,17271,121.89
Farrell Area SD,Farrell,1600 Roemer Blvd,16121,3.21
Ferndale Area SD,Johnstown,100 Dartmouth Ave,15905,5.96
Fleetwood Area SD,Fleetwood,801 N Richmond St,19522,39.44
Forbes Road SD,Waterfall,159 Red Bird Drive,16689,106.96
Forest Area SD,Tionesta,"22318 Route 62, Box 16",16353,503.78
Forest City Regional SD,Forest City,100 Susquehanna Street,18421,96.61
Forest Hills SD,Sidman,549 Locust Street,15955,96.18
Fort Cherry SD,Mc Donald,110 Fort Cherry Road,15057,57.82
Fort LeBoeuf SD,Waterford,34 East Ninth St,16441,110.39
Fox Chapel Area SD,Pittsburgh,611 Field Club Rd,15238,34.28
Franklin Area SD,Franklin,40 Knights Way,16323,187.73
Franklin Regional SD,Murrysville,3210 School Rd,15668,37.94
Frazier SD,Perryopolis,142 Constitution St,15473,59.46
Freedom Area SD,Freedom,1702 School Street,15042,34.89
Freeport Area SD,Sarver,621 South Pike Rd,16055,53.43
Galeton Area SD,Galeton,27 Bridge Street,16922,315.87
Garnet Valley SD,Glen Mills,80 Station Road,19342,21.27
Gateway SD,Monroeville,9000 Gateway Campus Boulevard,15146,20.25
General McLane SD,Edinboro,11771 Edinboro Rd,16412,114.26
Gettysburg Area SD,Gettysburg,900 Biglerville Rd,17325,176.83
Girard SD,Girard,1203 Lake St,16417,35.92
Glendale SD,Flinton,1466 Beaver Valley Rd,16640,98.75
Governor Mifflin SD,Shillington,10 South Waverly Street,19607,41.26
Great Valley SD,Malvern,47 Church Rd,19355,43.06
Greater Johnstown SD,Johnstown,1091 Broad St,15906,29.13
Greater Latrobe SD,Latrobe,1816 Lincoln Ave,15650,70
Greater Nanticoke Area SD,Nanticoke,427 Kosciuszko St,18634,54.13
Greencastle-Antrim SD,Greencastle,500 East Leitersburg Street,17225,71.9
Greensburg Salem SD,Greensburg,1 Academy Hill Place,15601,52.96
Greenville Area SD,Greenville,9 Donation Rd,16125,28.48
Greenwood SD,Millerstown,405 E Sunbury St,17062,97.08
Grove City Area SD,Grove City,511 Highland Ave,16127,87.8
Halifax Area SD,Halifax,3940 Peters Mountain Rd,17032,86.07
Hamburg Area SD,Hamburg,Windsor Street,19526,104.09
Hampton Township SD,Allison Park,4591 School Dr,15101,16.2
Hanover Area SD,Hanover Township,1600 Sans Souci Pkwy,18706,21.97
Hanover Public SD,Hanover,403 Moul Ave,17331,3.71
Harbor Creek SD,Harborcreek,6375 Buffalo Rd,16421,34.11
Harmony Area SD,Westover,5239 Ridge Rd,16692,83.49
Harrisburg City SD,Harrisburg,1601 State Street,17103,11.86
Hatboro-Horsham SD,Horsham,229 Meetinghouse Rd,19044,18.74
Haverford Township SD,Havertown,50 East Eagle Road,19083,9.95
Hazleton Area SD,Hazle Twp,1515 W 23rd St,18202,251.78
Hempfield Area SD,Greensburg,4347 Route 136,15601,83.77
Hempfield SD,Landisville,200 Church St,17538,44.27
Hermitage SD,Hermitage,411 N Hermitage Road,16148,29.23
Highlands SD,Natrona Heights,1500 Pacific Avenue,15065,22.78
Hollidaysburg Area SD,Hollidaysburg,405 Clark Street,16648,121.67
Homer-Center SD,Homer City,65 Wildcat Lane,15748,41.17
Hopewell Area SD,Aliquippa,2354 Brodhead Rd,15001,59.83
Huntingdon Area SD,Huntingdon,2400 Cassady Ave,16652,274.88
Indiana Area SD,Indiana,501 E Pike,15701,82.39
Interboro SD,Prospect Park,900 Washington Ave,19076,11.31
Iroquois SD,Erie,800 Tyndall Avenue,16511,2.37
Jamestown Area SD,Jamestown,204 Shenango Street,16134,61.61
Jeannette City SD,Jeannette,800 Florida Ave,15644,2.34
Jefferson-Morgan SD,Jefferson,1351 Jefferson Rd,15344,47.58
Jenkintown SD,Jenkintown,West and Highland Avenues,19046,0.58
Jersey Shore Area SD,Jersey Shore,175 A & P Drive,17740,391.94
Jim Thorpe Area SD,Jim Thorpe,410 Center Ave,18229,116.6
Johnsonburg Area SD,Johnsonburg,315 High School Road,15845,166.87
Juniata County SD,Mifflintown,146 Weatherby Way,17059,374.05
Juniata Valley SD,Alexandria,7775 Juniata Valley Pike,16611,134.84
Kane Area SD,Kane,400 West Hemlock Avenue,16735,245.26
Karns City Area SD,Karns City,1446 Kittanning Pike,16041,131.25
Kennett Consolidated SD,Kennett Square,300 East South Street,19348,34.17
Keystone Central SD,Mill Hall,86 Administration Drive,17751,970.76
Keystone Oaks SD,Pittsburgh,1000 Kelton Ave,15216,4.36
Keystone SD,Knox,451 Huston Avenue,16232,123.17
Kiski Area SD,Vandergrift,200 Poplar Street,15690,104.96
Kutztown Area SD,Kutztown,251 Long Lane,19530,99.01
Lackawanna Trail SD,Factoryville,College Avenue,18419,73.43
Lake-Lehman SD,Dallas,1237 Market Street,18612,142.08
Lakeland SD,Scott Township,1355 Lakeland Drive,18433,66.36
Lakeview SD,Stoneboro,2482 Mercer St,16153,144.17
Lampeter-Strasburg SD,Lancaster,1600 Book Rd,17602,37.89
Lancaster SD,Lancaster,251 S Prince St,17603,13.31
Laurel Highlands SD,Uniontown,304 Bailey Ave,15401,55.83
Laurel SD,New Castle,2497 Harlansburg Rd,16101,66.28
Lebanon SD,Lebanon,1000 S 8th St,17042,4.56
Leechburg Area SD,Leechburg,210 Penn Avenue,15656,18.62
Lehighton Area SD,Lehighton,1000 Union St,18235,65.72
Lewisburg Area SD,Lewisburg,1951 Washington Ave,17837,41.7
Ligonier Valley SD,Ligonier,339 West Main St,15658,230.84
Line Mountain SD,Herndon,185 Line Mountain Road,17830,155.73
Littlestown Area SD,Littlestown,162 Newark St,17340,49.2
Lower Dauphin SD,Hummelstown,291 E Main St,17036,96.59
Lower Merion SD,Ardmore,301 E Montgomery Ave,19003,24.34
Lower Moreland Township SD,Huntingdon Valley,2551 Murray Ave,19006,7.28
Loyalsock Township SD,Williamsport,1605 Four Mile Drive,17701,21.5
Mahanoy Area SD,Mahanoy City,1 Golden Bear Dr,17948,50.85
Manheim Central SD,Manheim,281 White Oak Rd,17545,78.89
Manheim Township SD,Lancaster,450A Candlewyck Road,17601,24.07
Marion Center Area SD,Marion Center,22820 Route 403 Hwy N,15759,192.61
Marple Newtown SD,Newtown Square,40 Media Line Rd Ste 204,19073,20.61
Mars Area SD,Mars,545 Route 228,16046,46.35
McGuffey SD,Claysville,90 McGuffey Drive,15323,198.49
McKeesport Area SD,Mc Keesport,3590 O'Neil Boulevard,15132,14.53
Mechanicsburg Area SD,Mechanicsburg,600 S Norway St,17055,16.01
Mercer Area SD,Mercer,545 W Butler St,16137,88.35
Methacton SD,Eagleville,1001 Kriebel Mill Rd,19403,31.68
Meyersdale Area SD,Meyersdale,309 Industrial Park Road,15552,122.93
Mid Valley SD,Throop,52 Underwood Rd,18512,15.26
Midd-West SD,Middleburg,568 E Main St,17842,226.68
Middletown Area SD,Middletown,55 W Water St,17057,17.23
Midland Borough SD,Midland,173 7th St,15059,1.99
Mifflin County SD,Lewistown,201 Eighth St - Highland Park,17044,364.73
Mifflinburg Area SD,Mifflinburg,178 Maple St,17844,214.53
Millcreek Township SD,Erie,3740 W 26th St,16506,29.3
Millersburg Area SD,Millersburg,799 Center St,17061,32
Millville Area SD,Millville,330 East Main St,17846,91.2
Milton Area SD,Milton,700 Mahoning St,17847,86.28
Minersville Area SD,Minersville,Battlin Miner Dr & Low Rd,17954,55.47
Mohawk Area SD,New Castle,385 Mohawk School Road,16102,102.99
Monessen City SD,Monessen,1275 Rostraver St,15062,3.02
Moniteau SD,West Sunbury,1810 W Sunbury Rd,16061,150.79
Montgomery Area SD,Montgomery,120 Penn St,17752,86.27
Montour SD,Mc Kees Rocks,225 Clever Road,15136,21.5
Montoursville Area SD,Montoursville,50 N Arch St,17754,188.38
Montrose Area SD,Montrose,273 Meteor Way,18801,227.83
Moon Area SD,Moon Township,8353 University Boulevard,15108,26.52
Morrisville Borough SD,Morrisville,550 W Palmer St,19067,1.97
Moshannon Valley SD,Houtzdale,4934 Green Acre Rd,16651,94.84
Mount Carmel Area SD,Mount Carmel,600 W 5th St,17851,23.58
Mount Pleasant Area SD,Mount Pleasant,271 State Street,15666,106.57
Mount Union Area SD,Mount Union,603 North Industrial Drive,17066,149.54
Mountain View SD,Kingsley,11748 State Route 106,18826,193.09
Mt Lebanon SD,Pittsburgh,7 Horsman Dr,15228,6.08
Muhlenberg SD,Reading,801 Bellevue Avenue,19605,12.8
Muncy SD,Muncy,206 Sherman St,17756,37.16
Nazareth Area SD,Nazareth,One Education Plaza,18064,49.25
Neshaminy SD,Langhorne,2001 Old Lincoln Hwy,19047,27.93
Neshannock Township SD,New Castle,3834 Mitchell Rd,16105,17.42
New Brighton Area SD,New Brighton,3225 43rd St,15066,12.28
New Castle Area SD,New Castle,420 Fern St,16101,14.01
New Hope-Solebury SD,New Hope,180 W Bridge St,18938,28.57
New Kensington-Arnold SD,New Kensington,707 Stevenson Blvd,15068,5.03
Newport SD,Newport,420 Fickes Lane,17074,71.54
Norristown Area SD,Norristown,401 N Whitehall Rd,19403,15.89
North Allegheny SD,Pittsburgh,200 Hillvue Lane,15237,46.48
North Clarion County SD,Tionesta,10439 Route 36,16353,112.29
North East SD,North East,50 E Division St,16428,43.69
North Hills SD,Pittsburgh,135 6th Ave,15229,15.48
North Penn SD,Lansdale,401 E Hancock St,19446,42.73
North Pocono SD,Moscow,701 Church St,18444,192.04
North Schuylkill SD,Ashland,15 Academy Lane,17921,72.07
North Star SD,Boswell,1200 Morris Ave,15531,104.4
Northampton Area SD,Northampton,2014 Laubach Avenue,18067,97.13
Northeast Bradford SD,Rome,526 Panther Lane,18837,166.82
Northeastern York SD,Manchester,41 Harding St,17345,50.49
Northern Bedford County SD,Loysburg,152 NBC Drive,16659,111.31
Northern Cambria SD,Northern Cambria,601 Joseph St,15714,62.44
Northern Lebanon SD,Fredericksburg,345 School Dr,17026,143.93
Northern Lehigh SD,Slatington,1201 Shadow Oaks Ln,18080,25.93
Northern Potter SD,Ulysses,745 Northern Potter Road,16948,228.75
Northern Tioga SD,Elkland,110 Ellison Road,16920,330.98
Northern York County SD,Dillsburg,650 S Baltimore St,17019,84.44
Northgate SD,Pittsburgh,591 Union Ave,15202,1.81
Northwest Area SD,Shickshinny,243 Thorne Hill Rd,18655,119.43
Northwestern Lehigh SD,New Tripoli,6493 Route 309,18066,107.22
Northwestern SD,Albion,100 Harthan Way,16401,121.31
Norwin SD,North Huntingdon,281 McMahon Dr,15642,28.48
Octorara Area SD,Atglen,228 Highland Rd Suite 1,19310,79.79
Oil City Area SD,Oil City,825 Grandview Road,16301,79.94
Old Forge SD,Old Forge,300 Marion St,18518,3.42
Oley Valley SD,Oley,17 Jefferson St,19547,64.03
Oswayo Valley SD,Shinglehouse,277 S. Oswayo Street,16748,122.56
Otto-Eldred SD,Duke Center,143 R L Sweitzer Dr,16729,87.62
Owen J Roberts SD,Pottstown,901 Ridge Rd,19465,98.79
Oxford Area SD,Oxford,125 Bell Tower Lane,19363,81.48
Palisades SD,Kintnersville,39 Thomas Free Dr,18930,100.95
Palmerton Area SD,Palmerton,680 Fourth Street,18071,53.55
Palmyra Area SD,Palmyra,1125 Park Dr,17078,37.07
Panther Valley SD,Lansford,1 Panther Way,18232,34.37
Parkland SD,Allentown,1210 Springhouse Rd,18104,72.06
Pen Argyl Area SD,Pen Argyl,1620 Teels Rd,18072,27.74
Penn Cambria SD,Cresson,201 6th St,16630,109.79
Penn Hills SD,Pittsburgh,260 Aster St,15235,19.41
Penn Manor SD,Lancaster,2950 Charlestown Rd,17603,113.36
Penn-Delco SD,Aston,2821 Concord Rd,19014,7.76
Penn-Trafford SD,Harrison City,1006 Harrison City-Export Rd,15636,34.02
Penncrest SD,Saegertown,18741 State Hwy 198,16433,407.75
Pennridge SD,Perkasie,1200 N 5th St,18944,92.47
Penns Manor Area SD,Clymer,6003 Route 553 Hwy,15728,81.14
Penns Valley Area SD,Spring Mills,4528 Penns Valley Road,16875,256.01
Pennsbury SD,Fallsington,134 Yardley Ave,19058,47.99
Pequea Valley SD,Kinzers,166 S New Holland Rd,17535,81.28
Perkiomen Valley SD,Collegeville,3 Iron Bridge Dr,19426,31.12
Peters Township SD,McMurray,631 E McMurray Rd,15317,19.73
Philadelphia City SD,Philadelphia,440 North Broad Street,19130,142.71
Philipsburg-Osceola Area SD,Philipsburg,200 Short St,16866,224.71
Phoenixville Area SD,Phoenixville,386 City Line Ave,19460,21.52
Pine Grove Area SD,Pine Grove,103 School St,17963,104.19
Pine-Richland SD,Gibsonia,702 Warrendale Rd,15044,31.61
Pittsburgh SD,Pittsburgh,341 S Bellefield Ave,15213,57.62
Pittston Area SD,Pittston,5 Stout St,18640,39.29
Pleasant Valley SD,Brodheadsville,2233 Route 115,18322,116.14
Plum Borough SD,Plum,900 Elicker Road,15239,28.96
Pocono Mountain SD,Swiftwater,PO Box 200,18370,321.55
Port Allegany SD,Port Allegany,20 Oak St,16743,170.87
Portage Area SD,Portage,84 Mountain Ave,15946,25.17
Pottsgrove SD,Pottstown,1301 Kauffman Rd,19464,15.44
Pottstown SD,Pottstown,230 Beech St,19464,4.96
Pottsville Area SD,Pottsville,1501 W Laurel Blvd,17901,12.24
Punxsutawney Area SD,Punxsutawney,300 Center St,15767,274.03
Purchase Line SD,Commodore,16559 Route 286 Highway E,15729,145.64
Quaker Valley SD,Leetsdale,100 Leetsdale Industrial Drive,15056,24.2
Quakertown Community SD,Quakertown,100 Commerce Drive,18951,72.33
Radnor Township SD,Wayne,135 S Wayne Ave,19087,13.79
Reading SD,Reading,800 Washington St,19601,10.14
Red Lion Area SD,Red Lion,Red Lion Area Education Center,17356,141.05
Redbank Valley SD,New Bethlehem,920 E Broad St,16242,167.2
Reynolds SD,Greenville,531 Reynolds Rd,16125,88.05
Richland SD,Johnstown,"One Academic Avenue, Suite 200",15904,21.46
Ridgway Area SD,Ridgway,62 School Dr,15853,184.2
Ridley SD,Folsom,901 Morton Ave Suite 100,19033,7.92
Ringgold SD,New Eagle,400 Main St,15067,55.29
Riverside Beaver County SD,Ellwood City,318 Country Club Dr,16117,49.41
Riverside SD,Taylor,300 Davis St,18517,11.73
Riverview SD,Oakmont,701 10th St,15139,2.37
Rochester Area SD,Rochester,540 Reno St,15074,5.14
Rockwood Area SD,Rockwood,439 Somerset Ave,15557,146.38
Rose Tree Media SD,Media,308 N Olive St,19063,29.77
Saint Clair Area SD,Saint Clair,227 S Mill St,17970,47.48
Saint Marys Area SD,Saint Marys,977 S Saint Marys Rd,15857,341.83
Salisbury Township SD,Allentown,1140 Salisbury Rd,18103,11.27
Salisbury-Elk Lick SD,Salisbury,196 Smith Avenue,15558,58.04
Saucon Valley SD,Hellertown,2097 Polk Valley Rd,18055,25.85
Sayre Area SD,Sayre,333 West Lockhart Street,18840,33.32
Schuylkill Haven Area SD,Schuylkill Haven,501 East Main Street,17972,23.93
Schuylkill Valley SD,Leesport,929 Lakeshore Drive,19533,51.98
Scranton SD,Scranton,425 N Washington Ave,18503,25.54
Selinsgrove Area SD,Selinsgrove,329 Seals Avenue,17870,104.84
Seneca Valley SD,Harmony,124 Seneca School Rd,16037,95.35
Shade-Central City SD,Cairnbrook,203 McGregor Avenue,15924,69.3
Shaler Area SD,Glenshaw,1800 Mount Royal Blvd,15116,14.7
Shamokin Area SD,Coal Township,2000 W State St,17866,70.57
Shanksville-Stonycreek SD,Shanksville,1325 Corner Stone Road,15560,66.18
Sharon City SD,Sharon,215 Forker Blvd,16146,3.77
Sharpsville Area SD,Sharpsville,1 Blue Devil Way,16150,26.59
Shenandoah Valley SD,Shenandoah,805 West Centre Street,17976,12
Shenango Area SD,New Castle,2501 Old Pittsburgh Rd,16101,24.78
Shikellamy SD,Sunbury,200 Island Blvd,17801,77.67
Shippensburg Area SD,Shippensburg,317 N Morris St,17257,122.44
Slippery Rock Area SD,Slippery Rock,201 Kiester Rd,16057,139.66
Smethport Area SD,Smethport,414 S Mechanic St,16749,339.85
Solanco SD,Quarryville,121 S Hess St,17566,188.31
Somerset Area SD,Somerset,645 S Columbia Ave Ste 110,15501,134.63
Souderton Area SD,Souderton,760 Lower Road,18964,49.41
South Allegheny SD,Mc Keesport,2743 Washington Blvd,15133,9.46
South Butler County SD,Saxonburg,328 Knoch Rd,16056,95.79
South Eastern SD,Fawn Grove,377 Main St,17321,108.78
South Fayette Township SD,McDonald,3680 Old Oakdale Rd,15057,20.39
South Middleton SD,Boiling Springs,"Administration Office, Suite 100",17007,49.09
South Park SD,South Park,2005 Eagle Ridge Rd,15129,9.27
South Side Area SD,Hookstown,4949 State Route 151,15050,75.58
South Western SD,Hanover,225 Bowman Rd,17331,55.71
South Williamsport Area SD,South Williamsport,515 W Central Ave,17702,35.53
Southeast Delco SD,Folcroft,1560 Delmar Drive,19032,4.49
Southeastern Greene SD,Greensboro,1000 Mapletown Rd,15338,68.51
Southern Columbia Area SD,Catawissa,800 Southern Drive,17820,109.99
Southern Fulton SD,Warfordsburg,3072 Great Cove Rd,17267,210.54
Southern Huntingdon County SD,Three Springs,10339 Pogue Road,17264,221.4
Southern Lehigh SD,Center Valley,5775 Main St,18034,45.27
Southern Tioga SD,Blossburg,310 Morris Street,16912,488.05
Southern York County SD,Glen Rock,3280 Fissels Church Rd,17327,67.85
Southmoreland SD,Scottdale,200 Scottie Way,15683,42.13
Spring Cove SD,Roaring Spring,1100 E Main Street,16673,98.14
Spring Grove Area SD,Spring Grove,100 E College Ave,17362,92.85
Spring-Ford Area SD,Royersford,857 South Lewis Road,19468,42.52
Springfield SD,Springfield,111 W Leamy Ave,19064,6.7
Springfield Township SD,Oreland,1901 E Paper Mill Rd,19075,6.79
State College Area SD,State College,240 Villa Crest Dr,16801,151.13
Steel Valley SD,Munhall,220 E Oliver Rd,15120,4.04
Steelton-Highspire SD,Steelton,250 Reynders St,17113,2.64
Sto-Rox SD,McKees Rocks,298 Ewing Road,15136,3.42
Stroudsburg Area SD,Stroudsburg,123 Linden St,18360,73.63
Sullivan County SD,Laporte,777 South Street,18626,452.5
Susquehanna Community SD,Susquehanna,3192 Turnpike St.,18847,103.27
Susquehanna Township SD,Harrisburg,2579 Interstate Drive,17110,15.27
Susquenita SD,Duncannon,Susquenita School District D.O.,17020,91.73
Tamaqua Area SD,Tamaqua,138 West Broad St,18252,122.89
