School District,District Address (City),District Address (Street),District Zip Code,Geographic Size of District (Square Miles)
Titusville Area SD,Titusville,Titusville Area School District,16354,200.15
Towanda Area SD,Towanda,410 State St,18848,162.47
Tredyffrin-Easttown SD,Wayne,West Valley Business Center,19087,28.12
Tri-Valley SD,Valley View,110 W Main St,17983,99.15
Trinity Area SD,Washington,231 Park Ave,15301,90.12
Troy Area SD,Troy,68 Fenner Ave,16947,276.43
Tulpehocken Area SD,Bethel,27 Rehrersburg Road,19507,101.32
Tunkhannock Area SD,Tunkhannock,41 Philadelphia Ave,18657,297.43
Turkeyfoot Valley Area SD,Confluence,172 Turkeyfoot Rd,15424,102.58
Tuscarora SD,Mercersburg,100 W Seminary St,17236,206.6
Tussey Mountain SD,Saxton,199 Front Street,16678,173.16
Twin Valley SD,Elverson,4851 N. Twin Valley Road,19520,89.08
Tyrone Area SD,Tyrone,701 Clay Avenue,16686,167.1
Union Area SD,New Castle,2106 Camden Avenue,16101,11.95
Union City Area SD,Union City,107 Concord St,16438,76.74
Union SD,Rimersburg,"354 Baker Street, Ste 2",16248,76.88
Uniontown Area SD,Uniontown,205 Wilson Avenue,15401,249.65
Unionville-Chadds Ford SD,Kennett Square,740 Unionville Road,19348,76.95
United SD,Armagh,10780 Route 56 East,15920,132.32
Upper Adams SD,Biglerville,161 North Main Street,17307,83.74
Upper Darby SD,Drexel Hill,4611 Bond Ave,19026,8.53
Upper Dauphin Area SD,Lykens,5668 State Route 209,17048,89.89
Upper Dublin SD,Maple Glen,1580 Fort Washington Ave,19002,13.26
Upper Merion Area SD,King of Prussia,435 Crossfield Rd,19406,18.88
Upper Moreland Township SD,Willow Grove,2900 Terwood Rd,19090,7.98
Upper Perkiomen SD,Pennsburg,2229 East Buck Rd Suite 1,18073,51.31
Upper Saint Clair SD,Pittsburgh,1820 McLughln Rn Rd Upr St Clr,15241,9.83
Valley Grove SD,Franklin,429 Wiley Ave,16323,63.9
Valley View SD,Archbald,1 Columbus Dr,18403,27.7
Wallenpaupack Area SD,Hawley,2552 Route 6,18428,327.54
Wallingford-Swarthmore SD,Wallingford,200 S Providence Rd,19086,7
Warren County SD,Russell,6820 Market Street,16345,775.12
Warrior Run SD,Turbotville,4800 Susquehanna Trail,17772,113.99
Warwick SD,Lititz,301 W Orange St,17543,39.91
Washington SD,Washington,311 Allison Ave,15301,3.4
Wattsburg Area SD,Erie,10782 Wattsburg Road,16509,143.94
Wayne Highlands SD,Honesdale,474 Grove St,18431,425.35
Waynesboro Area SD,Waynesboro,210 Clayton Ave,17268,93.09
Weatherly Area SD,Weatherly,602 6th St,18255,107.44
Wellsboro Area SD,Wellsboro,227 Nichols Street,16901,331.38
West Allegheny SD,Imperial,110 Bruno Lane,15126,57.95
West Branch Area SD,Morrisdale,516 Allport Cutoff,16858,165.46
West Chester Area SD,Exton,782 Springdale Drive,19341,73.95
West Greene SD,Waynesburg,1367 Hargus Creek Road,15370,253.04
West Jefferson Hills SD,Jefferson Hills,830 Old Clairton Rd,15025,19.7
West Middlesex Area SD,West Middlesex,3591 Sharon Rd Luther Low Bldg,16159,52.05
West Mifflin Area SD,West Mifflin,1020 Lebanon Road,15122,14.84
West Perry SD,Elliottsburg,2606 Shermans Valley Road,17024,314.25
West Shore SD,Lewisberry,507 Fishing Creek Rd,17339,74.35
West York Area SD,York,1891 Loucks Rd,17408,20.55
Western Beaver County SD,Midland,343 Ridgemont Dr,15059,34.78
Western Wayne SD,Lake Ariel,1970C Easton Turnpike,18436,168.93
Westmont Hilltop SD,Johnstown,222 Fair Oaks Drive,15905,15.63
Whitehall-Coplay SD,Whitehall,2940 MacArthur Rd,18052,13.49
Wilkes-Barre Area SD,Wilkes Barre,730 S Main St,18711,116.67
Wilkinsburg Borough SD,Wilkinsburg,718 Wallace Ave,15221,2.25
William Penn SD,Lansdowne,100 Green Avenue Annex,19050,4.68
Williams Valley SD,Tower City,10330 State Route 209,17980,61.62
Williamsburg Community SD,Williamsburg,515 W 3rd St,16693,63.57
Williamsport Area SD,Williamsport,2780 West Fourth Street,17701,101.9
Wilmington Area SD,New Wilmington,300 Wood St,16142,99.4
Wilson Area SD,Easton,2040 Washington Blvd,18042,20.74
Wilson SD,West Lawn,2601 Grandview Blvd,19609,36.86
Windber Area SD,Windber,2301 Graham Ave,15963,57.6
Wissahickon SD,Ambler,601 Knight Rd,19002,23.02
Woodland Hills SD,N. Braddock,531 Jones Ave,15104,13.44
Wyalusing Area SD,Wyalusing,11450 Wyalusing New Albany Road,18853,277.18
Wyoming Area SD,Exeter,252 Memorial St,18643,28.04
Wyoming Valley West SD,Kingston,450 N Maple Ave,18704,15.3
Wyomissing Area SD,Wyomissing,630 Evans Ave,19610,3.5
York City SD,York,31 N Pershing Avenue,17401,5.34
York Suburban SD,York,1800 Hollywood Dr,17403,10.26
Yough SD,Herminie,915 Lowber Rd,15637,75.27
