Year,School Name,Subject,Group,Grade,Number Scored,% Advanced,% Proficient,% Basic,% Below Basic
2017,BERMUDIAN SPRINGS HS,Algebra I,All Students,11,137,27,45.3,22.6,5.1
2017,BERMUDIAN SPRINGS HS,Algebra I,Historically Underperforming,11,60,8.3,45,36.7,10
2017,BERMUDIAN SPRINGS HS,Biology,All Students,11,138,29.7,37,24.6,8.7
2017,BERMUDIAN SPRINGS HS,Biology,Historically Underperforming,11,60,11.7,35,36.7,16.7
2017,BERMUDIAN SPRINGS HS,Literature,All Students,11,138,13.8,71,13,2.2
2017,BERMUDIAN SPRINGS HS,Literature,Historically Underperforming,11,60,1.7,71.7,21.7,5
2017,NEW OXFORD SHS,Algebra I,All Students,11,252,34.1,38.1,20.6,7.1
2017,NEW OXFORD SHS,Algebra I,Historically Underperforming,11,95,17.9,35.8,29.5,16.8
2017,NEW OXFORD SHS,Biology,All Students,11,253,37.9,36.4,15.4,10.3
2017,NEW OXFORD SHS,Biology,Historically Underperforming,11,94,19.1,35.1,22.3,23.4
2017,NEW OXFORD SHS,Literature,All Students,11,256,12.9,59.8,19.9,7.4
2017,NEW OXFORD SHS,Literature,Historically Underperforming,11,97,5.2,45.4,32,17.5
2017,FAIRFIELD AREA HS,Algebra I,All Students,11,69,36.2,52.2,5.8,5.8
2017,FAIRFIELD AREA HS,Algebra I,Historically Underperforming,11,19,31.6,31.6,15.8,21.1
2017,FAIRFIELD AREA HS,Biology,All Students,11,71,26.8,56.3,9.9,7
2017,FAIRFIELD AREA HS,Biology,Historically Underperforming,11,19,15.8,52.6,5.3,26.3
2017,FAIRFIELD AREA HS,Literature,All Students,11,69,10.1,72.5,11.6,5.8
2017,FAIRFIELD AREA HS,Literature,Historically Underperforming,11,19,0,63.2,15.8,21.1
2017,GETTYSBURG AREA HS,Algebra I,All Students,11,322,24.5,48.4,20.8,6.2
2017,GETTYSBURG AREA HS,Algebra I,Historically Underperforming,11,119,10.1,42.9,31.1,16
2017,GETTYSBURG AREA HS,Biology,All Students,11,325,29.2,40,23.4,7.4
2017,GETTYSBURG AREA HS,Biology,Historically Underperforming,11,121,12.4,35.5,36.4,15.7
2017,GETTYSBURG AREA HS,Literature,All Students,11,325,11.4,71.1,12.9,4.6
2017,GETTYSBURG AREA HS,Literature,Historically Underperforming,11,122,3.3,60.7,25.4,10.7
2017,LITTLESTOWN SHS,Algebra I,All Students,11,127,26,58.3,12.6,3.1
2017,LITTLESTOWN SHS,Algebra I,Historically Underperforming,11,45,15.6,51.1,24.4,8.9
2017,LITTLESTOWN SHS,Biology,All Students,11,127,38.6,41.7,10.2,9.4
2017,LITTLESTOWN SHS,Biology,Historically Underperforming,11,45,26.7,37.8,15.6,20
2017,LITTLESTOWN SHS,Literature,All Students,11,127,8.7,73.2,14.2,3.9
2017,LITTLESTOWN SHS,Literature,Historically Underperforming,11,45,6.7,60,22.2,11.1
2017,BIGLERVILLE HS,Algebra I,All Students,11,114,21.9,44.7,28.1,5.3
2017,BIGLERVILLE HS,Algebra I,Historically Underperforming,11,53,11.3,43.4,37.7,7.5
2017,BIGLERVILLE HS,Biology,All Students,11,113,35.4,37.2,24.8,2.7
2017,BIGLERVILLE HS,Biology,Historically Underperforming,11,52,25,38.5,30.8,5.8
2017,BIGLERVILLE HS,Literature,All Students,11,112,5.4,72.3,21.4,0.9
2017,BIGLERVILLE HS,Literature,Historically Underperforming,11,51,2,62.7,33.3,2
2017,ACADEMY CHARTER SCHOOL,Algebra I,All Students,11,14,0,0,7.1,92.9
2017,ACADEMY CHARTER SCHOOL,Algebra I,Historically Underperforming,11,13,0,0,7.7,92.3
2017,ACADEMY CHARTER SCHOOL,Biology,All Students,11,15,0,0,20,80
2017,ACADEMY CHARTER SCHOOL,Biology,Historically Underperforming,11,13,0,0,15.4,84.6
2017,ACADEMY CHARTER SCHOOL,Literature,All Students,11,12,0,8.3,16.7,75
2017,ACADEMY CHARTER SCHOOL,Literature,Historically Underperforming,11,12,0,8.3,16.7,75
2017,SPRINGDALE JSHS,Algebra I,All Students,11,83,12,53,27.7,7.2
2017,SPRINGDALE JSHS,Algebra I,Historically Underperforming,11,37,8.1,40.5,35.1,16.2
2017,SPRINGDALE JSHS,Biology,All Students,11,82,24.4,37.8,30.5,7.3
2017,SPRINGDALE JSHS,Biology,Historically Underperforming,11,36,13.9,33.3,38.9,13.9
2017,SPRINGDALE JSHS,Literature,All Students,11,83,6,72.3,14.5,7.2
2017,SPRINGDALE JSHS,Literature,Historically Underperforming,11,37,5.4,62.2,21.6,10.8
2017,AVONWORTH SHS,Algebra I,All Students,11,94,46.8,38.3,13.8,1.1
2017,AVONWORTH SHS,Algebra I,Historically Underperforming,11,16,12.5,31.3,50,6.3
2017,AVONWORTH SHS,Biology,All Students,11,94,42.6,39.4,12.8,5.3
2017,AVONWORTH SHS,Biology,Historically Underperforming,11,16,6.3,31.3,31.3,31.3
2017,AVONWORTH SHS,Literature,All Students,11,94,17,67,10.6,5.3
2017,AVONWORTH SHS,Literature,Historically Underperforming,11,16,0,50,25,25
2017,BALDWIN SHS,Algebra I,All Students,11,317,17,50.8,26.5,5.7
2017,BALDWIN SHS,Algebra I,Historically Underperforming,11,123,9.8,37.4,39,13.8
2017,BALDWIN SHS,Biology,All Students,11,317,27.1,38.5,24,10.4
2017,BALDWIN SHS,Biology,Historically Underperforming,11,114,12.3,31.6,32.5,23.7
2017,BALDWIN SHS,Literature,All Students,11,328,7,65.2,21.3,6.4
2017,BALDWIN SHS,Literature,Historically Underperforming,11,127,2.4,44.1,37.8,15.7
2017,BETHEL PARK SHS,Algebra I,All Students,11,400,19,53,21.3,6.8
2017,BETHEL PARK SHS,Algebra I,Historically Underperforming,11,95,13.7,35.8,26.3,24.2
2017,BETHEL PARK SHS,Biology,All Students,11,400,34,41.5,15.5,9
2017,BETHEL PARK SHS,Biology,Historically Underperforming,11,93,17.2,36.6,20.4,25.8
2017,BETHEL PARK SHS,Literature,All Students,11,399,10.8,73.9,12.5,2.8
2017,BETHEL PARK SHS,Literature,Historically Underperforming,11,92,6.5,58.7,26.1,8.7
2017,BRENTWOOD SHS,Algebra I,All Students,11,110,13.6,50.9,29.1,6.4
2017,BRENTWOOD SHS,Algebra I,Historically Underperforming,11,48,4.2,35.4,47.9,12.5
2017,BRENTWOOD SHS,Biology,All Students,11,110,20.9,46.4,21.8,10.9
2017,BRENTWOOD SHS,Biology,Historically Underperforming,11,48,4.2,39.6,31.3,25
2017,BRENTWOOD SHS,Literature,All Students,11,111,7.2,78.4,9,5.4
2017,BRENTWOOD SHS,Literature,Historically Underperforming,11,49,0,69.4,18.4,12.2
2017,CARLYNTON JSHS,Algebra I,All Students,11,92,10.9,42.4,40.2,6.5
2017,CARLYNTON JSHS,Algebra I,Historically Underperforming,11,39,12.8,20.5,56.4,10.3
2017,CARLYNTON JSHS,Biology,All Students,11,93,14,60.2,17.2,8.6
2017,CARLYNTON JSHS,Biology,Historically Underperforming,11,40,17.5,45,25,12.5
2017,CARLYNTON JSHS,Literature,All Students,11,92,5.4,72.8,14.1,7.6
2017,CARLYNTON JSHS,Literature,Historically Underperforming,11,39,5.1,66.7,20.5,7.7
2017,CHARTIERS VALLEY HS,Algebra I,All Students,11,263,14.1,58.2,23.6,4.2
2017,CHARTIERS VALLEY HS,Algebra I,Historically Underperforming,11,88,9.1,48.9,34.1,8
2017,CHARTIERS VALLEY HS,Biology,All Students,11,263,41.4,44.9,9.5,4.2
2017,CHARTIERS VALLEY HS,Biology,Historically Underperforming,11,88,28.4,40.9,22.7,8
2017,CHARTIERS VALLEY HS,Literature,All Students,11,260,4.6,72.3,17.7,5.4
2017,CHARTIERS VALLEY HS,Literature,Historically Underperforming,11,85,2.4,56.5,30.6,10.6
2017,CITY CHS,Algebra I,All Students,11,145,15.9,48.3,23.4,12.4
2017,CITY CHS,Algebra I,Historically Underperforming,11,90,13.3,44.4,26.7,15.6
2017,CITY CHS,Biology,All Students,11,145,13.8,42.1,20.7,23.4
