Bedford Area SD	Geographic Size of District (Square Miles)	291.18
Belle Vernon Area SD	District Address (City)	Belle Vernon
Belle Vernon Area SD	District Address (Street)	270 Crest Avenue
Belle Vernon Area SD	District Name	Belle Vernon Area SD
Belle Vernon Area SD	District Zip Code	15012
Belle Vernon Area SD	Geographic Size of District (Square Miles)	43.82
Bellefonte Area SD	District Address (City)	Bellefonte
Bellefonte Area SD	District Address (Street)	318 N Allegheny St
Bellefonte Area SD	District Name	Bellefonte Area SD
Bellefonte Area SD	District Zip Code	16823
Bellefonte Area SD	Geographic Size of District (Square Miles)	116.75
Bellwood-Antis SD	District Address (City)	Bellwood
Bellwood-Antis SD	District Address (Street)	300 Martin Street
Bellwood-Antis SD	District Name	Bellwood-Antis SD
Bellwood-Antis SD	District Zip Code	16617
Bellwood-Antis SD	Geographic Size of District (Square Miles)	61.49
Bensalem Township SD	District Address (City)	Bensalem
Bensalem Township SD	District Address (Street)	3000 Donallen Dr
Bensalem Township SD	District Name	Bensalem Township SD
Bensalem Township SD	District Zip Code	19020
Bensalem Township SD	Geographic Size of District (Square Miles)	20.92
Benton Area SD	District Address (City)	Benton
Benton Area SD	District Address (Street)	600 Green Acres Rd
Benton Area SD	District Name	Benton Area SD
Benton Area SD	District Zip Code	17814
Benton Area SD	Geographic Size of District (Square Miles)	97.17
Bentworth SD	District Address (City)	Bentleyville
Bentworth SD	District Address (Street)	150 Bearcat Drive
Bentworth SD	District Name	Bentworth SD
Bentworth SD	District Zip Code	15314
Bentworth SD	Geographic Size of District (Square Miles)	59.07
Berlin Brothersvalley SD	District Address (City)	Berlin
Berlin Brothersvalley SD	District Address (Street)	1025 Main St
Berlin Brothersvalley SD	District Name	Berlin Brothersvalley SD
Berlin Brothersvalley SD	District Zip Code	15530
Berlin Brothersvalley SD	Geographic Size of District (Square Miles)	165.02
Bermudian Springs SD	District Address (City)	York Springs
Bermudian Springs SD	District Address (Street)	7335 Carlisle Pike
Bermudian Springs SD	District Name	Bermudian Springs SD
Bermudian Springs SD	District Zip Code	17372
Bermudian Springs SD	Geographic Size of District (Square Miles)	75.27
Berwick Area SD	District Address (City)	Berwick
Berwick Area SD	District Address (Street)	500 Line St
Berwick Area SD	District Name	Berwick Area SD
Berwick Area SD	District Zip Code	18603
Berwick Area SD	Geographic Size of District (Square Miles)	91.11
