CHARLEROI SD,Charleroi,125 Fecsen Drive,15022,26.06
CHARTIERS VALLEY SD,Pittsburgh,2030 Swallow Hill Rd,15220,19.22
CHARTIERS-HOUSTON SD,Houston,2020 W Pike St,15342,25.02
CHELTENHAM SD,Elkins Park,2000 Ashbourne Rd,19027,9.05
CHESTER-UPLAND SD,Chester,Attn: Administration Suite,19013,8.08
CHESTNUT RIDGE SD,Fishertown,3281 Valley Road,15539,224.64
CHICHESTER SD,Aston,401 Cherry Tree Rd,19014,10.77
CLAIRTON CITY SD,Clairton,502 Mitchell Ave,15025,3.02
CLARION AREA SD,Clarion,221 Liberty St,16214,69.74
CLARION-LIMESTONE AREA SD,Strattanville,4091 C-L School Road,16258,117.29
CLAYSBURG-KIMMEL SD,Claysburg,531 Bedford St,16625,56.44
CLEARFIELD AREA SD,Clearfield,2831 Washington Avenue,16830,347.61
COATESVILLE AREA SD,Thorndale,3030 CG Zinn Rd,19372,75.82
COCALICO SD,Denver,800 4th Street,17517,50.85
COLONIAL SD,Plymouth Meeting,230 Flourtown Rd,19462,24.26
COLUMBIA BOROUGH SD,Columbia,200 N. Fifth St.,17512,2.42
COMMODORE PERRY SD,Hadley,3002 Perry Hwy,16130,74.31
CONEMAUGH TOWNSHIP AREA SD,Davidsville,300 West Campus Avenue,15928,54.55
CONEMAUGH VALLEY SD,Johnstown,1340 William Penn Avenue,15906,21.57
CONESTOGA VALLEY SD,Lancaster,2110 Horseshoe Rd,17601,56.08
CONEWAGO VALLEY SD,New Oxford,130 Berlin Rd,17350,75.11
CONNEAUT SD,Linesville,219 W School Dr,16424,318.57
CONNELLSVILLE AREA SD,Connellsville,732 Rockridge Rd.,15425,217.06
CONRAD WEISER AREA SD,Robesonia,44 Big Spring Rd,19551,59.7
CORNELL SD,Coraopolis,1099 Maple Street,15108,3.81
CORNWALL-LEBANON SD,Lebanon,105 E Evergreen Rd,17042,66.66
CORRY AREA SD,Corry,540 East Pleasant Street,16407,210.92
COUDERSPORT AREA SD,Coudersport,698 Dwight Street,16915,211.94
COUNCIL ROCK SD,Newtown,30 N Chancellor St,18940,70.23
CRANBERRY AREA SD,Seneca,3 Education Dr,16346,156.63
CRAWFORD CENTRAL SD,Meadville,11280 Mercer Pike,16335,158.3
CRESTWOOD SD,Mountain Top,281 S Mountain Blvd,18707,107.97
CUMBERLAND VALLEY SD,Mechanicsburg,6746 Carlisle Pike,17050,102.95
CURWENSVILLE AREA SD,Curwensville,650 Beech St,16833,116.61
DALLAS SD,Dallas,2010 Conyngham Ave,18612,48.14
DALLASTOWN AREA SD,Dallastown,700 New School Ln,17313,55.26
DANIEL BOONE AREA SD,Birdsboro,Daniel Boone Area SD Administrative Office,19508,43.65
DANVILLE AREA SD,Danville,733 Ironmen Lane,17821,125.31
DEER LAKES SD,Cheswick,19 East Union Road,15024,40.74
