name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,homeless_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
Akron El Sch,9.42,0,3.26,1.81,11.59,1.09,1.09,0,1.09,60.14,3.99,48.55,276,17.75,Yes,73.91
Albert Gallatin Area SHS,4.53,0,0.21,3.5,0.93,0.51,0.21,0,4.01,53.19,0.21,50.1,972,24.49,No,90.84
Albert Gallatin North MS,4.68,0.26,0,4.94,1.56,0.26,0.26,0,2.08,54.03,0,48.05,385,25.71,No,88.57
Albert Gallatin South MS,4.44,0.28,0.28,1.39,0.83,0.56,0.28,0,4.44,56.94,0,51.39,360,26.94,No,92.78
Alburtis El Sch,7.26,0.28,2.23,3.63,22.63,0.28,0,0.28,1.96,34.64,1.4,51.68,358,15.08,Yes,63.69
Aldan El Sch,4.2,1.68,3.36,73.11,7.14,1.68,0,0,1.68,66.81,0.42,48.32,238,26.05,Yes,10.5
Aliquippa El Sch,15.61,0,0,64.77,7.59,3.8,0,0.21,0,85.65,4.64,47.68,474,18.99,Yes,11.81
Aliquippa JSHS,8.65,0,0,72.36,6.12,3.16,0,0,0.63,96.2,1.69,48.73,474,22.15,Yes,12.87
Allegheny-Clarion Valley Elem,0.31,0,0,0.63,0.94,4.72,0.94,0,0.63,47.48,0,48.43,318,20.75,Yes,98.11
Allegheny-Clarion Valley HS,0.75,0,0,0.38,0.38,5.28,0,0,1.13,50.57,0,48.3,265,18.87,No,98.49
Allen Dr Ethel Sch,2.29,0,0,94.84,2.58,11.46,0,0,0,95.42,0,53.01,349,12.61,Yes,0.29
Allen Ethan Sch,4.57,0.11,8.91,24.02,50,3.26,0.65,0.33,0,76.41,41.3,47.28,920,9.78,Yes,12.07
Allen MS,5.03,0.21,2.94,5.66,11.95,1.68,1.68,0,5.24,41.51,3.98,48.01,477,20.55,No,74.21
Alliance for Progress CS,2.33,0,0,95.17,1.97,2.68,0,0.18,0,86.23,0,53.49,559,16.99,Yes,0.36
Allison Park El Sch,9.3,0,0.3,3.45,4.05,0.15,0,0.15,1.5,24.74,1.8,46.78,667,15.74,Yes,82.76
Alloway Creek El Sch,3.39,0.13,0.38,0.88,4.52,0.25,1.63,0.13,0.25,47.24,1.38,49.87,796,10.05,Yes,90.58
Altoona Area HS,1.12,0.22,0.67,10.37,2.56,2.47,0.36,0.04,2.11,62.21,0.4,49.01,2228,23.34,No,85.01
Altoona Area Jr HS,2.03,0.35,0.64,10.89,2.84,2.72,0.46,0.06,1.45,70.64,0.29,49.04,1727,24.61,No,83.21
Amanda E Stout El Sch,2.04,0.13,0,7.53,86.48,5.87,0.13,0.13,0,94.39,35.59,48.09,784,18.37,Yes,3.7
Ambridge Area HS,5.46,0,0.68,17.87,3.55,3.68,0.95,0,1.91,51.98,2.86,46.93,733,18.42,Yes,72.44
Ambridge Area MS,7.28,0.21,0.86,16.92,4.93,2.14,0.86,0,0.64,51.82,2.78,47.11,467,25.27,Yes,69.81
Amos K Hutchinson El Sch,13.59,0,0,7.08,5.96,1.86,0,0,2.05,65.36,1.3,47.11,537,19.37,Yes,73.37
Amosland El Sch,4.97,0,6.09,14.45,4.74,1.13,0.68,0,0.9,42.89,2.93,50.56,443,11.96,No,69.75
Amy At Martin,7.47,0,0.41,32.37,30.71,0.83,0,0,0,87.14,5.81,48.55,241,32.37,Yes,29.05
Amy NW,3.83,0,1.91,84.69,5.74,1.91,0,0.48,0.48,82.78,0.96,52.15,209,14.83,Yes,3.35
Anderson Add B Sch,1,0.25,0.25,94.76,2.74,6.98,0.25,0,0,91.77,1,52.37,401,18.45,Yes,1
Andrew Maier El Sch,1.3,0,0.87,3.04,19.13,0.87,1.74,0,0.87,33.48,0,49.57,230,14.78,Yes,75.65
Annville Cleona HS,1.02,0.2,2.04,1.84,9.59,2.45,0.61,0.61,7.76,32.04,2.65,49.39,490,16.53,No,84.69
Annville El Sch,3.15,0.23,6.08,0.68,15.54,0.9,0.23,0,2.25,40.77,9.23,47.07,444,15.99,Yes,74.32
Annville-Cleona MS,4.35,0.48,1.93,1.45,14.49,1.93,0.48,0.48,8.21,40.1,3.86,45.89,207,14.49,No,76.81
Antietam MS/HS,4.2,0,0.91,4.74,48.54,1.82,0.73,0,5.47,61.31,6.2,48.36,548,23.91,No,41.61
Antonia Pantoja Community CS,0.57,0,0,1.86,97.14,1.86,0,0,0,81.97,14.02,48.78,699,27.9,Yes,0.43
Apollo-Ridge Elem Sch,5.45,0.19,0.19,0.78,1.56,0.97,1.56,0,1.36,58.75,0,46.69,514,21.6,Yes,91.83
Apollo-Ridge HS,5.54,1.3,0.33,0.98,1.63,1.3,0.33,0,3.91,42.35,0,50.16,307,17.26,No,90.23
Apollo-Ridge MS,2.19,0.36,0.36,0.73,1.09,1.46,0,0,2.19,55.84,0,42.7,274,21.53,No,95.26
Appleman El Sch,2.85,0,0.32,0.32,3.16,0.95,0.63,0,2.53,52.53,0,52.22,316,18.35,Yes,93.35
Arcola Intrmd Sch,5.93,0.14,14.62,5.38,5.79,0.14,0.28,0,8.41,20.69,0.97,49.66,725,19.72,Yes,68.14
Ardmore Avenue Sch,6.29,0.54,2.88,69.6,14.21,1.98,0,0,1.08,70.14,13.13,47.84,556,13.85,Yes,6.47
Arlington Heights El Sch,4.37,0,4.37,17.9,33.62,3.06,0,0,0,67.69,7.86,57.21,229,19.65,Yes,39.74
Armstrong JSHS,0.19,0.06,0.26,1.79,1.41,2.43,0.58,0,4.92,44.25,0.38,50.06,1564,20.08,No,96.29
Aronimink El Sch,8.68,0,9.43,42.64,10.94,1.51,0,0.38,6.04,56.98,6.04,47.92,265,14.72,No,27.92
Arrowhead El Sch,4.23,0.23,11.03,2.35,7.04,0,0,0,3.05,15.26,6.1,44.6,426,11.03,No,75.12
Arthur Chester A Sch,6.84,0,7.17,43.97,4.89,1.63,0,0,2.93,47.88,0.65,47.88,307,20.85,Yes,37.13
Arthur Street El Sch,0.45,0.22,0,3.34,87.31,0.45,0,0.22,0.22,80.18,35.63,47.88,449,4.9,Yes,8.46
Artman El Sch,8.87,0,0.82,7.55,0.82,2.13,0,0,1.48,51.23,0.66,49.26,609,11.17,Yes,81.94
Arts Academy CS,9.29,0.32,0.96,14.74,45.19,0.64,0,0,0,57.05,2.88,72.44,312,15.71,Yes,29.49
Arts Academy Elementary CS,6.04,0,0.72,22.71,59.9,2.42,1.93,0,0,75.6,18.6,56.52,414,14.49,Yes,10.63
Arts Academy at Benjamin Rush,5.03,0,7.47,20.78,19.32,0.32,0,0.49,3.41,47.24,3.41,78.08,616,8.6,Yes,46.92
Asa Packer El Sch,0.59,0,2.95,7.67,21.53,1.47,0,0,3.54,29.79,7.08,50.15,339,13.57,No,67.26
Asbury El Sch,5.01,0.56,5.38,2.04,3.53,0.37,0.93,0,2.41,34.51,0.74,51.95,539,13.54,No,83.49
Aston El Sch,3.58,0,1.91,4.53,6.44,1.91,0,0,0.95,35.08,0.95,52.03,419,10.74,No,83.53
Athens Area HS,1.51,0.15,1.96,1.05,1.66,0.45,0.45,0.15,3.77,45.33,0.45,46.84,664,19.13,No,93.52
Audrielle Lynch-Ellen Bustin El Sch,3.1,0,0.73,2.37,4.55,1.46,0,0.18,0.91,33.52,1.09,48.45,549,17.85,Yes,89.07
Austin Area El Sch,0,0,0,0,1.28,0,0,0,0,51.28,0,39.74,78,19.23,Yes,98.72
Austin Area JSHS,0,0,0,0,2.15,1.08,0,1.08,2.15,40.86,1.08,47.31,93,30.11,Yes,96.77
Avalon El Sch,12.6,1.15,0.38,20.61,1.53,0.76,0,0,1.91,57.63,0,48.47,262,20.23,Yes,63.74
Avella Area JSHS,1.32,0,0,0,0.44,0,0,0,5.73,51.98,0,44.93,227,17.18,No,98.24
Avella El Center,3.97,0,0,0.79,0.4,1.19,0.79,0,1.19,57.94,0,46.43,252,22.62,Yes,94.84
Avis El Sch,5.73,0,0,0.52,2.6,0.52,0,0,0,44.79,0,48.96,192,16.67,Yes,91.15
Avon Grove CS,4.61,0.21,1.7,6.52,16.65,1.33,1.91,0,0,37.91,1.22,50.42,1886,17.02,Yes,70.31
Avon Grove HS,2.05,0,2.34,1.82,27.54,3.08,0.23,0.06,2.57,33.07,6.16,48.63,1754,12.26,No,66.19
Avon Grove Intrmd Sch,1.44,0.14,1.65,1.44,28.14,3.98,0.55,0,2.13,32.05,9.95,49,1457,12.77,No,67.19
Avona El Sch,11.76,0,3.92,7.35,42.65,0,0,0,0,61.76,24.51,48.04,204,4.41,Yes,34.31
Avonworth El Sch,4.58,0,1.96,2.45,1.96,0,0,0,8.17,13.73,0.49,47.22,612,15.85,No,89.05
Avonworth HS,1.95,0,2.66,1.95,5.67,0,0,0.18,15.07,14.18,2.66,46.1,564,16.67,No,87.59
Avonworth MS,6.51,0,1.95,2.28,0.98,0,0,0,13.36,15.31,0,49.84,307,15.96,No,88.27
Avonworth Primary Center,5.82,0,2.59,1.51,1.94,0,0,0,1.08,11.21,0.22,48.49,464,10.13,Yes,88.15
B F Morey El Sch,1.36,0,4.07,20.81,32.13,6.79,0,0.45,2.26,65.61,9.5,48.87,221,15.38,Yes,41.18
Bache-Martin Sch,4.72,0.19,3.4,42.83,14.91,4.15,0.38,0.19,0.57,59.43,7.55,48.11,530,30,Yes,33.77
Baden Academy CS,16.55,0,0.17,25.94,1.71,2.22,0,0,0.51,64.51,0,54.1,586,19.62,Yes,55.63
Baggaley El Sch,3.23,0.2,0.6,0.2,2.02,1.81,0.81,0,1.81,44.96,0,48.19,496,18.95,Yes,93.75
Bainbridge El Sch,2.78,0,3.24,4.17,3.24,0.46,0,0,0.93,33.8,2.78,46.76,216,14.81,No,86.57
Baker El Sch,5.35,0,1,4.68,2.01,3.01,0.67,0.33,2.34,50.17,0,50.84,299,18.06,Yes,86.62
Bala-Cynwyd MS,9.39,0,13.1,7.29,5.19,0.12,0.37,0,20.02,11.99,3.21,50.68,809,18.42,No,65.02
Bald Eagle Area JSHS,1.07,0.48,0.24,1.9,1.31,1.43,0.24,0.12,2.49,39.79,0.12,47.51,842,18.76,No,94.89
Baldi C C A MS,5.61,0.21,27.5,13.95,10.05,1.71,0.68,0.34,3.63,64.09,28.32,48.56,1462,13.34,Yes,42.34
Baldwin SHS,4.12,0.1,15.9,5.51,1.82,0.96,0.34,0.14,5.84,45.31,5.89,49.71,2088,12.74,No,72.41
Bancroft El Sch,2.28,0,3.05,0.76,53.81,6.6,0,0,0.76,52.79,27.92,51.78,394,15.23,Yes,40.1
Bangor Area HS,3.83,1.13,1.01,1.8,7.33,0.79,0.34,0,3.04,41.6,0.79,47.8,887,21.08,No,84.89
Bangor Area MS,4.18,0.88,0.66,1.54,9.89,0.66,0.22,0,2.42,47.47,1.54,48.57,455,20.66,Yes,82.86
Barclay El Sch,3.46,0,8.93,2.16,26.22,1.87,0.29,0,2.88,32.56,18.44,52.59,694,12.97,Yes,59.22
Baresville El Sch,5.29,0.18,1.23,2.82,7.58,0.71,0.35,0.18,2.65,47.09,1.94,48.68,567,12.35,Yes,82.72
Barkley El Sch,4.81,0,1.03,6.87,46.05,3.09,0,0,3.44,56.7,33.33,50.86,291,15.81,Yes,41.24
Baron EL Sch,2.31,0,1.45,2.6,13.58,2.6,0,0,1.73,52.6,0,51.73,346,14.74,Yes,80.06
Barrett El Sch,5.45,0,0.91,78.64,4.55,8.18,0,0,0.45,90,1.82,47.73,220,35.45,Yes,10.45
Barry Comm John Sch,1.7,0,0.38,92.42,4.92,4.92,0,0,0,95.83,2.46,50.19,528,20.64,Yes,0.57
Bart-Colerain El Sch,2.66,0.53,0,0,10.11,0,1.06,0,4.79,43.62,3.72,49.47,188,16.49,Yes,86.7
Barth El Sch,15.65,0.32,0,40.26,21.73,6.71,0,0.64,0.32,85.62,3.19,46.01,313,19.49,Yes,21.41
Barton Clara Sch,2.3,0,2.3,18.97,73.37,2.68,0.19,0.19,0,80.27,39.08,48.28,522,15.13,Yes,2.87
Bartram John - Main,2.3,0,5.43,78.29,13.15,5.64,0.42,0,0,83.72,19.42,43.01,479,22.96,Yes,0.84
Bear Creek Community CS,9.39,0.39,0.78,6.65,8.61,0.98,0,0.39,1.17,47.95,1.57,51.66,511,19.57,Yes,73.78
Bear Creek School,4.66,0.25,2.08,2.57,6.13,1.59,1.96,0,8.58,42.77,2.57,48.28,816,20.1,Yes,84.31
Beaty-Warren MS,3.12,0.16,0.47,0.31,1.09,1.56,0.16,0,5.15,52.11,0.31,47.58,641,28.24,No,94.85
Beaumont El Sch,6.75,0.22,21.79,2.4,3.92,0.22,0.65,0,9.59,2.18,4.14,48.8,459,13.51,No,64.92
Beaver Area MS,1.63,0,1.95,1.3,2.28,0,0.98,0,3.58,26.06,0.98,47.23,307,9.12,No,92.83
Beaver Area SHS,1.55,0.16,1.71,2.02,2.02,0,0.78,0,2.8,29.35,0,47.05,644,13.04,No,92.55
Beaver County CTC,5.45,0.43,0.14,11.05,1.58,2.01,2.3,0,0.57,52.37,0,40.46,697,41.46,No,81.35
Beaver Creek El Sch,4.55,0,14.23,2.66,6.64,0.95,0,0.19,2.28,18.98,2.85,51.99,527,17.08,Yes,71.73
Beaver Falls Area SHS,20.26,0.64,0.21,25.59,2.99,2.56,2.35,0,5.33,75.69,1.92,50.32,469,22.39,Yes,50.32
Beaver Falls MS,23.96,0,0.26,22.66,3.91,1.56,0,0,3.65,77.86,1.3,49.22,384,25,Yes,49.22
Beaver-Main El Sch,0,1.01,1.01,0,0,2.02,0,0,0,38.38,1.01,44.44,99,8.08,No,97.98
Bedford County Technical Center,1.46,0,0,1.17,0.29,3.51,0,0,0,52.05,0,42.69,342,24.56,No,97.08
Bedford El Sch,2.74,0.26,1.04,1.44,1.57,3.66,0,0,0.91,50.91,0.52,49.48,766,18.54,Yes,92.95
Bedford MS,2.97,0,0.5,0.74,0.74,2.72,0.25,0.25,2.72,42.82,0.25,49.01,404,18.32,No,94.8
Bedford SHS,2.23,0,0.37,0.93,2.6,4.65,0,0,0.74,43.31,0.37,49.26,538,15.43,No,93.87
Bedminster El Sch,4.76,0,2.62,0.71,8.1,0.71,0,0,4.52,23.1,0.48,47.38,420,16.19,No,83.81
Bell Avenue School,5.66,0.75,0,89.06,3.4,4.91,0,0,1.89,78.11,0,53.21,265,11.32,Yes,1.13
Bellaire El Sch,10.57,0.25,8.35,12.78,14.5,1.47,3.69,0,0,61.67,10.81,48.16,407,11.06,No,53.56
Belle Valley El Sch,8.2,0.33,15.08,3.77,2.79,0.66,0.82,0,1.48,48.36,11.97,47.38,610,20.16,Yes,69.84
Belle Vernon Area HS,4.65,0.13,1.86,2.66,3.72,0.66,0.27,0,3.46,42.82,0.53,48.67,752,13.7,No,86.97
Belle Vernon Area MS,5.09,0,1.5,2.99,2.4,1.2,0.6,0,2.69,46.11,0.6,47.9,334,14.37,No,88.02
Bellefonte Area HS,2.95,0.35,0.35,0.47,2.01,0.94,0,0,3.54,29.04,0.94,48.76,847,18.77,No,93.86
Bellefonte Area MS,4.34,0.52,0.35,0.87,2.78,0.69,0,0,1.91,27.6,0.87,48.61,576,20.49,No,91.15
Bellefonte El Sch,2.69,0.3,0,2.39,4.18,2.09,0.3,0,1.19,47.16,0.6,49.25,335,24.48,Yes,90.45
Bellevue El Sch,10.41,0,0.95,18.3,6.62,2.52,0,0,1.58,57.1,3.47,47.32,317,23.66,Yes,63.72
Bellwood Antis MS,1.08,0,0.27,0.81,0.81,0.81,0,0,0.27,43.13,0,48.79,371,21.29,No,97.04
Bellwood-Antis HS,1.53,0.51,0.77,0.51,1.28,1.28,0,0,1.53,41.33,0,44.39,392,19.39,No,95.41
Belmont CS,0.76,0,0.76,95.36,3.13,9.61,0,0,0,90.39,1.3,46.54,926,25.49,Yes,0
Belmont Hills El Sch,4.06,0.18,11.25,11.25,15.68,1.48,0,0.18,0.74,57.2,8.86,46.31,542,26.57,No,57.38
Ben Franklin El Sch,8.65,0,0.25,2.54,2.04,0.51,1.02,0,0.76,56.23,4.33,49.11,393,12.21,Yes,86.51
Ben Franklin Sch,10.44,0,0.77,17.02,5.03,0.77,0,0.39,0.19,85.49,0.97,49.13,517,19.54,Yes,66.34
Benjamin Chambers El Sch,12.16,0,0,9.46,49.81,2.12,0.39,0.19,0.19,87.07,27.99,50.58,518,11.2,Yes,28.38
Benjamin Franklin El Sch,5.5,0,6.12,3.98,4.28,0.31,0,0,2.14,19.57,0.61,43.12,327,18.65,Yes,80.12
Benjamin Franklin MS,11.64,0.27,2.33,14.93,15.21,2.19,0,0.14,1.23,70.27,4.79,51.1,730,24.38,Yes,55.48
Benjamin Franklin Sch,7.12,0,1.91,55.85,29.77,8.14,0,0,0,91.86,16.41,50.13,786,14.89,Yes,5.34
Benjamin Rush El Sch,6.88,0.26,6.08,24.6,40.74,1.85,0,0.53,1.06,76.19,20.63,43.39,378,15.87,Yes,20.9
Benner El Sch,2.46,0,1.23,1.23,1.23,0,1.23,0,0,22.13,1.23,48.77,244,10.25,No,93.85
Bennetts Valley El Sch,4.71,0,0,0,1.18,0,0,0,1.18,52.94,0,43.53,85,35.29,Yes,94.12
Bensalem Twp HS,2.5,0.33,15.99,13.77,19.25,1.98,0.05,0.14,4.72,55.71,8.63,50.99,2120,23.3,No,48.02
Benton Area HS,0.5,1,0.5,0.5,2,1,0,0,9,47.5,0,52,200,17.5,No,95.5
Benton Area MS,0.96,0,0,1.92,1.92,0.96,0.96,0,4.81,55.77,0.96,47.12,104,25,No,95.19
Bentworth El Ctr,5.82,0,0,2.12,0.26,1.85,0,0,0,58.99,0,44.18,378,19.84,Yes,91.8
Bentworth MS,2.45,0,0.61,1.22,1.22,1.53,0,0,0,55.05,0,53.52,327,18.65,No,94.5
Bentworth SHS,4.36,0.29,0.29,0.58,1.16,2.62,0,0,1.45,54.07,0,48.55,344,18.02,No,93.31
Berkey Sch,24.49,0,0,29.93,3.74,5.1,0,0,0.34,70.07,0.68,51.7,294,15.31,Yes,41.84
Berks CTC-East Campus,1.09,0,0.89,2.88,9.72,0.99,3.37,0.1,0,21.33,0.79,34.42,1008,38.49,No,85.32
Berks CTC-West Campus,1.66,0.36,2.14,3.68,14.83,0.59,1.78,0,0.12,19.69,0.36,46.5,843,30.72,No,77.34
Berlin Brothersvalley El Sch,1.74,0,0,0,0.7,1.05,0.35,0,0.35,42.51,0,42.86,287,20.56,Yes,97.56
Berlin Brothersvalley MS,2.67,0,0,0,0.89,0.89,0,0,1.78,38.67,0,56,225,15.56,No,96.44
Berlin Brothersvalley SHS,2.39,0,0,0,0,1.91,0,0,1.44,42.11,0,48.33,209,15.79,No,97.61
Bermudian Springs El Sch,5.23,0,0.49,0,11.27,0.65,0,0,0.82,42.32,3.76,46.9,612,10.13,Yes,83.01
Bermudian Springs HS,2.36,0,0,0.51,15.71,0.51,0,0,3.21,30.41,2.7,49.16,592,9.46,No,81.42
Bermudian Springs MS,4.38,0.18,0.18,0.73,17.52,0.36,0,0,2.55,37.59,3.47,51.28,548,11.13,Yes,77.01
Berwick Area HS,1.66,0,0.26,1.66,14.96,0.64,0.38,0,4.35,54.99,2.56,50.51,782,17.39,No,81.46
Berwick Area MS,2.73,0.12,0.24,2.61,12.32,1.42,0.36,0,1.54,60.55,2.25,48.58,844,25.12,No,81.99
Bethel El Sch,2.19,0,0.94,2.82,14.42,1.25,0.31,0,0,49.53,3.76,49.53,319,19.75,Yes,79.62
Bethel Memorial El Sch,6.9,0,7.76,1.44,3.16,0.29,0,0.29,0.29,16.38,8.05,46.26,348,19.54,Yes,80.46
Bethel Park HS,1.87,0.15,3.58,2.84,0.9,0.82,0,0.15,6.04,19.33,1.12,49.48,1340,17.16,No,90.52
Bethel Springs El Sch,6.2,0.19,23.5,2.07,3.57,0.19,0,0,5.83,10.71,3.57,45.49,532,17.86,No,64.47
Bethlehem AVTS,1.41,0.37,1.11,9.96,35.88,1.71,0,0.45,0.59,47.1,3.64,37.15,1346,31.43,No,50.82
Bethlehem-Center El Sch,4.83,0,0.23,2.76,0,0.46,1.61,0,0.46,48.97,0,48.28,435,29.66,Yes,92.18
Bethlehem-Center MS,3.31,0,0,1.65,0,0.83,0.41,0,1.65,58.26,0,45.45,242,27.69,Yes,95.04
Bethlehem-Center SHS,2.65,0,0,2.98,0.33,1.32,0,0,2.32,50,0,49.34,302,21.85,Yes,94.04
Bethune Mary McLeod Sch,1.88,0,0,73.64,23.85,4.6,0,0.63,0,92.68,10.04,48.12,478,12.13,Yes,0
Beverly Hills MS,4.53,0.07,20.35,51.08,20.29,3.68,0,0.07,1.9,74.59,17.6,50.56,1523,15.36,Yes,3.61
Big Beaver El Sch,16.49,0,0,8.59,8.25,1.03,0.34,0.34,0.34,62.89,2.06,51.55,291,18.9,Yes,66.32
Big Spring HS,3.25,0,0.68,1.08,3.11,3.52,0.27,0,5.82,40.05,0.81,46.68,739,25.03,No,91.88
Big Spring MS,2.87,0,0.84,0.84,1.85,1.18,0,0,3.37,44.01,0.51,48.4,593,25.97,No,93.59
Biglerville El Sch,1.61,0.23,0,0.92,29.43,0.46,0,0.46,0,51.26,17.7,47.82,435,17.47,Yes,67.36
Biglerville HS,1.51,0,0.19,1.89,29.62,0.94,0.57,0.57,4.53,43.96,11.32,48.49,530,17.55,No,66.23
Black Rock MS,9.11,0,11.82,9.11,6.78,0.1,0.19,0,17.34,12.79,1.55,50.48,1032,19.57,No,63.18
Blackhawk HS,2.76,0.13,0.66,1.31,1.44,0.52,5.25,0,6.17,34.78,0.13,49.34,762,18.5,No,93.7
Blackhawk Intermediate Sch,3.67,0.28,0.56,1.41,2.68,0.28,3.53,0,0.85,37.01,0.14,53.39,708,15.82,Yes,91.38
Blacklick Valley El Ctr,3.77,0,0.31,0.94,1.26,7.23,1.57,0,0,60.38,0.63,47.17,318,22.01,Yes,93.71
Blacklick Valley JSHS,1.42,0,0.35,0.35,0,2.84,0.71,0,1.77,43.62,0.35,48.58,282,23.76,No,97.87
Blain El Sch,2.28,0,0.38,0,4.18,3.42,1.9,0,0.38,60.46,0,49.81,263,19.01,Yes,93.16
Blaine James G Sch,1.47,0.29,0.29,94.13,2.64,10.85,0,0,0,92.67,0.59,46.04,341,28.45,Yes,1.17
Blair Mill El Sch,5.1,0,8.42,7.4,17.6,0,1.28,0,1.79,49.23,12.24,47.7,392,13.01,Yes,61.48
Blairsville El Sch,5.01,0.5,0.5,1.75,2.26,0.25,0,0,1,48.87,0,50.13,399,23.31,Yes,89.97
Blankenburg Rudolph Sch,1.22,0.41,0.41,94.72,3.25,6.91,0,0,0,89.84,0.41,49.19,246,19.51,Yes,0
Bloomsburg Area HS,5.14,0.23,2.1,4.21,7.01,0.93,0,0,2.1,42.99,0.23,48.36,428,10.05,Yes,81.31
Bloomsburg Area MS,6.5,0,1.98,3.11,5.65,1.69,0,0.28,1.98,46.33,0.85,46.89,354,16.95,Yes,82.49
Blossburg El Sch,1.28,0.43,0,1.71,2.56,0.85,1.28,0,0,60.26,0.43,47.86,234,23.08,Yes,94.02
Blue Ball El Sch,4.07,0.45,2.04,2.49,9.05,2.71,0.9,0,1.81,50,0.68,52.26,442,23.3,Yes,81.9
Blue Bell El Sch,7.24,0.38,14.29,11.05,2.67,0.57,0,0,3.24,15.05,1.9,48,525,17.52,No,64.38
Blue Mountain El East Sch,2.44,0,0.65,0.97,5.68,1.3,1.79,0.16,2.6,32.95,1.46,47.89,616,18.67,Yes,90.1
Blue Mountain HS,2.12,0,1,0.62,3.86,1.12,0.37,0,5.48,32,0.25,46.82,803,21.54,No,92.4
Blue Mountain MS,2.43,0.17,0.87,0.52,4.87,1.22,1.57,0,2.96,34.09,0,45.57,575,28,No,91.13
Blue Ridge El Sch,4.04,0,0,0.81,3.43,0.61,1.01,0,0,48.08,1.41,48.89,495,15.76,Yes,91.72
Blue Ridge HS,1.38,0.34,1.03,1.72,2.76,1.03,0.34,0,0.69,41.38,0.69,48.62,290,20.69,No,92.76
Blue Ridge MS,0.91,0,0.46,0.91,4.57,0.46,0.91,0,1.83,48.4,0.46,50.68,219,26.94,No,93.15
Bluford CS,0.19,0.75,0.19,80.98,17.89,5.65,0,0,0,79.66,0.94,48.21,531,14.12,Yes,0
