name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,homeless_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
21st Century Cyber CS,7.57,0.16,1.61,15.71,8.54,2.5,4.27,0.08,1.69,8.62,0.24,57.21,1241,18.21,Yes,66.32
6th Grade Center,5.11,0.27,4.03,1.88,11.02,1.88,0,0.27,2.15,43.28,4.3,54.03,372,18.82,No,77.42
A J McMullen Sch,2.84,0,0.57,1.7,1.14,0.57,0,0.57,1.7,74.43,0.57,48.3,176,21.02,Yes,93.18
A L Wilson El Sch,5.23,0,0,0.87,0,0.87,0,0.58,0,55.52,0,45.93,344,17.73,Yes,93.31
A W Beattie Career Center,3.91,0.33,1.96,4.46,4.13,1.52,0.11,0.11,0.22,39.89,0.87,45.65,920,35.43,No,85.11
ASPIRA Bilingual Cyber CS,0.68,0,1.6,18.26,78.65,10.62,0.11,0,0,61.3,35.62,44.86,876,46.35,Yes,0.8
Abington Heights HS,1.15,0.18,6.74,1.86,5.15,0.27,0,0,1.69,17.39,1.24,46.85,1127,17.21,No,84.92
Abington Heights MS,2.1,0,6.56,2.28,4.65,0.27,0,0.18,4.1,17.87,1.37,48.04,1097,14.95,Yes,84.23
Abington MS,7.23,0.2,6.45,17.38,10.74,0.98,0.29,0.1,7.42,30.81,2.69,49.51,2048,20.07,Yes,57.91
Abington SHS,5.57,0.18,6.62,21.13,11.42,0.76,0.22,0.07,9.28,31.68,2.62,47.76,2749,19.93,No,55
Abraham Lincoln El Sch,2.87,0,6.9,0.86,2.01,0,0,0.29,1.44,16.67,0.57,49.14,348,14.08,Yes,87.07
Academy Park HS,2.8,0.07,1.33,79.59,4.72,0.37,0,0.07,0.37,69.12,2.95,44.29,1357,18.2,Yes,11.42
Academy at Palumbo,4.5,0.25,36.73,28.67,13.23,0.25,0.08,0,1.02,62.09,6.87,59.37,1179,4.83,Yes,16.62
Academy at Westinghouse,4.92,0.61,0.15,89.86,2,9.22,0,0,0.92,83.41,0.31,45.47,651,30.26,Yes,2.46
Achievement House CS,2.09,0.52,2.09,31.63,18.37,5.32,0,0.52,0,62.42,3.44,53.65,958,32.88,Yes,44.78
Acmetonia El Sch,4.75,0.21,0.21,2.89,2.48,1.45,0,0,1.24,43.6,0.83,46.28,484,15.7,Yes,89.46
Ad Prima CS,1.37,0.17,0.86,92.44,4.98,0.52,0,0,0.69,91.75,1.2,52.75,582,10.82,Yes,0.17
Adaire Alexander Sch,4.31,0,2.54,3.81,8.88,0.25,0,0,1.52,38.32,0.25,53.55,394,11.42,Yes,80.46
Adams County Technical Institute,1.57,0,1.18,4.33,13.39,1.57,1.18,0,0.79,31.5,3.94,50.39,254,16.93,No,79.53
Adamstown El Sch,2.23,0.25,3.97,1.24,8.68,1.49,0.74,0,0,41.44,2.73,50.62,403,13.65,Yes,83.62
Admiral Peary AVTS,0.27,0,0,0.54,0.81,1.62,0,0,0,49.39,0,33.33,741,28.61,No,98.38
Afton El Sch,7.06,0,13.53,2.75,7.06,0.2,0,0,0,16.27,4.51,51.76,510,15.29,No,69.61
Agora Cyber CS,4.6,0.44,1.35,32.34,16.02,2.5,0.36,0.26,0,42.91,0.67,50.23,4957,32.02,Yes,44.99
