name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
Harbor Creek Senior HS,2.23,0,1.11,1.43,2.7,0.32,0,2.86,29.25,0,48.49,629,14.94,No,92.53
Harding El Sch,3.76,0.17,0.17,3.93,72.82,0,0,0.17,82.05,26.67,50.77,585,19.15,Yes,19.15
Harding Sch,26.49,0.51,1.53,25.81,5.94,0,0,0.34,83.19,2.38,45.5,589,24.62,Yes,39.73
Harding Warren G MS,6.84,0,1.93,50.82,34.18,0,0,0.15,85.29,17.83,47.25,673,30.01,Yes,6.24
Harlan Rowe MS,2.4,0.22,1.74,1.53,1.53,0.65,0.22,2.61,44.23,0.65,49.24,459,18.52,Yes,92.37
Harmony Area El Sch,0,0,0,0,0.71,0,0,0.71,58.87,0,40.43,141,28.37,Yes,99.29
Harmony Area JSHS,0.88,0,0,0,0,0.88,0,0.88,46.02,0,46.02,113,15.93,Yes,99.12
Harrington Avery D Sch,1.72,0,0.29,95.13,1.72,0,0,0,86.25,0.86,42.41,349,24.64,Yes,1.15
Harris Sch,3.87,0,1.79,79.28,4.62,0,0,0.6,81.97,3.28,47.54,671,12.52,Yes,10.43
Harrisburg HS,1.68,0,0.93,51.98,43.05,0,0,0,91.66,26.03,44.06,1187,23.93,Yes,2.36
Harrisburg HS - SciTech Cmp,1.52,0,5.79,62.8,26.52,0.3,0,1.83,97.56,7.32,62.2,328,3.66,Yes,3.35
Harrison Park El Sch,2.86,0,0.95,0.24,0.24,0,0,2.14,24.05,0,47.38,420,15.71,Yes,95.71
Harrison-Morton MS,4.15,0.13,0.39,11.28,74.06,0,0.13,1.69,78.99,19.71,45.4,771,24.9,Yes,9.86
Harriton SHS,6.14,0.16,10.8,6.53,5.13,0.08,0.08,14.92,11.19,0.78,48.8,1287,17.72,No,71.17
Harrold MS,4.32,0,0.27,1.62,2.7,0.54,0,7.3,34.86,0.81,49.46,370,16.22,No,91.08
Harry W Lockley Early Learning Center,24.47,0,0.13,15.37,7.22,0,0,0,98.93,3.21,49.33,748,14.84,Yes,52.81
Hartman El Ctr,2.49,0.23,0.45,0.91,1.36,0.23,0,2.27,34.69,0,46.26,441,15.87,Yes,94.56
Hartman Intrmd Sch,5.81,0,0,0.41,4.98,0,0,2.07,52.7,0.41,46.06,241,19.09,No,88.8
Hartranft John F Sch,5.04,0,0,68.63,25.49,0,0.56,0,89.92,6.16,47.62,357,24.37,Yes,0.28
Hartwood El Sch,5.29,0,7.3,2.27,3.27,0.76,0,3.78,25.44,1.51,45.34,397,11.59,No,81.86
Hasson Heights Sch,3.29,0,0,3.29,3.84,0,0.27,0.27,65.21,0.27,44.38,365,16.71,Yes,89.32
Hatboro-Horsham SHS,3.89,0,6.09,5.79,9.02,0.88,0.22,7.77,29.03,1.76,48.75,1364,20.23,No,75
Hatfield El Sch,6.96,0,0.87,4.64,1.45,0,2.03,2.03,34.78,1.45,48.7,345,12.75,Yes,84.06
Haverford MS,5.38,0.06,4.94,5.75,3.44,0.13,0,10.19,18.2,0.63,49.03,1599,17.39,No,80.43
Haverford SHS,4.11,0.2,5.98,6.44,2.84,0.25,0.2,7.96,20.98,0.81,48.81,1973,18.4,No,80.23
Hayshire El Sch,11,0.19,2.51,11.39,25.1,0.97,0.19,0.19,55.41,3.67,47.88,518,10.42,Yes,49.61
Hazle Township Early Learning Center,0.44,0.44,0.44,3.1,86.47,0,0,0,79.16,24.83,52.33,451,7.32,Yes,9.09
Hazleton Area Career Center,0.46,0.15,0.15,2.44,62.4,0,0,0.3,56.47,19.94,46.12,657,17.81,No,34.4
Hazleton Area HS,0.85,0.21,0.53,1.56,60.87,0,0,1.78,60.37,22.99,47.43,3772,12.8,No,35.98
Hazleton El/MS,1.57,0.52,0,1.44,88.64,0,0,0.13,75.85,32.77,51.96,766,9.53,Yes,7.83
Hegins-Hubley El Sch,0.31,0.31,0.31,0.31,1.23,0.62,0,0.31,37.85,0.62,44.92,325,28.31,Yes,97.54
Heights Terrace El/MS,0.19,0.19,0.1,1.36,90.35,0,0,0.29,78.36,30.8,51.85,1026,7.5,Yes,7.8
Heights/Murray El Sch,8.71,0.25,1.12,21.77,53.73,0,0,0,88.18,9.08,50.12,804,11.19,Yes,14.43
Hempfield Area SHS,2.34,0.06,1.87,0.7,1.7,0.59,0.18,8.72,30.49,0.35,49.09,1709,14.16,No,93.15
Hempfield SHS,2.56,0.31,4.31,6.37,16.55,0.04,0,9.06,32.71,2.56,48.27,2229,19.43,No,69.9
Henry Charles W Sch,7.72,1.04,1.25,53.24,3.34,0,0.21,5.01,41.13,0,45.09,479,19.83,Yes,33.19
Hepburn-Lycoming Primary Sch,5.99,0,0,2.82,4.23,0,0,0.7,50.35,0,48.24,284,13.38,Yes,86.97
Hereford El Sch,3.94,0,1.24,1.45,6.43,0.21,0,0.21,38.8,0.62,43.57,482,8.71,Yes,86.93
Hershey Early Childhood Ctr,5.35,0,12.65,7.06,7.3,1.22,0.24,0.49,23.11,2.43,51.34,411,7.06,Yes,67.4
Hershey HS,4.43,0.18,13.2,4.78,8.15,1.24,0.09,6.02,22.67,2.21,49.96,1129,8.95,No,69.18
Hershey Intrmd El Sch,3.59,0.21,16.03,7.81,8.86,1.69,0,3.59,24.68,6.96,49.16,474,15.82,Yes,63.5
Hershey MS,3.13,0.13,14.19,7.03,9.11,1.04,0.26,6.64,24.35,2.73,51.3,768,8.72,No,66.15
Hershey Primary El Sch,2.47,0.45,16.85,4.04,9.44,2.25,0.67,1.57,25.17,5.84,50.79,445,14.61,Yes,66.07
Heston Edward Sch,1.71,0,0.29,94,4,0,0,0.29,91.14,0.86,50.29,350,14,Yes,0
Hickory Grove El Sch,1.33,0.22,1.55,0,0.44,2.66,0,1.77,47.67,1.11,45.68,451,18.63,Yes,96.45
Hickory HS,5.88,0,3.06,7.47,0.24,0.49,0.37,8.08,36.6,0.24,50.43,817,14.81,No,82.99
Highcliff El Sch,7.21,0,0.18,4.25,3.51,0.92,0,3.14,22.55,0,47.87,541,13.86,Yes,84.84
Highland El Sch,15,0,1.25,30.31,3.13,1.25,0.31,0.31,73.13,0.94,42.81,320,26.56,Yes,50
