name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
21st Century Cyber CS,7.02,0.13,2.15,13.59,8.52,3.84,0.2,1.89,17.49,0.52,56.63,1538,16.64,No,68.4
6th Grade Center,5.59,0.33,0.99,3.29,10.2,0,0.33,0.66,32.57,3.29,46.71,304,16.45,No,79.28
A J McMullen Sch,1.89,0.63,0,1.89,0.63,0,0,1.89,77.36,0.63,50.94,159,22.64,Yes,94.97
A L Wilson El Sch,5.31,0,0,1.96,0.56,0,0.56,0,58.1,0,48.04,358,18.44,Yes,91.62
A W Beattie Career Center,3.41,0.35,1.53,4.58,3.29,0.24,0,0.59,36.08,0.59,44.54,851,38.31,No,86.84
ASPIRA Bilingual Cyber CS,0.38,0,1.32,17.77,79.77,0,0,0,62.57,29.3,43.86,529,42.91,Yes,0.76
Abington Heights HS,1.2,0.18,6.93,2.03,4.62,0,0,0.55,18.58,1.48,44.45,1082,17.65,No,85.03
Abington Heights MS,2.24,0,5.65,2.15,4.48,0,0.09,4.75,16.85,1.43,49.73,1116,14.61,Yes,85.39
Abington JHS,6.64,0.1,6.1,19.39,10.71,0.25,0.05,10.26,25.78,1.78,47.35,2017,19.43,Yes,57.02
Abington SHS,5.37,0.2,5.78,20.21,9.67,0.1,0,6.45,25.59,1.79,48.11,1954,20.98,No,58.75
Abraham Lincoln El Sch,4.73,0,7.26,1.26,0.95,0,0.32,0.63,16.72,0.63,50.16,317,11.99,Yes,85.49
Academy Park HS,3.09,0,1.43,78.93,3.84,0,0.08,0.53,82.02,3.76,43.19,1329,18.81,Yes,12.64
Academy at Palumbo,3.58,0.27,35.96,33.72,11.36,0,0,1.34,58.94,6.71,58.14,1118,4.56,Yes,15.12
Academy at Westinghouse,3.98,0.44,0.15,92.34,1.47,0,0,1.47,84.83,0.15,46.1,679,30.78,Yes,1.62
Achievement House CS,2.87,0.77,2.21,25.91,16.1,0,0.44,0,59.76,3.31,55.13,907,28.67,Yes,51.71
Acmetonia El Sch,6.45,0.2,0.2,0.6,3.02,0,0,1.41,39.72,0.4,46.57,496,19.15,Yes,89.52
Ad Prima CS,2.97,0.49,1.15,91.27,3.79,0,0,0.66,100,1.32,51.89,607,17.79,Yes,0.33
Adaire Alexander Sch,4.32,0,2.4,3.84,8.15,0,0,1.92,41.25,0.48,51.56,417,11.51,Yes,81.29
Adams County Technical Institute,1.93,0,0.77,3.47,10.42,0,0,0,16.99,1.93,49.03,259,11.2,No,83.4
Adamstown El Sch,2.24,0.25,3.99,1.25,7.73,1.25,0,1.5,37.66,2.74,50.12,401,13.72,Yes,84.54
Admiral Peary AVTS,0.49,0,0,0.33,0.98,0,0,0,47.46,0,31.1,611,31.26,No,98.2
Afton El Sch,7.01,0,15.87,3.51,6.46,0,0,2.4,10.15,3.69,53.51,542,18.82,No,67.16
Agora Cyber CS,4.09,0.5,1.69,31.03,14.08,0.54,0.23,0,42.88,0.23,50.43,5205,30.64,Yes,48.38
Akron El Sch,7.64,0,1.82,2.91,13.09,0.73,0,1.09,48,2.91,52.36,275,16.36,Yes,74.55
Albert Gallatin Area SHS,4.3,0,0.2,3.6,0.6,0,0,4.1,47.35,0.2,48.85,999,22.72,No,91.29
Albert Gallatin North MS,3.85,0.27,0,5.22,1.37,0.55,0,2.2,52.2,0,53.57,364,23.63,No,89.29
Albert Gallatin South MS,3.84,0.27,0,1.64,0.82,0.27,0,4.38,56.44,0.27,49.86,365,27.4,No,93.42
Alburtis El Sch,5.37,0.28,1.98,3.95,18.93,0,0.28,2.54,29.94,0.85,51.98,354,16.67,Yes,69.21
Aldan El Sch,4.42,1.77,5.75,69.47,5.31,0,0,1.77,53.98,0.44,40.71,226,24.34,Yes,13.27
Aliquippa El Sch,15.71,0,0,63.77,8.13,0,0.18,0,99.08,2.77,48.61,541,19.22,Yes,12.2
Aliquippa JSHS,8.84,0,0,70.74,6.32,0,0,0.63,99.79,2.53,46.74,475,21.89,Yes,14.11
Allegheny-Clarion Valley Elem,0,0,0,0,0.31,0.93,0,0.31,41.67,0,48.46,324,14.2,Yes,99.69
Allegheny-Clarion Valley HS,0.77,0,0,0,0,0,0,1.54,35.77,0,47.69,260,16.92,No,99.23
Allen Dr Ethel Sch,1.79,0.26,0,96.68,0.77,0,0,0,93.37,0,52.55,392,12.76,Yes,0.51
Allen Ethan Sch,4.81,0,8.65,27.4,47.96,0,0.48,0,76.92,36.54,47.6,832,9.74,Yes,10.7
Allen MS,4.69,0,2.35,5.12,10.45,2.35,0,4.05,31.98,3.41,47.55,469,20.68,No,77.4
Alliance for Progress CS,2.3,0.18,0,95.39,1.24,0,0.18,0,86.17,0,52.84,564,16.13,Yes,0.71
Allison Park El Sch,10.86,0,0.6,2.41,3.02,0,0,0.6,25.94,1.66,47.81,663,15.84,Yes,83.11
Alloway Creek El Sch,3.44,0.12,0.71,1.3,4.5,1.18,0.12,0.95,39.69,0.71,48.93,844,9.6,Yes,89.81
Altoona Area HS,0.81,0.22,0.76,9.67,2.11,0.18,0.04,2.16,56.21,0.31,48.07,2224,22.44,No,86.38
Altoona Area Jr HS,1.04,0.12,0.58,11.1,2.54,0.46,0,1.56,65.72,0.35,49.19,1730,25.95,No,84.62
Amanda E Stout El Sch,2.42,0,0,7.27,86.99,0.13,0.13,0.26,96.68,29.46,48.47,784,17.35,Yes,3.19
Ambridge Area HS,5.24,0,0.57,16.71,2.69,0.99,0,1.7,52.12,1.56,46.6,706,20.96,Yes,74.79
Ambridge Area MS,6.09,0,0.59,18.07,3.93,1.18,0,0.59,52.46,1.77,47.15,509,21.41,Yes,71.32
Amos K Hutchinson El Sch,14.16,0,0,6.81,4.84,0,0,1.08,14.87,0.18,48.92,558,18.46,Yes,74.19
Amosland El Sch,4.6,0.23,5.98,14.94,3.91,0.92,0,1.15,35.86,1.38,49.89,435,13.1,No,70.34
Amy At Martin,9.5,0,1.48,29.97,29.67,0,0,0,85.16,2.97,45.1,337,24.04,Yes,29.38
Amy NW,3.36,0,2.52,82.77,6.72,0,0.42,0.84,76.05,0.42,57.98,238,8.4,Yes,4.2
Anderson Add B Sch,1.68,0.24,0,95.68,1.68,0,0.24,0,88.73,1.68,51.8,417,15.11,Yes,0.48
Andrew Maier El Sch,0.44,0,0.88,3.08,18.06,0.88,0,1.76,29.52,0.88,48.02,227,15.42,Yes,77.53
Annville Cleona HS,0.86,0,2.59,1.51,8.84,0.43,0.22,7.76,32.11,2.8,47.63,464,17.03,No,85.99
Annville El Sch,3.91,0.24,3.67,0.73,12.22,0,0.24,4.4,34.96,3.42,47.68,409,18.34,Yes,78.97
Annville-Cleona MS,2.67,0.44,2.22,0.89,9.78,0.89,0,6.67,33.33,2.22,45.78,225,12.89,No,84
Antietam MS/HS,4.39,0,0.73,6.03,41.13,1.28,0,6.22,54.3,7.31,46.62,547,25.05,No,47.71
Antonia Pantoja Community CS,0.88,0,0,1.76,97.21,0,0,0,75.51,12.9,48.83,682,27.71,Yes,0.15
Apollo-Ridge Elem Sch,4.46,0.19,0.19,0.58,1.16,0.39,0,0.58,63.57,0,44.38,516,17.25,Yes,93.41
Apollo-Ridge HS,5.41,0.96,0.96,0.32,0.32,0.32,0,3.82,50.64,0,45.86,314,16.56,No,92.04
Apollo-Ridge MS,4.58,0.7,0.35,1.06,0.35,0,0,1.76,67.61,0,48.24,284,19.72,No,92.96
Appleman El Sch,3.27,0,0.3,0.3,2.38,0,0,2.38,33.04,0.3,53.57,336,18.75,Yes,93.75
Arcola Intrmd Sch,6.61,0,13.49,6.49,6.74,0.39,0,7.65,18.81,1.3,50.97,771,18.16,Yes,66.67
Ardmore Avenue Sch,4.45,0.77,2.13,72.34,11.61,0,0,0.58,55.51,12.19,49.52,517,12.77,Yes,8.7
Arlington Heights El Sch,6.33,0,6.33,16.46,35.44,0,0,1.27,57.81,7.17,53.59,237,15.19,Yes,35.44
Armstrong JSHS,0.25,0.12,0.25,2,1.06,0.37,0,5.06,45.76,0.25,50.81,1602,20.35,No,96.32
Aronimink El Sch,7.49,0,9.74,44.94,7.87,0,0,3.37,44.94,3.75,49.81,267,13.48,No,29.96
Arrowhead El Sch,4.61,0.24,14.08,1.46,4.85,0.24,0,2.43,12.14,5.1,45.87,412,12.14,No,74.76
Arthur Chester A Sch,5.8,0,5.07,44.57,4.71,0,0,2.17,46.38,0.36,47.83,276,21.38,Yes,39.86
Arthur Street El Sch,0.49,0,0,2.46,86,0,0.25,0.25,79.36,27.27,47.42,407,4.91,Yes,10.81
Artman El Sch,10.07,0,1.19,8.53,0.17,0,0,0.85,47.1,0.17,48.29,586,10.75,Yes,80.03
Arts Academy CS,5.57,0.29,1.47,17.6,45.16,0,0,0,52.2,3.23,73.02,341,15.54,Yes,29.91
Arts Academy Elementary CS,3.9,0,0.24,21.46,64.39,2.2,0,0,81.71,21.46,57.56,410,14.39,Yes,10
Arts Academy at Benjamin Rush,4.88,0,8.03,19.53,17.48,0,0.31,3.78,44.25,2.2,78.43,635,8.35,Yes,49.76
Asa Packer El Sch,1.79,0,2.68,8.33,21.73,0,0,1.49,27.38,5.65,50.6,336,11.31,No,65.48
Asbury El Sch,5.33,0.38,3.62,2.29,3.62,0.95,0,2.67,29.33,0.76,51.62,525,13.9,No,84.76
Aston El Sch,5.07,0,1.54,5.07,6.61,0,0,0.88,28.85,1.1,49.34,454,11.89,No,81.72
Athens Area HS,1.5,0,1.35,0.9,1.65,0.3,0.15,3.14,41.92,0.3,45.21,668,21.26,No,94.46
Audrielle Lynch-Ellen Bustin El Sch,3.58,0,0.94,1.51,2.82,0,0.19,1.13,37.1,1.51,48.96,531,17.7,Yes,90.96
Austin Area El Sch,1.1,0,0,0,0,0,0,1.1,51.65,0,37.36,91,16.48,Yes,98.9
Austin Area JSHS,0,0,0,0,2.35,0,1.18,1.18,49.41,1.18,45.88,85,29.41,Yes,96.47
Avalon El Sch,15.06,2.09,0,16.74,2.09,0,0.84,1.26,63.18,0,47.28,239,20.5,Yes,63.18
Avella Area JSHS,0.44,0,0,0,0.44,0,0,6.55,36.68,0,44.54,229,17.03,No,99.13
Avella El Center,1.96,0,0,0.39,0.39,0.78,0,1.57,40.78,0,50.2,255,21.57,Yes,97.25
Avis El Sch,4.37,0.55,0,2.19,2.73,0,0,0,41.53,0,47.54,183,13.66,Yes,90.16
Avon Grove CS,4.25,0.16,2.15,6.2,16.44,1.94,0.05,0,32.04,1.16,50.79,1904,16.33,Yes,70.75
Avon Grove HS,2.71,0,2.42,1.9,26.63,0.17,0,3.05,29.57,5.42,47.26,1735,13.26,No,66.34
Avon Grove Intrmd Sch,1.89,0.14,1.68,1.26,27.1,0.7,0,2.66,29.83,9.73,47.27,1428,12.75,No,67.93
Avona El Sch,9.55,0,4.55,7.27,37.73,0,0,0.45,55.91,18.18,43.18,220,10,Yes,40.91
Avonworth El Sch,5.32,0,2.33,1.83,0.83,0,0,8.47,13.62,0.5,47.67,602,18.6,No,89.7
Avonworth HS,2.06,0,2.81,2.25,3.56,0,0.19,15.54,14.61,0.37,47.75,534,16.85,No,89.14
Avonworth MS,3.83,0,2.09,1.74,2.09,0,0,17.77,16.03,0.7,45.64,287,17.77,No,90.24
Avonworth Primary Center,5.33,0,1.92,2.13,1.28,0,0,1.49,14.07,0.85,47.76,469,10.45,Yes,89.34
B F Morey El Sch,1.49,0,3.47,24.26,32.18,0,0.99,2.48,60.89,8.91,51.49,202,11.88,Yes,37.62
Bache-Martin Sch,4.42,0,2.95,49.47,13.05,0,0.21,0.42,59.37,6.32,46.53,475,31.37,Yes,29.89
Baden Academy CS,15.63,0,0.18,23.09,2.31,0,0,0.53,55.42,0,55.6,563,19.72,Yes,58.79
Baggaley El Sch,2.9,0.39,0,0.58,0.97,0.58,0.19,1.54,41.12,0,49.81,518,16.02,Yes,94.98
Bainbridge El Sch,2.87,0,0.57,2.3,0.57,0,0,0.57,28.16,0,37.93,174,13.79,No,93.68
Baker El Sch,4.47,0,1.03,5.5,2.75,0.34,0.34,2.75,46.39,0,52.58,291,15.81,Yes,85.91
Bala-Cynwyd MS,8.17,0,12.99,9.45,4.92,0.3,0,19.98,11.52,1.18,49.8,1016,18.8,No,64.47
Bald Eagle Area JSHS,0.71,0.35,0.47,1.54,0.95,0.24,0.24,2.84,37.12,0.12,48.35,846,17.49,No,95.74
Baldi C C A MS,6.16,0.21,24.69,13.82,9.3,0,0.34,2.67,56.98,28.04,48.02,1462,12.52,Yes,45.49
Baldwin SHS,3.89,0.1,14.74,5.2,1.46,0.25,0.15,5.45,38.06,5.55,49.42,1981,11.41,No,74.46
Bancroft El Sch,1.75,0,3,0.5,53.75,0,0,0.5,46.5,24.25,49,400,10.5,Yes,41
Bangor Area HS,3.51,0.33,0.99,2.2,7.14,0.11,0.11,2.74,38.53,0.99,48.08,911,21.51,No,85.73
Bangor Area MS,4.04,0.67,0.67,1.12,9.19,0.22,0,3.14,41.93,1.12,48.21,446,19.96,Yes,84.3
Barclay El Sch,2.88,0,8.92,2.45,27.34,0.14,0,2.73,25.61,17.84,52.37,695,10.94,Yes,58.42
Baresville El Sch,5.03,0.39,1.55,2.9,6.38,1.55,0.19,0.97,41.78,1.55,47.39,517,10.83,Yes,83.56
Barkley El Sch,5.31,0.31,0.31,8.13,43.44,0,0,3.44,58.13,30,50.94,320,15.31,Yes,42.5
Baron EL Sch,2.11,0,0.6,0.9,15.96,0,0.3,1.81,46.99,0.3,50.6,332,12.65,Yes,80.12
Barrett El Sch,10.14,0,0.92,75.58,3.69,0,0,0,89.4,1.84,50.69,217,23.04,Yes,9.68
Barry Comm John Sch,1.03,0.21,0.21,93.62,4.12,0,0.21,0,92.39,1.23,47.94,486,23.46,Yes,0.62
Bart-Colerain El Sch,2.54,0,0,0,9.14,1.02,0,3.55,42.64,3.55,43.65,197,14.72,Yes,88.32
Barth El Sch,18.3,0.33,0.65,40.52,19.28,0,0.65,0,80.07,1.96,50.65,306,15.36,Yes,20.26
Barton Clara Sch,2.78,0,3.38,19.09,71.17,0,0.2,0,84.89,30.02,45.33,503,13.92,Yes,3.38
Bartram John - Main,2.45,0.2,3.27,83.03,10.22,0,0,0.61,79.96,16.56,44.99,489,29.45,Yes,0.82
Bear Creek Community CS,7.2,0.19,0.78,8.17,7.59,0,0.39,1.56,48.83,1.36,52.92,514,20.62,Yes,75.68
Bear Creek School,4.5,0.12,3.28,2.79,5.1,0.97,0,7.65,35.12,3.04,48.12,823,18.59,Yes,84.2
Beaty-Warren MS,2.84,0.15,0.15,0.3,0.9,0.3,0,4.33,52.47,0.15,47.68,669,25.11,No,95.67
Beaumont El Sch,7.1,0.22,21.29,2.8,3.01,0.86,0,10.32,3.66,5.16,50.11,465,11.18,No,65.59
Beaver Area MS,1.03,0,1.71,1.37,1.03,2.05,0,3.77,22.95,0.34,52.74,292,9.59,No,94.86
Beaver Area SHS,1.47,0.29,1.61,1.76,2.49,0.59,0,2.79,25.37,0.15,47.95,682,13.78,No,92.38
Beaver County CTC,4.13,0.32,0.16,8.11,1.75,0,0.16,0.16,44.99,0,40.86,629,38,No,85.37
Beaver Creek El Sch,4.82,0,11.75,3.66,5.97,0,0.19,1.54,17.53,3.08,52.02,519,14.64,Yes,73.6
Beaver Falls Area SHS,19.66,0.42,0.42,24.52,3.59,2.33,0,5.92,74.63,1.48,50.95,473,21.99,Yes,51.37
Beaver Falls MS,21.13,0.26,0.26,22.16,2.84,0.77,0,2.84,80.67,1.29,52.06,388,23.45,Yes,53.35
Beaver-Main El Sch,0,0,0.96,0,0,0,0,0.96,36.54,0.96,43.27,104,11.54,Yes,99.04
Bedford County Technical Center,1.72,0,0,1.03,1.03,0,0,0,47.77,0,42.61,291,28.18,No,96.22
Bedford El Sch,1.81,0.26,1.03,1.55,1.42,0,0,1.42,48.9,0.65,47.74,775,17.03,Yes,93.94
Bedford MS,1.32,0,0.53,0.53,1.58,0,0.26,1.05,46.84,0,52.37,380,16.84,No,95.79
Bedford SHS,1.43,0,0.18,0.89,1.79,0,0,0.54,43.83,0.36,47.76,559,15.38,No,95.71
Bedminster El Sch,5.74,0,1.44,0.96,6.46,0,0,3.11,21.29,0.72,48.33,418,16.27,No,85.41
Bell Avenue School,4.64,0.71,0.36,89.64,3.93,0,0,0,61.79,0,54.64,280,8.57,Yes,0.71
Bellaire El Sch,12.41,0.25,5.71,12.9,15.14,6.95,0,0.25,42.93,11.91,45.91,403,11.41,No,53.6
Belle Valley El Sch,8.16,0,11.39,3.74,2.72,1.53,0,1.53,48.64,9.01,47.96,588,17.52,Yes,73.98
Belle Vernon Area HS,4.32,0.13,0.92,1.83,2.88,0.26,0,3.66,30.76,0.39,48.69,764,12.96,No,89.92
Belle Vernon Area MS,4.02,0,2.3,3.74,4.6,0.86,0,1.44,39.37,0.57,48.85,348,14.08,No,85.34
Bellefonte Area HS,2.91,0.22,1.01,1.01,2.01,0,0,3.47,25.06,1.23,51.68,894,18.79,No,92.84
Bellefonte Area MS,4.18,0.5,0.33,0.67,2.34,0,0,2.17,25.25,1,49,598,18.9,No,91.97
Bellefonte El Sch,2.69,0.3,0,2.69,5.09,0.3,0,0.3,33.23,0.9,47.6,334,23.35,Yes,89.22
Bellevue El Sch,8.13,0,2.41,21.39,6.63,0,0.3,0.9,65.96,2.41,47.29,332,22.29,Yes,61.14
Bellwood Antis MS,0.75,0.25,0.25,0.75,0.75,0,0,0.25,39.45,0,47.24,398,21.36,No,97.24
Bellwood-Antis HS,1.27,0.25,0.76,0.76,1.27,0,0,2.03,37.22,0,43.8,395,15.7,No,95.7
Belmont CS,0.13,0,0.39,96.79,2.44,0,0.13,0,85.35,1.29,46.66,778,25.84,Yes,0.13
Belmont Hills El Sch,3.27,0.36,11.8,12.34,13.07,0,0.18,1.09,50.64,7.99,45.74,551,23.41,No,58.98
Ben Franklin El Sch,8.25,0,0.75,3.5,2.25,1.5,0,0,48.5,4.25,50,400,10.5,Yes,85.25
Ben Franklin Sch,8.65,0,0.84,18.99,5.06,0,0.63,0.63,88.19,1.48,49.37,474,18.14,Yes,65.82
Benjamin Chambers El Sch,10.46,0.38,0.19,11.6,48.86,0.76,0.19,0,74.52,24.9,51.14,526,9.32,Yes,28.33
Benjamin Franklin El Sch,4.92,0,5.85,3.69,2.77,0,0,0.92,17.23,0.62,44.31,325,18.77,Yes,82.77
Benjamin Franklin Sch,6.19,0,2.21,59.79,27.98,0,0,0,95.29,13.4,49.48,679,16.05,Yes,3.83
Benjamin Rush El Sch,6.8,0.24,9.22,22.33,38.83,0,0,0.49,73.54,22.57,44.42,412,14.08,Yes,22.57
Benner El Sch,0.95,0,0.95,0.47,0.47,0.95,0,0,13.27,0.95,44.55,211,11.85,No,97.16
Bennetts Valley El Sch,4.76,0,0,0,1.19,0,0,0,51.19,0,44.05,84,28.57,Yes,94.05
Bensalem Twp HS,2.28,0.3,15.98,13.75,18.76,0.05,0.15,5.41,48.54,7.3,50.32,2015,23.97,No,48.78
Benton Area HS,0.54,0.54,1.08,0.54,1.61,0,0,6.99,27.96,0.54,50.54,186,16.13,No,95.7
Benton Area MS,1.77,0.88,0,2.65,0,0.88,0,6.19,41.59,0,50.44,113,21.24,No,94.69
Bentworth El Ctr,6.88,0,0.26,1.59,0.53,0,0,0,55.56,0,48.68,378,16.67,Yes,90.74
Bentworth MS,1.73,0,0.29,1.44,0.58,0,0,0.29,48.7,0,49.28,347,19.31,No,95.97
Bentworth SHS,4.94,0.29,0.29,0.58,1.16,0,0,1.16,45.35,0,49.71,344,18.02,No,92.73
Berkey Sch,26.82,0.33,0.66,30.46,3.97,0,0,0,61.59,0.66,55.3,302,16.89,Yes,37.75
Berks CTC-East Campus,1.72,0,0.22,2.26,7.33,0,0,0,7.65,0,32.33,928,41.16,No,88.47
Berks CTC-West Campus,1.94,0.65,0.9,4.26,13.42,0.13,0.13,0.13,9.55,0,46.06,775,32.39,No,78.71
Berlin Brothersvalley El Sch,3.11,0,0,0,1.04,0,0,0,36.68,0.35,50.17,289,19.38,Yes,95.85
Berlin Brothersvalley MS,1.79,0,0,0,0.9,0,0,1.35,42.15,0,53.36,223,13.45,No,97.31
Berlin Brothersvalley SHS,2.42,0,0,0,0,0,0,1.45,38.16,0.48,49.76,207,14.98,No,97.58
Bermudian Springs El Sch,4.88,0,0.7,0.35,13.41,0,0.17,0.87,41.46,5.23,48.43,574,11.85,Yes,80.49
Bermudian Springs HS,1.94,0,0.16,0.48,17.12,0,0,4.2,33.93,2.91,48.14,619,8.56,No,80.29
Bermudian Springs MS,4.05,0,0,1.06,16.55,0,0,1.94,38.91,3.87,52.99,568,10.74,Yes,78.35
Berwick Area HS,1.12,0,0.42,2.23,11.85,0.28,0,3.21,49.37,2.09,47.56,717,20.08,No,84.38
Berwick Area MS,2.93,0,0.23,2.23,10.67,0.23,0,2.46,52.99,1.99,49.36,853,23.09,No,83.94
Bethel El Sch,2.33,0,1.66,0.66,15.61,0.33,0,0.33,49.5,4.65,49.5,301,21.59,Yes,79.73
Bethel Memorial El Sch,4.31,0,8.62,0.62,2.46,0,0.31,0,13.23,6.46,45.85,325,16,Yes,83.69
Bethel Park HS,0.91,0.3,2.97,3.5,0.68,0,0.08,6.16,16.5,0.38,49.43,1315,17.11,No,91.56
Bethel Springs El Sch,5.02,0.44,24.02,1.53,2.62,0,0,7.42,10.92,1.97,48.03,458,19.21,No,66.38
Bethlehem AVTS,0.52,0.44,0.87,10.12,29.32,0,0.52,0.7,42.93,2.62,36.3,1146,31.76,No,58.2
Bethlehem-Center El Sch,3.02,0,0.23,2.55,0,1.86,0,0.7,61.25,0,46.87,431,25.29,Yes,94.2
Bethlehem-Center MS,3.33,0,0,1.67,0.42,0,0,0.42,53.75,0,50.42,240,25.42,No,94.58
Bethlehem-Center SHS,2.79,0,0,2.17,0.62,0,0,1.24,47.99,0,47.68,323,20.74,No,94.43
Bethune Mary McLeod Sch,2.25,0,0,75.46,21.27,0,0.2,0,90.59,8.59,48.88,489,12.07,Yes,0.82
Beverly Hills MS,2.73,0.06,21.57,53.93,17.28,0,0.19,2.53,72.32,18,50.16,1539,15.79,Yes,4.22
Big Beaver El Sch,16.93,0,0.31,8.15,8.15,0,0,1.57,63.32,1.88,49.22,319,22.88,Yes,66.46
Big Spring HS,3.03,0,0.63,1.01,2.4,0.25,0,5.94,37.04,0.38,46.65,791,24.15,No,92.92
Big Spring MS,2.56,0,0.17,1.37,2.05,0,0,3.42,40,0.34,48.38,585,28.21,No,93.85
Biglerville El Sch,2.48,0.23,0,0.68,28.67,0,0.23,0,51.24,18.74,49.66,443,14.22,Yes,67.72
Biglerville HS,1.09,0,0.36,1.09,30.42,0.36,0.73,6.01,38.07,10.75,47.72,549,17.49,No,66.3
Blackhawk HS,3.16,0,0.53,1.45,1.45,4.08,0,5.8,25.82,0,50.33,759,16.73,No,93.41
Blackhawk Intermediate Sch,3.76,0.29,0.43,1.3,3.47,3.47,0,0.43,30.78,0.29,52.6,692,13.58,Yes,90.75
Blacklick Valley El Ctr,2.94,0,0,0.33,0.65,2.29,0,0,55.88,0,45.75,306,19.28,Yes,96.08
Blacklick Valley JSHS,1.63,0,0,0,0,0.98,0,2.29,44.12,0,47.06,306,21.57,No,98.37
Blain El Sch,3.53,0,0.39,0,5.1,1.18,0,0.39,47.84,0,49.8,255,17.65,Yes,90.98
Blaine James G Sch,1.62,0,0,90.57,6.47,0,0,0,90.84,0.54,44.74,371,32.35,Yes,1.35
Blair Mill El Sch,6.53,0.26,8.09,8.09,16.45,1.31,0,1.83,43.6,8.36,48.3,383,13.32,Yes,60.57
Blairsville El Sch,4.75,0.48,0.48,2.38,2.14,0,0,0.24,56.06,0,48.69,421,17.58,Yes,89.79
Blankenburg Rudolph Sch,2.42,0,0.3,92.15,5.14,0,0,0,86.71,1.51,47.73,331,23.56,Yes,0
Bloomsburg Area HS,3.22,0.23,2.3,3.68,7.13,0,0,2.76,38.39,0.92,50.8,435,10.57,No,83.45
Bloomsburg Area MS,7.76,0,1.44,2.59,7.18,0,0.57,0.86,41.38,0.86,43.97,348,17.82,Yes,80.46
Blossburg El Sch,0.46,0.46,0,1.83,1.83,0.92,0,0.46,58.26,0,47.25,218,24.77,Yes,95.41
Blue Ball El Sch,3.02,0.23,1.86,2.56,6.98,0.7,0,1.86,44.65,0.47,48.84,430,20,Yes,85.35
Blue Bell El Sch,7.92,0,11.49,10.5,2.77,0,0,3.76,13.86,0.59,45.94,505,17.03,No,67.33
Blue Mountain El Cressona Sch,3.06,0,0.87,0.87,5.24,0.87,0.44,2.18,36.24,0,48.47,229,21.4,Yes,89.52
Blue Mountain El East Sch,2.85,0.16,0.79,1.11,5.06,1.42,0,1.74,25.79,1.11,47.15,632,20.41,Yes,90.03
Blue Mountain HS,1.51,0,1.38,0.88,4.4,0.13,0,4.15,28.18,0.25,48.81,795,20.38,No,91.82
Blue Mountain MS,3.2,0,1.01,0.67,3.87,1.35,0,3.87,30.81,0,44.95,594,24.41,No,91.25
Blue Mountain West/St. Ambrose Sch,1,0,0,1,4.98,0,0,0,24.38,0,50.25,201,11.94,Yes,93.03
Blue Ridge El Sch,2.11,0,0.21,1.05,4.85,1.69,0,0.21,0,1.27,47.89,474,14.56,Yes,91.77
Blue Ridge HS,1.42,0.35,1.06,0.71,3.9,0,0,1.06,30.85,1.06,48.94,282,19.5,No,92.55
Blue Ridge MS,1.29,0,0.43,0.43,3,0.43,0,1.29,27.9,0.43,51.07,233,25.75,No,94.85
Bobtown El Sch,0.32,0,0,1.92,0,0,0,0.64,64.42,0,45.51,312,18.91,Yes,97.76
Bodine William W HS,6.44,0,12.87,49.34,22.11,0,0.17,0.33,68.32,6.77,60.56,606,6.77,Yes,9.08
Boiling Springs HS,3.87,0.29,2.72,1.58,1.86,2.44,0.14,4.3,25.5,2.29,46.85,698,18.34,No,89.54
Bon Air El Sch,4.75,0,0.4,1.58,1.98,0,0.2,0,38.42,0,51.49,505,11.68,Yes,91.09
Bon Meade El Sch,6.1,0,5.23,4.01,2.44,2.61,0,1.22,15.68,1.74,48.61,574,12.72,No,82.23
Boothwyn El Sch,7,0.39,6.61,18.29,8.95,0,0,0,36.58,3.11,47.08,257,21.01,No,58.75
Borland Manor El Sch,4.14,0,3.01,2.26,2.26,0.38,0,0.38,19.92,1.5,45.86,266,19.92,No,88.35
Bower Hill El Sch,2.95,0.15,3.25,0.89,2.51,2.51,0,2.07,2.36,0.89,47.27,677,9.01,No,90.25
Boyce MS,4.9,0.17,12.84,1.35,3.04,0.84,0,12.67,9.12,2.7,49.49,592,13.34,No,77.7
Boyertown Area MS-East,2.59,0,1.62,4.31,4.53,0,0.11,5.93,25.97,0,49.89,928,22.2,No,86.85
Boyertown Area MS-West,2.65,0,1.26,3.07,5.86,0,0,4.74,37.52,0.56,44.91,717,24.83,Yes,87.17
Boyertown Area SHS,2.07,0.05,1.38,2.71,4.74,0,0.05,5.98,29.62,0.28,48.85,2174,20.42,No,89.01
Boyertown El Sch,3.76,0,3.11,2.95,7.53,0,0.16,1.96,34.04,3.6,49.1,611,18,Yes,82.49
Boys Latin of Philadelphia CS,0.13,0,0,98.59,1.28,0.13,0,0,72.12,0,0,782,25.58,Yes,0
Bradford Area HS,2.3,0.54,0.41,1.35,2.84,0,0.27,3.92,59.54,0.95,50.07,739,15.16,No,92.29
Bradford Hgts El Sch,5.39,0,3.72,4.28,9.11,0,0,0.74,16.73,4.28,51.12,538,15.99,Yes,77.51
Bradford Woods El Sch,2.71,0.27,13.82,0.81,4.07,0,0,6.5,6.23,0.27,45.26,369,13.28,No,78.32
