name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,homeless_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
Albert Gallatin Area SHS,4.7,0.0,0.1,3.6,0.9,0.6,0.2,0.0,4.4,54.7,0.1,51.5,965,25.1,No,90.7
Albert Gallatin North MS,5.4,0.3,0.0,4.9,1.1,0.3,0.5,0.0,0.5,55.3,0.0,46.6,371,26.7,No,88.4
Albert Gallatin South MS,5.5,0.3,0.3,4.0,1.2,0.9,0.9,0.0,5.2,57.5,0.0,49.5,327,30.3,No,88.7
Friendship Hill El Sch,3.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.9,70.3,0.0,52.5,158,30.4,Yes,96.2
George J Plava El Sch,7.4,0.0,0.0,4.5,0.7,1.0,0.0,0.0,0.7,63.6,0.0,47.7,310,30.7,Yes,87.4
Masontown El Sch,8.0,0.4,0.0,6.1,1.1,1.5,0.0,0.0,0.8,72.2,0.0,51.7,263,27.4,Yes,84.4
Smithfield El Sch,1.3,0.0,0.0,0.0,0.0,0.9,0.0,0.0,2.2,54.6,0.0,46.3,229,27.5,Yes,98.7
Brownsville Area HS,12.7,0.5,0.0,6.4,1.9,2.6,0.0,0.0,2.4,63.1,0.2,48.7,425,27.1,No,78.6
Brownsville Area MS,8.0,0.0,0.6,7.7,2.3,0.0,0.0,0.0,2.0,71.4,0.3,49.9,349,22.9,No,81.4
Bullskin El Sch,1.4,0.2,0.0,0.9,2.1,0.9,0.2,0.0,0.0,54.0,0.7,51.3,439,21.4,Yes,95.4
Connellsville Area SHS,3.3,0.4,0.3,2.1,1.2,1.1,0.1,0.0,2.6,33.0,0.2,49.1,1117,22.7,No,92.8
Connellsville Area MS,4.1,0.1,0.2,2.0,1.6,1.1,0.1,0.0,0.0,52.2,0.2,46.7,933,27.1,No,92.0
Dunbar Twp El Sch,4.7,0.2,0.2,1.6,1.2,0.9,0.0,0.0,0.0,60.2,0.0,45.1,570,32.3,Yes,92.1
Springfield El Sch,0.7,0.0,0.0,0.0,0.3,1.9,0.0,0.0,0.0,62.8,0.0,44.3,309,25.9,Yes,99.0
West Crawford El Sch,7.0,0.0,0.4,3.9,1.7,2.7,0.0,0.0,0.0,74.0,0.0,48.1,484,26.2,Yes,87.0
Frazier HS,2.2,0.0,0.6,0.6,1.9,1.0,0.0,0.0,1.6,48.4,0.0,48.1,316,14.2,No,94.6
Frazier MS,1.3,0.0,1.3,0.9,1.3,0.9,0.0,0.0,0.0,53.0,1.3,44.9,234,18.4,No,95.3
Frazier El Sch,5.0,0.0,0.2,0.2,0.9,1.5,0.0,0.0,0.2,57.4,0.2,45.9,458,18.6,Yes,93.7
Clark El Sch,10.0,0.6,0.3,5.5,1.3,1.9,0.0,1.0,1.6,53.1,0.6,49.2,311,27.0,Yes,81.4
Hatfield El Sch,6.2,0.0,1.6,6.2,2.5,0.6,0.0,1.6,2.2,36.2,0.3,47.1,323,16.1,Yes,82.0
