name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,homeless_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
21st Century Cyber CS,5.3,0.2,1.5,9.6,6.7,,,0,2.5,14,0.1,63.1,1039,14.6,No,76.6
6th Grade Center,4,0,3.8,2.1,8.7,,,0.2,1.9,30.4,2.4,48.5,425,4.7,No,81.2
A J McMullen Sch,0.6,0,0,0.6,0.6,,,0,2.4,46.6,0,45.4,163,17.8,Yes,98.2
A L Wilson El Sch,1.7,0,0.6,1.7,0.8,,,0,2.5,51.4,0,52,358,14.5,Yes,95.2
A W Beattie Career Center,2.5,0.5,1.2,4.9,1.7,,,1.5,0.1,40.2,1.5,46.3,749,0.4,No,87.6
ACT Academy Cyber CS,1.9,1,0,89.4,2.9,,,0,0,30.8,0,45.2,104,29.8,Yes,4.8
ASPIRA Bilingual Cyber Charter School,1.2,0,1.2,20.3,75.5,,,0,0,67.8,19.5,49.8,261,52.9,Yes,1.9
Abington Heights HS,0.5,0.2,3.2,1.5,1.7,,,0,1.8,17.5,0.4,48,1048,10.5,No,92.8
Abington Heights MS,1.2,0.2,6.7,1.7,4.2,,,0,3.6,22.3,1.4,45.2,1099,11.7,Yes,86
Abington JHS,4.6,0.3,4.8,19.8,7.1,,,0,8.9,23.2,1.1,49,1928,18.1,No,63.4
Abington SHS,4.6,0.1,4.8,21.1,7.2,,,0.1,2,23.2,2.2,47.1,1781,16.6,No,62.3
Abraham Lincoln El Sch,3.3,0,3.3,2.2,0.7,,,0.4,2.2,17,0,49.8,271,15.5,Yes,90
Academy Park HS,2.4,0,1.6,75.2,2.9,,,0,1.2,78.2,3.1,46.3,1275,19.8,Yes,17.8
Academy at Palumbo,5,0.4,28.2,42.8,10.7,,,0,2.7,  -  -,3.2,57.1,916,3.2,Yes,12.9
Academy at Westinghouse,1.2,0.4,0,96.8,0.3,,,0,1,86.9,0,50.4,687,25.6,Yes,1.3
Achievement House CS,6.5,0.4,0,19.9,19,,,0.4,0,67.6,4.7,53.2,447,37.8,Yes,53.7
Acmetonia El Sch,2.3,0,0.4,0.4,1.9,,,0,1.1,55.6,0.4,41,266,19.9,Yes,95.1
Ad Prima CS,7,0.3,0.8,79,10.4,,,0,0,65,3.9,53,589,10.7,Yes,2.6
Adaire Alexander Sch,8,0,1.2,3.4,5.7,,,0,0,  -  -,0.6,49,349,10.6,Yes,81.7
Adamstown El Sch,2.9,0,3.6,3.4,5.1,,,0,0.7,34.3,1,48.2,411,13.6,Yes,84.9
Admiral Peary AVTS,0.2,0,0,1.3,0,,,0,0,61,0,30.3,544,0.4,No,98.5
Afton El Sch,5.7,0.2,11.1,2.7,3.5,,,0,5.6,9.4,1.7,51.3,595,15.3,No,76.8
Agora Cyber CS,1.5,0.5,1.2,29.5,9.5,,,0.1,0,72.4,0.3,51.4,6022,27.5,Yes,57.6
Akron El Sch,5.4,0,2.4,2,5.7,,,0,2.4,46.6,1,55.1,296,14.5,Yes,84.5
Albert Gallatin Area SHS,2,0.1,0.1,4,0.6,,,0.3,3,48.6,0,47.5,1073,16.4,No,92.9
Albert Gallatin North MS,3.4,0,0.2,2.7,0.7,,,0,3.2,54.9,0,51.5,406,20.7,No,92.9
Albert Gallatin South MS,3.2,0,0.3,3,0.5,,,0,2.7,55.8,0.3,42.9,371,26.1,No,93
Alburtis El Sch,4.4,0,2.1,1.5,18.2,,,0,1.8,33.5,3.2,48.8,340,16.2,Yes,73.8
Aldan El Sch,3.8,0.8,2.1,71.7,2.1,,,0,0,96.2,0,47.3,237,25.3,Yes,19.4
Aliquippa El Sch,10.2,0,0,69.1,2.4,,,0,0,99.8,0.5,50.2,596,20.5,Yes,18.3
Aliquippa JSHS,5.3,0,0.2,74.3,3.1,,,0,0,100,0.9,52.5,455,19.1,Yes,17.1
Allegheny-Clarion Valley Elem,1.6,0,0,0,0,,,0,1.1,53.3,0,46.4,379,20.8,Yes,98.4
Allegheny-Clarion Valley HS,1.2,0,0.3,0.3,1.2,,,0.3,3.4,40.1,0,52.2,322,16.1,No,96.6
Allen Dr Ethel Sch,3.3,0,0,91.1,3.6,,,0,0,  -  -,0.7,49.1,450,11.1,Yes,2
Allen Ethan Sch,11.9,0.2,11.6,32.6,31.4,,,0.2,0,  -  -,21.2,48.7,952,13.6,Yes,12.2
Allen MS,2.8,0.2,1.5,3.7,11.7,,,0,4.4,27.5,3.3,49.4,539,16,No,80.2
Alliance for Progress CS,2.8,0.2,0,94.7,1.9,,,0,0,67.5,0,54.5,468,12.6,Yes,0.4
