name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
21st Century Cyber CS,7.27,0.28,1.88,10.43,9.27,3.64,0.08,3.64,12.03,0.32,57.05,2503,13.62,No,70.8
6th Grade Center,6.55,0,2.28,1.99,11.97,0,0.28,0.28,37.32,3.42,50.71,351,19.66,No,76.92
A J McMullen Sch,1.41,1.41,0,1.41,0.7,0,0,0,87.32,0.7,48.59,142,23.24,Yes,95.07
A L Wilson El Sch,6.08,0.28,0,1.66,0.55,0,0.55,0.28,55.52,0,48.9,362,16.02,Yes,90.88
A W Beattie Career Center,3.65,0.24,1.46,3.04,2.92,0.12,0,1.09,37.71,0.49,44.77,822,38.2,No,88.69
AMY NW,3.58,0,1.95,82.08,7.49,0,0.33,0.65,69.38,0.98,60.59,307,10.1,Yes,4.56
AMY at Martin,9.67,0,0.76,26.46,30.03,0,0,0,79.64,3.05,48.6,393,21.12,Yes,33.08
ASPIRA Bilingual Cyber CS,0.44,0,1.11,21.33,76.44,0,0,0,59.11,25.78,43.11,450,46.89,Yes,0.67
Abington Heights HS,0.85,0.19,5.95,2.36,3.12,0,0,0.09,18.81,1.23,44.33,1058,15.22,No,87.52
Abington Heights MS,1.67,0,6.03,1.95,3.99,0,0.09,4.08,18.74,0.83,49.17,1078,15.4,Yes,86.27
Abington JHS,5.89,0.15,5.94,20.52,9.92,0.05,0.05,10.75,22.78,1.52,48.01,2037,18.61,Yes,57.54
Abington SHS,4.87,0.26,5.34,20.99,9.01,0.1,0.1,4.24,20.47,1.78,48.59,1910,20.52,No,59.42
Abraham Lincoln El Sch,4.65,0,7.64,0.66,0.66,0,0.33,1,18.6,1.33,51.5,301,10.96,Yes,86.05
Academy Park HS,2.62,0,1.57,77.54,3.07,0,0.07,0.67,79.72,3.37,45.73,1336,20.81,Yes,15.12
Academy at Palumbo,3,0.18,34.06,37.24,10.35,0,0,1.54,56.13,4.09,57.86,1101,5.99,Yes,15.17
Achievement House CS,5.17,0.11,0.75,16.92,17.67,0,0.75,0,59.91,2.05,51.08,928,31.14,Yes,58.62
Acmetonia El Sch,4.91,0.2,0.41,0.82,2.66,0,0,1.84,47.24,0.41,43.56,489,17.79,Yes,91
Ad Prima CS,0.31,0.15,0.92,91.4,6.91,0,0,0.77,63.29,1.84,51.77,651,16.13,Yes,0.31
