name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,homeless_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
Tuscarora MS,0.24,0,0.72,1.69,11.57,0.48,0,0.48,1.93,53.01,6.51,44.1,415,22.17,No,85.3
Tuscarora Valley El Sch,0.92,0,0,0.92,6.42,0,0,0,0,48.62,1.83,44.04,109,24.77,No,91.74
Tussey Mountain EL,0.29,0,0.29,0,0.29,0.29,0.29,0,0,63.11,0,49.28,347,15.27,Yes,99.14
Tussey Mountain HS,0.38,0,0,1.15,0.76,0.76,0,0,2.29,59.54,0,48.85,262,16.41,No,97.71
Tussey Mountain MS,2.13,0,0,0.35,0.35,0,0.71,0,0.71,67.73,0,48.58,282,18.79,No,97.16
Twelfth & Marion El Sch,1.27,0.14,0.42,4.94,87.29,4.8,0.99,0,1.69,91.67,30.93,51.13,708,10.45,Yes,5.93
Twin Rivers El Sch,13.97,0,0.13,53.23,1.19,1.05,0,0,1.84,81.55,0,49.8,759,24.9,Yes,31.49
Twin Valley El Ctr,4.57,0,1.71,2,5.71,0.86,0,0,1.14,34,1.71,44.86,350,13.14,Yes,86
Twin Valley HS,1.28,0.37,1.28,1.65,4.12,0.37,0,0,4.95,30.16,0.55,49.77,1091,18.24,No,91.29
Twin Valley MS,3.99,0.19,1.36,1.36,6.04,0.88,0,0,7.3,33.59,1.07,51.9,1027,20.93,No,87.05
Tyrone Area El Sch,0.99,0.12,0.5,1.12,0.62,2.23,0,0.25,0.12,51.18,0.12,43.25,807,11.4,Yes,96.41
Tyrone Area HS,0.19,0.56,0.19,2.42,1.67,1.3,0,0,1.12,41.26,0.19,48.7,538,11.9,No,94.98
Tyrone Area MS,1.11,1.11,0.56,1.86,1.48,2.41,0.19,0.37,0.74,48.05,0.19,52.32,539,15.21,No,93.51
Tyson-Schoener El Sch,0.74,0.15,0.15,8,87.26,4.3,0,0,0,99.11,29.78,51.26,675,21.04,Yes,3.7
Unami MS,2.93,0,11.82,1.91,3.27,0.45,0,0,13.18,6.98,0,47.75,888,13.85,No,80.07
Union Area HS,1.48,0,0,13.3,1.97,0,0,0,3.45,48.77,0,45.81,203,20.69,No,83.25
