name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,homeless_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
21st Century Cyber CS,7.17,0.31,1.34,10.63,8.11,2.52,1.65,0,1.97,20.31,0.24,59.84,1270,14.8,No,72.44
6th Grade Center,4.27,0,3.08,3.32,10.19,0.71,0,0.24,0,30.09,4.5,47.63,422,20.38,No,78.91
A J McMullen Sch,2.72,0.68,0.68,0,0,2.04,0,0,2.04,57.82,0,48.3,147,18.37,Yes,95.92
A L Wilson El Sch,4.58,0.25,0,1.53,0.76,0,0,0.51,1.27,52.16,0,50.13,393,15.01,Yes,92.37
A W Beattie Career Center,3.41,0.13,1.26,4.67,2.02,1.14,0,0,0,38.89,1.26,46.34,792,38.76,No,88.51
AMY NW,5.63,0,1.25,83.44,7.5,0.31,0,0,0,65.63,1.88,57.5,320,10.63,Yes,2.19
AMY at Martin,10.57,0,0.46,21.61,27.13,1.15,0,0,0.23,71.72,3.22,45.06,435,21.38,Yes,40.23
ASPIRA Bilingual Cyber CS,1.45,0,0.58,19.42,77.39,2.32,0,0,0,56.81,25.8,42.61,345,59.42,Yes,1.16
Abington Heights HS,1.02,0.19,5.77,2.05,2.23,0.28,0,0,3.81,18.23,0.65,44.56,1075,13.67,No,88.74
Abington Heights MS,1.37,0.09,6.2,1.92,4.2,0,0.18,0.09,3.28,19.89,2.1,49.27,1096,15.24,Yes,86.13
Abington JHS,5.21,0.15,6.11,20.32,9.06,0.5,0,0.2,9.01,24.87,2.05,47.85,1998,19.77,Yes,58.96
Abington SHS,5.09,0.21,4.88,20.89,8.27,0.32,0,0.11,1.54,19.46,1.7,47.93,1886,19.94,No,60.55
Abraham Lincoln El Sch,3.75,0,6.83,2.05,1.02,0,0,0.34,2.05,13.65,1.02,51.54,293,15.7,Yes,86.01
Academy Park HS,2.69,0,1.53,77.28,2.53,0.23,0,0.08,1.15,76.21,3.15,45.36,1303,19.8,Yes,15.89
Academy at Palumbo,4.43,0.47,31.1,40.43,9.52,0.09,0,0,1.79,46.18,2.92,56.36,1061,6.88,Yes,14.04
Academy at Westinghouse,2.87,0,0.43,94.25,1.01,8.48,0,0,1.72,85.34,0,48.85,696,32.9,Yes,1.44
Achievement House CS,7.82,0.17,0.34,14.63,17.86,1.87,0,1.02,0,61.39,3.06,49.83,588,36.73,Yes,58.16
Acmetonia El Sch,5.92,0.19,0,1.15,2.29,0.76,0,0,1.72,52.67,0.19,45.04,524,17.94,Yes,90.46
Ad Prima CS,0.3,0.15,1.21,90.18,7.7,0.3,0,0,0.45,83.99,2.57,51.66,662,14.65,Yes,0.45
Adaire Alexander Sch,7.13,0,1.78,2.9,8.02,0.45,0,0.22,0,39.2,0.22,51.45,449,12.69,Yes,79.96
Adamstown El Sch,3.6,0,4.08,1.92,5.76,0.24,2.64,0,0.24,34.29,2.16,47.48,417,14.15,Yes,84.65
Admiral Peary AVTS,0.18,0,0,1.29,0.37,2.59,0,0,0,54.53,0,30.31,541,38.82,No,98.15
Afton El Sch,5.24,0,12.48,3.62,6.33,0,0,0,5.42,7.05,3.62,51.36,553,13.74,No,72.33
Agora Cyber CS,0.9,0.53,1.36,29.33,10.79,2.49,0.23,0.43,0,40.56,0.25,51.88,5135,29.46,Yes,56.67
Akron El Sch,7.27,0,1.82,3.64,7.27,1.82,0,0,1.09,44,2.18,51.64,275,12.73,Yes,80
Albert Gallatin Area SHS,2.88,0.1,0.1,3.65,0.86,0.48,0.1,0.1,3.36,44.28,0.29,47.26,1041,20.46,No,92.32
Albert Gallatin North MS,4.83,0,0.27,5.09,1.34,0.27,0.27,0,2.14,48.79,0.27,54.96,373,21.72,No,88.47
Albert Gallatin South MS,5.68,0,0,2.7,0.54,0.54,0.27,0,5.41,46.22,0,44.32,370,26.76,No,91.08
Alburtis El Sch,5.01,0,2.51,3.9,15.32,1.11,0.84,0,2.79,31.75,2.51,51.81,359,18.11,Yes,73.26
Aldan El Sch,3.85,2.14,3.85,68.38,4.7,4.27,0,0,1.28,49.15,0,45.73,234,29.06,Yes,17.09
Aliquippa El Sch,15.14,0,0,66.13,4.68,2.16,0,0,0,86.67,0,47.75,555,22.16,Yes,14.05
Aliquippa JSHS,6.91,0,0,73.33,3.46,0.74,0,0,0,97.28,0.25,49.38,405,20,Yes,16.3
Allegheny-Clarion Valley Elem,0.87,0,0,0,0.29,1.17,0.29,0,0.58,37.32,0,47.23,343,13.7,Yes,98.83
Allegheny-Clarion Valley HS,1.09,0,0,0,0,2.55,0,0,3.28,40.51,0,50.36,274,17.15,No,98.91
Allen Dr Ethel Sch,2.65,0.2,0,94.09,1.43,7.54,0,0,0,85.74,0.41,51.73,491,9.57,Yes,1.63
Allen Ethan Sch,7.09,0.2,10.83,30.06,40.99,0.61,0,0.3,0,72.47,26.42,49.7,988,11.34,Yes,10.53
Allen MS,4.88,0,2.44,4.13,11.63,0.75,0.19,0,0,31.71,3.94,51.03,533,20.64,No,76.92
Alliance for Progress CS,2.9,0.19,0,95.55,1.35,1.74,0,0,0,79.88,0,53,517,15.86,Yes,0
Allison Park El Sch,7.45,0,0,2.54,3.49,0,0,0,1.11,31.22,1.27,49.6,631,16.16,Yes,86.53
Alloway Creek El Sch,5.03,0,0.82,1.64,2.22,1.05,0.94,0.12,1.4,40.23,0.23,45.85,855,10.41,Yes,90.18
Altoona Area HS,0.48,0.12,1.08,7.7,1.86,2.71,0.18,0,2.59,56.1,0.42,46.78,1663,21.11,No,88.76
Altoona Area Jr HS,0.35,0.18,0.88,9.37,1.94,2.24,0.06,0.06,2.12,61.23,0.41,48.5,1697,21.15,No,87.21
Amanda E Stout El Sch,2.03,0,0,9.3,85.46,3.34,0.72,0.12,0.12,98.33,28.25,48.03,839,20.86,Yes,3.1
Ambridge Area HS,4.01,0,0.67,15.35,2.4,1.47,0.27,0.13,3.34,49.67,0.8,48.33,749,16.96,Yes,77.44
Ambridge Area MS,5.45,0,0.91,20.73,1.82,2.55,0.36,0,1.64,53.82,0.73,47.45,550,20.55,Yes,71.09
Amos K Hutchinson El Sch,13.4,0,0.17,6.2,4.86,3.18,0,0,0.17,33.17,0.5,50.25,597,15.75,Yes,75.38
Amosland El Sch,6.21,0.4,6.61,12.83,2.61,0.6,0.6,0.2,0.8,34.47,0.4,49.1,499,13.03,No,71.14
Anderson Add B Sch,2.04,0.41,0,94.89,1.84,7.16,0,0.2,0,81.39,0.61,49.28,489,12.47,Yes,0.61
Andrew Maier El Sch,0.42,0,0.42,2.51,17.15,1.26,0.84,0,0.84,35.98,0.42,50.63,239,12.97,Yes,79.5
Annville Cleona HS,1.46,0,1.88,1.25,7.31,1.67,0,0,7.93,27.56,1.25,44.47,479,18.79,No,88.1
Annville El Sch,4.59,0,0.72,1.45,10.39,2.17,0,0,4.83,34.3,1.69,48.07,414,16.67,Yes,82.85
Annville-Cleona MS,4.05,0,1.8,1.35,10.81,2.7,0,0,8.56,30.18,3.6,51.8,222,13.06,No,81.98
Antietam MS/HS,5.13,0,0.41,6.57,33.88,1.85,0.62,0,5.54,53.8,3.49,50.51,487,22.59,No,54
Antonia Pantoja Community CS,0.28,0,0,0.97,98.75,0.42,0,0,0,83.17,13.07,49.37,719,26.84,Yes,0
Apollo-Ridge Elem Sch,3,0,0.38,0.56,0.94,0,0,0,0.38,62.1,0,44.47,533,19.89,Yes,95.12
Apollo-Ridge HS,4.1,0.32,1.26,0.32,0.32,0.95,0,0,3.15,45.74,0,48.26,317,16.72,No,93.69
Apollo-Ridge MS,5.56,1.04,0.35,0.35,0.35,2.08,0.35,0,2.43,54.17,0,50,288,14.58,No,92.36
Appleman El Sch,2.94,0.27,0,0.8,1.87,0.27,0,0,2.14,32.62,0.27,50,374,17.91,Yes,94.12
Arcola Intrmd Sch,9.01,0.39,15.4,5.22,3.66,0.26,0,0.39,9.27,16.19,1.96,48.83,766,20.5,Yes,65.93
Ardmore Avenue Sch,3.46,1.28,2.91,74.32,10.02,0.91,0,0,2,46.99,16.03,47.18,549,15.66,Yes,8.01
Arendtsville El Sch,0.51,0,0,0.51,27.04,0.51,0.51,0.51,4.08,47.45,11.73,45.41,196,19.9,No,71.43
Arlington Heights El Sch,5.79,0,8.11,16.22,31.66,2.7,0,0,0.77,53.28,10.04,53.67,259,16.6,Yes,38.22
Armstrong JSHS,0,0.37,0.12,2.1,0.87,1.3,0.19,0.06,5.69,43.63,0.25,48.83,1618,20.89,No,96.48
Aronimink El Sch,4.31,0.39,9.02,40,6.27,0,0,0,5.49,38.82,4.71,55.29,255,13.73,No,40
Arrowhead El Sch,5.67,0,14.29,2.96,2.96,0,0.25,0,3.94,9.61,4.19,45.57,406,17.24,No,74.14
Arthur Chester A Sch,8.9,0,4.45,51.37,4.45,2.4,0,0,0,50,1.03,44.86,292,22.95,Yes,30.82
Arthur Street El Sch,1.82,0,0,1.59,90.43,0.91,0,0.23,0,43.28,29.38,49.43,439,4.78,Yes,5.92
Artman El Sch,10.33,0,0.83,9.33,0.17,0.33,0.17,0.17,1.83,45.17,0.33,49.67,600,16,Yes,79.17
Arts Academy CS,10.8,0.55,0.83,12.74,34.35,0.55,0.83,0,0,51.52,0.83,74.52,361,18.56,Yes,40.72
Arts Academy Elementary CS,2.59,0,0,24,62.59,1.65,0,0,0,71.06,22.35,63.29,425,17.88,Yes,10.82
Arts Academy at Benjamin Rush,5.1,0.15,6.49,17.62,16.23,0,0,0,3.86,33.54,1.39,76.97,647,10.66,Yes,54.4
Asa Packer El Sch,3.11,0,5.65,6.21,15.54,0,0,0,3.95,29.1,2.82,45.76,354,7.63,No,69.49
Asbury El Sch,5.4,0,4.86,1.44,2.88,0.18,0,0,3.78,29.5,0.9,49.1,556,13.85,No,85.43
Aston El Sch,3.76,0,2.92,3.76,4.8,0.21,0,0,1.67,23.8,1.67,50.1,479,13.78,Yes,84.76
Athens Area HS,1.39,0,0.62,0.93,0.62,1.24,0.15,0.15,2.16,36.48,0.31,49.3,647,23.03,No,96.29
Audrielle Lynch-Ellen Bustin El Sch,4.13,0,0.9,1.8,2.69,0.9,0,0.18,0.72,42.19,1.62,47.94,557,16.34,Yes,90.31
Austin Area El Sch,0,0,0,0,0,0,0,0.95,0,45.71,0.95,44.76,105,17.14,Yes,99.05
Austin Area JSHS,1.1,0,0,1.1,2.2,4.4,0,0,0,53.85,0,38.46,91,37.36,Yes,95.6
Avalon El Sch,15.07,1.84,0,13.97,2.21,0.74,0,0.74,2.21,57.72,0,54.41,272,24.26,Yes,66.18
Avella Area JSHS,0.4,0,0,0.4,0.4,1.2,0,0,3.61,28.92,0,46.59,249,18.47,No,98.8
Avella El Center,2.03,0,0,0,0.81,0,0,0,3.66,47.97,0,47.56,246,22.76,Yes,97.15
Avis El Sch,5.62,0,0,2.81,2.81,0.56,0,0,0.56,50.56,0,48.31,178,12.92,Yes,88.76
Avon Grove CS,4.06,0.16,3.74,4.5,14.63,0.49,0.16,0.11,0,28.01,1.57,50.16,1846,14.79,Yes,72.81
Avon Grove HS,2.63,0,2.45,1.87,24.52,1.98,0,0,0,26.09,5.84,47.29,1713,12.49,No,68.53
Avon Grove Intrmd Sch,2.43,0.07,1.82,0.74,26.62,2.16,0,0.07,0,29.18,10.85,49.66,1484,12.13,No,68.26
Avona El Sch,9.76,0,4.39,10.24,28.78,0.98,0,0,0,60,17.07,49.76,205,12.2,Yes,46.83
Avonworth El Sch,5.33,0,1.55,1.89,0.86,0.34,0,0,10.65,14.26,0,44.67,582,17.35,No,90.38
Avonworth HS,1.62,0,4.06,3.04,1.42,0.41,0,0.2,16.43,15.62,0.2,46.45,493,16.23,No,89.66
Avonworth MS,2.35,0,2.35,2.68,3.36,0.67,0,0.34,13.09,16.78,0.34,49.33,298,13.42,No,88.93
Avonworth Primary Center,5.17,0,2.07,2.07,0.62,0.41,0,0,2.27,10.33,0.21,48.35,484,8.88,Yes,90.08
B F Morey El Sch,2.48,0,2.07,21.49,33.88,4.55,0,1.24,4.13,62.4,9.5,47.11,242,23.97,Yes,38.84
Bache-Martin Sch,8.59,0,2.25,54.6,12.27,1.02,0,0,0,51.94,5.32,46.42,489,32.92,Yes,22.29
Baden Academy CS,14.07,0,0.17,19.77,1.17,1.84,0,0,1.01,45.56,0,53.1,597,22.45,Yes,64.82
Baggaley El Sch,2.64,0.56,0.38,0.38,0.94,0.38,1.32,0.19,0.94,40.87,0,48.4,531,17.33,Yes,94.92
