SchoolName,AcademicYearId,Federal-Non-Personnel,Federal-Personnel,Local-Non-Personnel,Local-Personnel,State-Non-Personnel,State-Personnel
Belmont Hills El Sch,2018,37.35,58.37,2994.53,14640.88,0.0,0.0
Ben Franklin El Sch,2018,29.03,640.92,1418.73,8971.17,786.95,4976.17
Ben Franklin Sch,2018,31.24,732.39,928.54,3964.61,1342.31,6199.0
Bendersville El Sch,2018,0.0,0.0,1485.64,6097.38,1112.0,4682.99
Benjamin Franklin El Sch,2018,0.0,0.84,4.21,34.96,0.03,7.87
Benjamin Franklin Sch,2018,107.45,1303.54,1079.47,4153.87,1490.7,5736.31
Benjamin Rush El Sch,2018,22.9,827.79,2785.69,15453.41,0.0,0.0
Benner El Sch,2018,0.0,0.0,3769.73,16904.86,92.76,72.8
Bennetts Valley El Sch,2018,89.9,1151.54,2248.89,7086.83,1702.9,5388.52
Bensalem Twp HS,2018,25.1,57.18,3225.97,14389.23,0.0,0.0
Benton Area HS,2018,0.0,0.0,3013.27,14039.88,0.0,0.0
