DistrictName,SchoolName,EnrollmentNumber,Year
21st Century Cyber CS,21st Century Cyber CS,1241,2022-2023
A W Beattie Career Center,A W Beattie Career Center,920,2022-2023
Achievement House CS,Achievement House CS,958,2022-2023
Ad Prima CS,Ad Prima CS,582,2022-2023
Adams County Technical Institute,Adams County Technical Institute,254,2022-2023
Admiral Peary AVTS,Admiral Peary AVTS,741,2022-2023
Agora Cyber CS,Agora Cyber CS,4957,2022-2023
Alliance for Progress CS,Alliance for Progress CS,559,2022-2023
Antonia Pantoja Community CS,Antonia Pantoja Community CS,699,2022-2023
Arts Academy CS,Arts Academy CS,312,2022-2023
Arts Academy Elementary CS,Arts Academy Elementary CS,414,2022-2023
ASPIRA Bilingual Cyber CS,ASPIRA Bilingual Cyber CS,876,2022-2023
Avon Grove CS,Avon Grove CS,1886,2022-2023
Baden Academy CS,Baden Academy CS,586,2022-2023
Bear Creek Community CS,Bear Creek Community CS,511,2022-2023
Beaver County CTC,Beaver County CTC,697,2022-2023
Bedford County Technical Center,Bedford County Technical Center,342,2022-2023
Belmont CS,Belmont CS,926,2022-2023
Berks CTC-East Campus,Berks CTC-East Campus,1008,2022-2023
Berks CTC-West Campus,Berks CTC-West Campus,843,2022-2023
Bethlehem AVTS,Bethlehem AVTS,1346,2022-2023
Bluford CS,Bluford CS,531,2022-2023
Boys Latin of Philadelphia CS,Boys Latin of Philadelphia CS,776,2022-2023
Bucks County Montessori CS,Bucks County Montessori CS,182,2022-2023
Bucks County Technical High School,Bucks County Technical High School,1439,2022-2023
Butler County AVTS,Butler County AVTS,1054,2022-2023
California Academy of Learning CS,California Academy of Learning CS,23,2022-2023
Capital Area School for the Arts CS,Capital Area School for the Arts CS,186,2022-2023
Carbon Career & Technical Institute,Carbon Career & Technical Institute,395,2022-2023
Career Institute of Technology,Career Institute of Technology,663,2022-2023
Catalyst Academy CS,Catalyst Academy CS,248,2022-2023
Center for Student Lrng CS Pennsbury,Center for Student Lrng CS Pennsbury,163,2022-2023
Central Montco Technical High School,Central Montco Technical High School,842,2022-2023
Central PA Digital Lrng Foundation CS,Central PA Digital Lrng Foundation CS,148,2022-2023
Central PA Institute of Science & Techno,Central PA Institute of Science & Techno,500,2022-2023
Central Westmoreland CTC,Central Westmoreland CTC,1189,2022-2023
Centre Learning Community CS,Centre Learning Community CS,75,2022-2023
Chester Charter Scholars Academy CS,Chester Charter Scholars Academy CS,700,2022-2023
Chester Co Technical College HS-Brandywi,Chester Co Technical College HS-Brandywi,1096,2022-2023
Chester Co Technical College HS-Pennocks,Chester Co Technical College HS-Pennocks,859,2022-2023
Chester Co Technical College HS-Pickerin,Chester Co Technical College HS-Pickerin,528,2022-2023
Chester Community CS,Chester Community CS,4277,2022-2023
Christopher Columbus CS,Christopher Columbus CS,862,2022-2023
Circle of Seasons CS,Circle of Seasons CS,408,2022-2023
City CHS,City CHS,556,2022-2023
Clarion County Career Center,Clarion County Career Center,339,2022-2023
Clearfield County CTC,Clearfield County CTC,437,2022-2023
Collegium CS,Collegium CS,2645,2022-2023
Columbia-Montour AVTS,Columbia-Montour AVTS,609,2022-2023
Commonwealth Charter Academy CS,Commonwealth Charter Academy CS,20357,2022-2023
Community Academy of Philadelphia CS,Community Academy of Philadelphia CS,1231,2022-2023
Connellsville Area Career & Technical Ce,Connellsville Area Career & Technical Ce,343,2022-2023
Crawford County CTC,Crawford County CTC,459,2022-2023
Crispus Attucks CS,Crispus Attucks CS,76,2022-2023
CTC of Lackawanna County,CTC of Lackawanna County,866,2022-2023
Cumberland Perry Area Career & Technical,Cumberland Perry Area Career & Technical,1265,2022-2023
Dauphin County Technical School,Dauphin County Technical School,1125,2022-2023
Deep Roots CS,Deep Roots CS,284,2022-2023
Delaware County Technical High School-As,Delaware County Technical High School-As,603,2022-2023
Delaware County Technical High School-Fo,Delaware County Technical High School-Fo,633,2022-2023
Delaware County Technical High School-Ma,Delaware County Technical High School-Ma,--,2022-2023
Discovery CS,Discovery CS,622,2022-2023
Dr Robert Ketterer CS Inc,Dr Robert Ketterer CS Inc,146,2022-2023
Eastern Center for Arts & Technology,Eastern Center for Arts & Technology,612,2022-2023
Eastern Westmoreland CTC,Eastern Westmoreland CTC,536,2022-2023
Easton Arts Academy Elementary CS,Easton Arts Academy Elementary CS,284,2022-2023
Environmental CS at Frick Park,Environmental CS at Frick Park,1020,2022-2023
Erie County Technical School,Erie County Technical School,793,2022-2023
Erie Rise Leadership Academy CS,Erie Rise Leadership Academy CS,292,2022-2023
Esperanza Academy CS,Esperanza Academy CS,1628,2022-2023
Esperanza Cyber CS,Esperanza Cyber CS,990,2022-2023
Eugenio Maria DE Hostos CS,Eugenio Maria DE Hostos CS,507,2022-2023
Evergreen Community CS,Evergreen Community CS,102,2022-2023
Executive Education Academy CS,Executive Education Academy CS,1368,2022-2023
Fayette County Career & Technical Instit,Fayette County Career & Technical Instit,691,2022-2023
Fell CS,Fell CS,101,2022-2023
First Philadelphia Preparatory CS,First Philadelphia Preparatory CS,1822,2022-2023
Folk Arts-Cultural Treasures CS,Folk Arts-Cultural Treasures CS,487,2022-2023
Forbes Road CTC,Forbes Road CTC,884,2022-2023
Franklin County CTC,Franklin County CTC,507,2022-2023
Franklin Towne Charter Elementary School,Franklin Towne Charter Elementary School,955,2022-2023
Franklin Towne CHS,Franklin Towne CHS,1282,2022-2023
Frederick Douglass Mastery CS,Frederick Douglass Mastery CS,584,2022-2023
Freire CS,Freire CS,938,2022-2023
Fulton County Center for Career and Tech,Fulton County Center for Career and Tech,140,2022-2023
Gettysburg Montessori CS,Gettysburg Montessori CS,273,2022-2023
Gillingham Charter School,Gillingham Charter School,247,2022-2023
Global Leadership Academy CS,Global Leadership Academy CS,643,2022-2023
Global Leadership Academy CS Southwest a,Global Leadership Academy CS Southwest a,534,2022-2023
Greater Altoona CTC,Greater Altoona CTC,1082,2022-2023
Greater Johnstown CTC,Greater Johnstown CTC,536,2022-2023
Green Woods CS,Green Woods CS,688,2022-2023
Greene County CTC,Greene County CTC,338,2022-2023
Harambee Institute of Science and Techno,Harambee Institute of Science and Techno,593,2022-2023
Hazleton Area Career Center,Hazleton Area Career Center,652,2022-2023
HOPE for Hyndman CS,HOPE for Hyndman CS,157,2022-2023
Howard Gardner Multiple Intelligence CS,Howard Gardner Multiple Intelligence CS,318,2022-2023
Huntingdon County CTC,Huntingdon County CTC,364,2022-2023
Imhotep Institute CHS,Imhotep Institute CHS,597,2022-2023
Independence CS,Independence CS,781,2022-2023
Independence CS West,Independence CS West,836,2022-2023
Indiana County Technology Center,Indiana County Technology Center,505,2022-2023
Infinity CS,Infinity CS,256,2022-2023
Innovative Arts Academy CS,Innovative Arts Academy CS,531,2022-2023
Inquiry CS,Inquiry CS,268,2022-2023
Insight PA Cyber CS,Insight PA Cyber CS,3639,2022-2023
Jefferson County-DuBois AVTS,Jefferson County-DuBois AVTS,535,2022-2023
Keystone Academy CS,Keystone Academy CS,666,2022-2023
Keystone Central CTC,Keystone Central CTC,549,2022-2023
Keystone Education Center CS,Keystone Education Center CS,199,2022-2023
KIPP DuBois CS,KIPP DuBois CS,500,2022-2023
KIPP North Philadelphia CS,KIPP North Philadelphia CS,588,2022-2023
KIPP Philadelphia CS,KIPP Philadelphia CS,840,2022-2023
KIPP Philadelphia Octavius Catto CS,KIPP Philadelphia Octavius Catto CS,199,2022-2023
KIPP West Philadelphia CS,KIPP West Philadelphia CS,810,2022-2023
La Academia Partnership CS,La Academia Partnership CS,200,2022-2023
Laboratory CS,Laboratory CS,493,2022-2023
Lancaster County CTC-Brownstown Campus,Lancaster County CTC-Brownstown Campus,435,2022-2023
Lancaster County CTC-Mt Joy Campus,Lancaster County CTC-Mt Joy Campus,451,2022-2023
Lancaster County CTC-Willow St Campus,Lancaster County CTC-Willow St Campus,508,2022-2023
Lawrence County CTC,Lawrence County CTC,378,2022-2023
Lebanon County CTC,Lebanon County CTC,640,2022-2023
Lehigh Career & Technical Institute,Lehigh Career & Technical Institute,2286,2022-2023
Lehigh Valley Academy Regional CS,Lehigh Valley Academy Regional CS,1795,2022-2023
Lehigh Valley Charter High School for th,Lehigh Valley Charter High School for th,563,2022-2023
Lehigh Valley Dual Language CS,Lehigh Valley Dual Language CS,456,2022-2023
Lenape Tech,Lenape Tech,581,2022-2023
Life Male STEAM Academy CS,Life Male STEAM Academy CS,93,2022-2023
Lincoln CS,Lincoln CS,654,2022-2023
Lincoln Leadership Academy CS,Lincoln Leadership Academy CS,900,2022-2023
Lincoln Park Performing Arts CS,Lincoln Park Performing Arts CS,699,2022-2023
Lindley Academy CS at Birney,Lindley Academy CS at Birney,710,2022-2023
Lycoming CTC,Lycoming CTC,316,2022-2023
Manchester Academic CS,Manchester Academic CS,393,2022-2023
Mariana Bracetti Academy CS,Mariana Bracetti Academy CS,1557,2022-2023
Maritime Academy CS,Maritime Academy CS,825,2022-2023
MAST Community CS,MAST Community CS,1473,2022-2023
MaST Community CS II,MaST Community CS II,1777,2022-2023
MaST Community CS III,MaST Community CS III,1220,2022-2023
Mastery CHS-Lenfest Campus,Mastery CHS-Lenfest Campus,610,2022-2023
Mastery CS - Mann Campus,Mastery CS - Mann Campus,532,2022-2023
Mastery CS - Thomas Campus,Mastery CS - Thomas Campus,1258,2022-2023
Mastery CS John Wister Elementary,Mastery CS John Wister Elementary,514,2022-2023
Mastery CS -Shoemaker Campus,Mastery CS -Shoemaker Campus,783,2022-2023
Mastery CS-Cleveland Elementary,Mastery CS-Cleveland Elementary,706,2022-2023
Mastery CS-Clymer Elementary,Mastery CS-Clymer Elementary,449,2022-2023
Mastery CS-Francis D. Pastorius Elementa,Mastery CS-Francis D. Pastorius Elementa,660,2022-2023
Mastery CS-Gratz Campus,Mastery CS-Gratz Campus,1161,2022-2023
Mastery CS-Hardy Williams,Mastery CS-Hardy Williams,1215,2022-2023
Mastery CS-Harrity Campus,Mastery CS-Harrity Campus,813,2022-2023
Mastery CS-Pickett Campus,Mastery CS-Pickett Campus,940,2022-2023
Mastery CS-Smedley Campus,Mastery CS-Smedley Campus,753,2022-2023
Mastery Prep Elementary CS,Mastery Prep Elementary CS,549,2022-2023
Math Civics and Sciences CS,Math Civics and Sciences CS,913,2022-2023
McKeesport Area Tech Ctr,McKeesport Area Tech Ctr,232,2022-2023
Memphis Street Academy CS @ JP Jones,Memphis Street Academy CS @ JP Jones,538,2022-2023
Mercer County Career Center,Mercer County Career Center,477,2022-2023
Middle Bucks Institute of Technology,Middle Bucks Institute of Technology,939,2022-2023
Midland Innovation & Technology CS,Midland Innovation & Technology CS,110,2022-2023
Mifflin County Academy of Science and Te,Mifflin County Academy of Science and Te,388,2022-2023
Mon Valley CTC,Mon Valley CTC,541,2022-2023
Monroe Career & Tech Inst,Monroe Career & Tech Inst,1079,2022-2023
Montessori Regional CS,Montessori Regional CS,583,2022-2023
Multicultural Academy CS,Multicultural Academy CS,250,2022-2023
New Day CS,New Day CS,176,2022-2023
New Foundations CS,New Foundations CS,1496,2022-2023
Nittany Valley CS,Nittany Valley CS,49,2022-2023
North Montco Tech Career Center,North Montco Tech Career Center,970,2022-2023
Northern Tier Career Center,Northern Tier Career Center,453,2022-2023
Northern Westmoreland CTC,Northern Westmoreland CTC,483,2022-2023
Northumberland County CTC,Northumberland County CTC,289,2022-2023
Northwood Academy CS,Northwood Academy CS,760,2022-2023
Pan American Academy CS,Pan American Academy CS,739,2022-2023
Parkway West CTC,Parkway West CTC,1170,2022-2023
Passport Academy CS,Passport Academy CS,134,2022-2023
Penn Hills CS of Entrepreneurship,Penn Hills CS of Entrepreneurship,456,2022-2023
Pennsylvania Cyber CS,Pennsylvania Cyber CS,9841,2022-2023
Pennsylvania Distance Learning CS,Pennsylvania Distance Learning CS,1226,2022-2023
Pennsylvania Leadership CS,Pennsylvania Leadership CS,3284,2022-2023
Pennsylvania STEAM Academy CS,Pennsylvania STEAM Academy CS,193,2022-2023
Pennsylvania Virtual CS,Pennsylvania Virtual CS,2962,2022-2023
People for People CS,People for People CS,530,2022-2023
Perseus House CS of Excellence,Perseus House CS of Excellence,610,2022-2023
Philadelphia Academy CS,Philadelphia Academy CS,1158,2022-2023
Philadelphia Electrical & Tech CHS,Philadelphia Electrical & Tech CHS,610,2022-2023
Philadelphia Hebrew Public CS,Philadelphia Hebrew Public CS,418,2022-2023
Philadelphia Montessori CS,Philadelphia Montessori CS,236,2022-2023
Philadelphia Performing Arts CS,Philadelphia Performing Arts CS,2721,2022-2023
Premier Arts and Science CS,Premier Arts and Science CS,156,2022-2023
Preparatory CS of Mathematics Science Te,Preparatory CS of Mathematics Science Te,568,2022-2023
Propel CS-Braddock Hills,Propel CS-Braddock Hills,792,2022-2023
Propel CS-East,Propel CS-East,347,2022-2023
Propel CS-Hazelwood,Propel CS-Hazelwood,271,2022-2023
Propel CS-Homestead,Propel CS-Homestead,512,2022-2023
Propel CS-McKeesport,Propel CS-McKeesport,336,2022-2023
Propel CS-Montour,Propel CS-Montour,792,2022-2023
Propel CS-Northside,Propel CS-Northside,379,2022-2023
Propel CS-Pitcairn,Propel CS-Pitcairn,209,2022-2023
Provident CS,Provident CS,325,2022-2023
Reach Cyber CS,Reach Cyber CS,6919,2022-2023
Reading Muhlenberg CTC,Reading Muhlenberg CTC,1142,2022-2023
Renaissance Academy CS,Renaissance Academy CS,1097,2022-2023
Richard Allen Preparatory CS,Richard Allen Preparatory CS,416,2022-2023
Robert Benjamin Wiley Community CS,Robert Benjamin Wiley Community CS,558,2022-2023
Roberto Clemente CS,Roberto Clemente CS,628,2022-2023
Russell Byers CS,Russell Byers CS,701,2022-2023
Sankofa Freedom Academy CS,Sankofa Freedom Academy CS,663,2022-2023
School Lane CS,School Lane CS,1324,2022-2023
Schuylkill Technology Centers-North Camp,Schuylkill Technology Centers-North Camp,168,2022-2023
Schuylkill Technology Centers-South Camp,Schuylkill Technology Centers-South Camp,206,2022-2023
Seneca Highlands Career and Technical Ce,Seneca Highlands Career and Technical Ce,335,2022-2023
Seven Generations CS,Seven Generations CS,398,2022-2023
Somerset County Technology Center,Somerset County Technology Center,532,2022-2023
Souderton CS Collaborative,Souderton CS Collaborative,239,2022-2023
Southwest Leadership Academy CS,Southwest Leadership Academy CS,623,2022-2023
Spectrum CS,Spectrum CS,45,2022-2023
Steel Center for Career and Technical Ed,Steel Center for Career and Technical Ed,853,2022-2023
Stone Valley Community CS,Stone Valley Community CS,82,2022-2023
Sugar Valley Rural CS,Sugar Valley Rural CS,473,2022-2023
SUN Area Technical Institute,SUN Area Technical Institute,287,2022-2023
Susquehanna County CTC,Susquehanna County CTC,417,2022-2023
Sylvan Heights Science CS,Sylvan Heights Science CS,216,2022-2023
Tacony Academy CS,Tacony Academy CS,1084,2022-2023
TECH Freire CS,TECH Freire CS,461,2022-2023
The New Academy CS,The New Academy CS,56,2022-2023
The Philadelphia CS for Arts and Science,The Philadelphia CS for Arts and Science,986,2022-2023
Tidioute Community CS,Tidioute Community CS,292,2022-2023
Universal Alcorn CS,Universal Alcorn CS,462,2022-2023
Universal Audenried CS,Universal Audenried CS,546,2022-2023
Universal Creighton CS,Universal Creighton CS,713,2022-2023
Universal Institute CS,Universal Institute CS,628,2022-2023
Universal Vare CS,Universal Vare CS,150,2022-2023
Upper Bucks County Technical School,Upper Bucks County Technical School,867,2022-2023
Urban Academy of Greater Pittsburgh CS,Urban Academy of Greater Pittsburgh CS,329,2022-2023
Urban Pathways 6-12 CS,Urban Pathways 6-12 CS,310,2022-2023
Urban Pathways K-5 College CS,Urban Pathways K-5 College CS,312,2022-2023
Venango Technology Center,Venango Technology Center,574,2022-2023
Vida CS,Vida CS,238,2022-2023
Vision Academy CS,Vision Academy CS,499,2022-2023
Warren County AVTS,Warren County AVTS,310,2022-2023
West Oak Lane CS,West Oak Lane CS,950,2022-2023
West Phila. Achievement CES,West Phila. Achievement CES,637,2022-2023
West Side CTC,West Side CTC,504,2022-2023
Western Area CTC,Western Area CTC,478,2022-2023
Western Montgomery CTC,Western Montgomery CTC,684,2022-2023
Westinghouse Arts Academy CS,Westinghouse Arts Academy CS,316,2022-2023
Wilkes-Barre Area CTC,Wilkes-Barre Area CTC,930,2022-2023
Wissahickon CS,Wissahickon CS,943,2022-2023
York Academy Regional CS,York Academy Regional CS,963,2022-2023
York Co School of Technology,York Co School of Technology,1658,2022-2023
Young Scholars CS,Young Scholars CS,267,2022-2023
Young Scholars of Central PA CS,Young Scholars of Central PA CS,373,2022-2023
Young Scholars of Greater Allegheny CS,Young Scholars of Greater Allegheny CS,305,2022-2023
Young Scholars of Western Pennsylvania C,Young Scholars of Western Pennsylvania C,299,2022-2023
Youth Build Phila CS,Youth Build Phila CS,219,2022-2023
Abington Heights SD,Abington Heights HS,1127,2022-2023
Abington Heights SD,Abington Heights MS,1097,2022-2023
Abington Heights SD,Clarks Summit El Sch,441,2022-2023
Abington Heights SD,Newton-Ransom Sch,196,2022-2023
Abington Heights SD,South Abington Sch,289,2022-2023
Abington Heights SD,Waverly Sch,310,2022-2023
Abington SD,Abington MS,2048,2022-2023
Abington SD,Abington SHS,2749,2022-2023
Abington SD,Copper Beech Sch,918,2022-2023
Abington SD,Highland Sch,440,2022-2023
Abington SD,McKinley Sch,572,2022-2023
Abington SD,Overlook Sch,461,2022-2023
Abington SD,Roslyn Sch,415,2022-2023
Abington SD,Rydal El Sch,521,2022-2023
Abington SD,Willow Hill Sch,411,2022-2023
Albert Gallatin Area SD,A L Wilson El Sch,344,2022-2023
Albert Gallatin Area SD,Albert Gallatin Area SHS,972,2022-2023
Albert Gallatin Area SD,Albert Gallatin North MS,385,2022-2023
Albert Gallatin Area SD,Albert Gallatin South MS,360,2022-2023
Albert Gallatin Area SD,Friendship Hill El Sch,169,2022-2023
Albert Gallatin Area SD,George J Plava El Sch,321,2022-2023
Albert Gallatin Area SD,Masontown El Sch,249,2022-2023
Albert Gallatin Area SD,Smithfield El Sch,254,2022-2023
Aliquippa SD,Aliquippa El Sch,474,2022-2023
Aliquippa SD,Aliquippa JSHS,474,2022-2023
Allegheny Valley SD,Acmetonia El Sch,484,2022-2023
Allegheny Valley SD,Springdale JSHS,387,2022-2023
Allegheny-Clarion Valley SD,Allegheny-Clarion Valley Elem,318,2022-2023
Allegheny-Clarion Valley SD,Allegheny-Clarion Valley HS,265,2022-2023
Allentown City SD,Brigadier General Anna Mae Hays El Sch,813,2022-2023
Allentown City SD,Building 21 Allentown,439,2022-2023
Allentown City SD,Central El Sch,662,2022-2023
Allentown City SD,Francis D Raub MS,909,2022-2023
Allentown City SD,Harrison-Morton MS,733,2022-2023
Allentown City SD,Hiram W Dodd El Sch,636,2022-2023
Allentown City SD,Jackson Early Childhood Center,240,2022-2023
Allentown City SD,Jefferson El Sch,524,2022-2023
Allentown City SD,Lehigh Parkway El Sch,278,2022-2023
Allentown City SD,Louis E Dieruff HS,1915,2022-2023
Allentown City SD,Luis A. Ramos El Sch,625,2022-2023
Allentown City SD,Mosser El Sch,482,2022-2023
Allentown City SD,Muhlenberg El Sch,488,2022-2023
Allentown City SD,Ritter El Sch,409,2022-2023
Allentown City SD,Roosevelt El Sch,532,2022-2023
Allentown City SD,Sheridan El Sch,560,2022-2023
Allentown City SD,South Mountain MS,1007,2022-2023
Allentown City SD,Trexler MS,820,2022-2023
Allentown City SD,Union Terrace El Sch,658,2022-2023
Allentown City SD,Washington El Sch,346,2022-2023
Allentown City SD,William Allen HS,2852,2022-2023
Altoona Area SD,Altoona Area HS,2228,2022-2023
Altoona Area SD,Altoona Area Jr HS,1727,2022-2023
Altoona Area SD,Baker El Sch,299,2022-2023
Altoona Area SD,Irving El Sch,280,2022-2023
Altoona Area SD,Juniata El Sch,460,2022-2023
Altoona Area SD,Juniata Gap El Sch,553,2022-2023
Altoona Area SD,Logan El Sch,439,2022-2023
Altoona Area SD,Mowrie A Ebner El Sch,406,2022-2023
Altoona Area SD,Penn-Lincoln El Sch,368,2022-2023
Altoona Area SD,Pleasant Valley El Sch,465,2022-2023
Ambridge Area SD,Ambridge Area HS,733,2022-2023
Ambridge Area SD,Ambridge Area MS,467,2022-2023
Ambridge Area SD,Economy El Sch,447,2022-2023
Ambridge Area SD,Highland El Sch,316,2022-2023
Ambridge Area SD,State Street El Sch,275,2022-2023
Annville-Cleona SD,Annville Cleona HS,490,2022-2023
Annville-Cleona SD,Annville El Sch,444,2022-2023
Annville-Cleona SD,Annville-Cleona MS,207,2022-2023
Annville-Cleona SD,Cleona El Sch,299,2022-2023
Antietam SD,Antietam MS/HS,548,2022-2023
Antietam SD,Mt Penn El Sch,329,2022-2023
Antietam SD,Mt Penn Primary Ctr,278,2022-2023
Apollo-Ridge SD,Apollo-Ridge Elem Sch,514,2022-2023
Apollo-Ridge SD,Apollo-Ridge HS,307,2022-2023
Apollo-Ridge SD,Apollo-Ridge MS,274,2022-2023
Armstrong SD,Armstrong JSHS,1564,2022-2023
Armstrong SD,Dayton El Sch,201,2022-2023
Armstrong SD,Elderton El Sch,216,2022-2023
Armstrong SD,Lenape El Sch,724,2022-2023
Armstrong SD,Shannock Valley El Sch,336,2022-2023
Armstrong SD,West Hills Intermediate Sch,475,2022-2023
Armstrong SD,West Hills Primary Sch,548,2022-2023
Armstrong SD,West Shamokin JSHS,574,2022-2023
Athens Area SD,Athens Area HS,664,2022-2023
Athens Area SD,Audrielle Lynch-Ellen Bustin El Sch,549,2022-2023
Athens Area SD,Harlan Rowe MS,456,2022-2023
Athens Area SD,SRU El Sch,400,2022-2023
Austin Area SD,Austin Area El Sch,78,2022-2023
Austin Area SD,Austin Area JSHS,93,2022-2023
Avella Area SD,Avella Area JSHS,227,2022-2023
Avella Area SD,Avella El Center,252,2022-2023
Avon Grove SD,Avon Grove HS,1754,2022-2023
Avon Grove SD,Avon Grove Intrmd Sch,1457,2022-2023
Avon Grove SD,Fred S Engle MS,819,2022-2023
Avon Grove SD,Penn London El Sch,1010,2022-2023
Avonworth SD,Avonworth El Sch,612,2022-2023
Avonworth SD,Avonworth HS,564,2022-2023
Avonworth SD,Avonworth MS,307,2022-2023
Avonworth SD,Avonworth Primary Center,464,2022-2023
Bald Eagle Area SD,Bald Eagle Area JSHS,842,2022-2023
Bald Eagle Area SD,Howard El Sch,90,2022-2023
Bald Eagle Area SD,Mountaintop Area El Sch,116,2022-2023
Bald Eagle Area SD,Port Matilda El Sch,100,2022-2023
Bald Eagle Area SD,Wingate El Sch,373,2022-2023
Baldwin-Whitehall SD,Baldwin SHS,2088,2022-2023
Baldwin-Whitehall SD,J.E. Harrison Education Ctr,1143,2022-2023
Baldwin-Whitehall SD,McAnnulty El Sch,435,2022-2023
Baldwin-Whitehall SD,Whitehall El Sch,862,2022-2023
Bangor Area SD,Bangor Area HS,887,2022-2023
Bangor Area SD,Bangor Area MS,455,2022-2023
Bangor Area SD,DeFranco El Sch,431,2022-2023
Bangor Area SD,Five Points El Sch,578,2022-2023
Bangor Area SD,Washington El Sch,424,2022-2023
Beaver Area SD,Beaver Area MS,307,2022-2023
Beaver Area SD,Beaver Area SHS,644,2022-2023
Beaver Area SD,College Square El Sch,433,2022-2023
Beaver Area SD,Dutch Ridge El Sch,589,2022-2023
Bedford Area SD,Bedford El Sch,766,2022-2023
Bedford Area SD,Bedford MS,404,2022-2023
Bedford Area SD,Bedford SHS,538,2022-2023
Belle Vernon Area SD,Belle Vernon Area HS,752,2022-2023
Belle Vernon Area SD,Belle Vernon Area MS,334,2022-2023
Belle Vernon Area SD,Marion El Sch,635,2022-2023
Belle Vernon Area SD,Rostraver El Sch,646,2022-2023
Bellefonte Area SD,Bellefonte Area HS,847,2022-2023
Bellefonte Area SD,Bellefonte Area MS,576,2022-2023
Bellefonte Area SD,Bellefonte El Sch,335,2022-2023
Bellefonte Area SD,Benner El Sch,244,2022-2023
Bellefonte Area SD,Marion-Walker El Sch,404,2022-2023
Bellefonte Area SD,Pleasant Gap El Sch,193,2022-2023
Bellwood-Antis SD,Bellwood Antis MS,371,2022-2023
Bellwood-Antis SD,Bellwood-Antis HS,392,2022-2023
Bellwood-Antis SD,Lewis M Myers El Sch,400,2022-2023
Bensalem Township SD,Belmont Hills El Sch,542,2022-2023
Bensalem Township SD,Benjamin Rush El Sch,378,2022-2023
Bensalem Township SD,Bensalem Twp HS,2120,2022-2023
Bensalem Township SD,Cecelia Snyder MS,431,2022-2023
Bensalem Township SD,Cornwells El Sch,554,2022-2023
Bensalem Township SD,Robert K Shafer MS,612,2022-2023
Bensalem Township SD,Russell C Struble El Sch,499,2022-2023
Bensalem Township SD,Samuel K Faust El Sch,567,2022-2023
Bensalem Township SD,Valley El Sch,622,2022-2023
Benton Area SD,Appleman El Sch,316,2022-2023
Benton Area SD,Benton Area HS,200,2022-2023
Benton Area SD,Benton Area MS,104,2022-2023
Bentworth SD,Bentworth El Ctr,378,2022-2023
Bentworth SD,Bentworth MS,327,2022-2023
Bentworth SD,Bentworth SHS,344,2022-2023
Berlin Brothersvalley SD,Berlin Brothersvalley El Sch,287,2022-2023
Berlin Brothersvalley SD,Berlin Brothersvalley MS,225,2022-2023
Berlin Brothersvalley SD,Berlin Brothersvalley SHS,209,2022-2023
Bermudian Springs SD,Bermudian Springs El Sch,612,2022-2023
Bermudian Springs SD,Bermudian Springs HS,592,2022-2023
Bermudian Springs SD,Bermudian Springs MS,548,2022-2023
Berwick Area SD,Berwick Area HS,782,2022-2023
Berwick Area SD,Berwick Area MS,844,2022-2023
Berwick Area SD,Nescopeck El Sch,156,2022-2023
Berwick Area SD,Salem El Sch,396,2022-2023
Berwick Area SD,West Berwick El Sch,486,2022-2023
Bethel Park SD,Abraham Lincoln El Sch,348,2022-2023
Bethel Park SD,Benjamin Franklin El Sch,327,2022-2023
Bethel Park SD,Bethel Memorial El Sch,348,2022-2023
Bethel Park SD,Bethel Park HS,1340,2022-2023
Bethel Park SD,George Washington El Sch,261,2022-2023
Bethel Park SD,Independence MS,537,2022-2023
Bethel Park SD,Neil Armstrong 5-6 MS,583,2022-2023
Bethel Park SD,William Penn El Sch,183,2022-2023
Bethlehem Area SD,Asa Packer El Sch,339,2022-2023
Bethlehem Area SD,Broughal MS,500,2022-2023
Bethlehem Area SD,Calypso El Sch,224,2022-2023
Bethlehem Area SD,Clearview El Sch,382,2022-2023
Bethlehem Area SD,Donegan El Sch,449,2022-2023
Bethlehem Area SD,East Hills MS,1047,2022-2023
Bethlehem Area SD,Farmersville El Sch,361,2022-2023
Bethlehem Area SD,Fountain Hill El Sch,513,2022-2023
Bethlehem Area SD,Freedom HS,1753,2022-2023
Bethlehem Area SD,Freemansburg El Sch,347,2022-2023
Bethlehem Area SD,Governor Wolf El Sch,459,2022-2023
Bethlehem Area SD,Hanover El Sch,226,2022-2023
Bethlehem Area SD,James Buchanan El Sch,263,2022-2023
Bethlehem Area SD,Liberty HS,2640,2022-2023
Bethlehem Area SD,Lincoln El Sch,319,2022-2023
Bethlehem Area SD,Marvine El Sch,300,2022-2023
Bethlehem Area SD,Miller Heights El Sch,340,2022-2023
Bethlehem Area SD,Nitschmann MS,781,2022-2023
Bethlehem Area SD,Northeast MS,725,2022-2023
Bethlehem Area SD,Spring Garden El Sch,508,2022-2023
Bethlehem Area SD,Thomas Jefferson El Sch,224,2022-2023
Bethlehem Area SD,William Penn El Sch,239,2022-2023
Bethlehem-Center SD,Bethlehem-Center El Sch,435,2022-2023
Bethlehem-Center SD,Bethlehem-Center MS,242,2022-2023
Bethlehem-Center SD,Bethlehem-Center SHS,302,2022-2023
Big Beaver Falls Area SD,Beaver Falls Area SHS,469,2022-2023
Big Beaver Falls Area SD,Beaver Falls MS,384,2022-2023
Big Beaver Falls Area SD,Big Beaver El Sch,291,2022-2023
Big Beaver Falls Area SD,Central El Sch,497,2022-2023
