21ST CENTURY CYBER CS,0,14890223.55,41774.45,14588433.95,14931998,2017
A W BEATTIE CAREER CENTER,270421,7837643.8,1234349.62,8891576.82,9342414.42,2017
ACT ACADEMY CYBER CS,284482,1481710.43,9654.14,1724086.73,1775846.57,2017
ASPIRA BILINGUAL CYBER CHARTER SCHOOL,704966,5282145,4814,5219660,5991925,2017
ABINGTON HEIGHTS SD,565259.77,32577424.25,15079132.18,48648099.25,48221816.2,2017
ABINGTON SD,1672197.3,117839974.2,33449739.74,151658171.2,153149025.7,2017
ACHIEVEMENT HOUSE CS,521977,8052690.16,64173,7642224.38,8638840.16,2017
AD PRIMA CS,577572,6357402,129487,6909754,7064461,2017
ADMIRAL PEARY AVTS,108877,2423993.03,807404.47,3345808.45,3340274.5,2017
AGORA CYBER CS,3965525,92236738,297616,95215657,96499879,2017
ALBERT GALLATIN AREA SD,1854756.54,12976146.16,37360912.25,52182536.73,52355210.9,2017
ALIQUIPPA SD,1186198.36,6772396.22,15215013.27,22987277.22,23673607.85,2017
ALLEGHENY VALLEY SD,271065.45,16582988.38,6279933.64,22319864.8,23133987.47,2017
ALLEGHENY-CLARION VALLEY SD,512347.35,5144388.3,9401474.74,15068821.44,15058931.89,2017
ALLENTOWN CITY SD,21695528,102898906,175150247,313545843,304341464,2017
ALLIANCE FOR PROGRESS CS,498188,5197360,96489,5836839,5792037,2017
ALTOONA AREA SD,5372174.34,30058071.48,65457165.94,104385574.4,103212326.3,2017
AMBRIDGE AREA SD,1653796.11,25664359.58,20572916.05,49440227.26,48185450.88,2017
ANNVILLE-CLEONA SD,304329.53,15075458.23,8546250.65,23433361.5,23926038.41,2017
ANTIETAM SD,375577.49,11160362.9,7045743.78,19051149.89,18827638.28,2017
ANTONIA PANTOJA COMMUNITY CHARTER SCHOOL,1436211,10015818,35734,10813610,11487763,2017
APOLLO-RIDGE SD,637725.93,8594185.95,14131027.54,23690439.6,23364140.42,2017
ARMSTRONG SD,4116796.69,38096893.26,54933871.6,96188961.22,97198703.39,2017
ARTS ACADEMY CS,183140,4892741,37123,4761943.08,5113004,2017
ARTS ACADEMY ELEMENTARY CHARTER SCHOOL,264028.92,4955145.43,108500.35,5140810.04,5327674.7,2017
