Name,DataElement,DisplayValue
Chartiers-Houston SD,FacilitiesAcquisition&Construction,30823
Cheltenham SD,FacilitiesAcquisition&Construction,0
Chester Charter Scholars Academy CS,FacilitiesAcquisition&Construction,29446234
Chester Co Technical College HS-Pickerin,FacilitiesAcquisition&Construction,22268
Chester Community CS,FacilitiesAcquisition&Construction,145875.92
Chester-Upland SD,FacilitiesAcquisition&Construction,941757.93
Chestnut Ridge SD,FacilitiesAcquisition&Construction,70642.25
Chichester SD,FacilitiesAcquisition&Construction,97855.6
Christopher Columbus CS,FacilitiesAcquisition&Construction,0
Circle of Seasons CS,FacilitiesAcquisition&Construction,436099.5
City CHS,FacilitiesAcquisition&Construction,0
Clairton City SD,FacilitiesAcquisition&Construction,20895.48
Clarion Area SD,FacilitiesAcquisition&Construction,0
Clarion County Career Center,FacilitiesAcquisition&Construction,0
Clarion-Limestone Area SD,FacilitiesAcquisition&Construction,0
Claysburg-Kimmel SD,FacilitiesAcquisition&Construction,0
Clearfield Area SD,FacilitiesAcquisition&Construction,7904.95
Clearfield County CTC,FacilitiesAcquisition&Construction,1555151.15
Coatesville Area SD,FacilitiesAcquisition&Construction,1378000
Cocalico SD,FacilitiesAcquisition&Construction,0
Collegium CS,FacilitiesAcquisition&Construction,0
Colonial SD,FacilitiesAcquisition&Construction,6393
Columbia Borough SD,FacilitiesAcquisition&Construction,17795.25
Columbia-Montour AVTS,FacilitiesAcquisition&Construction,0
Commodore Perry SD,FacilitiesAcquisition&Construction,5283314
Commonwealth Charter Academy CS,FacilitiesAcquisition&Construction,0
Community Academy of Philadelphia CS,FacilitiesAcquisition&Construction,16594531
Conemaugh Township Area SD,FacilitiesAcquisition&Construction,0
Conemaugh Valley SD,FacilitiesAcquisition&Construction,0
Conestoga Valley SD,FacilitiesAcquisition&Construction,3010
Conewago Valley SD,FacilitiesAcquisition&Construction,0
Conneaut SD,FacilitiesAcquisition&Construction,770332.67
Connellsville Area Career & Technical Ce,FacilitiesAcquisition&Construction,0
Connellsville Area SD,FacilitiesAcquisition&Construction,32983.28
Conrad Weiser Area SD,FacilitiesAcquisition&Construction,0
Cornell SD,FacilitiesAcquisition&Construction,813053
Cornwall-Lebanon SD,FacilitiesAcquisition&Construction,121459.09
Corry Area SD,FacilitiesAcquisition&Construction,274673.09
Coudersport Area SD,FacilitiesAcquisition&Construction,0
Council Rock SD,FacilitiesAcquisition&Construction,0
Cranberry Area SD,FacilitiesAcquisition&Construction,40249.6
Crawford Central SD,FacilitiesAcquisition&Construction,0
Crawford County Career and Technical Center,FacilitiesAcquisition&Construction,0
Crestwood SD,FacilitiesAcquisition&Construction,31270400
Crispus Attucks CS,FacilitiesAcquisition&Construction,0
Cumberland Perry AVTS,FacilitiesAcquisition&Construction,816753.38
Cumberland Valley SD,FacilitiesAcquisition&Construction,416274
Curwensville Area SD,FacilitiesAcquisition&Construction,237468.68
Dallas SD,FacilitiesAcquisition&Construction,201391.38
Dallastown Area SD,FacilitiesAcquisition&Construction,207524.81
Daniel Boone Area SD,FacilitiesAcquisition&Construction,0
Danville Area SD,FacilitiesAcquisition&Construction,9760
Dauphin County Technical School,FacilitiesAcquisition&Construction,0
Deep Roots CS,FacilitiesAcquisition&Construction,0
Deer Lakes SD,FacilitiesAcquisition&Construction,0
Delaware County Technical High School-As,FacilitiesAcquisition&Construction,0
Delaware Valley SD,FacilitiesAcquisition&Construction,2003605
Derry Area SD,FacilitiesAcquisition&Construction,-56329
Derry Township SD,FacilitiesAcquisition&Construction,0
Discovery CS,FacilitiesAcquisition&Construction,0
Donegal SD,FacilitiesAcquisition&Construction,0
Dover Area SD,FacilitiesAcquisition&Construction,0
Downingtown Area SD,FacilitiesAcquisition&Construction,208529.64
Dr Robert Ketterer CS Inc,FacilitiesAcquisition&Construction,12750
Dubois Area SD,FacilitiesAcquisition&Construction,1755233.71
Dunmore SD,FacilitiesAcquisition&Construction,0
Duquesne City SD,FacilitiesAcquisition&Construction,4925
East Allegheny SD,FacilitiesAcquisition&Construction,222177
East Lycoming SD,FacilitiesAcquisition&Construction,1667.01
East Penn SD,FacilitiesAcquisition&Construction,0
East Pennsboro Area SD,FacilitiesAcquisition&Construction,103708
East Stroudsburg Area SD,FacilitiesAcquisition&Construction,1904518.4
Eastern Center for Arts & Technology,FacilitiesAcquisition&Construction,16537
Eastern Lancaster County SD,FacilitiesAcquisition&Construction,179284.56
Eastern Lebanon County SD,FacilitiesAcquisition&Construction,323758.97
Eastern Westmoreland CTC,FacilitiesAcquisition&Construction,0
Eastern York SD,FacilitiesAcquisition&Construction,384923.85
Easton Area SD,FacilitiesAcquisition&Construction,0
Easton Arts Academy Elementary CS,FacilitiesAcquisition&Construction,0
Elizabeth Forward SD,FacilitiesAcquisition&Construction,171959.81
Elizabethtown Area SD,FacilitiesAcquisition&Construction,0
Elk Lake SD,FacilitiesAcquisition&Construction,0
Ellwood City Area SD,FacilitiesAcquisition&Construction,0
Environmental CS at Frick Park,FacilitiesAcquisition&Construction,0
Ephrata Area SD,FacilitiesAcquisition&Construction,0
Erie City SD,FacilitiesAcquisition&Construction,14076811.9
Erie County Technical School,FacilitiesAcquisition&Construction,72280
Esperanza Academy CS,FacilitiesAcquisition&Construction,45421
Esperanza Cyber CS,FacilitiesAcquisition&Construction,0
Eugenio Maria DE Hostos CS,FacilitiesAcquisition&Construction,0
Everett Area SD,FacilitiesAcquisition&Construction,216051.64
Evergreen Community CS,FacilitiesAcquisition&Construction,0
Executive Education Academy CS,FacilitiesAcquisition&Construction,69939
Exeter Township SD,FacilitiesAcquisition&Construction,737689.64
Fairfield Area SD,FacilitiesAcquisition&Construction,0
Fairview SD,FacilitiesAcquisition&Construction,0
Fannett-Metal SD,FacilitiesAcquisition&Construction,1892987.27
Farrell Area SD,FacilitiesAcquisition&Construction,0
Fayette County Career & Technical Institute,FacilitiesAcquisition&Construction,0
Fell CS,FacilitiesAcquisition&Construction,0
Ferndale Area SD,FacilitiesAcquisition&Construction,469230.1
First Philadelphia Preparatory CS,FacilitiesAcquisition&Construction,0
Fleetwood Area SD,FacilitiesAcquisition&Construction,0
Folk Arts-Cultural Treasures CS,FacilitiesAcquisition&Construction,31900
Forbes Road CTC,FacilitiesAcquisition&Construction,24341.36
Forbes Road SD,FacilitiesAcquisition&Construction,111685.03
Forest Area SD,FacilitiesAcquisition&Construction,165405
Forest City Regional SD,FacilitiesAcquisition&Construction,0
Forest Hills SD,FacilitiesAcquisition&Construction,0
Fort Cherry SD,FacilitiesAcquisition&Construction,0
Fort LeBoeuf SD,FacilitiesAcquisition&Construction,199100
Fox Chapel Area SD,FacilitiesAcquisition&Construction,331006.56
Franklin Area SD,FacilitiesAcquisition&Construction,0
Franklin County CTC,FacilitiesAcquisition&Construction,0
Franklin Regional SD,FacilitiesAcquisition&Construction,31765
Franklin Towne Charter Elementary School,FacilitiesAcquisition&Construction,0
Franklin Towne CHS,FacilitiesAcquisition&Construction,0
Frazier SD,FacilitiesAcquisition&Construction,69712.5
Frederick Douglass Mastery CS,FacilitiesAcquisition&Construction,0
Freedom Area SD,FacilitiesAcquisition&Construction,70372.13
Freeport Area SD,FacilitiesAcquisition&Construction,0
Freire CS,FacilitiesAcquisition&Construction,0
Fulton County Area Vocational-Technical School,FacilitiesAcquisition&Construction,0
Galeton Area SD,FacilitiesAcquisition&Construction,0
Garnet Valley SD,FacilitiesAcquisition&Construction,38594.65
Gateway SD,FacilitiesAcquisition&Construction,2388027
General McLane SD,FacilitiesAcquisition&Construction,0
Gettysburg Area SD,FacilitiesAcquisition&Construction,0
Gettysburg Montessori CS,FacilitiesAcquisition&Construction,238621
Gillingham Charter School,FacilitiesAcquisition&Construction,0
Girard SD,FacilitiesAcquisition&Construction,2025833.2
Glendale SD,FacilitiesAcquisition&Construction,225907.24
Global Leadership Academy CS,FacilitiesAcquisition&Construction,0
Global Leadership Academy CS Southwest a,FacilitiesAcquisition&Construction,0
Governor Mifflin SD,FacilitiesAcquisition&Construction,0
Great Valley SD,FacilitiesAcquisition&Construction,4500
Greater Altoona Career and Technology Center,FacilitiesAcquisition&Construction,0
Greater Johnstown CTC,FacilitiesAcquisition&Construction,0
Greater Johnstown SD,FacilitiesAcquisition&Construction,18892295
Greater Latrobe SD,FacilitiesAcquisition&Construction,4246868.44
Greater Nanticoke Area SD,FacilitiesAcquisition&Construction,322872.12
Green Woods CS,FacilitiesAcquisition&Construction,0
Greencastle-Antrim SD,FacilitiesAcquisition&Construction,1961484.81
Greene County Career and Technology Center,FacilitiesAcquisition&Construction,0
Greensburg Salem SD,FacilitiesAcquisition&Construction,2627199.84
Greenville Area SD,FacilitiesAcquisition&Construction,0
Greenwood SD,FacilitiesAcquisition&Construction,33636
Grove City Area SD,FacilitiesAcquisition&Construction,11500
Halifax Area SD,FacilitiesAcquisition&Construction,194234
Hamburg Area SD,FacilitiesAcquisition&Construction,0
Hampton Township SD,FacilitiesAcquisition&Construction,0
Hanover Area SD,FacilitiesAcquisition&Construction,0
Hanover Public SD,FacilitiesAcquisition&Construction,0
Harambee Institute of Science and Techno,FacilitiesAcquisition&Construction,0
Harbor Creek SD,FacilitiesAcquisition&Construction,29305.78
Harmony Area SD,FacilitiesAcquisition&Construction,0
Harrisburg City SD,FacilitiesAcquisition&Construction,1973666.45
Hatboro-Horsham SD,FacilitiesAcquisition&Construction,18368.44
Haverford Township SD,FacilitiesAcquisition&Construction,0
Hazleton Area Career Center,FacilitiesAcquisition&Construction,NULL
Hazleton Area SD,FacilitiesAcquisition&Construction,8323822.07
Hempfield Area SD,FacilitiesAcquisition&Construction,1116615.8
Hempfield SD,FacilitiesAcquisition&Construction,10886.03
Hermitage SD,FacilitiesAcquisition&Construction,539005.55
Highlands SD,FacilitiesAcquisition&Construction,1269
Hollidaysburg Area SD,FacilitiesAcquisition&Construction,5825
Homer-Center SD,FacilitiesAcquisition&Construction,0
HOPE for Hyndman CS,FacilitiesAcquisition&Construction,0
Hopewell Area SD,FacilitiesAcquisition&Construction,542729.59
Howard Gardner Multiple Intelligence CS,FacilitiesAcquisition&Construction,3775310.98
Huntingdon Area SD,FacilitiesAcquisition&Construction,0
Huntingdon County CTC,FacilitiesAcquisition&Construction,0
Imhotep Institute CHS,FacilitiesAcquisition&Construction,202766
Independence CS,FacilitiesAcquisition&Construction,0
Independence CS West,FacilitiesAcquisition&Construction,0
Indiana Area SD,FacilitiesAcquisition&Construction,0
Indiana County Technology Center,FacilitiesAcquisition&Construction,188500
Infinity CS,FacilitiesAcquisition&Construction,1662299
Innovative Arts Academy CS,FacilitiesAcquisition&Construction,8500
Inquiry CS,FacilitiesAcquisition&Construction,0
Insight PA Cyber CS,FacilitiesAcquisition&Construction,0
Interboro SD,FacilitiesAcquisition&Construction,600
Iroquois SD,FacilitiesAcquisition&Construction,910825.17
Jamestown Area SD,FacilitiesAcquisition&Construction,0
Jeannette City SD,FacilitiesAcquisition&Construction,2756681
Jefferson County-DuBois Area Vocational-Technical School,FacilitiesAcquisition&Construction,19820
Jefferson-Morgan SD,FacilitiesAcquisition&Construction,0
Jenkintown SD,FacilitiesAcquisition&Construction,0
Jersey Shore Area SD,FacilitiesAcquisition&Construction,1474863.51
Jim Thorpe Area SD,FacilitiesAcquisition&Construction,0
Johnsonburg Area SD,FacilitiesAcquisition&Construction,61351
Juniata County SD,FacilitiesAcquisition&Construction,218086.26
Juniata Valley SD,FacilitiesAcquisition&Construction,2200
Kane Area SD,FacilitiesAcquisition&Construction,452074.64
Karns City Area SD,FacilitiesAcquisition&Construction,109959.87
Kennett Consolidated SD,FacilitiesAcquisition&Construction,214947.32
Keystone Academy CS,FacilitiesAcquisition&Construction,0
Keystone Central CTC,FacilitiesAcquisition&Construction,NULL
Keystone Central SD,FacilitiesAcquisition&Construction,0
Keystone Education Center CS,FacilitiesAcquisition&Construction,0
Keystone Oaks SD,FacilitiesAcquisition&Construction,0
Keystone SD,FacilitiesAcquisition&Construction,0
KIPP DuBois CS,FacilitiesAcquisition&Construction,400
KIPP North Philadelphia CS,FacilitiesAcquisition&Construction,0
KIPP Philadelphia CS,FacilitiesAcquisition&Construction,101227
KIPP West Philadelphia CS,FacilitiesAcquisition&Construction,169000
Kiski Area SD,FacilitiesAcquisition&Construction,20595.82
Kutztown Area SD,FacilitiesAcquisition&Construction,118665
La Academia Partnership CS,FacilitiesAcquisition&Construction,320
Laboratory CS,FacilitiesAcquisition&Construction,0
Lackawanna Trail SD,FacilitiesAcquisition&Construction,953342.59
Lake-Lehman SD,FacilitiesAcquisition&Construction,0
Lakeland SD,FacilitiesAcquisition&Construction,0
Lakeview SD,FacilitiesAcquisition&Construction,34594
Lampeter-Strasburg SD,FacilitiesAcquisition&Construction,46609.69
Lancaster County CTC-Brownstown Campus,FacilitiesAcquisition&Construction,0
Lancaster SD,FacilitiesAcquisition&Construction,726486
Laurel Highlands SD,FacilitiesAcquisition&Construction,0
Laurel SD,FacilitiesAcquisition&Construction,690909.96
Lawrence County CTC,FacilitiesAcquisition&Construction,0
Lebanon County CTC,FacilitiesAcquisition&Construction,19424.24
Lebanon SD,FacilitiesAcquisition&Construction,2136384.49
Leechburg Area SD,FacilitiesAcquisition&Construction,1322152.51
Lehigh Career & Technical Institute,FacilitiesAcquisition&Construction,0
Lehigh Valley Academy Regional CS,FacilitiesAcquisition&Construction,948874
Lehigh Valley Charter High School for th,FacilitiesAcquisition&Construction,20023.73
Lehigh Valley Dual Language CS,FacilitiesAcquisition&Construction,9073155
Lehighton Area SD,FacilitiesAcquisition&Construction,206936.75
Lenape Tech,FacilitiesAcquisition&Construction,87763.5
Lewisburg Area SD,FacilitiesAcquisition&Construction,0
Life Male STEAM Academy CS,FacilitiesAcquisition&Construction,0
Ligonier Valley SD,FacilitiesAcquisition&Construction,0
Lincoln CS,FacilitiesAcquisition&Construction,763092.74
Lincoln Leadership Academy CS,FacilitiesAcquisition&Construction,1120563.86
Lincoln Park Performing Arts CS,FacilitiesAcquisition&Construction,13325
Lindley Academy CS at Birney,FacilitiesAcquisition&Construction,0
Line Mountain SD,FacilitiesAcquisition&Construction,0
Littlestown Area SD,FacilitiesAcquisition&Construction,165513.99
Lower Dauphin SD,FacilitiesAcquisition&Construction,0
Lower Merion SD,FacilitiesAcquisition&Construction,0
Lower Moreland Township SD,FacilitiesAcquisition&Construction,0
Loyalsock Township SD,FacilitiesAcquisition&Construction,0
Lycoming CTC,FacilitiesAcquisition&Construction,0
Mahanoy Area SD,FacilitiesAcquisition&Construction,448533.77
Manchester Academic CS,FacilitiesAcquisition&Construction,48881
Manheim Central SD,FacilitiesAcquisition&Construction,0
Manheim Township SD,FacilitiesAcquisition&Construction,0
Mariana Bracetti Academy CS,FacilitiesAcquisition&Construction,520037
Marion Center Area SD,FacilitiesAcquisition&Construction,16380
Maritime Academy CS,FacilitiesAcquisition&Construction,0
Marple Newtown SD,FacilitiesAcquisition&Construction,0
Mars Area SD,FacilitiesAcquisition&Construction,0
MAST Community CS,FacilitiesAcquisition&Construction,0
MaST Community CS II,FacilitiesAcquisition&Construction,0
MaST Community CS III,FacilitiesAcquisition&Construction,0
Mastery CHS-Lenfest Campus,FacilitiesAcquisition&Construction,0
Mastery CS - Mann Campus,FacilitiesAcquisition&Construction,0
Mastery CS - Shoemaker Campus,FacilitiesAcquisition&Construction,0
Mastery CS -Thomas Campus,FacilitiesAcquisition&Construction,0
Mastery CS John Wister Elementary,FacilitiesAcquisition&Construction,0
Mastery CS-Cleveland Elementary,FacilitiesAcquisition&Construction,0
Mastery CS-Clymer Elementary,FacilitiesAcquisition&Construction,0
Mastery CS-Francis D. Pastorius Elementa,FacilitiesAcquisition&Construction,0
Mastery CS-Gratz Campus,FacilitiesAcquisition&Construction,0
Mastery CS-Hardy Williams,FacilitiesAcquisition&Construction,0
Mastery CS-Harrity Campus,FacilitiesAcquisition&Construction,0
Mastery CS-Pickett Campus,FacilitiesAcquisition&Construction,0
Mastery CS-Smedley Campus,FacilitiesAcquisition&Construction,0
Mastery Prep Elementary CS,FacilitiesAcquisition&Construction,0
Math Civics and Sciences CS,FacilitiesAcquisition&Construction,0
McGuffey SD,FacilitiesAcquisition&Construction,0
McKeesport Area SD,FacilitiesAcquisition&Construction,0
McKeesport Area Tech Ctr,FacilitiesAcquisition&Construction,NULL
Mechanicsburg Area SD,FacilitiesAcquisition&Construction,11095.34
Memphis Street Academy CS @ JP Jones,FacilitiesAcquisition&Construction,0
Mercer Area SD,FacilitiesAcquisition&Construction,588238.93
Mercer County Career Center,FacilitiesAcquisition&Construction,109125
Methacton SD,FacilitiesAcquisition&Construction,150920.25
Meyersdale Area SD,FacilitiesAcquisition&Construction,916362.77
Mid Valley SD,FacilitiesAcquisition&Construction,260193.21
Midd-West SD,FacilitiesAcquisition&Construction,0
Middle Bucks Institute of Technology,FacilitiesAcquisition&Construction,0
Middletown Area SD,FacilitiesAcquisition&Construction,61108.54
Midland Borough SD,FacilitiesAcquisition&Construction,57580.48
Mifflin County Academy of Science and Te,FacilitiesAcquisition&Construction,0
Mifflin County SD,FacilitiesAcquisition&Construction,39525
Mifflinburg Area SD,FacilitiesAcquisition&Construction,25444.01
Millcreek Township SD,FacilitiesAcquisition&Construction,0
Millersburg Area SD,FacilitiesAcquisition&Construction,3253.16
Millville Area SD,FacilitiesAcquisition&Construction,192441.53
Milton Area SD,FacilitiesAcquisition&Construction,1949690
Minersville Area SD,FacilitiesAcquisition&Construction,219768
Mohawk Area SD,FacilitiesAcquisition&Construction,109566.45
Mon Valley CTC,FacilitiesAcquisition&Construction,0
Monessen City SD,FacilitiesAcquisition&Construction,983533.5
Moniteau SD,FacilitiesAcquisition&Construction,0
Monroe Career and Technical Institute,FacilitiesAcquisition&Construction,18220.08
Montessori Regional CS,FacilitiesAcquisition&Construction,896875
Montgomery Area SD,FacilitiesAcquisition&Construction,179442.97
Montour SD,FacilitiesAcquisition&Construction,0
Montoursville Area SD,FacilitiesAcquisition&Construction,0
Montrose Area SD,FacilitiesAcquisition&Construction,1715424.94
Moon Area SD,FacilitiesAcquisition&Construction,0
Morrisville Borough SD,FacilitiesAcquisition&Construction,0
Moshannon Valley SD,FacilitiesAcquisition&Construction,95929.69
Mount Carmel Area SD,FacilitiesAcquisition&Construction,0
Mount Pleasant Area SD,FacilitiesAcquisition&Construction,170903
Mount Union Area SD,FacilitiesAcquisition&Construction,96969
Mountain View SD,FacilitiesAcquisition&Construction,0
Mt Lebanon SD,FacilitiesAcquisition&Construction,0
Muhlenberg SD,FacilitiesAcquisition&Construction,0
Multicultural Academy CS,FacilitiesAcquisition&Construction,4809739
Muncy SD,FacilitiesAcquisition&Construction,0
Nazareth Area SD,FacilitiesAcquisition&Construction,0
Neshaminy SD,FacilitiesAcquisition&Construction,2279952.81
Neshannock Township SD,FacilitiesAcquisition&Construction,0
New Brighton Area SD,FacilitiesAcquisition&Construction,18000
New Castle Area SD,FacilitiesAcquisition&Construction,1000609.33
New Day CS,FacilitiesAcquisition&Construction,0
New Foundations CS,FacilitiesAcquisition&Construction,1184249
New Hope-Solebury SD,FacilitiesAcquisition&Construction,0
New Kensington-Arnold SD,FacilitiesAcquisition&Construction,0
Newport SD,FacilitiesAcquisition&Construction,33055.19
Nittany Valley CS,FacilitiesAcquisition&Construction,0
Norristown Area SD,FacilitiesAcquisition&Construction,0
North Allegheny SD,FacilitiesAcquisition&Construction,43429.51
North Clarion County SD,FacilitiesAcquisition&Construction,0
North East SD,FacilitiesAcquisition&Construction,0
North Hills SD,FacilitiesAcquisition&Construction,11700
North Montco Tech Career Center,FacilitiesAcquisition&Construction,127314.46
North Penn SD,FacilitiesAcquisition&Construction,0
North Pocono SD,FacilitiesAcquisition&Construction,25933.87
North Schuylkill SD,FacilitiesAcquisition&Construction,8119
North Star SD,FacilitiesAcquisition&Construction,10085.75
Northampton Area SD,FacilitiesAcquisition&Construction,129983.3
Northeast Bradford SD,FacilitiesAcquisition&Construction,186716.14
Northeastern York SD,FacilitiesAcquisition&Construction,0
Northern Bedford County SD,FacilitiesAcquisition&Construction,0
Northern Cambria SD,FacilitiesAcquisition&Construction,81300
Northern Lebanon SD,FacilitiesAcquisition&Construction,0
Northern Lehigh SD,FacilitiesAcquisition&Construction,421817.3
Northern Potter SD,FacilitiesAcquisition&Construction,9700
Northern Tier Career Center,FacilitiesAcquisition&Construction,310295.8
Northern Tioga SD,FacilitiesAcquisition&Construction,0
Northern Westmoreland CTC,FacilitiesAcquisition&Construction,173304.22
Northern York County SD,FacilitiesAcquisition&Construction,36374.19
Northgate SD,FacilitiesAcquisition&Construction,136861
Northumberland County CTC,FacilitiesAcquisition&Construction,0
Northwest Area SD,FacilitiesAcquisition&Construction,0
Northwestern Lehigh SD,FacilitiesAcquisition&Construction,0
Northwestern SD,FacilitiesAcquisition&Construction,40200
Northwood Academy CS,FacilitiesAcquisition&Construction,3500
Norwin SD,FacilitiesAcquisition&Construction,0
Octorara Area SD,FacilitiesAcquisition&Construction,0
Oil City Area SD,FacilitiesAcquisition&Construction,1358658.23
Old Forge SD,FacilitiesAcquisition&Construction,0
Oley Valley SD,FacilitiesAcquisition&Construction,0
Oswayo Valley SD,FacilitiesAcquisition&Construction,96410
Otto-Eldred SD,FacilitiesAcquisition&Construction,0
Owen J Roberts SD,FacilitiesAcquisition&Construction,0
Oxford Area SD,FacilitiesAcquisition&Construction,2260539
Palisades SD,FacilitiesAcquisition&Construction,175834.09
Palmerton Area SD,FacilitiesAcquisition&Construction,250000
Palmyra Area SD,FacilitiesAcquisition&Construction,0
Pan American Academy CS,FacilitiesAcquisition&Construction,0
Panther Valley SD,FacilitiesAcquisition&Construction,0
Parkland SD,FacilitiesAcquisition&Construction,20422.5
Parkway West CTC,FacilitiesAcquisition&Construction,692396
Passport Academy CS,FacilitiesAcquisition&Construction,0
Pen Argyl Area SD,FacilitiesAcquisition&Construction,0
Penn Cambria SD,FacilitiesAcquisition&Construction,1478838.02
Penn Hills CS of Entrepreneurship,FacilitiesAcquisition&Construction,38000
Penn Hills SD,FacilitiesAcquisition&Construction,347211.51
Penn Manor SD,FacilitiesAcquisition&Construction,0
Penn-Delco SD,FacilitiesAcquisition&Construction,1510
Penn-Trafford SD,FacilitiesAcquisition&Construction,255126.4
Penncrest SD,FacilitiesAcquisition&Construction,1743974.87
Pennridge SD,FacilitiesAcquisition&Construction,0
Penns Manor Area SD,FacilitiesAcquisition&Construction,0
Penns Valley Area SD,FacilitiesAcquisition&Construction,0
Pennsbury SD,FacilitiesAcquisition&Construction,0
Pennsylvania Cyber CS,FacilitiesAcquisition&Construction,362609.79
Pennsylvania Distance Learning CS,FacilitiesAcquisition&Construction,0
Pennsylvania Leadership CS,FacilitiesAcquisition&Construction,0
Pennsylvania STEAM Academy CS,FacilitiesAcquisition&Construction,10000
Pennsylvania Virtual CS,FacilitiesAcquisition&Construction,600150.37
People for People CS,FacilitiesAcquisition&Construction,50257
Pequea Valley SD,FacilitiesAcquisition&Construction,0
Perkiomen Valley SD,FacilitiesAcquisition&Construction,983662.06
Perseus House CS of Excellence,FacilitiesAcquisition&Construction,578987
Peters Township SD,FacilitiesAcquisition&Construction,0
Philadelphia Academy CS,FacilitiesAcquisition&Construction,5298270
Philadelphia City SD,FacilitiesAcquisition&Construction,19777659.82
Philadelphia Electrical & Tech CHS,FacilitiesAcquisition&Construction,21964975
Philadelphia Hebrew Public CS,FacilitiesAcquisition&Construction,15990
Philadelphia Montessori CS,FacilitiesAcquisition&Construction,725473
Philadelphia Performing Arts CS,FacilitiesAcquisition&Construction,2378938
Philipsburg-Osceola Area SD,FacilitiesAcquisition&Construction,0
Phoenixville Area SD,FacilitiesAcquisition&Construction,5004.5
Pine Grove Area SD,FacilitiesAcquisition&Construction,219504.07
Pine-Richland SD,FacilitiesAcquisition&Construction,61714
Pittsburgh SD,FacilitiesAcquisition&Construction,2007180.66
Pittston Area SD,FacilitiesAcquisition&Construction,0
Pleasant Valley SD,FacilitiesAcquisition&Construction,7100
Plum Borough SD,FacilitiesAcquisition&Construction,0
Pocono Mountain SD,FacilitiesAcquisition&Construction,1151216.84
Port Allegany SD,FacilitiesAcquisition&Construction,0
Portage Area SD,FacilitiesAcquisition&Construction,0
Pottsgrove SD,FacilitiesAcquisition&Construction,0
Pottstown SD,FacilitiesAcquisition&Construction,756867.24
Pottsville Area SD,FacilitiesAcquisition&Construction,416963.54
Premier Arts and Science CS,FacilitiesAcquisition&Construction,0
Preparatory CS of Mathematics Science Te,FacilitiesAcquisition&Construction,18750
Propel CS-Braddock Hills,FacilitiesAcquisition&Construction,380
Propel CS-East,FacilitiesAcquisition&Construction,2836502
Propel CS-Hazelwood,FacilitiesAcquisition&Construction,0
Propel CS-Homestead,FacilitiesAcquisition&Construction,685679
Propel CS-McKeesport,FacilitiesAcquisition&Construction,3010482
Propel CS-Montour,FacilitiesAcquisition&Construction,4174327
Propel CS-Northside,FacilitiesAcquisition&Construction,0
Propel CS-Pitcairn,FacilitiesAcquisition&Construction,475
Provident CS,FacilitiesAcquisition&Construction,506.6
Punxsutawney Area SD,FacilitiesAcquisition&Construction,224248.76
Purchase Line SD,FacilitiesAcquisition&Construction,4300
Quaker Valley SD,FacilitiesAcquisition&Construction,0
Quakertown Community SD,FacilitiesAcquisition&Construction,787367.5
Radnor Township SD,FacilitiesAcquisition&Construction,0
Reach Cyber CS,FacilitiesAcquisition&Construction,0
Reading Muhlenberg CTC,FacilitiesAcquisition&Construction,0
Reading SD,FacilitiesAcquisition&Construction,5501640.09
Red Lion Area SD,FacilitiesAcquisition&Construction,0
Redbank Valley SD,FacilitiesAcquisition&Construction,0
Renaissance Academy CS,FacilitiesAcquisition&Construction,3418643
Reynolds SD,FacilitiesAcquisition&Construction,0
Richard Allen Preparatory CS,FacilitiesAcquisition&Construction,4497045
Richland SD,FacilitiesAcquisition&Construction,0
Ridgway Area SD,FacilitiesAcquisition&Construction,0
Ridley SD,FacilitiesAcquisition&Construction,0
Ringgold SD,FacilitiesAcquisition&Construction,0
Riverside Beaver County SD,FacilitiesAcquisition&Construction,396176.31
Riverside SD,FacilitiesAcquisition&Construction,710364.99
Riverview SD,FacilitiesAcquisition&Construction,10000
Robert Benjamin Wiley Community CS,FacilitiesAcquisition&Construction,0
Roberto Clemente CS,FacilitiesAcquisition&Construction,5412114
Rochester Area SD,FacilitiesAcquisition&Construction,0
Rockwood Area SD,FacilitiesAcquisition&Construction,147663.47
Rose Tree Media SD,FacilitiesAcquisition&Construction,0
Russell Byers CS,FacilitiesAcquisition&Construction,0
Saint Clair Area SD,FacilitiesAcquisition&Construction,0
Saint Marys Area SD,FacilitiesAcquisition&Construction,0
Salisbury Township SD,FacilitiesAcquisition&Construction,26734
Salisbury-Elk Lick SD,FacilitiesAcquisition&Construction,234896.71
Sankofa Freedom Academy CS,FacilitiesAcquisition&Construction,1130770
Saucon Valley SD,FacilitiesAcquisition&Construction,0
Sayre Area SD,FacilitiesAcquisition&Construction,141920
School Lane CS,FacilitiesAcquisition&Construction,0
Schuylkill Haven Area SD,FacilitiesAcquisition&Construction,24133.8
Schuylkill Technology Centers-North Camp,FacilitiesAcquisition&Construction,217300
Schuylkill Valley SD,FacilitiesAcquisition&Construction,257500
Scranton SD,FacilitiesAcquisition&Construction,2125932.7
Selinsgrove Area SD,FacilitiesAcquisition&Construction,185684.3
Seneca Highlands Career and Technical Ce,FacilitiesAcquisition&Construction,0
Seneca Valley SD,FacilitiesAcquisition&Construction,0
Seven Generations CS,FacilitiesAcquisition&Construction,0
Shade-Central City SD,FacilitiesAcquisition&Construction,0
Shaler Area SD,FacilitiesAcquisition&Construction,825900.85
Shamokin Area SD,FacilitiesAcquisition&Construction,0
Shanksville-Stonycreek SD,FacilitiesAcquisition&Construction,0
